"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
11,-117.285669,46.731192,NA,1995,"Aegolius acadicus","Aegolius_acadicus",75.3,NA,"female",9.2,596,6.91346950568675,41.8775519460065,"Fall",912
10,-117.179457,46.728691,NA,1949,"Aegolius acadicus","Aegolius_acadicus",85.5,207,"male",7.8,419,9.40175273794491,73.0522944114195,"Fall",913
12,-117.142993,46.721599,"Ad",1959,"Aegolius acadicus","Aegolius_acadicus",92.2,210,"female",7.8,531,7.15865655247992,55.7078919727362,"Winter",914
9,-117.4125,47.6639,"Ad",1959,"Aegolius acadicus","Aegolius_acadicus",82.2,210,"female",9,507,7.91287309427243,67.6680009805843,"Fall",915
12,-117.163942,46.717273,NA,1977,"Aegolius acadicus","Aegolius_acadicus",92.6,NA,"male",8.3,480,8.0016049526443,81.0057072952807,"Winter",916
4,-117.20894,46.824342,"adult",1989,"Aegolius acadicus","Aegolius_acadicus",114.2,NA,"female",8.3,545,7.89872928023389,64.3192190496724,"Spring",917
5,-117.4125,47.6639,NA,1989,"Aegolius acadicus","Aegolius_acadicus",84,NA,"female",8.9,408,8.54175129300281,60.3296595446738,"Spring",918
2,-76.5095,42.4381,NA,1936,"Aegolius acadicus acadicus","Aegolius_acadicus",74,NA,"female",9,811,10.6473499334839,48.3656331738992,"Winter",919
2,-103.734359418,38.220216853,"adult",1996,"Aegolius acadicus","Aegolius_acadicus",7.4,170,"male",12.2,328,9.67347200368413,93.5877932353246,"Winter",920
1,-107.9125,40.0375,NA,1998,"Aegolius acadicus","Aegolius_acadicus",49,196,"undetermined",6.7,396,8.91413586287634,50.8811586428112,"Winter",921
10,-105.2205555556,39.7555555556,NA,1994,"Aegolius acadicus","Aegolius_acadicus",62.4,176,"undetermined",10.4,403,8.64317474640943,60.4061431184739,"Fall",922
3,-104.829678,39.377068,"adult",1999,"Aegolius acadicus","Aegolius_acadicus",93,205,"female",9.2,473,7.08378429936993,92.8659744554704,"Spring",923
11,-104.833067,40.417402,"adult",2012,"Aegolius acadicus","Aegolius_acadicus",66.8,197,"female",11.2,218,9.58769334284131,80.6220317666487,"Fall",924
1,-95.3714566,38.8678258,NA,1940,"Aegolius acadicus acadicus","Aegolius_acadicus",94,NA,"male",11.6,897,11.5443381111367,71.6349605604224,"Winter",925
7,-105.7356405,33.3980555,NA,1963,"Aegolius acadicus acadicus","Aegolius_acadicus",76.5,NA,"male",9.1,579,7.44824567508106,136.015857456489,"Summer",926
3,-116.3744545,33.7222404,NA,2007,"Aegolius acadicus acadicus","Aegolius_acadicus",58,NA,"female",22.3,35,7.84475794863852,157.634021862302,"Spring",927
10,-118.9841651,37.6310909,NA,1998,"Aegolius acadicus acadicus","Aegolius_acadicus",101,NA,"female",4.1,1126,6.90406116760712,136.468982962327,"Fall",928
12,-120.122303,48.363478,"AHY",2013,"Aegolius acadicus acadicus","Aegolius_acadicus",76.1,NA,"male",8.4,285,10.1109301793114,49.2052168156343,"Winter",929
12,-106.6511345,35.0844898,NA,2006,"Aegolius acadicus","Aegolius_acadicus",50.4,NA,"male",13.8,226,8.35098887267341,127.151226275779,"Winter",930
12,-108.1871796,36.7504387,"ad",2007,"Aegolius acadicus","Aegolius_acadicus",52.6,NA,"male",11.7,220,9.74640570889722,66.4223869789189,"Winter",931
6,-108.8846833333,36.10005,NA,2013,"Aegolius acadicus","Aegolius_acadicus",88.5,NA,"female",4.4,719,8.84677650590624,68.9737387233402,"Summer",932
8,-120.25699,39.32795,"unknown",1948,"Aegolius acadicus acadicus","Aegolius_acadicus",80.9,NA,"male",4.1,793,6.80592433550404,96.1136456191134,"Summer",933
3,-119.6859402,34.0195873,"u ad.",1950,"Aegolius acadicus acadicus","Aegolius_acadicus",78.2,NA,"male",13.9,274,2.36258717972865,98.4298061910462,"Spring",934
6,-118.099737,37.432159,"imm.",1954,"Aegolius acadicus acadicus","Aegolius_acadicus",93.6,NA,"female",6.2,289,6.69886353997995,93.1612499083614,"Summer",935
6,-118.099737,37.432159,"imm.",1954,"Aegolius acadicus acadicus","Aegolius_acadicus",81,NA,"male",6.2,289,6.69886353997995,93.1612499083614,"Summer",936
6,-115.45278,40.93833,"u ad.",1956,"Aegolius acadicus acadicus","Aegolius_acadicus",81.2,NA,"male",6.5,286,9.02533051522718,114.98373023295,"Summer",937
