"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
3,-117.816658,47.096469,NA,1950,"Agelaius phoeniceus","Agelaius_phoeniceus",78,NA,"male",8.9,466,9.62519972244575,70.9358206419537,"Spring",1230
12,-119.917691,47.39084,"Ad",1959,"Agelaius phoeniceus","Agelaius_phoeniceus",84.7,256,"male",8.9,201,8.07064921724881,76.8868959914011,"Winter",1231
12,-119.917691,47.39084,"Ad",1959,"Agelaius phoeniceus","Agelaius_phoeniceus",80.2,260,"male",8.9,201,8.07064921724881,76.8868959914011,"Winter",1232
4,-119.316756,46.792421,NA,1973,"Agelaius phoeniceus","Agelaius_phoeniceus",76.3,NA,"male",10.9,236,8.27300740451449,120.990473338584,"Spring",1233
5,-117.271242,46.689187,NA,1973,"Agelaius phoeniceus","Agelaius_phoeniceus",48.5,NA,"female",9.1,526,7.54144106476563,110.43571461404,"Spring",1234
5,-117.271242,46.689187,NA,1973,"Agelaius phoeniceus","Agelaius_phoeniceus",40.8,NA,"female",9.1,526,7.54144106476563,110.43571461404,"Spring",1235
3,-117.3751,46.6357,NA,1977,"Agelaius phoeniceus","Agelaius_phoeniceus",64.9,NA,"male",11.3,411,8.39831783300932,88.9618489559039,"Spring",1236
3,-117.3751,46.6357,NA,1977,"Agelaius phoeniceus","Agelaius_phoeniceus",74.2,NA,"male",11.3,411,8.39831783300932,88.9618489559039,"Spring",1237
5,-117.179457,46.728691,NA,1979,"Agelaius phoeniceus","Agelaius_phoeniceus",68.7,NA,"female",8.1,510,9.10976831691557,53.2921813139985,"Spring",1238
4,-117.179457,46.728691,NA,1989,"Agelaius phoeniceus","Agelaius_phoeniceus",77.5,NA,"male",8.3,525,7.87591264552877,65.4247716244774,"Spring",1239
4,-117.179457,46.728691,NA,1992,"Agelaius phoeniceus","Agelaius_phoeniceus",52.2,NA,"female",9.9,428,7.29924757434046,54.6314449832959,"Spring",1240
4,-117.179457,46.728691,NA,1992,"Agelaius phoeniceus","Agelaius_phoeniceus",44.9,NA,"female",9.9,428,7.29924757434046,54.6314449832959,"Spring",1241
4,-117.179457,46.728691,NA,1992,"Agelaius phoeniceus","Agelaius_phoeniceus",54.2,NA,"female",9.9,428,7.29924757434046,54.6314449832959,"Spring",1242
4,-117.179457,46.728691,NA,1992,"Agelaius phoeniceus","Agelaius_phoeniceus",44.5,NA,"female",9.9,428,7.29924757434046,54.6314449832959,"Spring",1243
4,-117.471942,46.877175,NA,1993,"Agelaius phoeniceus","Agelaius_phoeniceus",68.6,NA,"male",8.3,411,8.24659709433919,61.8502778520142,"Spring",1244
4,-117.471942,46.877175,NA,1993,"Agelaius phoeniceus","Agelaius_phoeniceus",75.7,NA,"male",8.3,411,8.24659709433919,61.8502778520142,"Spring",1245
4,-117.471942,46.877175,NA,1993,"Agelaius phoeniceus","Agelaius_phoeniceus",74.8,NA,"male",8.3,411,8.24659709433919,61.8502778520142,"Spring",1246
4,-117.471942,46.877175,NA,1993,"Agelaius phoeniceus","Agelaius_phoeniceus",68.6,NA,"male",8.3,411,8.24659709433919,61.8502778520142,"Spring",1247
