"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
10,-122.047815,38.707581,NA,1957,"Antrozous pallidus pacificus","Antrozous_pallidus",26.3,135,"female",15.9,474,6.69902751874999,90.2067817122471,"Fall",4174
6,-104.814582,38.048389,"adult",2001,"Antrozous pallidus","Antrozous_pallidus",13,107,"female",11.6,353,9.17986515382575,85.882980373627,"Summer",4175
6,-118.224059,36.8229426,NA,1967,"Antrozous pallidus pallidus Le Conte, 1856","Antrozous_pallidus",15,114,"female",14.5,132,8.54536911627189,137.235612046925,"Summer",4176
5,-118.401531,37.504659,NA,1974,"Antrozous pallidus pallidus Le Conte, 1856","Antrozous_pallidus",15,108,"male",13.3,104,8.64643471804034,94.8087738771482,"Spring",4177
5,-115.8358,33.1128,NA,1944,"Antrozous pallidus pallidus Le Conte, 1856","Antrozous_pallidus",50.75,114,"female",21,76,7.71081000343614,132.147679683648,"Spring",4178
5,-116.7144622,33.7461682,NA,1991,"Antrozous pallidus Le Conte, 1856","Antrozous_pallidus",9,106,"female",12.3,872,5.95383757069185,173.35529527431,"Spring",4179
6,-106.13641,26.699994,NA,1963,"Antrozous pallidus Le Conte, 1856","Antrozous_pallidus",21,NA,"female",17.2,439,4.82998839323532,129.896218253941,"Summer",4180
6,-106.3211111111,35.7788888889,"adult",1977,"Antrozous pallidus","Antrozous_pallidus",19.9,110,"male",10.3,430,8.68960978305805,87.8300949080782,"Summer",4181
7,-117.319356,33.232626,NA,1962,"Antrozous pallidus pacificus","Antrozous_pallidus",22.7,NA,"female",15.5,235,3.49774819337276,177.42157505053,"Summer",4182
7,-106.04669,36.30307,NA,1995,"Antrozous pallidus","Antrozous_pallidus",20,NA,"female",11.3,268,7.23053290294748,61.284970649695,"Summer",4183
7,-106.04669,36.30307,NA,1995,"Antrozous pallidus","Antrozous_pallidus",20.2,NA,"female",11.3,268,7.23053290294748,61.284970649695,"Summer",4184
7,-105.37053,32.83871,NA,1995,"Antrozous pallidus","Antrozous_pallidus",20.8,NA,"female",12.1,424,6.28882486493448,108.853015227829,"Summer",4185
7,-107.32012,36.98967,NA,1998,"Antrozous pallidus","Antrozous_pallidus",22.4,NA,"female",8.6,471,8.22724133595217,92.9539619209639,"Summer",4186
7,-107.32012,36.98967,NA,1998,"Antrozous pallidus","Antrozous_pallidus",22.7,NA,"male",8.6,471,8.22724133595217,92.9539619209639,"Summer",4187
6,-107.53637,33.1793,NA,2013,"Antrozous pallidus","Antrozous_pallidus",12.1,116,"male",14.5,287,8.21379106359321,148.040844582055,"Summer",4188
4,-107.46507,33.00742,NA,2013,"Antrozous pallidus","Antrozous_pallidus",14.6,110,"female",15.9,250,8.41987187694934,144.259160730074,"Spring",4189
3,-122.0923755,37.6473089,NA,2005,"Antrozous pallidus pacificus","Antrozous_pallidus",21.5,108,"male",15.2,609,3.0416677044415,122.099346723493,"Spring",4191
9,-116.195,35.8,NA,2011,"Antrozous pallidus pallidus","Antrozous_pallidus",14,100,"female",20.2,59,9.25094589758258,77.0888061213813,"Fall",4192
7,-103.2446518,29.3631592,NA,1998,"Antrozous pallidus","Antrozous_pallidus",6,94,"male",20.1,216,7.54025057858681,113.551086543131,"Summer",4193
7,-102.9201431,36.8769226,"subadult",1999,"Antrozous pallidus","Antrozous_pallidus",11,101,"male",12.9,585,7.81670220318859,88.9097604061996,"Summer",4194
7,-102.9201431,36.8769226,"subadult",1999,"Antrozous pallidus","Antrozous_pallidus",11,104,"male",12.9,585,7.81670220318859,88.9097604061996,"Summer",4195
7,-102.9201431,36.8769226,"subadult",1999,"Antrozous pallidus","Antrozous_pallidus",13,105,"male",12.9,585,7.81670220318859,88.9097604061996,"Summer",4196
7,-102.9201431,36.8769226,"adult",1999,"Antrozous pallidus","Antrozous_pallidus",14,97,"female",12.9,585,7.81670220318859,88.9097604061996,"Summer",4197
7,-102.9201431,36.8769226,"adult",1999,"Antrozous pallidus","Antrozous_pallidus",13,105,"male",12.9,585,7.81670220318859,88.9097604061996,"Summer",4198
7,-102.9201431,36.8769226,"adult",1999,"Antrozous pallidus","Antrozous_pallidus",13,93,"female",12.9,585,7.81670220318859,88.9097604061996,"Summer",4199
8,-119.9606552,47.0212963,"unknown",1981,"Antrozous pallidus","Antrozous_pallidus",16.3,110,"female",10.5,216,7.83411343633301,70.4423996569581,"Summer",4200
6,-115.90111,35.78417,NA,1968,"Antrozous pallidus pallidus Le Conte, 1856","Antrozous_pallidus",17,96,"male",14.3,116,7.72223766439848,106.920846262676,"Summer",4201
6,-106.13641,26.699994,NA,1963,"Antrozous pallidus Le Conte, 1856","Antrozous_pallidus",19,NA,"female",17.2,439,4.82998839323532,129.896218253941,"Summer",4202
6,-106.13641,26.699994,NA,1963,"Antrozous pallidus Le Conte, 1856","Antrozous_pallidus",17,NA,"female",17.2,439,4.82998839323532,129.896218253941,"Summer",4203
5,-118.401531,37.504659,NA,1974,"Antrozous pallidus pallidus Le Conte, 1856","Antrozous_pallidus",18,121,"female",13.3,104,8.64643471804034,94.8087738771482,"Spring",4204
5,-121.8174,37.297,NA,1942,"Antrozous pallidus pacificus Merriam, 1897","Antrozous_pallidus",55,121,"male",14.1,424,3.85529938310027,89.4132282458323,"Spring",4205
5,-109.1878,31.9781,NA,1982,"Antrozous pallidus pallidus Le Conte, 1856","Antrozous_pallidus",25,110,"female",14.4,454,6.81193248956742,78.4725722759157,"Spring",4206
9,-98.9639,37.084,NA,1956,"Antrozous pallidus bunkeri Hibbard, 1934","Antrozous_pallidus",55,116,"male",15.7,305,10.7984005549644,127.847757058452,"Fall",4207
9,-98.9639,37.084,NA,1956,"Antrozous pallidus bunkeri Hibbard, 1934","Antrozous_pallidus",54,108,"female",15.7,305,10.7984005549644,127.847757058452,"Fall",4208
6,-115.90111,35.78417,NA,1968,"Antrozous pallidus pallidus Le Conte, 1856","Antrozous_pallidus",19,103,"male",14.3,116,7.72223766439848,106.920846262676,"Summer",4209
