"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
3,-122.3566994,40.4192342,NA,1962,"Baeolophus inornatus","Baeolophus_inornatus",16.9,NA,"male",16.5,846,7.15319381941953,104.297635679252,"Spring",6738
3,-122.3566994,40.4192342,NA,1962,"Baeolophus inornatus","Baeolophus_inornatus",17.4,NA,"male",16.5,846,7.15319381941953,104.297635679252,"Spring",6739
7,-116.8375776,33.0178638,"immature",1968,"Baeolophus inornatus","Baeolophus_inornatus",16.5,NA,"undetermined",16.3,206,4.78355769719821,98.840099403706,"Summer",6740
8,-118.3337402,33.9296876,"juvenile",1982,"Baeolophus inornatus transpositus","Baeolophus_inornatus",12.9,NA,"female",17.1,316,3.11140375607753,109.407996440934,"Summer",6741
10,-122.6160965,38.7523041,NA,1989,"Baeolophus inornatus inornatus","Baeolophus_inornatus",15.5,NA,"female",14.5,612,6.51136535512167,149.544062583856,"Fall",6742
10,-122.6160965,38.7523041,NA,1989,"Baeolophus inornatus inornatus","Baeolophus_inornatus",16.2,NA,"male",14.5,612,6.51136535512167,149.544062583856,"Fall",6743
3,-118.703766,35.728848,NA,2001,"Baeolophus inornatus inornatus","Baeolophus_inornatus",15,NA,"female",13.4,598,6.7365297693496,109.221184608418,"Spring",6744
10,-118.1164627,34.5005493,NA,1989,"Baeolophus inornatus transpositus","Baeolophus_inornatus",18,NA,"male",15.5,96,6.68446298924195,123.347908871682,"Fall",6745
11,-117.9175034,34.2999992,NA,1988,"Baeolophus inornatus transpositus","Baeolophus_inornatus",15.3,NA,"female",13.3,832,6.10042224072658,124.792895941049,"Fall",6746
4,-122.6160965,38.7523041,NA,1990,"Baeolophus inornatus inornatus","Baeolophus_inornatus",17.2,NA,"male",14.8,485,6.84308985677368,136.518873548435,"Spring",6747
6,-122.6160965,38.7523041,NA,1990,"Baeolophus inornatus inornatus","Baeolophus_inornatus",16,NA,"male",14.8,485,6.84308985677368,136.518873548435,"Summer",6748
1,-117.9175034,34.2999992,NA,1990,"Baeolophus inornatus transpositus","Baeolophus_inornatus",16,NA,"female",13.4,496,6.82182327001167,136.249110156234,"Winter",6749
1,-117.9175034,34.2999992,NA,1990,"Baeolophus inornatus transpositus","Baeolophus_inornatus",16,NA,"male",13.4,496,6.82182327001167,136.249110156234,"Winter",6750
10,-122.6160965,38.7523041,NA,1990,"Baeolophus inornatus inornatus","Baeolophus_inornatus",16.5,NA,"female",14.8,485,6.84308985677368,136.518873548435,"Fall",6751
4,-120.4326515,35.8996868,NA,2003,"Baeolophus inornatus inornatus","Baeolophus_inornatus",15.3,NA,"male",15.4,295,5.95648360777539,107.125448008383,"Spring",6752
4,-122.6160965,38.7523041,NA,1990,"Baeolophus inornatus inornatus","Baeolophus_inornatus",16.3,NA,"male",14.8,485,6.84308985677368,136.518873548435,"Spring",6753
2,-116.50394,32.71775,NA,2010,"Baeolophus inornatus","Baeolophus_inornatus",17.3,NA,NA,13.4,756,4.6834573476517,130.151724457428,"Winter",6754
7,-109.716873,23.387557,"ad.",1929,"Baeolophus inornatus cineraceus","Baeolophus_inornatus",16,NA,"male",22.2,342,4.69806536585201,128.498769417651,"Summer",6755
3,-122.2715302,37.8697904,"unknown",1949,"Baeolophus inornatus inornatus","Baeolophus_inornatus",16.2,NA,"male",13.1,361,4.06301686688673,130.770830466928,"Spring",6756
9,-119.8792403,35.3983222,"ad.",1947,"Baeolophus inornatus inornatus","Baeolophus_inornatus",14.4,NA,"female",14.6,101,6.77540113986328,104.927362943041,"Fall",6757
8,-116.39528,34.05639,"ad.",1950,"Baeolophus inornatus mohavensis","Baeolophus_inornatus",14.5,NA,"male",14.3,82,5.90174601796842,107.145599754757,"Summer",6758
9,-116.39528,34.05639,"iimm.",1950,"Baeolophus inornatus mohavensis","Baeolophus_inornatus",14.7,NA,"male",14.3,82,5.90174601796842,107.145599754757,"Fall",6759
9,-116.39528,34.05639,"ad.",1950,"Baeolophus inornatus mohavensis","Baeolophus_inornatus",13.8,NA,"female",14.3,82,5.90174601796842,107.145599754757,"Fall",6760
9,-116.39528,34.05639,"ad.",1950,"Baeolophus inornatus mohavensis","Baeolophus_inornatus",14.5,NA,"female",14.3,82,5.90174601796842,107.145599754757,"Fall",6761
9,-116.39528,34.05639,"ad.",1950,"Baeolophus inornatus mohavensis","Baeolophus_inornatus",14.7,NA,"female",14.3,82,5.90174601796842,107.145599754757,"Fall",6762
9,-116.2346518,33.9625431,"ad.",1950,"Baeolophus inornatus mohavensis","Baeolophus_inornatus",16.8,NA,"male",14.4,82,5.88054702670877,100.197198889473,"Fall",6763
9,-116.2346518,33.9625431,"unknown",1950,"Baeolophus inornatus mohavensis","Baeolophus_inornatus",16.5,NA,"male",14.4,82,5.88054702670877,100.197198889473,"Fall",6764
4,-116.39528,34.05639,"unknown",1951,"Baeolophus inornatus mohavensis","Baeolophus_inornatus",16.1,NA,"male",13.5,262,6.85459368201023,111.300080223101,"Spring",6765
11,-122.4085555,41.8948941,"ad.",1951,"Baeolophus inornatus inornatus","Baeolophus_inornatus",16.3,NA,"female",10.9,498,7.77115879974853,100.243175474802,"Fall",6766
