"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-105.31944,22.63639,NA,1963,"Baiomys taylori Thomas, 1887","Baiomys_taylori",9,110,"female",25.3,1705,2.5117903792098,139.787643880596,"Spring",7932
4,-105.1688682,21.53944,NA,1960,"Baiomys taylori Thomas, 1887","Baiomys_taylori",8,108,"male",23.7,1013,2.74506444148016,128.695819917414,"Spring",7933
5,-105.31944,22.63639,NA,1963,"Baiomys taylori Thomas, 1887","Baiomys_taylori",10,107,"male",25.3,1705,2.5117903792098,139.787643880596,"Spring",7934
5,-105.31944,22.63639,NA,1963,"Baiomys taylori Thomas, 1887","Baiomys_taylori",12,100,"female",25.3,1705,2.5117903792098,139.787643880596,"Spring",7935
10,-107.9193,32.5813,NA,2009,"Baiomys taylori","Baiomys_taylori",8.5,107,"male",15.7,250,7.56024290134072,89.9758109224659,"Fall",7936
10,-107.9193,32.5813,NA,2009,"Baiomys taylori","Baiomys_taylori",7.4,108,"undetermined",15.7,250,7.56024290134072,89.9758109224659,"Fall",7937
3,-110.34734,31.5528,NA,1997,"Baiomys taylori","Baiomys_taylori",8.5,105,"female",16.8,456,7.10247502742189,99.3050645479642,"Spring",7938
3,-110.34734,31.5528,NA,1997,"Baiomys taylori","Baiomys_taylori",6,92,"female",16.8,456,7.10247502742189,99.3050645479642,"Spring",7939
7,-98.5681,21.1714993,NA,1972,"Baiomys taylori analogus","Baiomys_taylori",10,113,"female",24.4,1970,3.08569524605317,75.1940980884327,"Summer",7940
7,-98.5681,21.1714993,NA,1972,"Baiomys taylori analogus","Baiomys_taylori",7,104,"female",24.4,1970,3.08569524605317,75.1940980884327,"Summer",7941
3,-100.5812759,34.196228,NA,1997,"Baiomys taylori taylori","Baiomys_taylori",7,108,"male",16,672,8.91233397992338,63.5197636471334,"Spring",7942
8,-97.5820007,26.2350006,NA,1997,"Baiomys taylori","Baiomys_taylori",6,96,"male",22.4,779,5.6920132775245,91.6938152402018,"Summer",7943
8,-97.5820007,26.2350006,NA,1997,"Baiomys taylori","Baiomys_taylori",9,110,"female",22.4,779,5.6920132775245,91.6938152402018,"Summer",7944
6,-96.4886111,19.3452778,"unknown",1964,"Baiomys taylori","Baiomys_taylori",10,112,"male",25.4,861,2.58544879170821,107.715569802749,"Summer",7945
4,-105.1688682,21.53944,NA,1960,"Baiomys taylori Thomas, 1887","Baiomys_taylori",9,103,"female",23.7,1013,2.74506444148016,128.695819917414,"Spring",7947
5,-105.31944,22.63639,NA,1963,"Baiomys taylori Thomas, 1887","Baiomys_taylori",7,108,"male",25.3,1705,2.5117903792098,139.787643880596,"Spring",7948
5,-105.31944,22.63639,NA,1963,"Baiomys taylori Thomas, 1887","Baiomys_taylori",11,116,"female",25.3,1705,2.5117903792098,139.787643880596,"Spring",7949
10,-108.76806,31.58858,NA,2007,"Baiomys taylori","Baiomys_taylori",8,96,"male",13.6,512,7.29219175598534,89.6177369632211,"Fall",7950
3,-110.34734,31.5528,NA,1997,"Baiomys taylori","Baiomys_taylori",7.5,104,"male",16.8,456,7.10247502742189,99.3050645479642,"Spring",7951
7,-98.5681,21.1714993,NA,1972,"Baiomys taylori analogus","Baiomys_taylori",9.9,107,"female",24.4,1970,3.08569524605317,75.1940980884327,"Summer",7952
3,-100.5812759,34.196228,NA,1997,"Baiomys taylori taylori","Baiomys_taylori",7,105,"male",16,672,8.91233397992338,63.5197636471334,"Spring",7953
3,-100.5812759,34.196228,NA,1997,"Baiomys taylori taylori","Baiomys_taylori",9,119,"female",16,672,8.91233397992338,63.5197636471334,"Spring",7954
5,-100.5812759,34.196228,NA,1997,"Baiomys taylori taylori","Baiomys_taylori",7,105,"male",16,672,8.91233397992338,63.5197636471334,"Spring",7955
4,-99.5550003,29.8030796,NA,1999,"Baiomys taylori","Baiomys_taylori",6,92,"male",19.2,626,6.20966987850401,84.1024419966026,"Spring",7956
7,-101.2289344,19.454295,"unknown",1964,"Baiomys taylori","Baiomys_taylori",8.8,117,"female",16,1221,1.96877134428064,105.803713979084,"Summer",7957
7,-104.3610366,24.3322934,"unknown",1964,"Baiomys taylori","Baiomys_taylori",9.3,125,"male",17.6,549,4.44968504162901,134.864128704324,"Summer",7958
7,-107.76726,25.129751,"unknown",1964,"Baiomys taylori","Baiomys_taylori",7.5,116,"female",24.1,536,4.7734350124603,112.216632433293,"Summer",7959
5,-103.3046167,25.9062667,NA,1997,"Baiomys taylori","Baiomys_taylori",6,91,"male",21.1,293,5.9316498292608,86.4938847835436,"Spring",7961
5,-104.98035,27.4707,NA,1997,"Baiomys taylori","Baiomys_taylori",6,106,"male",18.8,287,6.43823804242349,89.7553991202017,"Spring",7962
7,-101.5461111,22.6402778,NA,2004,"Baiomys taylori","Baiomys_taylori",7,99,"female",16.7,573,2.92309248861026,105.199626534708,"Summer",7963
7,-101.5461111,22.6402778,NA,2004,"Baiomys taylori","Baiomys_taylori",8,113,"male",16.7,573,2.92309248861026,105.199626534708,"Summer",7964
7,-101.5461111,22.6402778,NA,2004,"Baiomys taylori","Baiomys_taylori",8,110,"female",16.7,573,2.92309248861026,105.199626534708,"Summer",7965
7,-101.5461111,22.6402778,NA,2004,"Baiomys taylori","Baiomys_taylori",9,117,"female",16.7,573,2.92309248861026,105.199626534708,"Summer",7966
1,-104.3230556,22.3583333,NA,2005,"Baiomys taylori","Baiomys_taylori",5,100,"female",17.7,558,2.90531122830814,134.609427568735,"Winter",7967
1,-104.3230556,22.3583333,NA,2005,"Baiomys taylori","Baiomys_taylori",7,107,"male",17.7,558,2.90531122830814,134.609427568735,"Winter",7968
3,-95.4476833,28.9477667,"subadult",2002,"Baiomys taylori","Baiomys_taylori",5.9,103,"male",21.3,1737,6.35965026673256,75.7321261363333,"Spring",7969
3,-95.44245,28.9494333,"adult",2002,"Baiomys taylori","Baiomys_taylori",6.2,101,"female",21.3,1741,6.35965026673256,75.8825283452582,"Spring",7970
