"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
9,-117.073491,46.614286,NA,2000,"Buteo jamaicensis","Buteo_jamaicensis",860.2,NA,"male",7.8,611,7.69999508067533,52.03220464104,"Fall",10765
3,-119.696304,46.81306,NA,2000,"Buteo jamaicensis","Buteo_jamaicensis",1462.6,NA,"female",8.9,225,8.60321909449473,62.243574979773,"Spring",10766
5,-117.298708,46.649819,"Nestling",1959,"Buteo jamaicensis","Buteo_jamaicensis",544,318,"female",8.4,568,7.30833376524652,53.2199085105835,"Spring",10767
4,-117.179457,46.728691,"Ad",1970,"Buteo jamaicensis","Buteo_jamaicensis",912,538,"male",8.4,568,7.77032037871533,80.7771623407065,"Spring",10768
10,-117.22295,46.792482,NA,1976,"Buteo jamaicensis","Buteo_jamaicensis",918.7,NA,"male",8,408,7.09344554479484,53.640876255984,"Fall",10769
6,-117.4485,46.6827,NA,1977,"Buteo jamaicensis","Buteo_jamaicensis",883,NA,"male",11.7,392,8.50249517744199,94.3382259861196,"Summer",10770
7,-117.136436,46.431893,NA,1978,"Buteo jamaicensis","Buteo_jamaicensis",587.6,NA,"male",11,368,8.15993538298836,51.4063522339018,"Summer",10771
4,-117.181851,46.659212,NA,1974,"Buteo jamaicensis","Buteo_jamaicensis",890,NA,NA,8.7,501,7.72673438409942,75.3777396607489,"Spring",10772
6,-117.363403,46.88372,NA,1990,"Buteo jamaicensis","Buteo_jamaicensis",843,NA,NA,9.4,516,8.26403306045193,56.0337462325107,"Summer",10773
7,-119.68015,46.267897,"Immature",1987,"Buteo jamaicensis","Buteo_jamaicensis",703.5,NA,"male",11.5,150,8.16142070222997,115.768496119316,"Summer",10774
11,-76.5095,42.4381,NA,1948,"Buteo jamaicensis borealis","Buteo_jamaicensis",750.200012207031,NA,"male",9.3,887,10.1178510114999,37.9049236006954,"Fall",10775
3,-88.110209,39.967581,"AD",1904,"Buteo jamaicensis","Buteo_jamaicensis",5135,337,NA,9.7,838,10.8070123138412,69.493237212651,"Spring",10776
8,-102.010078,43.793564,NA,2010,"Buteo jamaicensis krideri","Buteo_jamaicensis",844,NA,"male",9.1,528,11.2424621211483,83.3837173926056,"Summer",10777
2,-77.547619,43.142894,NA,2010,"Buteo jamaicensis","Buteo_jamaicensis",620,465,"undetermined",9.9,938,9.91018759569253,41.5255024718112,"Winter",10778
12,-74.117086,40.394275,NA,2005,"Buteo jamaicensis","Buteo_jamaicensis",1480,510,"undetermined",12.4,1141,10.0756682611671,47.7835423318168,"Winter",10780
10,-76.5095,42.4381,NA,1930,"Buteo jamaicensis borealis","Buteo_jamaicensis",1340,600,"female",9.3,679,9.63514715020277,52.3967123390127,"Fall",10781
11,-76.5095,42.4381,NA,1931,"Buteo jamaicensis borealis","Buteo_jamaicensis",1420,580,"female",10.6,734,9.79039031010728,45.7361463765925,"Fall",10782
7,-102.803856,40.002467,"juvenile",2011,"Buteo jamaicensis","Buteo_jamaicensis",721.9,572,"female",10,449,10.2139387825924,82.4261368187752,"Summer",10783
