"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
7,-111.7282,35.2156,NA,2003,"Callospermophilus lateralis","Callospermophilus_lateralis",74.4,210,"female",8.6,564,7.85128343108001,91.0419821926039,"Summer",12100
7,-106.3945,39.1602,NA,2007,"Callospermophilus lateralis lateralis","Callospermophilus_lateralis",180,260,"female",1.8,449,8.87789218773069,61.4800558581532,"Summer",12101
7,-106.3945,39.1602,NA,2007,"Callospermophilus lateralis lateralis","Callospermophilus_lateralis",167,255,"male",1.8,449,8.87789218773069,61.4800558581532,"Summer",12102
7,-108.7349,40.8295,NA,2007,"Callospermophilus lateralis lateralis","Callospermophilus_lateralis",260.7,286,"female",7.4,227,10.3083667107076,57.797381247736,"Summer",12103
4,-105.5142,40.0205,NA,2008,"Callospermophilus lateralis lateralis","Callospermophilus_lateralis",151.2,275,"male",3.5,560,8.02693854618574,52.197653500167,"Spring",12104
7,-106.1548,39.0995,NA,2008,"Callospermophilus lateralis","Callospermophilus_lateralis",190.7,264,"male",0.4,748,8.23521632252534,47.8520671901861,"Summer",12105
7,-106.1548,39.0995,NA,2008,"Callospermophilus lateralis","Callospermophilus_lateralis",167.1,254,"male",0.4,748,8.23521632252534,47.8520671901861,"Summer",12106
5,-105.0244,38.0196,NA,2009,"Callospermophilus lateralis","Callospermophilus_lateralis",178,298,"female",6.3,651,7.53639150852031,49.9333194368536,"Spring",12107
7,-105.7391,39.5368,NA,2009,"Callospermophilus lateralis","Callospermophilus_lateralis",179,242,"male",1.4,537,7.726028420315,52.6699265969774,"Summer",12108
7,-105.6413,40.8005,NA,2009,"Callospermophilus lateralis","Callospermophilus_lateralis",196.4,253,"male",2.5,588,7.80517990396976,72.1106837838127,"Summer",12109
7,-105.6413,40.8005,NA,2009,"Callospermophilus lateralis","Callospermophilus_lateralis",172.2,263,"female",2.5,588,7.80517990396976,72.1106837838127,"Summer",12110
7,-105.6413,40.8005,NA,2009,"Callospermophilus lateralis","Callospermophilus_lateralis",162.8,255,"female",2.5,588,7.80517990396976,72.1106837838127,"Summer",12111
7,-105.6413,40.8005,NA,2009,"Callospermophilus lateralis","Callospermophilus_lateralis",154.2,253,"male",2.5,588,7.80517990396976,72.1106837838127,"Summer",12112
