"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
9,-117.246348,32.699534,NA,1968,"Calypte anna","Calypte_anna",4.8,NA,"male",16.6,111,2.98689054896813,130.3010699272,"Fall",12877
4,-122.4096679,38.3897061,NA,1963,"Calypte anna","Calypte_anna",4.2,NA,"male",14.3,1007,5.86435043807974,101.450097766956,"Spring",12878
7,-116.578978,32.855484,"immature",1968,"Calypte anna","Calypte_anna",3.2,NA,"undetermined",13.5,292,5.68796576514438,101.64044530838,"Summer",12879
12,-110.926445,32.2217751,"adult",1998,"Calypte anna","Calypte_anna",4.2,NA,"male",19.6,331,7.74038504249373,106.351274269248,"Winter",12880
5,-118.7354278,34.0347371,NA,2001,"Calypte anna","Calypte_anna",3.2,NA,"male",15,448,2.71069710367625,135.796772812589,"Spring",12881
4,-118.4980164,34.1673737,NA,1994,"Calypte anna","Calypte_anna",3.2,NA,"male",17.9,235,4.78070617327101,137.33182869299,"Spring",12882
1,-118.099064,34.093276,NA,1996,"Calypte anna","Calypte_anna",4.3,NA,"male",19.1,499,4.09030635290391,121.766672796477,"Winter",12883
2,-118.1549,33.9651,NA,1984,"Calypte anna","Calypte_anna",4.5,NA,"female",19.3,238,4.58088915545284,205.210553422238,"Winter",12884
11,-118.6095314,34.4436073,NA,1994,"Calypte anna","Calypte_anna",2.7,NA,"male",17.4,294,5.34574313795282,125.330052042937,"Fall",12885
1,-118.301651,34.0320587,NA,1987,"Calypte anna","Calypte_anna",4,NA,"male",17.8,236,3.52660880974481,101.979647524032,"Winter",12886
12,-118.3921432,33.8901787,NA,1999,"Calypte anna","Calypte_anna",3.2,NA,"male",15.1,145,2.55763858891657,132.388320433902,"Winter",12887
2,-118.2,34.133333,"adult",1985,"Calypte anna","Calypte_anna",4,NA,"male",18.3,219,4.55258834137907,134.933003927468,"Winter",12888
2,-118.301651,34.0320587,NA,1988,"Calypte anna","Calypte_anna",3.5,NA,"undetermined",17.8,252,3.08038761826947,125.772797245824,"Winter",12889
2,-118.6137199,36.1454992,"adult",2002,"Calypte anna","Calypte_anna",4.7,NA,"male",11.7,589,6.42694965113169,144.620536621431,"Winter",12890
1,-118.466667,33.75,NA,1986,"Calypte anna","Calypte_anna",3,NA,"undetermined",17.7,333,1.88358137277867,131.980276304119,"Winter",12891
4,-122.6160965,38.7523041,NA,1990,"Calypte anna","Calypte_anna",4.5,NA,"male",14.8,485,6.84308985677368,136.518873548435,"Spring",12892
6,-118.3337402,33.9296876,"juvenile",1981,"Calypte anna","Calypte_anna",2.2,NA,"male",18.3,249,2.98216923284601,125.516822487158,"Summer",12893
4,-118.4980164,34.1673737,NA,1994,"Calypte anna","Calypte_anna",3.2,NA,"male",17.9,235,4.78070617327101,137.33182869299,"Spring",12894
3,-118.7271881,34.0828058,"ADULT",1986,"Calypte anna","Calypte_anna",18.9,NA,"male",18.7,516,3.18408685354359,134.982103072444,"Spring",12895
