"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
11,-110.9748459,31.8522835,NA,1952,"Campylorhynchus brunneicapillus","Campylorhynchus_brunneicapillus",40,NA,"female",18.9,312,8.212056915772,87.9202044205253,"Fall",13457
3,-114.633228,32.738077,"immature",1964,"Campylorhynchus brunneicapillus","Campylorhynchus_brunneicapillus",69,NA,"male",21.3,55,8.098835494294,158.981042711509,"Spring",13458
1,-111.1055312,32.3561848,NA,1969,"Campylorhynchus brunneicapillus","Campylorhynchus_brunneicapillus",40.5,NA,"male",20.4,200,7.88992453011492,77.8249784627485,"Winter",13459
12,-111.0884337,32.3997219,NA,1969,"Campylorhynchus brunneicapillus","Campylorhynchus_brunneicapillus",39.9,NA,"male",20.3,209,7.74144200019765,75.1995042643259,"Winter",13460
12,-111.0884337,32.3997219,NA,1968,"Campylorhynchus brunneicapillus","Campylorhynchus_brunneicapillus",36,NA,"male",20.1,282,7.28241447639865,93.0333762879368,"Winter",13461
1,-111.0975965,32.2300761,"adult",1971,"Campylorhynchus brunneicapillus","Campylorhynchus_brunneicapillus",45.4,NA,"male",18.5,382,7.28314783759347,145.305316332688,"Winter",13462
9,-110.926445,32.2217751,"adult",1970,"Campylorhynchus brunneicapillus","Campylorhynchus_brunneicapillus",44.4,NA,"male",19.2,297,7.54204377091676,114.099555941693,"Fall",13463
9,-111.002236,32.242695,NA,1970,"Campylorhynchus brunneicapillus","Campylorhynchus_brunneicapillus",39,NA,"female",19.4,287,7.64470504019057,115.039004785733,"Fall",13464
7,-118.3758545,33.7719269,"juvenile",1996,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",34.7,NA,"female",16.4,470,2.24290125966483,113.304291974185,"Summer",13465
9,-115.3313698,33.3375316,NA,1989,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",40.5,NA,"male",22.5,64,7.82541992289851,224.051029090169,"Fall",13466
1,-115.0719185,32.9975414,NA,1994,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",44,NA,"undetermined",23,86,8.53734665331026,121.977012281989,"Winter",13467
10,-108.9914,32.2163833333,"ad",2007,"Campylorhynchus brunneicapillus","Campylorhynchus_brunneicapillus",36.8,NA,"female",16.6,251,7.86804045528876,100.231834362073,"Fall",13468
3,-107.5912166667,32.0894333333,NA,2013,"Campylorhynchus brunneicapillus","Campylorhynchus_brunneicapillus",40.5,4,"female",16.3,292,8.37153818095286,139.122699976439,"Spring",13469
10,-110.44056,27.77333,"u ad.",1946,"Campylorhynchus brunneicapillus brunneicapillus","Campylorhynchus_brunneicapillus",38.2,NA,"male",25.6,348,5.47796550378022,160.443391690303,"Fall",13470
11,-110.44056,27.77333,"u ad.",1946,"Campylorhynchus brunneicapillus brunneicapillus","Campylorhynchus_brunneicapillus",35.9,NA,"female",25.6,348,5.47796550378022,160.443391690303,"Fall",13471
11,-110.44056,27.77333,"u ad.",1946,"Campylorhynchus brunneicapillus brunneicapillus","Campylorhynchus_brunneicapillus",34.6,NA,"female",25.6,348,5.47796550378022,160.443391690303,"Fall",13472
9,-108.083333,30.6,"u ad.",1948,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",36.5,NA,"female",16.9,273,7.46488750448026,117.153040309365,"Fall",13473
9,-116.2385578,34.0696063,"ad.",1950,"Campylorhynchus brunneicapillus couesi","Campylorhynchus_brunneicapillus",44.7,NA,"male",15.4,74,6.47533197932154,105.961489107048,"Fall",13474
9,-101.7892777688,21.2117777688,"juv.",1952,"Campylorhynchus brunneicapillus guttatus","Campylorhynchus_brunneicapillus",41.2,NA,"male",17.9,803,2.34423858543761,120.829453125568,"Fall",13475
7,-101.3889377803,20.7142177803,"ad.",1952,"Campylorhynchus brunneicapillus guttatus","Campylorhynchus_brunneicapillus",32.4,NA,"female",19.7,660,1.95872175387187,116.556916136356,"Summer",13476
