"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
2,-91.178769,18.970999,NA,1965,"Cardinalis cardinalis","Cardinalis_cardinalis",38.2000007629395,NA,"male",26.2,1391,1.76506502584311,89.5210462392389,"Winter",13775
2,-76.45219,42.477118,NA,1993,"Cardinalis cardinalis","Cardinalis_cardinalis",57.5,201,"male",7.6,962,10.3691084038556,45.6896078405754,"Winter",13776
3,-92.864278,32.119241,NA,1990,"Cardinalis cardinalis","Cardinalis_cardinalis",43,215,"male",19.2,1684,6.81395070736678,57.0686410089929,"Spring",13777
10,-76.45219,42.477118,NA,1990,"Cardinalis cardinalis","Cardinalis_cardinalis",43,198,"male",9.5,1120,8.15614195040471,41.4266121345918,"Fall",13778
3,-87.272352,34.296585,NA,1991,"Cardinalis cardinalis","Cardinalis_cardinalis",39.5,NA,NA,16.6,1818,7.88744207105462,55.9291182170424,"Spring",13779
3,-92.49599,35.71037,NA,1990,"Cardinalis cardinalis","Cardinalis_cardinalis",40.9000015258789,NA,"female",14.7,1779,7.83768576697345,51.6546674416341,"Spring",13780
3,-76.4646,42.5052,NA,1995,"Cardinalis cardinalis","Cardinalis_cardinalis",35.2999992370605,210,"female",8.1,814,10.5479855896754,54.6039323379105,"Spring",13781
3,-76.496727,42.440786,NA,2009,"Cardinalis cardinalis","Cardinalis_cardinalis",43.6,NA,"female",8.8,861,9.39869026981307,47.2678451931907,"Spring",13782
4,-76.376845,42.437105,"ad.",1995,"Cardinalis cardinalis","Cardinalis_cardinalis",38.9000015258789,NA,"male",7.9,844,10.5943774396296,54.6957628718303,"Spring",13783
3,-76.380699,42.434881,"ad.",1995,"Cardinalis cardinalis","Cardinalis_cardinalis",41.7000007629395,215,"male",7.9,843,10.5855068157106,54.591276790979,"Spring",13784
1,-76.439543,42.399675,"ad.",1994,"Cardinalis cardinalis","Cardinalis_cardinalis",29.8999996185303,192,"male",7.8,1078,10.7401082044095,51.9199741000523,"Winter",13785
4,-76.456245,42.448516,NA,2003,"Cardinalis cardinalis","Cardinalis_cardinalis",45.5,202,NA,7.5,1103,10.170754270173,34.144611743461,"Spring",13786
6,-76.400551,42.438907,NA,2008,"Cardinalis cardinalis","Cardinalis_cardinalis",44.3,NA,"male",8.3,1066,9.47953137826523,38.0525397907195,"Summer",13787
10,-76.451,42.4799,NA,2008,"Cardinalis cardinalis","Cardinalis_cardinalis",41.7,190,"female",8.3,1060,9.4695164831285,38.0685165012606,"Fall",13788
