"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-100.148427,40.899611,NA,1956,"Colinus virginianus","Colinus_virginianus",185,NA,"male",10.6,370,10.7835733662573,82.4346081313575,"Summer",24116
6,-100.148427,40.899611,NA,1956,"Colinus virginianus","Colinus_virginianus",178,NA,"male",10.6,370,10.7835733662573,82.4346081313575,"Summer",24117
6,-100.148427,40.899611,NA,1956,"Colinus virginianus","Colinus_virginianus",229,NA,"female",10.6,370,10.7835733662573,82.4346081313575,"Summer",24118
2,-97.916944,27.518646,NA,2009,"Colinus virginianus","Colinus_virginianus",167.7,210,"female",23.4,506,6.18845454834805,104.25015168854,"Winter",24119
10,-105.127025,39.605626,NA,2011,"Colinus virginianus","Colinus_virginianus",181.9,230,"male",10.1,474,9.07684366446238,53.5528364936794,"Fall",24120
10,-105.127025,39.605626,NA,2011,"Colinus virginianus","Colinus_virginianus",165.5,225,"female",10.1,474,9.07684366446238,53.5528364936794,"Fall",24121
1,-80.53806,37.35528,NA,1940,"Colinus virginianus","Colinus_virginianus",117,223,"female",7.8,1244,8.70557118728976,54.8090165243405,"Winter",24122
11,-99.720028,39.902468,NA,1967,"Colinus virginianus","Colinus_virginianus",170,224,"female",10.8,632,9.27526851690052,119.087816450969,"Fall",24123
6,-99.272026,37.1923409,"chick",1956,"Colinus virginianus","Colinus_virginianus",13,NA,"female",15.5,262,10.8590243157896,129.145826229463,"Summer",24124
6,-101.78469,37.1593736,NA,1956,"Colinus virginianus taylori","Colinus_virginianus",181.4,NA,"male",14.4,291,10.3023791015238,114.067878559899,"Summer",24125
10,-95.30079,39.01715,"chick",1956,"Colinus virginianus virginianus","Colinus_virginianus",27.5,NA,"female",13.4,597,10.7557454695647,65.287283922779,"Fall",24126
3,-89.4664764,34.6567993,NA,1959,"Colinus virginianus virginianus","Colinus_virginianus",154.6,NA,"male",16.2,1223,8.28364580838582,25.0039841891558,"Spring",24127
3,-95.3123793,38.913954,NA,1960,"Colinus virginianus virginianus","Colinus_virginianus",132,NA,"male",11.8,860,11.1197612793212,52.3054369878821,"Spring",24128
3,-95.3123793,38.913954,"immature",1960,"Colinus virginianus virginianus","Colinus_virginianus",143,NA,"male",11.8,860,11.1197612793212,52.3054369878821,"Spring",24129
7,-101.8623587,37.1059226,NA,1963,"Colinus virginianus taylori","Colinus_virginianus",136.5,NA,"male",14.5,255,10.7726505559217,101.663825416613,"Summer",24130
8,-100.1589127,39.1377678,NA,1966,"Colinus virginianus virginianus","Colinus_virginianus",196,NA,"male",11.3,376,10.8702645558952,91.8270750397748,"Summer",24131
8,-100.1574477,39.1380273,NA,1966,"Colinus virginianus virginianus","Colinus_virginianus",173,NA,"male",11.3,376,10.8801180920507,91.8270750397748,"Summer",24132
7,-82.3023148,28.1075675,NA,1966,"Colinus virginianus","Colinus_virginianus",140.7,NA,"male",21.5,1269,5.03336594410467,68.8118373613655,"Summer",24133
3,-82.4564133,27.9773979,NA,1966,"Colinus virginianus","Colinus_virginianus",155.1,NA,"male",21.7,1192,5.11470695863676,72.0540723867603,"Spring",24134
5,-80.3972702,27.6386108,NA,1966,"Colinus virginianus","Colinus_virginianus",152.2,NA,"male",21.8,1537,4.37391544998716,65.1920031705294,"Spring",24135
11,-95.6967823,39.1263159,NA,1966,"Colinus virginianus virginianus","Colinus_virginianus",206.1,NA,"male",12.1,577,10.1537685196933,110.773153885156,"Fall",24136
11,-95.6967823,39.1263159,NA,1966,"Colinus virginianus virginianus","Colinus_virginianus",209.1,NA,"male",12.1,577,10.1537685196933,110.773153885156,"Fall",24137
11,-95.6967823,39.1263159,NA,1966,"Colinus virginianus virginianus","Colinus_virginianus",185.8,NA,"male",12.1,577,10.1537685196933,110.773153885156,"Fall",24138
11,-95.6967823,39.1263159,"adult",1966,"Colinus virginianus virginianus","Colinus_virginianus",209.7,NA,"female",12.1,577,10.1537685196933,110.773153885156,"Fall",24139
1,-95.1941611,38.8069025,NA,1967,"Colinus virginianus virginianus","Colinus_virginianus",195,NA,"female",12,1199,8.884136355768,84.1010178253019,"Winter",24140
3,-101.7673359,37.9742809,NA,1950,"Colinus virginianus","Colinus_virginianus",196,NA,"male",12.5,318,9.32853231497405,119.603789267262,"Spring",24141
12,-98.4091837,37.2921332,NA,1951,"Colinus virginianus taylori","Colinus_virginianus",207.8,NA,"male",13.1,1052,9.89934188201265,100.11749546369,"Winter",24142
