"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
3,-93.42,35.221881,NA,1990,"Dendroica pinus","Dendroica_pinus",13,138,"female",16.4,1664,7.89143667067491,54.2696492453125,"Spring",181594
3,-92.864278,32.119241,NA,1990,"Dendroica pinus","Dendroica_pinus",13.5,125,NA,19.2,1684,6.78690249337247,57.0686410089929,"Spring",181595
3,-87.272352,34.296585,NA,1991,"Dendroica pinus","Dendroica_pinus",12.5,128.5,NA,16.6,1824,7.86840151646079,56.1028580719504,"Spring",181596
3,-92.864278,32.119241,NA,1990,"Dendroica pinus","Dendroica_pinus",9,129,"female",19.2,1684,6.78690249337247,57.0686410089929,"Spring",181597
3,-85.952708,33.329759,NA,1991,"Dendroica pinus","Dendroica_pinus",11,136,NA,16.1,1449,7.19433173344885,43.4852609417511,"Spring",181598
3,-85.952708,33.329759,NA,1991,"Dendroica pinus","Dendroica_pinus",14,139,NA,16.1,1449,7.19433173344885,43.4852609417511,"Spring",181599
3,-93.42,35.221881,NA,1990,"Dendroica pinus","Dendroica_pinus",13,136,NA,16.4,1664,7.89143667067491,54.2696492453125,"Spring",181600
9,-79.3501282,35.0635845,NA,1988,"Dendroica pinus pinus","Dendroica_pinus",14,NA,"male",15.3,1070,8.31726936542094,48.6875851437016,"Fall",181601
9,-79.3501282,35.0635845,NA,1988,"Dendroica pinus pinus","Dendroica_pinus",12.3,NA,"male",15.3,1070,8.31726936542094,48.6875851437016,"Fall",181602
9,-79.3501282,35.0635845,NA,1988,"Dendroica pinus pinus","Dendroica_pinus",13,NA,"female",15.3,1070,8.31726936542094,48.6875851437016,"Fall",181603
9,-79.3501282,35.0635845,NA,1988,"Dendroica pinus pinus","Dendroica_pinus",13,NA,"female",15.3,1070,8.31726936542094,48.6875851437016,"Fall",181604
9,-79.3501282,35.0635845,NA,1988,"Dendroica pinus pinus","Dendroica_pinus",15,NA,"undetermined",15.3,1070,8.31726936542094,48.6875851437016,"Fall",181605
8,-83.5312,31.4708,"imm.",1951,"Dendroica pinus pinus","Dendroica_pinus",12.7,NA,"female",19.6,1138,6.50531251432942,54.6381963551322,"Summer",181606
8,-83.5312,31.4708,"ad.",1951,"Dendroica pinus pinus","Dendroica_pinus",12.2,NA,"female",19.6,1138,6.50531251432942,54.6381963551322,"Summer",181607
3,-82.9283,25.9589,"unknown",1952,"Dendroica pinus florida","Dendroica_pinus",12.8,NA,"female",-9999,-9999,0,0,"Spring",181608
6,-94.274,31.07352,"ad.sk.",1964,"Dendroica pinus pinus","Dendroica_pinus",13.2,NA,"male",18.7,1014,7.52456582861037,41.4885615030896,"Summer",181609
6,-94.274,31.04448,"sk.imm.",1964,"Dendroica pinus pinus","Dendroica_pinus",13.6,NA,"male",18.7,1012,7.46038019991426,41.6342595271796,"Summer",181610
6,-94.274,31.04448,"unknown",1964,"Dendroica pinus pinus","Dendroica_pinus",11,NA,"female",18.7,1012,7.46038019991426,41.6342595271796,"Summer",181611
6,-94.274,31.04448,"unknown",1964,"Dendroica pinus pinus","Dendroica_pinus",12.3,NA,"male",18.7,1012,7.46038019991426,41.6342595271796,"Summer",181612
6,-94.274,31.04448,"unknown",1964,"Dendroica pinus pinus","Dendroica_pinus",11.8,NA,"male",18.7,1012,7.46038019991426,41.6342595271796,"Summer",181613
5,-95.1093292,31.347773,"ad",1979,"Dendroica pinus pinus","Dendroica_pinus",13,NA,"male",17.6,1467,7.99823370652811,41.3319794523589,"Spring",181614
