"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-117.179457,46.728691,NA,1948,"Dumetella carolinensis","Dumetella_carolinensis",40.9,228,"female",7.3,651,7.8468098130657,62.1931607295183,"Summer",29385
6,-117.179457,46.728691,NA,1948,"Dumetella carolinensis","Dumetella_carolinensis",34.2,225,"male",7.3,651,7.8468098130657,62.1931607295183,"Summer",29386
9,-76.45219,42.477118,"imm.?",1988,"Dumetella carolinensis","Dumetella_carolinensis",40.7000007629395,192,NA,8.1,777,10.1430077423122,50.576632246793,"Fall",29387
5,-76.46632,42.44127,NA,1953,"Dumetella carolinensis","Dumetella_carolinensis",44.2999992370605,NA,"male",9.7,772,8.50965583465292,31.7337565581881,"Spring",29388
5,-76.46632,42.44127,NA,1953,"Dumetella carolinensis","Dumetella_carolinensis",38.5,NA,"male",9.7,772,8.50965583465292,31.7337565581881,"Spring",29389
5,-76.538342,42.495889,NA,1954,"Dumetella carolinensis","Dumetella_carolinensis",38.7999992370605,NA,"male",9.6,839,9.39567921327606,32.6349817729591,"Spring",29390
10,-76.46632,42.44127,NA,1952,"Dumetella carolinensis","Dumetella_carolinensis",40.5,NA,"male",9,873,9.24361778185196,39.4320112942418,"Fall",29391
5,-76.4506,42.4801,NA,2004,"Dumetella carolinensis","Dumetella_carolinensis",36.7999992370605,203,"undetermined",7.7,1154,10.0388638739047,54.9483071337119,"Spring",29392
9,-76.45219,42.477118,NA,1990,"Dumetella carolinensis","Dumetella_carolinensis",28.5,200,"undetermined",9.5,1120,8.15614195040471,41.4266121345918,"Fall",29393
6,-76.4646,42.5052,NA,2003,"Dumetella carolinensis","Dumetella_carolinensis",37.7999992370605,NA,"male",7.4,1115,10.2071387674599,33.4920116664522,"Summer",29394
6,-76.432222,42.404308,NA,2002,"Dumetella carolinensis","Dumetella_carolinensis",33.5,87,"female",9.1,986,9.29478103805864,43.3188140633411,"Summer",29395
5,-77.7179499,43.3225697,NA,2004,"Dumetella carolinensis","Dumetella_carolinensis",35.9000015258789,195,"female",8.8,921,9.50226049661103,40.5123527749255,"Spring",29396
6,-76.5095,42.4381,NA,2006,"Dumetella carolinensis","Dumetella_carolinensis",34.9,184,"male",10.5,1055,8.50810665118149,49.1325543788149,"Summer",29397
7,-76.451,42.4799,NA,2007,"Dumetella carolinensis","Dumetella_carolinensis",33.9,175,NA,8.5,984,10.3389342103556,29.2580911832691,"Summer",29398
5,-76.5095,42.4381,NA,2007,"Dumetella carolinensis","Dumetella_carolinensis",31.4,205,"male",9.7,901,10.237808714404,28.3413535885695,"Spring",29399
7,-76.448813,42.414769,NA,2006,"Dumetella carolinensis","Dumetella_carolinensis",29.4,188,"male",9.6,1137,8.53504362595586,51.6280763427557,"Summer",29400
9,-76.451,42.4799,NA,2006,"Dumetella carolinensis","Dumetella_carolinensis",37.8,190,"male",9.4,1142,8.56615521406863,50.9102709554947,"Fall",29401
7,-76.299287,42.342648,NA,2008,"Dumetella carolinensis","Dumetella_carolinensis",36,192,"male",7.6,1131,9.56148761723538,39.3340201659508,"Summer",29402
5,-76.053813,42.085075,NA,1995,"Dumetella carolinensis","Dumetella_carolinensis",31.2,NA,NA,8.3,855,10.3937153213766,49.0703752991706,"Spring",29403
7,-76.407825,42.689513,NA,2013,"Dumetella carolinensis","Dumetella_carolinensis",34.6,175,NA,8.2,1198,9.79863936132631,48.6717941749377,"Summer",29404
7,-77.7179499,43.3225697,NA,2013,"Dumetella carolinensis","Dumetella_carolinensis",32,171,"male",9.8,951,9.43537829852962,45.3273794524253,"Summer",29405
1,-76.395535,42.427853,"immature",2008,"Dumetella carolinensis","Dumetella_carolinensis",44,195,"undetermined",8.2,1070,9.47953137826523,38.3396750211368,"Winter",29406
8,-105.151308,40.619785,NA,2012,"Dumetella carolinensis","Dumetella_carolinensis",38,203,"male",10.3,257,9.20615735979639,88.7251996725628,"Summer",29407
9,-104.448738,38.5321874,"immature",2002,"Dumetella carolinensis","Dumetella_carolinensis",34.4,190,"undetermined",11.5,162,9.42222951805511,66.4725550364203,"Fall",29408
9,-104.745217,39.942502,"immature",1995,"Dumetella carolinensis","Dumetella_carolinensis",30.5,215,"undetermined",10.1,409,8.00255167639256,101.568386568101,"Fall",29409
6,-104.00402,44.560435,NA,2012,"Dumetella carolinensis","Dumetella_carolinensis",39,NA,NA,9.4,339,10.1182403548635,88.3232433068409,"Summer",29410
10,-95.6966263,39.0483341,NA,1954,"Dumetella carolinensis","Dumetella_carolinensis",38.4,NA,"male",13.8,845,10.2905369886684,89.9334865400063,"Fall",29411
7,-109.2375783,47.1638049,NA,1961,"Dumetella carolinensis","Dumetella_carolinensis",33.4,NA,"male",5,415,8.65986912911121,71.6338313818282,"Summer",29412
9,-101.7109,39.34894,NA,1964,"Dumetella carolinensis","Dumetella_carolinensis",34,NA,"male",10.6,372,10.0765667253136,102.499276088729,"Fall",29413
7,-95.2598661,38.9549568,NA,1967,"Dumetella carolinensis","Dumetella_carolinensis",35.4,NA,"male",12,1211,8.92800751465959,88.1621771403689,"Summer",29414
5,-100.6471252,38.5937971,NA,1977,"Dumetella carolinensis","Dumetella_carolinensis",36.4,NA,"female",13.1,532,10.4345978999353,98.0870503868208,"Spring",29415
10,-76.3233948,38.0449818,"immature",1966,"Dumetella carolinensis","Dumetella_carolinensis",32.9,NA,"female",13.3,1011,8.94126880698639,43.1154351196843,"Fall",29416
10,-76.3233948,38.0449818,NA,1966,"Dumetella carolinensis","Dumetella_carolinensis",39.5,NA,"male",13.3,1011,8.94126880698639,43.1154351196843,"Fall",29417
9,-77.2878957,38.9660325,"immature",1969,"Dumetella carolinensis","Dumetella_carolinensis",40,NA,"male",12.4,1036,9.49080495995354,62.0693284642199,"Fall",29418
