"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
7,-76.45442,42.4566,"adult",1953,"Eptesicus fuscus","Eptesicus_fuscus",15.4,121,"male",9.7,768,8.50544834298296,31.8228433562766,"Summer",31249
8,-74.835438,41.981478,NA,1950,"Eptesicus fuscus","Eptesicus_fuscus",18.2,104,"male",6.4,1145,9.25321811342116,25.9402680658582,"Summer",31250
7,-74.839515,41.977777,NA,1950,"Eptesicus fuscus","Eptesicus_fuscus",21.4,118,"female",6.4,1148,9.25321811342116,26.044399629244,"Summer",31251
1,-73.7294,42.6763,NA,1946,"Eptesicus fuscus","Eptesicus_fuscus",16.8,110,"female",9.4,763,9.65311615568525,51.7990338880405,"Winter",31252
7,-104.2940340405,40.4787817063,"juvenile",1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",4.6,59,"undetermined",9.5,390,9.46679604051589,95.6250653192389,"Summer",31253
8,-104.7091331,40.4233131,NA,1997,"Eptesicus fuscus pallidus","Eptesicus_fuscus",18.8,110.3,"female",8.6,479,9.88065143233343,73.2814252239215,"Summer",31254
7,-104.700941,40.402922,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",14.7,115,"female",9.6,366,9.43637385414289,65.640800316156,"Summer",31255
7,-104.781825,40.703708,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",8.4,93,"female",8.9,375,9.23765351289181,71.6388862033472,"Summer",31256
7,-104.781825,40.703708,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",8.7,105,"male",8.9,375,9.23765351289181,71.6388862033472,"Summer",31257
8,-104.7091331,40.4233131,NA,1997,"Eptesicus fuscus pallidus","Eptesicus_fuscus",9.9,115,"female",8.6,479,9.88065143233343,73.2814252239215,"Summer",31258
7,-104.781825,40.703708,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",4.3,67,NA,8.9,375,9.23765351289181,71.6388862033472,"Summer",31259
7,-104.709812,40.41477,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",7.6,98,"female",9.6,366,9.45515732285825,66.3108378118821,"Summer",31260
8,-104.7091331,40.4233131,NA,1997,"Eptesicus fuscus pallidus","Eptesicus_fuscus",11.5,111,"male",8.6,479,9.88065143233343,73.2814252239215,"Summer",31261
7,-104.919172,39.72104,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",9.8,95,"male",10.4,476,8.80075754315123,99.5389671593086,"Summer",31262
7,-104.908553,39.728316,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",9.4,114,"female",10.5,468,8.82078725958108,100.262532562734,"Summer",31263
8,-104.935155,39.746554,NA,1997,"Eptesicus fuscus pallidus","Eptesicus_fuscus",14.8,113,"female",9.6,580,9.2264442082133,69.5076703642489,"Summer",31264
7,-104.926566,39.73747,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",11.4,97,"female",10.5,449,8.82889110714467,97.9498944265986,"Summer",31265
8,-105.009302,39.71281,NA,1997,"Eptesicus fuscus pallidus","Eptesicus_fuscus",15.4,115,"female",9.8,550,9.18022826018454,70.0028549380244,"Summer",31266
8,-104.8389015598,39.7876963407,NA,1997,"Eptesicus fuscus pallidus","Eptesicus_fuscus",17,118,"undetermined",9.4,595,9.27101625628186,78.7351460194191,"Summer",31267
8,-108.0551111111,39.1627222222,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",10.4,106,"male",8.3,490,8.72920472617724,57.141806206251,"Summer",31268
8,-104.7700182324,38.8745288393,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",13.1,120,"female",9,463,8.44149204103089,91.4539247878286,"Summer",31269
8,-105.08389,40.58528,NA,1997,"Eptesicus fuscus pallidus","Eptesicus_fuscus",16.6,119,"female",7.9,553,9.37292603322156,76.4193426173196,"Summer",31270
8,-104.60861,38.25444,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",14,104,"male",11.2,336,9.18963101445418,83.7774417975776,"Summer",31271
5,-105.1124156934,39.6909836491,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",8.9,90,"male",10.2,439,8.50890798819185,74.672949648151,"Spring",31272
7,-105.051046,40.559282,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",12.6,102,"male",9.1,411,9.08519858524476,64.7981436148604,"Summer",31273
7,-105.112527,40.553798,NA,1998,"Eptesicus fuscus pallidus","Eptesicus_fuscus",8.4,90,"male",9,429,8.97050300944291,65.0468754576032,"Summer",31274
