"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-117.3673,46.6092,NA,1949,"Falco sparverius","Falco_sparverius",137,NA,"female",10.7,365,9.61017453251784,75.1727739213474,"Spring",35850
1,-117.1063,46.7326,NA,1950,"Falco sparverius","Falco_sparverius",115,NA,"male",7.6,645,8.67198554734343,65.3857631362492,"Winter",35851
7,-117.0744,46.8938,NA,1968,"Falco sparverius","Falco_sparverius",90.5,260,"male",8.3,602,7.2278921022954,60.6667997001611,"Summer",35852
4,-117.5035,47.1076,NA,2003,"Falco sparverius","Falco_sparverius",101.1,NA,"female",9.6,454,8.00999375780031,79.5736665369909,"Spring",35853
6,-119.295868,46.980362,NA,1953,"Falco sparverius","Falco_sparverius",39.5,111,"male",11.9,196,6.91863425829116,77.8543074366767,"Summer",35854
7,-117.04572,46.339589,"Juv",1957,"Falco sparverius","Falco_sparverius",87,226,"male",10.6,378,9.05983477004995,66.6254252976306,"Summer",35855
4,-117.501,46.922,NA,1973,"Falco sparverius","Falco_sparverius",97,NA,"male",9.4,482,7.56256730498475,113.353311846599,"Spring",35856
1,-117.181888,46.643235,NA,1978,"Falco sparverius","Falco_sparverius",117.2,NA,"female",7.9,526,7.67834420281936,52.8743390770853,"Winter",35857
4,-117.519,46.68,NA,1979,"Falco sparverius","Falco_sparverius",128.9,NA,"female",11.4,406,9.65715310330151,54.3221866079087,"Spring",35858
9,-119.737949,46.252375,NA,1980,"Falco sparverius","Falco_sparverius",87,NA,"undetermined",10.5,298,8.31207591763971,74.3443326491821,"Fall",35859
4,-117.1498,46.638414,NA,1984,"Falco sparverius","Falco_sparverius",110.3,NA,"male",8,623,7.4950286554125,50.9910003716528,"Spring",35860
6,-118.672293,46.040283,NA,1990,"Falco sparverius","Falco_sparverius",103.2,NA,"female",12.6,243,8.66543114736347,55.706843679197,"Summer",35861
10,-117.388809,46.726549,NA,1990,"Falco sparverius","Falco_sparverius",118,NA,"female",10,522,8.36000579962101,55.194178918331,"Fall",35862
1,-118.66989,46.053718,NA,1992,"Falco sparverius","Falco_sparverius",124.3,NA,"male",13,261,7.97729258393454,51.4547031661353,"Winter",35863
8,-117.179457,46.728691,NA,1991,"Falco sparverius","Falco_sparverius",98.6,NA,"male",9,469,7.1352040169596,70.015532612568,"Summer",35864
9,-117.2167,46.6143,NA,1992,"Falco sparverius","Falco_sparverius",122,NA,"female",10.6,427,7.37951197368071,51.3665947696546,"Fall",35865
7,-98.178441,44.378414,NA,1955,"Falco sparverius","Falco_sparverius",123.300003051758,NA,"male",7.2,378,14.4046604411295,82.7080589735066,"Summer",35866
8,-76.39509,42.38263,NA,1987,"Falco sparverius","Falco_sparverius",170,NA,"female",8.4,879,9.82783230823501,46.9413124187965,"Summer",35867
8,-105.257474,40.523654,"adult",2011,"Falco sparverius","Falco_sparverius",64.7,263,"female",8,534,9.03981093929413,72.8047568162911,"Summer",35868
8,-104.56111,40.3875,"immature",2012,"Falco sparverius","Falco_sparverius",71,275,"female",11.4,212,9.95302603597154,76.2449379388788,"Summer",35869
5,-105.023133,40.525472,"adult",2012,"Falco sparverius","Falco_sparverius",91,265,"male",10.8,230,9.42750649895712,79.0270730031103,"Spring",35870
10,-103.06611,40.75917,"adult",2012,"Falco sparverius","Falco_sparverius",91.9,270,"male",11.6,255,9.99549519745892,75.9099149878134,"Fall",35871
5,-104.685634,40.404121,"adult",2012,"Falco sparverius","Falco_sparverius",91.8,258,"male",11.4,214,9.78573482476436,76.2114896839099,"Spring",35872
6,-103.678562,40.220594,"immature",2012,"Falco sparverius","Falco_sparverius",56.1,211,"male",11.3,206,10.1008400490736,78.5410108893441,"Summer",35873
7,-105.128838,40.549844,"immature",2012,"Falco sparverius","Falco_sparverius",85,220,"male",10.4,251,9.23781343011954,84.3100770424811,"Summer",35874
12,-104.907995,40.54127,"adult",2011,"Falco sparverius","Falco_sparverius",115.8,253,"male",9.1,403,9.92525093187099,74.2460773091121,"Winter",35875
8,-104.95026,40.638672,"immature",2011,"Falco sparverius","Falco_sparverius",79.2,254,"male",8.6,451,9.69484008338581,79.5989949685296,"Summer",35876
12,-105.114118,40.544502,"adult",2012,"Falco sparverius","Falco_sparverius",120,275,"male",10.5,248,9.24833727889735,82.9529409098222,"Winter",35877
12,-105.077025,40.427458,"adult",2011,"Falco sparverius","Falco_sparverius",106.7,252,"male",9.1,431,9.74363428556866,66.9291968888322,"Winter",35878
10,-104.996965,40.580799,"adult",2011,"Falco sparverius","Falco_sparverius",92.1,271,"female",9,439,9.84898087328959,75.0176538201054,"Fall",35879
7,-104.975438,40.38365,"adult",2011,"Falco sparverius","Falco_sparverius",70.8,245,"male",9.4,402,9.94379279508152,70.1396886114594,"Summer",35880
7,-104.66552,40.290588,"immature",2012,"Falco sparverius","Falco_sparverius",77.6,268,"male",11.3,215,9.68949368536808,74.4444986663253,"Summer",35881
6,-105.9441,40.425306,"immature",2012,"Falco sparverius","Falco_sparverius",106.4,253,"male",0.5,671,8.0195735925335,89.2575432956866,"Summer",35882
4,-104.997995,39.746205,"adult",2013,"Falco sparverius","Falco_sparverius",89.3,266,"male",10.6,338,9.57393478527649,61.8799232652803,"Spring",35883
