"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-117.261078,46.900409,NA,2005,"Loxia curvirostra","Loxia_curvirostra",37.6,NA,"male",8.8,457,7.6957879073654,69.99813104259,"Spring",186836
5,-117.20894,46.824342,NA,1954,"Loxia curvirostra","Loxia_curvirostra",34.7,160,"male",8,521,6.5779417891783,46.8961289120884,"Spring",186837
12,-117.361072,46.114698,"Ad",1954,"Loxia curvirostra","Loxia_curvirostra",29,148,"male",5.8,555,6.25432577574041,44.9639973493222,"Winter",186838
2,-117.623272,47.831444,"ad",1959,"Loxia curvirostra","Loxia_curvirostra",36.1,166,"male",8.6,522,7.97773416605507,71.0827015201154,"Winter",186839
10,-117.165649,46.729529,NA,1973,"Loxia curvirostra","Loxia_curvirostra",37.5,NA,"male",8.6,529,7.4581407627078,108.529487372263,"Fall",186840
12,-117.165649,46.729529,NA,1973,"Loxia curvirostra","Loxia_curvirostra",35.7,NA,"male",8.6,529,7.4581407627078,108.529487372263,"Winter",186841
11,-117.165649,46.729529,NA,1973,"Loxia curvirostra","Loxia_curvirostra",36,NA,"male",8.6,529,7.4581407627078,108.529487372263,"Fall",186842
1,-117.165649,46.729529,NA,1974,"Loxia curvirostra","Loxia_curvirostra",32.8,NA,"male",8.5,502,7.65899649253917,77.5219998068149,"Winter",186843
1,-117.164293,46.730767,NA,1974,"Loxia curvirostra","Loxia_curvirostra",31.5,NA,"male",8.5,502,7.65899649253917,77.3851147731654,"Winter",186844
6,-117.179457,46.728691,NA,1981,"Loxia curvirostra","Loxia_curvirostra",36,NA,"female",8.7,606,6.38726834959179,55.520819740363,"Summer",186845
6,-117.165649,46.729529,NA,1981,"Loxia curvirostra","Loxia_curvirostra",30.5,NA,"male",8.7,607,6.37335837449119,54.6942338332141,"Summer",186846
7,-117.165649,46.729529,NA,1981,"Loxia curvirostra","Loxia_curvirostra",34.8,NA,"male",8.7,607,6.37335837449119,54.6942338332141,"Summer",186847
7,-117.165649,46.729529,NA,1981,"Loxia curvirostra","Loxia_curvirostra",33.9,NA,"female",8.7,607,6.37335837449119,54.6942338332141,"Summer",186848
7,-117.165649,46.729529,NA,1981,"Loxia curvirostra","Loxia_curvirostra",29.4,NA,"female",8.7,607,6.37335837449119,54.6942338332141,"Summer",186849
5,-117.165326,46.729536,NA,1988,"Loxia curvirostra","Loxia_curvirostra",32.6,NA,"female",9,503,7.38749967953648,63.7673339964167,"Spring",186850
7,-117.164293,46.730767,NA,1981,"Loxia curvirostra","Loxia_curvirostra",29.5,NA,"female",8.7,608,6.37335837449119,54.6942338332141,"Summer",186851
9,-117.5648,47.5141,NA,1992,"Loxia curvirostra","Loxia_curvirostra",35.2,NA,"male",9.4,385,8.10324944174567,64.5162408143502,"Fall",186852
4,-76.4809,42.4466,NA,1953,"Loxia curvirostra","Loxia_curvirostra",26,NA,"male",10.1,749,8.49497177479393,33.099164385481,"Spring",186853
2,-75.796,42.7402,NA,1996,"Loxia curvirostra","Loxia_curvirostra",35.4000015258789,140,"male",6.8,1284,10.0045292773127,32.1532866157174,"Winter",186854
2,-75.796,42.7402,NA,1996,"Loxia curvirostra","Loxia_curvirostra",33.0999984741211,141,"female",6.8,1284,10.0045292773127,32.1532866157174,"Winter",186855
