"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
2,-82.226234,30.816062,"adult",1936,"Lynx rufus floridanus","Lynx_rufus",4762.7,887,"male",20,1207,6.51834241803757,49.905492386405,"Winter",44187
1,-108.742588,35.52808,"adult",1947,"Lynx rufus baileyi","Lynx_rufus",1091,NA,"male",9.2,286,9.10259287069882,97.548175093912,"Winter",44188
10,-105.119071,40.139859,"juvenile",2011,"Lynx rufus","Lynx_rufus",2300,575,"male",9.8,393,9.74393362170753,60.0348238648477,"Fall",44189
5,-108.5483333333,37.2677777778,NA,2008,"Lynx rufus","Lynx_rufus",6000,950,"male",8.4,619,8.68175987605362,73.3346568772478,"Spring",44190
11,-118.7023475,34.0346918,NA,1991,"Lynx rufus californicus Mearns, 1897","Lynx_rufus",7500,808,"female",16.6,398,2.7954508499606,174.575678436204,"Fall",44191
6,-115.3291278,33.3376409,NA,1955,"Lynx rufus baileyi Merriam, 1890","Lynx_rufus",5896.7,840,"male",21.1,85,7.91689313870643,174.413680991538,"Summer",44192
1,-115.3779389,33.6682432,NA,1952,"Lynx rufus Schreber, 1777","Lynx_rufus",5443.1,835,"male",20,146,8.75375244213485,104.650072435682,"Winter",44193
4,-106.9299316,34.0162419,NA,2001,"Lynx rufus","Lynx_rufus",11.7,944,"male",14.8,241,8.59740535207447,95.0965115951303,"Spring",44194
7,-120.463397,35.875149,NA,1947,"Lynx rufus californicus","Lynx_rufus",16,NA,"male",14.5,153,6.44047334981653,91.3468433057153,"Summer",44195
4,-120.178606,35.469268,NA,1947,"Lynx rufus californicus","Lynx_rufus",15,NA,"female",15.1,79,6.3023985333147,94.0744386111339,"Spring",44196
7,-121.967473,37.253251,NA,2010,"Lynx rufus californicus","Lynx_rufus",6648,830,"male",15.2,698,3.95723349951667,102.992409535862,"Summer",44197
10,-120.759032,35.802077,NA,2001,"Lynx rufus californicus","Lynx_rufus",6618,NA,"female",16,395,5.73622196434573,117.718240326289,"Fall",44198
5,-121.732844,37.665145,NA,2006,"Lynx rufus californicus","Lynx_rufus",7317,763,"male",14.8,430,5.19326486903951,117.38030245999,"Spring",44199
11,-110.9519,32.2311,"unknown",1951,"Lynx rufus","Lynx_rufus",1204,516,"female",19.7,327,7.8511290444577,78.3435890006199,"Fall",44200
2,-80.925349,25.141791,NA,1934,"Lynx rufus floridanus","Lynx_rufus",9072,875,"female",23.5,1105,3.10112394092363,74.9448442432096,"Winter",44201
2,-80.925349,25.141791,NA,1934,"Lynx rufus floridanus","Lynx_rufus",8165,842,"female",23.5,1105,3.10112394092363,74.9448442432096,"Winter",44202
10,-76.507802,42.292296,NA,2013,"Lynx rufus","Lynx_rufus",4760,6850,"male",8.2,1136,9.76536861784665,42.8999842549804,"Fall",44203
2,-111.782872,28.830644,NA,1960,"Lynx rufus Schreber, 1777","Lynx_rufus",10432.6,6,"male",24.1,137,6.18318222473205,160.789425610676,"Winter",44204
11,-103.1936111111,32.1133333333,NA,2003,"Lynx rufus","Lynx_rufus",1200,460,"female",18.5,216,8.12889999640266,79.6668145892714,"Fall",44205
10,-108.61085,32.94735,NA,2007,"Lynx rufus","Lynx_rufus",7700,946,"male",15.3,411,8.12573073637073,74.850642634627,"Fall",44206
11,-106.6101761,35.1175461,"Juvenile",2006,"Lynx rufus","Lynx_rufus",340,253,"female",13.7,251,8.33702948333881,122.932152972891,"Fall",44207
6,-120.399238,35.925845,NA,1947,"Lynx rufus californicus","Lynx_rufus",10,NA,"female",14.3,193,6.61405184574341,89.2280658048393,"Summer",44208
7,-120.475936,35.864818,NA,1947,"Lynx rufus californicus","Lynx_rufus",4990,NA,"female",14.1,179,6.54548190229973,86.8200935774956,"Summer",44209
9,-121.490885,40.5349323,NA,2004,"Lynx rufus californicus","Lynx_rufus",5700,685,"female",8.1,1716,6.81039757661145,118.789838184268,"Fall",44210
1,-122.3537332,38.3304322,NA,2008,"Lynx rufus californicus","Lynx_rufus",9243,810,"male",14.8,667,5.33731858679709,177.482407267631,"Winter",44211
6,-120.759497,35.839555,NA,1999,"Lynx rufus californicus","Lynx_rufus",5260,685,"female",14.9,199,5.36077221936157,123.55639124781,"Summer",44212
12,-122.679696,37.925605,NA,2008,"Lynx rufus californicus","Lynx_rufus",3432,645,"male",13.3,542,2.94683960139734,170.259643763553,"Winter",44213
10,-121.860639,37.899409,NA,2008,"Lynx rufus californicus","Lynx_rufus",6075,774,"female",14.8,375,5.38859626405335,168.1681568788,"Fall",44214
5,-105.8755341,32.2504349,NA,1997,"Lynx rufus","Lynx_rufus",7900,875,"male",15.7,432,8.41470574216786,76.5116486608806,"Spring",44216
2,-72.18,42.48,NA,1938,"Lynx rufus","Lynx_rufus",11340,940,"male ?",7.3,1353,9.36452040545817,55.7013604418841,"Winter",44217
7,-121.7756,47.4256,"unknown",1975,"Lynx rufus","Lynx_rufus",5900,930,"male",7.8,2742,5.48623622156282,68.7494897780836,"Summer",44218
5,-123.5089,46.3422,"unknown",1990,"Lynx rufus","Lynx_rufus",6140,724,"female",9.9,3211,5.41084769026746,83.1422113878358,"Spring",44219
1,-117.8143136,33.663118,NA,1990,"Lynx rufus californicus Mearns, 1897","Lynx_rufus",4500,820,"male",17.5,195,4.05853944470698,133.338743171543,"Winter",44220
12,-74.252658,44.438666,NA,1957,"Lynx rufus","Lynx_rufus",NA,783,"female",5.6,932,10.1918713897028,43.5338729135559,"Winter",44221
4,-123.38272,39.59897,"subadult",2004,"Lynx rufus californicus","Lynx_rufus",4720,690,"male",13.2,1346,5.79035247788784,125.413808167158,"Spring",44222
10,-122.33861,38.31655,"Adult",2007,"Lynx rufus californicus","Lynx_rufus",8051.28,774,"male",14.6,431,5.03812735773197,138.833277529696,"Fall",44223
2,-122.68852,37.93084,"U",2011,"Lynx rufus","Lynx_rufus",4450,710,"female",13.1,524,2.74859468224632,132.563336679144,"Winter",44224
12,-124.05869,40.53791,NA,1927,"Lynx rufus oceleus","Lynx_rufus",7,32,"male",11.5,1275,3.22546684429345,104.988405795278,"Winter",44225
2,-105.18,41.41,NA,1962,"Lynx rufus pallescens","Lynx_rufus",10432.62,NA,"male",7.1,401,9.16261756301444,72.1648772808949,"Winter",44226
2,-105.18,41.41,NA,1962,"Lynx rufus pallescens","Lynx_rufus",6803.88,NA,"male",7.1,401,9.16261756301444,72.1648772808949,"Winter",44227
2,-105.18,41.41,NA,1962,"Lynx rufus pallescens","Lynx_rufus",12700.58,NA,"male",7.1,401,9.16261756301444,72.1648772808949,"Winter",44228
2,-105.18,41.41,NA,1962,"Lynx rufus pallescens","Lynx_rufus",9979.03,NA,"male",7.1,401,9.16261756301444,72.1648772808949,"Winter",44229
2,-105.18,41.41,NA,1962,"Lynx rufus pallescens","Lynx_rufus",8164.66,NA,"male",7.1,401,9.16261756301444,72.1648772808949,"Winter",44230
2,-105.18,41.41,NA,1962,"Lynx rufus pallescens","Lynx_rufus",12700.58,NA,"male",7.1,401,9.16261756301444,72.1648772808949,"Winter",44231
2,-105.18,41.41,NA,1962,"Lynx rufus pallescens","Lynx_rufus",9071.84,NA,"male",7.1,401,9.16261756301444,72.1648772808949,"Winter",44232
