"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
11,-105.5193119,34.9587226,NA,1956,"Melozone fusca","Melozone_fusca",52.8,0,"female",10.4,217,8.57648299747983,128.620410031003,"Fall",185318
6,-109.0217971,31.3735716,"juvenile",1958,"Melozone fusca","Melozone_fusca",42.6,0,"male",15.2,460,7.39125199547452,97.4222727077981,"Summer",185319
1,-110.5157206,32.1667436,NA,1969,"Melozone fusca","Melozone_fusca",44.7,0,"female",14.6,418,6.99250681194888,103.409237684079,"Winter",185320
1,-110.5157206,32.1667436,NA,1969,"Melozone fusca","Melozone_fusca",43.5,0,"female",14.6,418,6.99250681194888,103.409237684079,"Winter",185321
1,-110.933438,32.5260484,NA,1969,"Melozone fusca","Melozone_fusca",43,0,"female",18.3,303,7.54192323353971,70.1827705676608,"Winter",185322
4,-102.96361,36.97499,NA,1969,"Melozone fusca","Melozone_fusca",54.2,0,"male",12.1,623,9.26640641666379,78.3378940425433,"Spring",185323
4,-102.9275,36.90248,"adult",1969,"Melozone fusca","Melozone_fusca",59.3,0,"female",12.3,635,9.28120861382467,80.6620073461338,"Spring",185324
11,-102.96361,36.82997,NA,1957,"Melozone fusca","Melozone_fusca",51.8,0,"female",12,431,8.68573804892511,85.9972431945455,"Fall",185326
11,-110.9748459,31.8522835,NA,1952,"Melozone fusca","Melozone_fusca",45,0,"female",18.9,316,8.19313737221585,88.1163432993357,"Fall",185327
1,-110.77265,31.80078,NA,1969,"Melozone fusca","Melozone_fusca",39.9,0,"female",15.7,497,6.69026882641475,122.241502342342,"Winter",185328
4,-102.96361,36.97499,NA,1969,"Melozone fusca","Melozone_fusca",57.6,0,"male",12.1,623,9.26640641666379,78.3378940425433,"Spring",185329
1,-111.5506725,32.4500689,NA,1971,"Melozone fusca","Melozone_fusca",44.3,0,"male",19.5,322,7.82793656777384,151.191292137417,"Winter",185330
12,-106.2681246,33.8309239,NA,1963,"Melozone fusca","Melozone_fusca",55,0,"male",13.3,295,8.48478138501607,138.058069472657,"Winter",185331
3,-107.5911333333,32.0893333333,NA,2013,"Melozone fusca","Melozone_fusca",48,0,"male",16.2,303,8.3504309451487,138.550099503974,"Spring",185333
3,-107.5911333333,32.0893333333,NA,2013,"Melozone fusca","Melozone_fusca",43.5,0,"male",16.2,303,8.3504309451487,138.550099503974,"Spring",185334
6,-103.0201333,37.1455833,NA,2010,"Melozone fusca","Melozone_fusca",52,0,"male",12.8,377,9.60127437879835,96.2636509972148,"Summer",185335
9,-102.7465,37.0106667,NA,2010,"Melozone fusca","Melozone_fusca",50,0,"female",13.8,356,9.92246838180293,101.133530106006,"Fall",185336
11,-110.8333,32.7333,NA,1975,"Melozone fusca","Melozone_fusca",54,0,"female",16.3,321,7.72600390652479,87.4990712574623,"Fall",185337
11,-110.8333,32.7333,NA,1975,"Melozone fusca","Melozone_fusca",42.7,0,"male",16.3,321,7.72600390652479,87.4990712574623,"Fall",185338
11,-110.8333,32.7333,NA,1975,"Melozone fusca","Melozone_fusca",49.9,0,"male",16.3,321,7.72600390652479,87.4990712574623,"Fall",185339
11,-110.8333,32.7333,NA,1975,"Melozone fusca","Melozone_fusca",44,0,"male",16.3,321,7.72600390652479,87.4990712574623,"Fall",185340
11,-110.8333,32.7333,NA,1975,"Melozone fusca","Melozone_fusca",43.5,0,"female",16.3,321,7.72600390652479,87.4990712574623,"Fall",185341
11,-110.8333,32.7333,NA,1975,"Melozone fusca","Melozone_fusca",46.6,0,"female",16.3,321,7.72600390652479,87.4990712574623,"Fall",185342
7,-103.513056,37.769722,"immature",1995,"Pipilo fuscus","Melozone_fusca",45.5,208,"undetermined",12.7,396,8.57151731555791,107.386439551817,"Summer",185343
7,-102.7463888889,37.0122222222,"adult",1995,"Pipilo fuscus","Melozone_fusca",47.5,200,"male",12.9,348,8.3000912736858,101.974468830565,"Summer",185344
7,-102.7463888889,37.0122222222,"immature",1995,"Pipilo fuscus","Melozone_fusca",37.1,203,"undetermined",12.9,348,8.3000912736858,101.974468830565,"Summer",185345
7,-103.513056,37.769722,"adult",1995,"Pipilo fuscus","Melozone_fusca",46.5,223,"male",12.7,396,8.57151731555791,107.386439551817,"Summer",185346
4,-106.541111,32.691473,NA,1994,"Pipilo fuscus","Melozone_fusca",42,NA,"undetermined",15.3,362,7.88606365685695,83.6328792318734,"Spring",185347
10,-106.2872314,35.8890501,NA,2006,"Pipilo fuscus","Melozone_fusca",34.1,NA,"male",10.3,471,8.01118063405857,124.702775302451,"Fall",185348
10,-105.9350204,35.6868439,"im",2007,"Pipilo fuscus","Melozone_fusca",27.5,NA,"female",9.7,401,8.60233847699143,74.5399765539263,"Fall",185349
11,-107.2479833333,33.9670333333,"AHY",2008,"Pipilo fuscus","Melozone_fusca",50.5,NA,"male",11,325,7.27279592770625,121.759366269242,"Fall",185350
11,-107.2479833333,33.9670333333,"AHY",2008,"Pipilo fuscus","Melozone_fusca",53.2,NA,"female",11,325,7.27279592770625,121.759366269242,"Fall",185351
5,-106.2872314,35.8890501,NA,2007,"Pipilo fuscus","Melozone_fusca",34.5,NA,"undetermined",10.2,506,8.81501387956762,85.4823418934971,"Spring",185352
3,-101.420468,19.557567,"ad.",1948,"Pipilo fuscus fuscus","Melozone_fusca",43.5,NA,"male",16.9,1042,2.48210260330498,113.116586126216,"Spring",185353
3,-100.9836228819,19.6181408867,"ad.",1948,"Pipilo fuscus fuscus","Melozone_fusca",42,NA,"male",17.5,1053,2.40693442647143,112.395501249493,"Spring",185354
2,-110.88361,31.00056,"u ad.",1946,"Pipilo fuscus mesoleucus","Melozone_fusca",45.5,NA,"male",17.1,492,6.89518936387075,135.112425320803,"Winter",185355
2,-110.88361,31.00056,"u ad.",1946,"Pipilo fuscus mesoleucus","Melozone_fusca",46,NA,"male",17.1,492,6.89518936387075,135.112425320803,"Winter",185356
2,-110.88361,31.00056,"u ad.",1946,"Pipilo fuscus mesoleucus","Melozone_fusca",41,NA,"female ?",17.1,492,6.89518936387075,135.112425320803,"Winter",185357
2,-110.88361,31.00056,"u ad.",1946,"Pipilo fuscus mesoleucus","Melozone_fusca",45.8,NA,"male",17.1,492,6.89518936387075,135.112425320803,"Winter",185358
