"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-121.923288,36.555239,"",1931,"Microtus californicus","Microtus_californicus",NA,170,"female",13,457,2.09983765606253,153.32902892309,"Spring",49415
5,-119.593744,36.659117,"",1933,"Microtus californicus","Microtus_californicus",NA,168,"female",17,216,7.74191171285859,150.71844406945,"Spring",49416
5,-119.593744,36.659117,"",1933,"Microtus californicus","Microtus_californicus",NA,189,"male",17,216,7.74191171285859,150.71844406945,"Spring",49417
11,-120.834755,35.326023,"adult",1960,"Microtus californicus californicus","Microtus_californicus",NA,201,"male",12.9,362,1.95034961900774,122.148640919265,"Fall",49418
11,-120.829245,35.3092,"",1960,"Microtus californicus californicus","Microtus_californicus",NA,182,"male",12.9,385,2.08375753257078,123.239369375591,"Fall",49419
11,-120.829245,35.3092,"",1960,"Microtus californicus californicus","Microtus_californicus",NA,168,"female",12.9,385,2.08375753257078,123.239369375591,"Fall",49420
11,-120.829245,35.3092,"",1960,"Microtus californicus californicus","Microtus_californicus",NA,164,"female",12.9,385,2.08375753257078,123.239369375591,"Fall",49421
11,-120.829245,35.3092,"",1960,"Microtus californicus californicus","Microtus_californicus",NA,162,"female",12.9,385,2.08375753257078,123.239369375591,"Fall",49422
4,-122.240929,37.872653,"",1936,"Microtus californicus californicus","Microtus_californicus",NA,177,"female",14.1,633,3.19870949356806,139.797142171797,"Spring",49423
1,-122.35415,37.99295,"",1937,"Microtus californicus paludicola","Microtus_californicus",NA,168,"male",13.5,686,3.77475666484449,108.279879163126,"Winter",49424
3,-122.27167,37.87167,"",1945,"Microtus californicus","Microtus_californicus",NA,115,"female",13.7,585,3.17890775982169,119.843976428069,"Spring",49425
7,-117.763334,33.576472,"Young",1940,"Microtus californicus","Microtus_californicus",NA,161,"male",17.5,481,2.82258209747205,122.471719971059,"Summer",49426
7,-117.763334,33.576472,"Young",1940,"Microtus californicus","Microtus_californicus",NA,166,"male",17.5,481,2.82258209747205,122.471719971059,"Summer",49427
3,-119.3595314,35.3109557,"",1991,"Microtus californicus Peale, 1848","Microtus_californicus",25,136,"male",17.9,173,7.31478370193272,206.159351507997,"Spring",49428
5,-118.6893509,34.0785287,"",1988,"Microtus californicus Peale, 1848","Microtus_californicus",34,163,"male",18.4,355,3.73480760934052,123.119715032485,"Spring",49429
7,-124.1133254,40.9999229,"",1971,"Microtus californicus Peale, 1848","Microtus_californicus",NA,NA,"male",10,1241,2.88627892979976,81.7060247274131,"Summer",49430
11,-118.6378937,34.0797485,"",1957,"Microtus californicus Peale, 1848","Microtus_californicus",NA,187,"female",17.3,727,4.53260076523067,120.523874545802,"Fall",49431
5,-119.0597242,34.0860618,"",1932,"Microtus californicus Peale, 1848","Microtus_californicus",NA,185,"female",15.2,227,2.75301487629306,183.134244747107,"Spring",49432
5,-118.5888753,34.327708,"",1974,"Microtus californicus Peale, 1848","Microtus_californicus",49,181,"male",16.2,643,5.92595728106183,179.834654994955,"Spring",49433
6,-122.7963,42.3267,"",1958,"Microtus californicus Peale, 1848","Microtus_californicus",NA,NA,"male",11.9,701,6.72040650826746,87.1357351585524,"Summer",49434
11,-118.5097379,32.9169515,"",1939,"Microtus californicus Peale, 1848","Microtus_californicus",NA,157,"female",15.7,268,3.98682489297846,114.989749688653,"Fall",49435
5,-118.5849813,34.3234131,"",1974,"Microtus californicus Peale, 1848","Microtus_californicus",20.2,116,"male",16.4,626,5.7758837707604,178.872160128369,"Spring",49436
7,-118.394849,34.022606,"",1927,"Microtus californicus Peale, 1848","Microtus_californicus",NA,NA,"",16.2,420,3.1603006186121,167.038300115999,"Summer",49437
