"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
9,-107.158103,40.4832,NA,1997,"Microtus longicaudus","Microtus_longicaudus",25.6,161,"female",4.9,575,9.45591044925037,56.0426875540675,"Fall",57637
7,-107.164995,40.50147,NA,1997,"Microtus longicaudus","Microtus_longicaudus",22.3,165,"male",5,578,9.47633016168882,56.6888472306315,"Summer",57638
9,-107.185377,40.502693,NA,1998,"Microtus longicaudus","Microtus_longicaudus",19.4,145,"male",5.8,454,9.52783800081094,35.3384823460575,"Fall",57639
7,-107.164995,40.50147,NA,1997,"Microtus longicaudus","Microtus_longicaudus",23.3,157,"male",5,578,9.47633016168882,56.6888472306315,"Summer",57640
8,-114.0309,47.8736,NA,1964,"Microtus longicaudus","Microtus_longicaudus",23,145,"male",6,728,8.07660294625873,68.5781762487697,"Summer",57641
5,-108.65781,33.373289,NA,1964,"Microtus longicaudus","Microtus_longicaudus",43.5,172,"female",5.9,852,7.58137670395508,100.387879153116,"Spring",57642
5,-108.65781,33.373289,NA,1964,"Microtus longicaudus","Microtus_longicaudus",17.3,135,"female",5.9,852,7.58137670395508,100.387879153116,"Spring",57643
7,-106.98917,38.968172,NA,1981,"Microtus longicaudus","Microtus_longicaudus",37,269,"male",3.1,747,6.92977764302854,55.8633343909626,"Summer",57644
8,-106.515363,39.627275,NA,1998,"Microtus longicaudus longicaudus","Microtus_longicaudus",16,126,"male",4.2,394,8.78462844801628,46.6231979825585,"Summer",57645
8,-105.066902,37.199666,NA,2003,"Microtus longicaudus longicaudus","Microtus_longicaudus",46,169,"female",6.4,530,7.40533693706878,46.1299752802194,"Summer",57646
7,-106.381119,37.336739,NA,2003,"Microtus longicaudus longicaudus","Microtus_longicaudus",46,167,"female",3.2,682,7.76941848765811,69.1164122496726,"Summer",57647
7,-106.381119,37.336739,NA,2003,"Microtus longicaudus longicaudus","Microtus_longicaudus",22,167,"male",3.2,682,7.76941848765811,69.1164122496726,"Summer",57648
7,-106.381119,37.336739,NA,2003,"Microtus longicaudus longicaudus","Microtus_longicaudus",39,197,"male",3.2,682,7.76941848765811,69.1164122496726,"Summer",57649
8,-106.3025,37.0838888889,NA,2003,"Microtus longicaudus longicaudus","Microtus_longicaudus",45,176,"male",5.4,434,8.43779376592979,59.1555901871882,"Summer",57650
5,-105.3288,42.4164,"juvenile",2008,"Microtus longicaudus","Microtus_longicaudus",14.23,127,"female",6.2,498,9.28570096569141,140.160694876396,"Spring",57651
7,-106.1548,39.0995,NA,2008,"Microtus longicaudus","Microtus_longicaudus",42.1,183,"male",0.4,748,8.23521632252534,47.8520671901861,"Summer",57652
8,-106.3856,38.8039,NA,2009,"Microtus longicaudus","Microtus_longicaudus",36.1,170,"female",-1,534,7.66667325427912,53.2214076713735,"Summer",57653
7,-123.0051,47.9044,NA,2011,"Microtus longicaudus","Microtus_longicaudus",13.5,114,"female",6.2,1735,5.75315460237146,69.4600695680807,"Summer",57654
8,-113.2406,43.8696,NA,2011,"Microtus longicaudus","Microtus_longicaudus",20.5,146,"female",4.1,360,9.93033308361382,69.3724463866308,"Summer",57655
6,-110.40022,41.05548,NA,2012,"Microtus longicaudus","Microtus_longicaudus",14.5,158,"female",4.4,368,8.2702231474786,52.879370970211,"Summer",57656
8,-113.93482,43.78597,NA,2013,"Microtus longicaudus","Microtus_longicaudus",42.5,178,"female",0.8,478,10.609811782525,52.1221734384756,"Summer",57657
9,-106.3566697,39.2372956,NA,1992,"Microtus longicaudus longicaudus","Microtus_longicaudus",53,179,"male",2,325,7.8868273376907,64.0424123562647,"Fall",57658
9,-106.3566697,39.2372956,"immature",1992,"Microtus longicaudus longicaudus","Microtus_longicaudus",16.5,130,"female",2,325,7.8868273376907,64.0424123562647,"Fall",57659
7,-105.109624,37.253017,NA,1991,"Microtus longicaudus longicaudus","Microtus_longicaudus",53,197,"male",2.7,723,7.75126089449616,50.4830689870276,"Summer",57660
8,-107.22528,37.83639,NA,1992,"Microtus longicaudus longicaudus","Microtus_longicaudus",20.5,137,"male",0.7,693,7.04205978820161,65.760294023224,"Summer",57661
9,-107.22528,37.83639,NA,1992,"Microtus longicaudus longicaudus","Microtus_longicaudus",41,160,"female",0.7,693,7.04205978820161,65.760294023224,"Fall",57662
8,-106.96778,37.70722,NA,1991,"Microtus longicaudus longicaudus","Microtus_longicaudus",24,157,"male",0.8,727,8.71012559489172,64.9439095108482,"Summer",57663
7,-107.440924,40.167779,NA,1993,"Microtus longicaudus longicaudus","Microtus_longicaudus",20,135,"female",4.1,807,8.34420049005187,39.7819524484687,"Summer",57664
6,-104.4334,37.047786,NA,1995,"Microtus longicaudus longicaudus","Microtus_longicaudus",15,136,"male",5.8,609,6.32471702564988,89.3172001290336,"Summer",57665
5,-108.73,42.83306,NA,1992,"Microtus longicaudus longicaudus","Microtus_longicaudus",48.2,190,"female",7.5,328,9.7982682452595,86.4548843518053,"Spring",57666
7,-105.092765,39.064714,NA,1997,"Microtus longicaudus longicaudus","Microtus_longicaudus",2.5,133,"male",5.1,765,8.29077618181613,76.5525407565135,"Summer",57667
6,-105.7936217779,39.9452288437,NA,1998,"Microtus longicaudus longicaudus","Microtus_longicaudus",8,98,"male",2.3,514,8.45058721287605,42.1063952689244,"Summer",57668
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",38,176,"male",5,470,7.22677575954781,81.7560053018293,"Summer",57669
7,-118.7835007,36.6181024,NA,1990,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",40,187,"male",6.5,547,6.60855162236436,108.739228139194,"Summer",57670
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",39,174,"female",5,470,7.22677575954781,81.7560053018293,"Summer",57671
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",43,192,"male",5,470,7.22677575954781,81.7560053018293,"Summer",57672
7,-118.7835007,36.6181024,NA,1990,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",42,178,"male",6.5,547,6.60855162236436,108.739228139194,"Summer",57673
7,-118.7835007,36.6181024,NA,1990,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",39.5,195,"female",6.5,547,6.60855162236436,108.739228139194,"Summer",57674
7,-119.1920814,37.1749311,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",39,187,"male",6.8,818,6.1126545342057,86.5347905132623,"Summer",57675
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",19.5,139,"male",5,470,7.22677575954781,81.7560053018293,"Summer",57676
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",29,176,"male",5,470,7.22677575954781,81.7560053018293,"Summer",57677
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",23,148,"male",5,470,7.22677575954781,81.7560053018293,"Summer",57678
8,-118.7835007,36.6181024,NA,1990,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",29,170,"male",6.5,547,6.60855162236436,108.739228139194,"Summer",57679
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",41,192,"male",5,470,7.22677575954781,81.7560053018293,"Summer",57680
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",19.5,147,"male",5,470,7.22677575954781,81.7560053018293,"Summer",57681
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",33,169,"male",5,470,7.22677575954781,81.7560053018293,"Summer",57682
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",20,142,"female",5,470,7.22677575954781,81.7560053018293,"Summer",57683
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",42,174,"female",5,470,7.22677575954781,81.7560053018293,"Summer",57684
7,-118.7835007,36.6181024,NA,1990,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",31,170,"male",6.5,547,6.60855162236436,108.739228139194,"Summer",57685
7,-118.7418882,36.5969383,NA,1990,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",49,195,"male",7.2,530,6.64951581741563,109.412674487723,"Summer",57686
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",26.5,154,"female",5,470,7.22677575954781,81.7560053018293,"Summer",57687
7,-119.269072,38.468374,NA,1987,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",36,190,"female",5,470,7.22677575954781,81.7560053018293,"Summer",57688
10,-120.27764,39.42984,NA,1962,"Microtus longicaudus Merriam, 1888","Microtus_longicaudus",40.8,169,"female",4.8,1060,6.95796905234087,125.105476712931,"Fall",57689
