"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-76.451,42.4465,NA,1939,"Microtus pinetorum scalopsoides","Microtus_pinetorum",22.5,120,"male",8.5,732,10.2502180316796,31.2532522555778,"Summer",63851
9,-74.124146,41.694094,NA,1975,"Microtus pinetorum","Microtus_pinetorum",32,130,"female",9.3,1383,9.26045682491207,37.0641499457338,"Fall",63852
9,-74.124146,41.694094,NA,1975,"Microtus pinetorum","Microtus_pinetorum",33,120,"female",9.3,1383,9.26045682491207,37.0641499457338,"Fall",63853
9,-74.124146,41.694094,NA,1975,"Microtus pinetorum","Microtus_pinetorum",26,137,"female",9.3,1383,9.26045682491207,37.0641499457338,"Fall",63854
9,-74.124146,41.694094,NA,1975,"Microtus pinetorum","Microtus_pinetorum",24.6,120,"male",9.3,1383,9.26045682491207,37.0641499457338,"Fall",63855
9,-76.4636,42.4442,NA,1975,"Microtus pinetorum","Microtus_pinetorum",22.6,124,"female",8.8,1070,9.70945727659691,51.83723340112,"Fall",63856
6,-83.949669,35.9531092,"adult",1953,"Microtus pinetorum auricularis","Microtus_pinetorum",28.2,124,"male",15.3,1045,8.21242130168464,48.883283898667,"Summer",63857
9,-76.451,42.4465,"adult",1938,"Microtus pinetorum scalopsoides","Microtus_pinetorum",31.1,132,"female",8.9,841,9.45140682169014,50.2071592853632,"Fall",63858
9,-76.451,42.4465,"adult",1938,"Microtus pinetorum scalopsoides","Microtus_pinetorum",26,122,"male",8.9,841,9.45140682169014,50.2071592853632,"Fall",63859
10,-74.088266,41.757751,NA,1976,"Microtus pinetorum","Microtus_pinetorum",15.6,98,"male",8.4,1164,9.73703878201295,45.4248997817355,"Fall",63860
5,-76.46632,42.44127,"adult",1939,"Microtus pinetorum scalopsoides","Microtus_pinetorum",24,125,"male",8.5,732,10.2499076122961,31.2141416755515,"Spring",63861
5,-76.451,42.4465,"adult",1939,"Microtus pinetorum scalopsoides","Microtus_pinetorum",24,123,"female",8.5,732,10.2502180316796,31.2532522555778,"Spring",63862
6,-76.3652,42.4502,"Subadult",1941,"Microtus pinetorum scalopsoides","Microtus_pinetorum",22.6,117,"male",7.8,796,10.6399618363408,45.2797094850359,"Summer",63863
7,-84.964334,32.353363,"adult",1951,"Microtus pinetorum pinetorum","Microtus_pinetorum",22.2,104,"female",18.8,963,7.2561990216934,54.9806728751659,"Summer",63864
11,-83.75601,34.867978,NA,1980,"Microtus pinetorum auricularis","Microtus_pinetorum",24.1,187,"male",12.4,1467,8.26931164919518,73.9379415082532,"Fall",63865
8,-90.786358,39.078648,NA,1981,"Microtus pinetorum nemoralis","Microtus_pinetorum",29.6,157,"female",12.6,1211,9.58145304347114,71.524010748159,"Summer",63866
3,-88.3166666667,36.6,NA,1999,"Microtus pinetorum","Microtus_pinetorum",17.32,102,"female",15.4,1214,8.1126304443918,63.3094306572624,"Spring",63867
3,-88.3166666667,36.6,NA,1999,"Microtus pinetorum","Microtus_pinetorum",22.71,116,"female",15.4,1214,8.1126304443918,63.3094306572624,"Spring",63868
3,-88.3166666667,36.6,NA,1999,"Microtus pinetorum","Microtus_pinetorum",16.46,112,"male",15.4,1214,8.1126304443918,63.3094306572624,"Spring",63869
1,-88.3,36.6,NA,1999,"Microtus pinetorum","Microtus_pinetorum",9.6,109,"male",15.4,1213,8.18866548493968,63.6047790655007,"Winter",63870
1,-88.3,36.6,NA,1999,"Microtus pinetorum","Microtus_pinetorum",17.1,113,"male",15.4,1213,8.18866548493968,63.6047790655007,"Winter",63871
8,-76.451,42.4465,NA,1939,"Microtus pinetorum scalopsoides","Microtus_pinetorum",20,117,"female",8.5,732,10.2502180316796,31.2532522555778,"Summer",63872
11,-74.08681,41.718614,NA,1975,"Microtus pinetorum","Microtus_pinetorum",29.9,131,"female",9.3,1395,9.26068179308237,38.8963734083661,"Fall",63873
12,-74.08681,41.718614,"adult",1976,"Microtus pinetorum","Microtus_pinetorum",31.8,121,"male",8.3,1165,9.66780035149483,45.577525416076,"Winter",63874
3,-93.69331,36.120515,NA,1990,"Microtus pinetorum","Microtus_pinetorum",26,120,"male",15.1,1591,7.67287133643296,57.207254378828,"Spring",63875
9,-74.124146,41.694094,NA,1975,"Microtus pinetorum","Microtus_pinetorum",25.7,130,"female",9.3,1383,9.26045682491207,37.0641499457338,"Fall",63876
9,-74.124146,41.694094,NA,1975,"Microtus pinetorum","Microtus_pinetorum",28,119,"male",9.3,1383,9.26045682491207,37.0641499457338,"Fall",63877
9,-74.124146,41.694094,NA,1975,"Microtus pinetorum","Microtus_pinetorum",27.9,120,"male",9.3,1383,9.26045682491207,37.0641499457338,"Fall",63878
7,-76.451,42.4465,"adult",1938,"Microtus pinetorum scalopsoides","Microtus_pinetorum",33,130,"female",8.9,841,9.45140682169014,50.2071592853632,"Summer",63879
9,-76.45103,42.44652,"adult",1937,"Microtus pinetorum scalopsoides","Microtus_pinetorum",26,126,"male",8.3,1043,9.82024809906923,48.4050617249946,"Fall",63880
11,-76.45103,42.44652,"adult",1938,"Microtus pinetorum scalopsoides","Microtus_pinetorum",34.5,134,"male",8.9,841,9.45140682169014,50.2071592853632,"Fall",63881
11,-76.45103,42.44652,NA,1938,"Microtus pinetorum scalopsoides","Microtus_pinetorum",25.1,120,"male",8.9,841,9.45140682169014,50.2071592853632,"Fall",63882
11,-76.45103,42.44652,"adult",1938,"Microtus pinetorum scalopsoides","Microtus_pinetorum",32,130,"male",8.9,841,9.45140682169014,50.2071592853632,"Fall",63883
11,-76.45103,42.44652,"adult",1938,"Microtus pinetorum scalopsoides","Microtus_pinetorum",27.2,123,"female",8.9,841,9.45140682169014,50.2071592853632,"Fall",63884
8,-76.451,42.4465,NA,1939,"Microtus pinetorum scalopsoides","Microtus_pinetorum",22.5,120,"female",8.5,732,10.2502180316796,31.2532522555778,"Summer",63885
5,-76.451,42.4465,"adult",1939,"Microtus pinetorum scalopsoides","Microtus_pinetorum",25,127,"male",8.5,732,10.2502180316796,31.2532522555778,"Spring",63886
10,-74.073936,41.754319,"adult",1974,"Microtus pinetorum","Microtus_pinetorum",20.4,101,"female",8.8,1125,9.12639777588268,28.9026229979498,"Fall",63887
10,-76.3652,42.4502,"adult",1939,"Microtus pinetorum scalopsoides","Microtus_pinetorum",28,128,"female",7.7,785,10.3876675131444,32.095335486546,"Fall",63888
9,-74.753775,39.290115,NA,1952,"Microtus pinetorum scalopsoides","Microtus_pinetorum",23.5,114,"female",12.8,1447,8.47439548214967,51.967603848612,"Fall",63889
9,-74.753775,39.290115,NA,1952,"Microtus pinetorum scalopsoides","Microtus_pinetorum",21.5,111,"male",12.8,1447,8.47439548214967,51.967603848612,"Fall",63890
11,-97.446794,35.179245,NA,1969,"Microtus pinetorum","Microtus_pinetorum",32.5,146,"female",15.9,767,9.21002007038908,45.7148088697744,"Fall",63891
11,-83.592295,34.556608,NA,1980,"Microtus pinetorum auricularis","Microtus_pinetorum",20.1,116,"male",14.5,1530,8.3038280693943,78.9173251949938,"Fall",63892
11,-83.75601,34.867978,NA,1980,"Microtus pinetorum auricularis","Microtus_pinetorum",25.5,124,"male",12.4,1467,8.26931164919518,73.9379415082532,"Fall",63893
12,-90.786358,39.078648,NA,1981,"Microtus pinetorum nemoralis","Microtus_pinetorum",39.2,148,"male",12.6,1211,9.58145304347114,71.524010748159,"Winter",63894
12,-90.786358,39.078648,NA,1982,"Microtus pinetorum nemoralis","Microtus_pinetorum",51,149,"female",11.8,1270,10.1392128078878,51.0652029708162,"Winter",63895
12,-90.786358,39.078648,NA,1982,"Microtus pinetorum nemoralis","Microtus_pinetorum",36,144,"male",11.8,1270,10.1392128078878,51.0652029708162,"Winter",63896
12,-90.786358,39.078648,NA,1982,"Microtus pinetorum nemoralis","Microtus_pinetorum",35.7,127,"male",11.8,1270,10.1392128078878,51.0652029708162,"Winter",63897
12,-90.786358,39.078648,NA,1982,"Microtus pinetorum nemoralis","Microtus_pinetorum",39.2,134,"female",11.8,1270,10.1392128078878,51.0652029708162,"Winter",63898
12,-90.786358,39.078648,NA,1982,"Microtus pinetorum nemoralis","Microtus_pinetorum",34.1,139,"male",11.8,1270,10.1392128078878,51.0652029708162,"Winter",63899
3,-83.74,36.06,NA,1988,"Microtus pinetorum","Microtus_pinetorum",26,123,"female",13.8,998,8.76499580805099,33.5896087828039,"Spring",63900
3,-88.3166666667,36.6,NA,1999,"Microtus pinetorum","Microtus_pinetorum",10.58,NA,"female",15.4,1214,8.1126304443918,63.3094306572624,"Spring",63901
3,-88.3166666667,36.6,NA,1999,"Microtus pinetorum","Microtus_pinetorum",18.32,104,"female",15.4,1214,8.1126304443918,63.3094306572624,"Spring",63902
3,-88.3166666667,36.6,NA,1999,"Microtus pinetorum","Microtus_pinetorum",20.96,118,"male",15.4,1214,8.1126304443918,63.3094306572624,"Spring",63903
1,-88.3,36.6,NA,1999,"Microtus pinetorum","Microtus_pinetorum",20.6,119,"undetermined",15.4,1213,8.18866548493968,63.6047790655007,"Winter",63904
7,-89.5297,35.3477,"unknown",1968,"Microtus pinetorum","Microtus_pinetorum",18,124,"male",15.1,1309,9.24814068127243,44.8384520281282,"Summer",63905
6,-88.26,36.1958,"unknown",1968,"Microtus pinetorum","Microtus_pinetorum",14,119,"male",14.1,1251,9.53371608682797,56.32879531836,"Summer",63906
4,-89.5462,35.5642,"unknown",1968,"Microtus pinetorum","Microtus_pinetorum",18,112,"female",15,1224,9.38328623703128,44.4481578959649,"Spring",63907
1,-90.1842,38.9051,"unknown",1959,"Microtus pinetorum","Microtus_pinetorum",43.9,142,"female",12.6,785,10.3740461408909,37.1805630488034,"Winter",63908
1,-90.1842,38.9051,"unknown",1959,"Microtus pinetorum","Microtus_pinetorum",43.9,142,"female",12.6,785,10.3740461408909,37.1805630488034,"Winter",63909
10,-76.5094764,42.4381028,NA,1949,"Microtus pinetorum","Microtus_pinetorum",31.4,15.2,"female",10.8,727,9.43864958882393,38.6913357749824,"Fall",63910
6,-76.5094764,42.4381028,NA,1941,"Microtus pinetorum scalopsoides","Microtus_pinetorum",22.1,119,"female",9.6,683,10.4461787996928,46.2294395870154,"Summer",63911
1,-96.33843,38.49608,NA,1962,"Microtus pinetorum","Microtus_pinetorum",33,111,"male",12.6,801,10.7211770045847,66.4513169183541,"Winter",63912
6,-95.84,37.79,NA,1976,"Microtus pinetorum nemoralis","Microtus_pinetorum",24,117,"female",13.2,806,8.9438780484449,89.3478644308036,"Summer",63913
