"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-117.978348,47.299375,NA,1948,"Molothrus ater","Molothrus_ater",41.5,187,"female",8.2,513,8.58654691239662,52.8157103148482,"Spring",64724
5,-117.225427,46.760094,NA,1950,"Molothrus ater","Molothrus_ater",39.2,181,"female",7.7,664,8.66696969167215,67.7164616626842,"Spring",64725
5,-117.331268,46.738584,NA,1973,"Molothrus ater","Molothrus_ater",46.5,NA,"male",9.4,507,7.5758387874435,112.248096778945,"Spring",64726
6,-117.1752,46.5295,NA,1985,"Molothrus ater","Molothrus_ater",41.2,NA,"female",7.2,414,9.85111514991931,43.7058961785907,"Summer",64727
5,-118.086616,46.611159,NA,1986,"Molothrus ater","Molothrus_ater",47.6,NA,"male",12.1,306,8.06302823028819,77.4163576347724,"Spring",64728
4,-76.5095,42.4381,NA,1940,"Molothrus ater ater","Molothrus_ater",45,NA,"male",7.9,859,10.1830816315667,35.7147842586663,"Spring",64729
5,-76.46632,42.44127,NA,1939,"Molothrus ater ater","Molothrus_ater",43.2999992370605,NA,"male",8.5,732,10.2499076122961,31.2141416755515,"Spring",64730
5,-76.5095,42.4381,NA,1946,"Molothrus ater","Molothrus_ater",50,NA,"male",10,854,8.7870902206279,55.5429434270567,"Spring",64731
5,-76.5095,42.4381,NA,1959,"Molothrus ater","Molothrus_ater",39,NA,"female",9.8,925,10.5954964704135,48.5992634383756,"Spring",64732
6,-76.5095,42.4381,"ad.",1971,"Molothrus ater","Molothrus_ater",48.5,NA,"male",9,758,10.0951045741803,32.0922418476596,"Summer",64733
4,-76.5095,42.4381,NA,1953,"Molothrus ater","Molothrus_ater",36.0999984741211,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",64734
4,-76.5095,42.4381,NA,1953,"Molothrus ater","Molothrus_ater",48.2000007629395,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",64735
5,-76.5095,42.4381,NA,1953,"Molothrus ater","Molothrus_ater",52.7999992370605,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",64736
5,-76.5095,42.4381,NA,1953,"Molothrus ater","Molothrus_ater",39.4000015258789,NA,"female",10.6,726,8.46257357516917,34.1007897176414,"Spring",64737
5,-76.5095,42.4381,NA,1953,"Molothrus ater","Molothrus_ater",43.2999992370605,NA,"female",10.6,726,8.46257357516917,34.1007897176414,"Spring",64738
9,-76.4646,42.5052,"imm.",1996,"Molothrus ater","Molothrus_ater",38.5,167,"female",7.6,1182,10.183896230041,32.521626256597,"Fall",64739
9,-76.4646,42.5052,NA,1996,"Molothrus ater","Molothrus_ater",39.7999992370605,165,"female",7.6,1182,10.183896230041,32.521626256597,"Fall",64740
9,-76.4646,42.5052,NA,1996,"Molothrus ater","Molothrus_ater",42.0999984741211,173,"female",7.6,1182,10.183896230041,32.521626256597,"Fall",64741
9,-76.4646,42.5052,NA,1996,"Molothrus ater","Molothrus_ater",38.0999984741211,162,NA,7.6,1182,10.183896230041,32.521626256597,"Fall",64742
5,-104.78205,39.370718,"Adult",2010,"Molothrus ater","Molothrus_ater",32.4,181,"undetermined",9.7,393,8.85513033971456,71.9264387637652,"Spring",64743
5,-103.0228579687,38.0872107196,NA,1979,"Molothrus ater","Molothrus_ater",54.7,213,"male",11.4,387,10.7431867062832,77.2666776128508,"Spring",64744
5,-103.0228579687,38.0872107196,NA,1979,"Molothrus ater","Molothrus_ater",42.7,194,"female",11.4,387,10.7431867062832,77.2666776128508,"Spring",64745
8,-105.422898,40.749232,"immature",1995,"Molothrus ater","Molothrus_ater",29.4,158,"undetermined",6.2,530,6.93487016766891,108.365570975859,"Summer",64746
6,-110.6951,43.69557,NA,1949,"Molothrus ater artemisiae","Molothrus_ater",42.1,NA,"male",2.4,519,10.7151938287592,40.0003644973506,"Summer",64747
6,-110.6951,43.69557,NA,1949,"Molothrus ater artemisiae","Molothrus_ater",44.6,NA,"male",2.4,519,10.7151938287592,40.0003644973506,"Summer",64748
10,-95.2598661,38.9259634,NA,1954,"Molothrus ater ater","Molothrus_ater",47.3,NA,"male",14.1,891,10.3207205527169,89.1188554860517,"Fall",64749
6,-98.6808931,37.2359259,NA,1956,"Molothrus ater ater","Molothrus_ater",46,NA,"male",15.5,362,10.6769789167104,129.616175570716,"Summer",64750
9,-95.2412999,38.9187151,NA,1955,"Molothrus ater ater","Molothrus_ater",40.7,NA,"female",12.8,746,10.9285974591547,66.7435511561128,"Fall",64751
9,-95.2412999,38.9187151,NA,1955,"Molothrus ater ater","Molothrus_ater",50,NA,"male",12.8,746,10.9285974591547,66.7435511561128,"Fall",64752
9,-95.2412999,38.9187151,NA,1955,"Molothrus ater ater","Molothrus_ater",47.4,NA,"male",12.8,746,10.9285974591547,66.7435511561128,"Fall",64753
9,-95.2412999,38.9187151,NA,1955,"Molothrus ater ater","Molothrus_ater",46.7,NA,"male",12.8,746,10.9285974591547,66.7435511561128,"Fall",64754
9,-95.2412999,38.9187151,NA,1955,"Molothrus ater ater","Molothrus_ater",52.5,NA,"male",12.8,746,10.9285974591547,66.7435511561128,"Fall",64755
7,-109.2375783,47.1638049,NA,1961,"Molothrus ater artemisiae","Molothrus_ater",44,NA,"male",5,415,8.65986912911121,71.6338313818282,"Summer",64756
9,-95.2352524,38.927063,NA,1954,"Molothrus ater ater","Molothrus_ater",50.9,NA,"male",14.2,887,10.3379119865872,88.5289235684275,"Fall",64757
10,-95.250583,38.9259634,NA,1957,"Molothrus ater ater","Molothrus_ater",49.6,NA,"male",12.7,1020,10.1867523893744,66.7157411238367,"Fall",64758
3,-95.4268112,38.8811531,NA,1962,"Molothrus ater ater","Molothrus_ater",31.8,NA,"female",12.2,878,10.8443079609312,64.850809149219,"Spring",64759
4,-95.4268112,38.8811531,NA,1962,"Molothrus ater ater","Molothrus_ater",51.5,NA,"male",12.2,878,10.8443079609312,64.850809149219,"Spring",64760
9,-95.264,38.994,NA,1962,"Molothrus ater ater","Molothrus_ater",44.7,NA,"male",12.2,913,10.9075731267387,66.4541403903092,"Fall",64761
9,-95.264,38.994,NA,1962,"Molothrus ater ater","Molothrus_ater",38.6,NA,"male",12.2,913,10.9075731267387,66.4541403903092,"Fall",64762
9,-95.264,38.994,NA,1962,"Molothrus ater ater","Molothrus_ater",43.3,NA,"male",12.2,913,10.9075731267387,66.4541403903092,"Fall",64763
