"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
3,-92.756195,29.652852,"adult",1957,"Neovison vison","Neovison_vison",474.5,480,"female",20.7,1638,5.55590731209638,52.0651559537646,"Spring",76204
12,-74.252658,44.438666,"adult",1937,"Neovison vison","Neovison_vison",398,482,"female",5.7,1036,10.6354752283729,44.3182796163759,"Winter",76205
12,-74.252658,44.438666,"adult",1937,"Neovison vison","Neovison_vison",909,572,"male",5.7,1036,10.6354752283729,44.3182796163759,"Winter",76206
12,-74.252658,44.438666,"adult",1937,"Neovison vison","Neovison_vison",398,481,"female",5.7,1036,10.6354752283729,44.3182796163759,"Winter",76207
12,-83.16508,29.289632,NA,1956,"Neovison vison","Neovison_vison",2.6,79,"male",21,1047,5.84167369125934,62.6827389808385,"Winter",76208
8,-76.455015,42.482716,NA,2009,"Neovison vison","Neovison_vison",800,545,"female",7.9,931,9.46394673900841,46.0634689467245,"Summer",76209
10,-76.366879,42.587849,"adult",1945,"Neovison vison","Neovison_vison",397,NA,"female",7.8,1223,10.29634754305,43.8951936543671,"Fall",76210
11,-73.58397,40.65743,"adult",1951,"Neovison vison","Neovison_vison",397,510,"female",12.1,1198,8.3031574863075,41.3854433015663,"Fall",76211
12,-73.58397,40.65743,NA,1951,"Neovison vison","Neovison_vison",596,558,"male",12.1,1198,8.3031574863075,41.3854433015663,"Winter",76212
12,-73.58397,40.65743,"adult",1951,"Neovison vison","Neovison_vison",567,856,"male",12.1,1198,8.3031574863075,41.3854433015663,"Winter",76213
11,-74.518484,43.448402,"Subadult",1931,"Neovison vison","Neovison_vison",539,547,"male",6,1430,10.1415848083148,32.9355270781467,"Fall",76214
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",1304,552,"male",9.2,758,9.32544173947613,31.6898416763969,"Fall",76215
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",567,503,"female",9.2,758,9.32544173947613,31.6898416763969,"Fall",76216
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",511,512,"female",9.2,758,9.32544173947613,31.6898416763969,"Fall",76217
11,-74.294898,44.84866,NA,1952,"Neovison vison","Neovison_vison",482,523,"male",7.6,921,10.1543989571918,40.6142628334494,"Fall",76218
11,-74.294898,44.84866,NA,1952,"Neovison vison","Neovison_vison",340,401,"female",7.6,921,10.1543989571918,40.6142628334494,"Fall",76219
11,-74.294898,44.84866,NA,1952,"Neovison vison","Neovison_vison",255,447,"female",7.6,921,10.1543989571918,40.6142628334494,"Fall",76220
11,-74.294898,44.84866,NA,1952,"Neovison vison","Neovison_vison",340,471,"female",7.6,921,10.1543989571918,40.6142628334494,"Fall",76221
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",992,571,"male",9.2,758,9.32544173947613,31.6898416763969,"Fall",76222
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",NA,628,"male",9.2,758,9.32544173947613,31.6898416763969,"Fall",76223
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",NA,508,"male",9.2,758,9.32544173947613,31.6898416763969,"Fall",76224
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",NA,556,"male",9.2,758,9.32544173947613,31.6898416763969,"Fall",76225
11,-78.4019834,42.9612707,"Young",1952,"Neovison vison","Neovison_vison",NA,496,"male",9.2,758,9.32544173947613,31.6898416763969,"Fall",76226
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",NA,511,"female",9.2,758,9.32544173947613,31.6898416763969,"Fall",76227
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",NA,540,"female",9.2,758,9.32544173947613,31.6898416763969,"Fall",76228
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",NA,501,"female",9.2,758,9.32544173947613,31.6898416763969,"Fall",76229
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",NA,486,"female",9.2,758,9.32544173947613,31.6898416763969,"Fall",76230
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",NA,468,"female",9.2,758,9.32544173947613,31.6898416763969,"Fall",76231
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",NA,464,"female",9.2,758,9.32544173947613,31.6898416763969,"Fall",76232
11,-78.4019834,42.9612707,NA,1952,"Neovison vison","Neovison_vison",NA,462,"female",9.2,758,9.32544173947613,31.6898416763969,"Fall",76233
11,-74.294898,44.84866,NA,1952,"Neovison vison","Neovison_vison",NA,538,"male",7.6,921,10.1543989571918,40.6142628334494,"Fall",76234
11,-74.294898,44.84866,NA,1952,"Neovison vison","Neovison_vison",397,433,"female",7.6,921,10.1543989571918,40.6142628334494,"Fall",76235
11,-74.294898,44.84866,NA,1952,"Neovison vison","Neovison_vison",397,478,"female",7.6,921,10.1543989571918,40.6142628334494,"Fall",76236
11,-74.294898,44.84866,NA,1952,"Neovison vison","Neovison_vison",NA,578,"male",7.6,921,10.1543989571918,40.6142628334494,"Fall",76237
11,-74.294898,44.84866,NA,1952,"Neovison vison","Neovison_vison",425,452,"female",7.6,921,10.1543989571918,40.6142628334494,"Fall",76238
11,-74.294898,44.84866,NA,1952,"Neovison vison","Neovison_vison",340,446,"female",7.6,921,10.1543989571918,40.6142628334494,"Fall",76239
11,-74.294898,44.84866,NA,1952,"Neovison vison","Neovison_vison",340,446,"female",7.6,921,10.1543989571918,40.6142628334494,"Fall",76240
11,-72.6097,40.8229,NA,1953,"Neovison vison","Neovison_vison",511,506,"female",11.8,1565,7.75398235903606,41.5043307509591,"Fall",76241
11,-78.508669,43.04306,"adult",1953,"Neovison vison","Neovison_vison",1080,562,"male",9.9,806,8.68242303144518,46.8615470054496,"Fall",76242
11,-78.508669,43.04306,"adult",1953,"Neovison vison","Neovison_vison",540,468,"female",9.9,806,8.68242303144518,46.8615470054496,"Fall",76243
11,-78.508669,43.04306,NA,1953,"Neovison vison","Neovison_vison",511,490,"female",9.9,806,8.68242303144518,46.8615470054496,"Fall",76244
12,-78.508669,43.04306,NA,1953,"Neovison vison","Neovison_vison",739,509,"male",9.9,806,8.68242303144518,46.8615470054496,"Winter",76245
12,-78.508669,43.04306,NA,1953,"Neovison vison","Neovison_vison",937,523,"male",9.9,806,8.68242303144518,46.8615470054496,"Winter",76246
12,-78.6704621,42.935077,NA,1956,"Neovison vison","Neovison_vison",511,458,"female",8.5,1028,9.14368468927979,46.8296165086348,"Winter",76247
1,-73.55527,40.63972,NA,1954,"Neovison vison","Neovison_vison",1420,442,"male",11.8,1203,8.41158562503365,49.6446718917206,"Winter",76248
1,-72.6097,40.8229,NA,1954,"Neovison vison","Neovison_vison",568,514,"female",10.8,1331,8.11655155166953,60.5547187710517,"Winter",76249
1,-72.6207,40.8092,"adult",1954,"Neovison vison","Neovison_vison",1136,655,"male",10.8,1328,8.08633340141179,60.8216456470095,"Winter",76250
1,-72.6207,40.8092,"adult",1954,"Neovison vison","Neovison_vison",767,608,"male",10.8,1328,8.08633340141179,60.8216456470095,"Winter",76251
1,-72.6207,40.8092,"adult",1954,"Neovison vison","Neovison_vison",767,619,"male",10.8,1328,8.08633340141179,60.8216456470095,"Winter",76252
1,-72.6207,40.8092,"adult",1954,"Neovison vison","Neovison_vison",569,554,"male",10.8,1328,8.08633340141179,60.8216456470095,"Winter",76253
11,-80.426985,37.229846,"adult",1953,"Neovison vison","Neovison_vison",858.1,587,"male",12.7,841,8.01547745227187,51.4997915243774,"Fall",76254
11,-77.23262,42.10446,NA,1954,"Neovison vison","Neovison_vison",312,491,"female",8.8,807,9.25967143863729,36.4189587282169,"Fall",76255
12,-78.6704621,42.935077,NA,1956,"Neovison vison","Neovison_vison",1049,600,"male",8.5,1028,9.14368468927979,46.8296165086348,"Winter",76256
11,-78.6704621,42.935077,NA,1956,"Neovison vison","Neovison_vison",1134,571,"male",8.5,1028,9.14368468927979,46.8296165086348,"Fall",76257
11,-78.508669,43.04306,NA,1956,"Neovison vison","Neovison_vison",794,546,"male",8.3,949,9.21801595690842,47.9951634060794,"Fall",76258
11,-78.508669,43.04306,NA,1956,"Neovison vison","Neovison_vison",511,544,"male",8.3,949,9.21801595690842,47.9951634060794,"Fall",76259
12,-78.6704621,42.935077,NA,1956,"Neovison vison","Neovison_vison",681,473,"female",8.5,1028,9.14368468927979,46.8296165086348,"Winter",76260
11,-78.508669,43.04306,NA,1956,"Neovison vison","Neovison_vison",482,484,"female",8.3,949,9.21801595690842,47.9951634060794,"Fall",76261
11,-78.508669,43.04306,NA,1956,"Neovison vison","Neovison_vison",737,488,"female",8.3,949,9.21801595690842,47.9951634060794,"Fall",76262
11,-74.294898,44.84866,NA,1956,"Neovison vison","Neovison_vison",794,512,"male",6.1,798,9.9757736845851,38.1104853145311,"Fall",76263
12,-122.5542,47.7525,NA,1963,"Neovison vison energumenos Bangs, 1896","Neovison_vison",2.5,22,"male",11.1,937,5.10509994559807,68.1545209068769,"Winter",76264
9,-133.36102,55.45464,NA,2007,"Neovison vison","Neovison_vison",3200,485,"female",6.8,2608,5.12149362683358,56.0727914460512,"Fall",76265
11,-135.345,57.053,NA,2007,"Neovison vison","Neovison_vison",455,490,"female",6.3,2550,5.1600666544908,53.8433317820993,"Fall",76266
9,-149.04997,64.4614,NA,2010,"Neovison vison","Neovison_vison",643,535,"female",-2.1,297,15.276271459259,120.96853394017,"Fall",76267
11,-164.0666666667,60.2666666667,NA,1960,"Neovison vison","Neovison_vison",668.3,610,"male",-1.6,464,9.53785122868909,75.5344637037664,"Fall",76268
11,-164.0666666667,60.2666666667,NA,1961,"Neovison vison","Neovison_vison",960,NA,"male",-2.9,477,11.1401675630725,72.7701611137891,"Fall",76269
11,-162.75,60.8333333333,NA,1961,"Neovison vison","Neovison_vison",1880,670,"male",-3.3,469,11.9577634221708,79.9377374652233,"Fall",76270
11,-162.75,60.8333333333,NA,1961,"Neovison vison","Neovison_vison",1975,705,"male",-3.3,469,11.9577634221708,79.9377374652233,"Fall",76271
11,-162.75,60.8333333333,NA,1961,"Neovison vison","Neovison_vison",1195,608,"female",-3.3,469,11.9577634221708,79.9377374652233,"Fall",76272
11,-162.4833333333,60.8833333333,NA,1960,"Neovison vison","Neovison_vison",1094,593,"male",-1.7,472,10.2638229040675,80.2749949257995,"Fall",76273
11,-162.4833333333,60.8833333333,NA,1960,"Neovison vison","Neovison_vison",1316,602,"male",-1.7,472,10.2638229040675,80.2749949257995,"Fall",76274
12,-162.4833333333,60.8833333333,NA,1960,"Neovison vison","Neovison_vison",1772,667,"male",-1.7,472,10.2638229040675,80.2749949257995,"Winter",76275
12,-162.4833333333,60.8833333333,NA,1960,"Neovison vison","Neovison_vison",1418,607,"male",-1.7,472,10.2638229040675,80.2749949257995,"Winter",76276
11,-162.4833333333,60.8833333333,NA,1960,"Neovison vison","Neovison_vison",1035,604,"male",-1.7,472,10.2638229040675,80.2749949257995,"Fall",76277
11,-162.4833333333,60.8833333333,NA,1960,"Neovison vison","Neovison_vison",841,542,"female",-1.7,472,10.2638229040675,80.2749949257995,"Fall",76278
11,-162.4833333333,60.8833333333,NA,1960,"Neovison vison","Neovison_vison",1495,632,"male",-1.7,472,10.2638229040675,80.2749949257995,"Fall",76279
11,-148.1833333333,64.9,NA,1978,"Neovison vison","Neovison_vison",616,NA,"female",-0.5,249,11.7439700839764,68.1542635230081,"Fall",76280
12,-145.2666666667,66.5666666667,NA,1961,"Neovison vison","Neovison_vison",950,601,"male",-7.9,271,19.0782995875292,82.6722229374721,"Winter",76281
12,-145.2666666667,66.5666666667,NA,1961,"Neovison vison","Neovison_vison",580,532,"female",-7.9,271,19.0782995875292,82.6722229374721,"Winter",76282
12,-145.2666666667,66.5666666667,NA,1961,"Neovison vison","Neovison_vison",675,556,"female",-7.9,271,19.0782995875292,82.6722229374721,"Winter",76283
12,-145.2666666667,66.5666666667,NA,1961,"Neovison vison","Neovison_vison",500,503,"female",-7.9,271,19.0782995875292,82.6722229374721,"Winter",76284
12,-145.2666666667,66.5666666667,NA,1961,"Neovison vison","Neovison_vison",725,567,"male",-7.9,271,19.0782995875292,82.6722229374721,"Winter",76285
12,-145.2666666667,66.5666666667,NA,1961,"Neovison vison","Neovison_vison",630,558,"female",-7.9,271,19.0782995875292,82.6722229374721,"Winter",76286
12,-145.2666666667,66.5666666667,NA,1961,"Neovison vison","Neovison_vison",1015,653,"male",-7.9,271,19.0782995875292,82.6722229374721,"Winter",76287
12,-145.2666666667,66.5666666667,NA,1961,"Neovison vison","Neovison_vison",620,567,"female",-7.9,271,19.0782995875292,82.6722229374721,"Winter",76288
12,-145.2666666667,66.5666666667,NA,1961,"Neovison vison","Neovison_vison",1100,688,"male",-7.9,271,19.0782995875292,82.6722229374721,"Winter",76289
12,-164,62.25,NA,1960,"Neovison vison","Neovison_vison",466,543,"female",-1.8,454,10.5311083188923,85.6265514944167,"Winter",76290
12,-164,62.25,NA,1960,"Neovison vison","Neovison_vison",667,615,"male",-1.8,454,10.5311083188923,85.6265514944167,"Winter",76291
12,-164,62.25,NA,1960,"Neovison vison","Neovison_vison",907,605,"male",-1.8,454,10.5311083188923,85.6265514944167,"Winter",76292
12,-164,62.25,NA,1960,"Neovison vison","Neovison_vison",1082,613,"male",-1.8,454,10.5311083188923,85.6265514944167,"Winter",76293
12,-164,62.25,NA,1960,"Neovison vison","Neovison_vison",1160,609,"male",-1.8,454,10.5311083188923,85.6265514944167,"Winter",76294
12,-164,62.25,NA,1960,"Neovison vison","Neovison_vison",925,634,"male",-1.8,454,10.5311083188923,85.6265514944167,"Winter",76295
12,-164,62.25,NA,1960,"Neovison vison","Neovison_vison",1245,641,"male",-1.8,454,10.5311083188923,85.6265514944167,"Winter",76296
12,-164,62.25,NA,1960,"Neovison vison","Neovison_vison",445,559,"female",-1.8,454,10.5311083188923,85.6265514944167,"Winter",76297
12,-164,62.25,NA,1960,"Neovison vison","Neovison_vison",797,550,"female",-1.8,454,10.5311083188923,85.6265514944167,"Winter",76298
12,-164,62.25,NA,1960,"Neovison vison","Neovison_vison",659,537,"female",-1.8,454,10.5311083188923,85.6265514944167,"Winter",76299
12,-163.7166666667,62.0833333333,NA,1960,"Neovison vison","Neovison_vison",742,534,"female",-2,472,10.6308691454593,93.7563932210684,"Winter",76300
12,-163.7166666667,62.0833333333,NA,1960,"Neovison vison","Neovison_vison",960,629,"male",-2,472,10.6308691454593,93.7563932210684,"Winter",76301
