"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
3,-80.925349,25.141791,NA,1934,"Oryzomys palustris","Oryzomys_palustris",83.8,279,"male",23.5,1105,3.10112394092363,74.9448442432096,"Spring",81690
3,-80.925349,25.141791,NA,1934,"Oryzomys palustris","Oryzomys_palustris",74.35,272,"female",23.5,1105,3.10112394092363,74.9448442432096,"Spring",81691
3,-87.039335,30.632844,NA,1966,"Oryzomys palustris","Oryzomys_palustris",58.5,260,"female",18.7,1488,6.83617826956943,40.8303836691815,"Spring",81692
3,-82.0148,28.2809,NA,1989,"Oryzomys palustris","Oryzomys_palustris",35.5,208,"female",22.7,1248,4.83406473045012,72.9664236340602,"Spring",81693
3,-82.0148,28.2809,NA,1989,"Oryzomys palustris","Oryzomys_palustris",50.5,230,"male",22.7,1248,4.83406473045012,72.9664236340602,"Spring",81694
3,-91.594268,30.04875,NA,1990,"Oryzomys palustris","Oryzomys_palustris",57,220,"male",20.7,1427,5.61731630088981,32.3022262254457,"Spring",81695
3,-91.594268,30.04875,NA,1990,"Oryzomys palustris","Oryzomys_palustris",62,220,"male",20.7,1427,5.61731630088981,32.3022262254457,"Spring",81696
3,-90.484466,30.986094,NA,1990,"Oryzomys palustris","Oryzomys_palustris",37,220,"female",19.7,1727,5.96174674423732,55.1969168997808,"Spring",81697
6,-84.0257,36.0344,"adult",1954,"Oryzomys palustris palustris","Oryzomys_palustris",45.9,240,"male",14.8,1360,8.71313880750145,33.98716520325,"Summer",81698
3,-82.098642,26.558075,NA,1954,"Oryzomys palustris","Oryzomys_palustris",47,235,"female",22.7,1334,4.56139100262057,73.4722708738731,"Spring",81699
3,-82.098642,26.558075,NA,1954,"Oryzomys palustris","Oryzomys_palustris",55,253,"female",22.7,1334,4.56139100262057,73.4722708738731,"Spring",81700
3,-82.098642,26.558075,NA,1954,"Oryzomys palustris","Oryzomys_palustris",36,226,"female",22.7,1334,4.56139100262057,73.4722708738731,"Spring",81701
3,-82.098642,26.558075,NA,1954,"Oryzomys palustris","Oryzomys_palustris",55,266,"male",22.7,1334,4.56139100262057,73.4722708738731,"Spring",81702
3,-82.098642,26.558075,NA,1954,"Oryzomys palustris","Oryzomys_palustris",44,235,"female",22.7,1334,4.56139100262057,73.4722708738731,"Spring",81703
3,-82.098642,26.558075,"adult",1954,"Oryzomys palustris","Oryzomys_palustris",64,261,"female",22.7,1334,4.56139100262057,73.4722708738731,"Spring",81704
3,-82.098642,26.558075,NA,1954,"Oryzomys palustris","Oryzomys_palustris",62,260,"male",22.7,1334,4.56139100262057,73.4722708738731,"Spring",81705
3,-82.098642,26.558075,NA,1954,"Oryzomys palustris","Oryzomys_palustris",50.5,240,"male",22.7,1334,4.56139100262057,73.4722708738731,"Spring",81706
3,-82.098642,26.558075,NA,1954,"Oryzomys palustris","Oryzomys_palustris",39.5,228,"female",22.7,1334,4.56139100262057,73.4722708738731,"Spring",81707
3,-82.112791,26.440809,NA,1954,"Oryzomys palustris","Oryzomys_palustris",73,266,"male",22.6,1330,4.66446105886811,70.222065686609,"Spring",81708
4,-82.112791,26.440809,NA,1954,"Oryzomys palustris","Oryzomys_palustris",71,246,"female",22.6,1330,4.66446105886811,70.222065686609,"Spring",81709
2,-96.5551934814,28.6758254971,NA,1995,"Oryzomys palustris texensis","Oryzomys_palustris",32.7,212,"male",21.7,1112,6.05712703175258,49.8181137053893,"Winter",81710
2,-96.5551934814,28.6758254971,NA,1995,"Oryzomys palustris texensis","Oryzomys_palustris",58.5,250,"male",21.7,1112,6.05712703175258,49.8181137053893,"Winter",81711
4,-101.6225,17.7086111,NA,1985,"Oryzomys palustris Harlan, 1837","Oryzomys_palustris",15.6,246,"male",27.1,763,1.10563296008406,136.536432077283,"Spring",81712
4,-101.6216667,17.6444444,NA,1985,"Oryzomys palustris Harlan, 1837","Oryzomys_palustris",13.2,179,"female",27.1,758,1.113552872566,135.885276684136,"Spring",81713
2,-94.9013187,29.3385687,NA,2009,"Oryzomys palustris","Oryzomys_palustris",43,224,"male",21.5,1126,6.46407320690619,76.6626718326804,"Winter",81714
