"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
9,-116.4483,33.1943,NA,1965,"Perognathus longimembris brevinasus","Perognathus_longimembris",5.3,121,"female",15.4,485,6.37587189521891,114.428589009875,"Fall",84199
8,-116.4483,33.1943,NA,1965,"Perognathus longimembris brevinasus","Perognathus_longimembris",7.5,NA,"female",15.4,485,6.37587189521891,114.428589009875,"Summer",84200
9,-116.4483,33.1943,NA,1965,"Perognathus longimembris brevinasus","Perognathus_longimembris",7.4,142,"male",15.4,485,6.37587189521891,114.428589009875,"Fall",84201
8,-118.4075546,37.9225344,NA,1965,"Perognathus longimembris panamintinus","Perognathus_longimembris",5.9,131,"female",8.1,249,6.9317451560982,95.4054315206234,"Summer",84202
7,-116.197546,33.185621,NA,1965,"Perognathus longimembris","Perognathus_longimembris",7.1,104,NA,20.9,115,6.78688574987219,126.594588654513,"Summer",84203
6,-118.8215894,34.7063673,NA,1973,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",8,135,"male",14.4,416,6.72599547662018,146.934449272462,"Summer",84204
4,-117.847089,36.9935567,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",8,132,"female",12.7,178,7.94930909900446,121.444746612064,"Spring",84205
7,-118.8029,35.1219399,NA,1972,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",10,131,"male",18.7,116,7.73749235080642,152.072133854841,"Summer",84206
9,-118.0565649,37.3105509,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6.5,131.5,"male",12.2,172,8.03328303768991,129.020311584515,"Fall",84207
4,-117.847089,36.9935567,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6,117,"female",12.7,178,7.94930909900446,121.444746612064,"Spring",84208
6,-118.0149534,36.4122647,NA,1972,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",10,138,"female",15.1,71,8.35625332891301,199.389521121076,"Summer",84209
9,-117.95541,37.5682484,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",7,125,"male",11.8,143,8.20965340869571,131.103495600827,"Fall",84210
5,-117.8607668,36.7608856,NA,1977,"Perognathus longimembris salinensis Bole, 1937","Perognathus_longimembris",7,139,"female",20.1,72,8.69630276716386,105.71289527215,"Spring",84211
7,-118.8215894,34.7063673,NA,1973,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",9,132,"male",14.4,416,6.72599547662018,146.934449272462,"Summer",84212
4,-117.847089,36.9935567,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6,69,"female",12.7,178,7.94930909900446,121.444746612064,"Spring",84213
6,-118.0149534,36.4122647,NA,1972,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",8,141,"male",15.1,71,8.35625332891301,199.389521121076,"Summer",84214
9,-117.95541,37.5682484,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6,131,"female",11.8,143,8.20965340869571,131.103495600827,"Fall",84215
5,-118.1837939,34.7914279,NA,1976,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",9,140,"female",16.5,106,6.99486283358052,147.040618444815,"Spring",84216
9,-117.95541,37.5682484,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6,136,"male",11.8,143,8.20965340869571,131.103495600827,"Fall",84217
9,-118.0565649,37.3105509,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6.7,127,"male",12.2,172,8.03328303768991,129.020311584515,"Fall",84218
7,-116.13761,36.66056,NA,1968,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",7.8,140,"female",15.9,120,8.33779274621215,138.235635452986,"Summer",84219
3,-117.1633671,33.5240792,NA,1984,"Perognathus longimembris brevinasus Osgood, 1900","Perognathus_longimembris",8.1,120,"male",18.8,236,6.02026879496558,188.646858843002,"Spring",84220
9,-117.95541,37.5682484,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6,137,"female",11.8,143,8.20965340869571,131.103495600827,"Fall",84221
6,-118.0149534,36.4122647,NA,1972,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",9,138,"male",15.1,71,8.35625332891301,199.389521121076,"Summer",84222
9,-118.0565649,37.3105509,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6,120,"male",12.2,172,8.03328303768991,129.020311584515,"Fall",84223
9,-118.0565649,37.3105509,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6,123,"male",12.2,172,8.03328303768991,129.020311584515,"Fall",84224
8,-118.0565649,37.3105509,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6,138,"female",12.2,172,8.03328303768991,129.020311584515,"Summer",84225
9,-118.0565649,37.3105509,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6.5,117,"male",12.2,172,8.03328303768991,129.020311584515,"Fall",84226
6,-118.8787585,34.7729701,NA,1973,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",15,151,"male",12.4,445,6.78860453371321,141.416433844589,"Summer",84227
9,-118.0565649,37.3105509,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",5,135,"male",12.2,172,8.03328303768991,129.020311584515,"Fall",84228
9,-118.3831355,35.3490059,NA,1973,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",8.2,134,"male",14.6,285,7.5918417137122,131.971427868042,"Fall",84229
6,-117.3027,35.07937,"Juvenile",1987,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",4,115,"male",18.5,139,8.23957559954431,114.9728929401,"Summer",84230
4,-117.847089,36.9935567,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",7,128,"male",12.7,178,7.94930909900446,121.444746612064,"Spring",84231
8,-116.6418847,33.918083,NA,1977,"Perognathus longimembris bangsi Mearns, 1898","Perognathus_longimembris",5,124,"female",20,222,6.63340376085652,139.620880618914,"Summer",84232
4,-117.847089,36.9935567,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6,124,"female",12.7,178,7.94930909900446,121.444746612064,"Spring",84233
9,-118.0565649,37.3105509,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6.5,129,"male",12.2,172,8.03328303768991,129.020311584515,"Fall",84234
9,-118.3831355,35.3490059,NA,1973,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",10.6,138,"male",14.6,285,7.5918417137122,131.971427868042,"Fall",84235
4,-117.847089,36.9935567,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",7,130,"male",12.7,178,7.94930909900446,121.444746612064,"Spring",84236
4,-117.847089,36.9935567,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",7,123,"female",12.7,178,7.94930909900446,121.444746612064,"Spring",84237
4,-117.847089,36.9935567,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6.9,136,"female",12.7,178,7.94930909900446,121.444746612064,"Spring",84238
7,-118.8215894,34.7063673,NA,1973,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",9,121,"female",14.4,416,6.72599547662018,146.934449272462,"Summer",84239
6,-118.8721782,34.7353372,NA,1973,"Perognathus longimembris longimembris Coues, 1875","Perognathus_longimembris",11,144,"female",13.3,433,6.67702415115832,146.047764580146,"Summer",84240
8,-118.0565649,37.3105509,NA,1977,"Perognathus longimembris panamintinus Merriam, 1894","Perognathus_longimembris",6,119,"female",12.2,172,8.03328303768991,129.020311584515,"Summer",84241
7,-117.564297,35.477986,NA,2003,"Perognathus longimembris","Perognathus_longimembris",10,NA,"male",18.1,179,7.65890252443442,130.008054334402,"Summer",84242
7,-117.564297,35.477986,NA,2003,"Perognathus longimembris","Perognathus_longimembris",7,NA,"female",18.1,179,7.65890252443442,130.008054334402,"Summer",84243
7,-116.121043,38.468668,NA,2003,"Perognathus longimembris","Perognathus_longimembris",8,NA,"male",10.8,178,8.93306761251122,80.7954499311126,"Summer",84244
9,-118.085622,38.261526,NA,2006,"Perognathus longimembris","Perognathus_longimembris",5.8,NA,"male",13.3,91,9.317672195968,87.5542166463389,"Fall",84245
8,-113.770568,38.667264,NA,1975,"Perognathus longimembris gulosus","Perognathus_longimembris",6.2,94,"female",8.6,194,9.03211022693563,71.2605212454806,"Summer",84246
8,-113.770568,38.667264,NA,1975,"Perognathus longimembris gulosus","Perognathus_longimembris",8.2,127,"female",8.6,194,9.03211022693563,71.2605212454806,"Summer",84247
8,-113.770568,38.667264,NA,1975,"Perognathus longimembris gulosus","Perognathus_longimembris",6,115,"male",8.6,194,9.03211022693563,71.2605212454806,"Summer",84248
7,-111.310918,37.032259,NA,1982,"Perognathus longimembris arizonensis","Perognathus_longimembris",8,129,"female",14.3,211,9.5633612703839,60.5969071628201,"Summer",84249
6,-116.452283,33.207566,NA,1983,"Perognathus longimembris ssp.","Perognathus_longimembris",19,180,"male",16.8,558,6.47617428219264,99.9027904551982,"Summer",84250
4,-118.11463,36.58771,NA,2007,"Perognathus longimembris longimembris","Perognathus_longimembris",8,138,"male",15.4,125,7.88125893650516,160.558298672872,"Spring",84251
4,-118.12305,36.59187,NA,2007,"Perognathus longimembris longimembris","Perognathus_longimembris",8,NA,"female",15.4,125,7.86354746840628,161.131273416203,"Spring",84252
5,-118.26698,36.77765,NA,2007,"Perognathus longimembris longimembris","Perognathus_longimembris",8,138,"female",13.2,160,7.63776006351854,179.782488886896,"Spring",84253
5,-118.26698,36.77765,NA,2007,"Perognathus longimembris longimembris","Perognathus_longimembris",8,148,"female",13.2,160,7.63776006351854,179.782488886896,"Spring",84254
5,-118.26698,36.77765,NA,2007,"Perognathus longimembris longimembris","Perognathus_longimembris",8,143,"male",13.2,160,7.63776006351854,179.782488886896,"Spring",84255
5,-118.26698,36.77765,NA,2007,"Perognathus longimembris longimembris","Perognathus_longimembris",9,142,"male",13.2,160,7.63776006351854,179.782488886896,"Spring",84256
5,-118.26698,36.77765,NA,2007,"Perognathus longimembris longimembris","Perognathus_longimembris",8,139,"male",13.2,160,7.63776006351854,179.782488886896,"Spring",84257
5,-118.26698,36.77765,NA,2007,"Perognathus longimembris longimembris","Perognathus_longimembris",8,137,"female",13.2,160,7.63776006351854,179.782488886896,"Spring",84258
5,-118.26698,36.77765,NA,2007,"Perognathus longimembris longimembris","Perognathus_longimembris",9,147,"female",13.2,160,7.63776006351854,179.782488886896,"Spring",84259
5,-118.26698,36.77765,NA,2007,"Perognathus longimembris longimembris","Perognathus_longimembris",8,142,"male",13.2,160,7.63776006351854,179.782488886896,"Spring",84260
6,-116.396904,34.4491959,NA,1994,"Perognathus longimembris","Perognathus_longimembris",6,134,"male",18.8,64,8.48054815266661,123.944406526035,"Summer",84298
6,-116.396904,34.4491959,NA,1994,"Perognathus longimembris","Perognathus_longimembris",7,140,"female",18.8,64,8.48054815266661,123.944406526035,"Summer",84299
6,-116.396904,34.4491959,NA,1994,"Perognathus longimembris","Perognathus_longimembris",8,134,"male",18.8,64,8.48054815266661,123.944406526035,"Summer",84300
6,-116.24,36.27,"unknown",1964,"Perognathus longimembris","Perognathus_longimembris",8.25,64,"male",16,61,8.83304316275832,135.206386136881,"Summer",84301
6,-116.24,36.27,"unknown",1964,"Perognathus longimembris","Perognathus_longimembris",4.4,51,"female",16,61,8.83304316275832,135.206386136881,"Summer",84302
7,-116.24,36.27,"unknown",1964,"Perognathus longimembris","Perognathus_longimembris",7.2,61,"female",16,61,8.83304316275832,135.206386136881,"Summer",84303
7,-118.4725,40.17944,"unknown",1964,"Perognathus longimembris","Perognathus_longimembris",7.3,61,"female",9.7,126,8.39849824238076,78.6900341539641,"Summer",84304
7,-118.4725,40.17944,"unknown",1964,"Perognathus longimembris","Perognathus_longimembris",7.8,61,"female",9.7,126,8.39849824238076,78.6900341539641,"Summer",84305
6,-114.91889,35.46528,"unknown",1964,"Perognathus longimembris","Perognathus_longimembris",8.15,65,"female",16.4,60,9.1247042293286,83.557274858735,"Summer",84306
6,-114.91889,35.46528,"unknown",1964,"Perognathus longimembris","Perognathus_longimembris",7.7,64,"female",16.4,60,9.1247042293286,83.557274858735,"Summer",84307
11,-116.42538,33.17194,"unknown",1963,"Perognathus longimembris","Perognathus_longimembris",8,106,"male",15.7,325,6.6450881837412,97.9864411913335,"Fall",84308
