"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
7,-106.645899,39.865026,NA,2007,"Peromyscus truei truei","Peromyscus_truei",19.5,172,"female",5.5,319,10.0922224780003,63.6444539988099,"Summer",100971
7,-108.7349,40.8295,NA,2007,"Peromyscus truei truei","Peromyscus_truei",19.6,158,"male",7.4,227,10.3083667107076,57.797381247736,"Summer",100972
7,-108.7349,40.8295,NA,2007,"Peromyscus truei truei","Peromyscus_truei",15.5,155,"male",7.4,227,10.3083667107076,57.797381247736,"Summer",100973
7,-103.6493,37.074831,NA,1991,"Peromyscus truei truei","Peromyscus_truei",26.3,176,"female",10.5,406,8.19920543083107,72.4078522837945,"Summer",100974
7,-103.6493,37.074831,NA,1991,"Peromyscus truei truei","Peromyscus_truei",25,181,"male",10.5,406,8.19920543083107,72.4078522837945,"Summer",100975
7,-103.6493,37.074831,NA,1991,"Peromyscus truei truei","Peromyscus_truei",24,177,"male",10.5,406,8.19920543083107,72.4078522837945,"Summer",100976
7,-103.6493,37.074831,NA,1991,"Peromyscus truei truei","Peromyscus_truei",25,168,"male",10.5,406,8.19920543083107,72.4078522837945,"Summer",100977
7,-103.6493,37.074831,"immature",1991,"Peromyscus truei truei","Peromyscus_truei",20,166,"female",10.5,406,8.19920543083107,72.4078522837945,"Summer",100978
7,-103.6493,37.074831,"immature",1991,"Peromyscus truei truei","Peromyscus_truei",22,162,"male",10.5,406,8.19920543083107,72.4078522837945,"Summer",100979
4,-108.0551111111,39.1627222222,NA,1992,"Peromyscus truei truei","Peromyscus_truei",20.2,162,"male",8.6,557,9.09013784607285,67.1515311656961,"Spring",100980
4,-108.0551111111,39.1627222222,NA,1992,"Peromyscus truei truei","Peromyscus_truei",23.7,176,"female",8.6,557,9.09013784607285,67.1515311656961,"Spring",100981
5,-118.6400834,34.3284827,NA,1974,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",29,201,"female",17,552,5.48954929981975,174.004496613018,"Spring",100982
8,-118.3157875,35.150718,NA,1972,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",27.3,202,"female",13,147,7.0349937003267,187.911509565221,"Summer",100983
9,-118.3063275,35.1538752,NA,1972,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",24.6,196,"male",13.2,146,7.07506826179726,183.834362168751,"Fall",100984
9,-118.3157875,35.150718,NA,1972,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",30,198,"female",13,147,7.0349937003267,187.911509565221,"Fall",100985
8,-118.55714,35.0483281,NA,1972,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",22,198,"male",10.3,231,7.27417078477407,174.008351677846,"Summer",100986
8,-118.55714,35.0483281,NA,1972,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",26,205,"male",10.3,231,7.27417078477407,174.008351677846,"Summer",100987
6,-118.86857,34.7381,NA,1973,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",28,200,"male",13.4,431,6.66842401080486,145.04927584837,"Summer",100988
2,-117.8720092,34.4298263,NA,1973,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",27,207,"male",13.1,312,7.36718255426583,164.973468452259,"Winter",100989
6,-118.6025078,34.3357327,NA,1974,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",28,201,"male",16.3,643,5.80252687902591,178.297558380509,"Summer",100990
8,-118.55714,35.0483281,NA,1972,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",31,218,"male",10.3,231,7.27417078477407,174.008351677846,"Summer",100991
5,-118.5888753,34.327708,NA,1974,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",26,198,"female",16.2,643,5.92595728106183,179.834654994955,"Spring",100992
8,-118.5571354,35.0483281,NA,1972,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",23.8,205,"male",10.3,231,7.27417078477407,174.008351677846,"Summer",100993
8,-118.3165309,34.4821522,NA,1973,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",16.5,180,"male",15.9,398,6.40898989819391,154.467728054767,"Summer",100994
8,-118.5571354,35.0483281,NA,1972,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",20.1,198,"female",10.3,231,7.27417078477407,174.008351677846,"Summer",100995
5,-110.018482,23.523515,NA,1991,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",17,205,"female",19.1,495,3.82693801170787,193.736162578308,"Spring",100996
8,-118.55714,35.0483281,NA,1972,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",25,193,"male",10.3,231,7.27417078477407,174.008351677846,"Summer",100997
4,-118.2354968,34.512501,NA,1973,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",29,190,"male",15.2,345,6.8091460328715,151.405402863653,"Spring",100998
7,-118.1764,34.37657,NA,1978,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",28,214,"female",12.9,1416,6.88266927606117,128.178937076891,"Summer",100999
9,-116.647718,34.0360059,NA,1977,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",19,180,"female",17.6,246,6.55498884727341,146.563177957539,"Fall",101000
4,-118.2354968,34.512501,NA,1973,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",33,215,"female",15.2,345,6.8091460328715,151.405402863653,"Spring",101001
8,-118.3157875,35.150718,NA,1972,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",25.3,196,"female",13,147,7.0349937003267,187.911509565221,"Summer",101002
8,-118.3157875,35.150718,NA,1972,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",24.9,188,"female",13,147,7.0349937003267,187.911509565221,"Summer",101003
9,-121.23658,36.4935,NA,1976,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",16.5,182,"male",14.5,280,5.41806042674671,86.5543251717493,"Fall",101004
4,-119.3295059,34.6929689,NA,1973,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",26,190,"male",13.7,391,6.4160487699348,145.927310930926,"Spring",101005
6,-118.6025078,34.3357327,NA,1974,"Peromyscus truei Shufeldt, 1885","Peromyscus_truei",25,197,"male",16.3,643,5.80252687902591,178.297558380509,"Summer",101006
1,-121.94952,37.881664,NA,1971,"Peromyscus truei","Peromyscus_truei",25.1,NA,"female",13.8,333,5.9121344143493,129.464697731348,"Winter",101007
1,-121.94952,37.881664,NA,1971,"Peromyscus truei","Peromyscus_truei",24.8,NA,"male",13.8,333,5.9121344143493,129.464697731348,"Winter",101008
1,-121.94952,37.881664,NA,1971,"Peromyscus truei","Peromyscus_truei",32,NA,"male",13.8,333,5.9121344143493,129.464697731348,"Winter",101009
1,-121.94952,37.881664,NA,1971,"Peromyscus truei","Peromyscus_truei",23,NA,"female",13.8,333,5.9121344143493,129.464697731348,"Winter",101010
7,-119.85842,35.120688,NA,2003,"Peromyscus truei","Peromyscus_truei",23,NA,"female",15.1,272,6.40134337226937,103.648941387722,"Summer",101011
7,-119.85842,35.120688,NA,2003,"Peromyscus truei","Peromyscus_truei",17,NA,"male",15.1,272,6.40134337226937,103.648941387722,"Summer",101012
7,-118.47556,37.891667,NA,2003,"Peromyscus truei","Peromyscus_truei",28.5,NA,"female",11.5,172,8.13022792181167,87.1564321768448,"Summer",101013
7,-118.457184,37.906165,NA,2003,"Peromyscus truei","Peromyscus_truei",19,NA,"female",11.2,176,8.10016834841889,85.9658083796584,"Summer",101014
7,-118.457184,37.906165,NA,2003,"Peromyscus truei","Peromyscus_truei",24,NA,"female",11.2,176,8.10016834841889,85.9658083796584,"Summer",101015
7,-108.738167,40.788019,NA,1976,"Peromyscus truei truei","Peromyscus_truei",18.5,175,"female",7.7,194,9.51185862728492,62.5401498660546,"Summer",101016
