"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
10,-76.655259,42.276659,NA,1953,"Picoides villosus","Picoides_villosus",75.5,NA,"male",9,867,8.52914788454062,36.6418370422818,"Fall",104169
6,-76.4646,42.5052,"nat.",2005,"Picoides villosus","Picoides_villosus",40.2000007629395,NA,"undetermined",8.5,1073,10.8700136600511,50.0924520157999,"Summer",104170
12,-76.5095,42.4381,NA,2006,"Picoides villosus","Picoides_villosus",58.2,180,"male",10.5,1055,8.50810665118149,49.1325543788149,"Winter",104171
1,-76.2954,42.3784,NA,2010,"Picoides villosus","Picoides_villosus",58,22.9,"male",8.6,1083,10.2188291744686,45.3983372256612,"Winter",104172
10,-76.655259,42.276659,NA,2012,"Picoides villosus","Picoides_villosus",60,NA,"female",9.6,1077,8.72503798724039,33.8959977213799,"Fall",104173
6,-76.496727,42.440786,"young",2011,"Picoides villosus","Picoides_villosus",62.6,183,NA,10.2,1230,10.0028935207708,52.4582546083661,"Summer",104174
12,-76.5095,42.4381,NA,1934,"Picoides villosus villosus","Picoides_villosus",67.5999984741211,NA,"female",8.9,704,11.0734291587265,50.3319570189957,"Winter",104175
1,-76.5095,42.4381,NA,1935,"Picoides villosus villosus","Picoides_villosus",71.6999969482422,NA,"male",8.4,831,10.1394033355025,29.2673032679563,"Winter",104176
11,-76.5095,42.4381,NA,1930,"Picoides villosus villosus","Picoides_villosus",74,246,"male",9.3,679,9.63514715020277,52.3967123390127,"Fall",104177
2,-76.5095,42.4381,NA,1934,"Picoides villosus villosus","Picoides_villosus",65,230,"female",8.9,704,11.0734291587265,50.3319570189957,"Winter",104178
1,-76.5095,42.4381,NA,1934,"Picoides villosus villosus","Picoides_villosus",71,225,"female",8.9,704,11.0734291587265,50.3319570189957,"Winter",104179
4,-76.5095,42.4381,NA,1931,"Picoides villosus villosus","Picoides_villosus",63.5,255,"female",10.6,734,9.79039031010728,45.7361463765925,"Spring",104180
5,-105.399007,39.819956,"adult",1992,"Picoides villosus","Picoides_villosus",57,224,"male",4.9,562,7.21103426364867,86.8624400298578,"Spring",104181
4,-105.4389402,40.1215683,NA,1995,"Picoides villosus","Picoides_villosus",69,195,"male",5.1,707,6.92130549079938,92.8143051043037,"Spring",104182
10,-104.78205,39.370718,NA,2007,"Picoides villosus","Picoides_villosus",64.1,22.7,"male",9.5,442,9.24450287107605,60.6092285673409,"Fall",104183
8,-108.47917,37.23333,"juvenile",2005,"Picoides villosus","Picoides_villosus",55.2,196,"undetermined",9.4,620,7.90191288693613,76.793659278502,"Summer",104184
6,-103.9333,44.4833,NA,2007,"Picoides villosus","Picoides_villosus",81,NA,NA,8.1,523,10.4357304342806,67.2258486086865,"Summer",104185
6,-108.72642,42.56598,NA,2008,"Picoides villosus","Picoides_villosus",66,NA,"male",2.7,425,8.84922526997634,86.8808123716145,"Summer",104186
6,-109.76675,42.9608,NA,2008,"Picoides villosus","Picoides_villosus",72,NA,"male",0.8,558,9.19951826802014,73.1311267280503,"Summer",104187
6,-104.42025,44.44875,NA,2008,"Picoides villosus","Picoides_villosus",13,NA,"male",3.8,945,9.55121363064306,111.687421274891,"Summer",104188
6,-103.95,44.23333,NA,2008,"Picoides villosus","Picoides_villosus",63.5,NA,NA,2.8,808,9.08088234933281,92.9937358366349,"Summer",104189
6,-110.43045,46.7413833333,NA,2009,"Picoides villosus","Picoides_villosus",68,NA,NA,1.7,624,8.65974228043978,53.8002446766994,"Summer",104190
6,-111.0448666667,46.9036666667,NA,2009,"Picoides villosus","Picoides_villosus",71,NA,NA,2.7,561,8.77749791779922,57.9424575410796,"Summer",104191
6,-111.0448666667,46.9036666667,NA,2009,"Picoides villosus","Picoides_villosus",76,NA,NA,2.7,561,8.77749791779922,57.9424575410796,"Summer",104192
6,-111.8733333333,46.7915333333,NA,2009,"Picoides villosus","Picoides_villosus",67,NA,"male",6.4,312,9.47714955228436,62.3885074801692,"Summer",104193
6,-110.9229666667,46.81075,NA,2009,"Picoides villosus","Picoides_villosus",63,NA,"female",3.3,431,8.73007688535688,67.8555606002714,"Summer",104194
6,-110.9229666667,46.81075,NA,2009,"Picoides villosus","Picoides_villosus",63,NA,"female",3.3,431,8.73007688535688,67.8555606002714,"Summer",104195
6,-111.8733333333,46.7915333333,NA,2009,"Picoides villosus","Picoides_villosus",68,NA,NA,6.4,312,9.47714955228436,62.3885074801692,"Summer",104196
9,-103.9333,44.4833,NA,2010,"Picoides villosus","Picoides_villosus",82,NA,"male",6.5,592,9.70621481632289,82.6623794832287,"Fall",104197
5,-103.778,43.639,NA,2011,"Picoides villosus","Picoides_villosus",83,NA,"male",5.8,533,10.0812156554113,85.8724302873337,"Spring",104198
5,-103.778,43.639,NA,2011,"Picoides villosus","Picoides_villosus",66,NA,"female",5.8,533,10.0812156554113,85.8724302873337,"Spring",104199
8,-114.650885,43.795356,NA,1948,"Picoides villosus monticola","Picoides_villosus",75,NA,"male",1.3,804,8.99630816535653,62.5912058991461,"Summer",104200
6,-105.8638751,42.4482212,NA,1949,"Picoides villosus monticola","Picoides_villosus",66.9,NA,"female",1.2,647,10.5227747233697,76.1129849756005,"Summer",104201
7,-111.172949,43.3163447,NA,1949,"Picoides villosus monticola","Picoides_villosus",59.9,NA,"female",5,448,10.536976738509,46.3393767046034,"Summer",104202
6,-101.8001034,39.7870332,"immature",1954,"Picoides villosus villosus","Picoides_villosus",57.5,NA,"male",12.5,266,9.88768747667338,92.7904500384176,"Summer",104203
7,-98.582322,38.1942228,NA,1957,"Picoides villosus villosus","Picoides_villosus",63.9,NA,"undetermined",13,852,10.1655799220465,82.3366180854638,"Summer",104204
7,-104.980545,36.5090843,NA,1963,"Picoides villosus monticola","Picoides_villosus",61,NA,"female",9.4,366,8.68664945694707,102.004056962233,"Summer",104205
3,-101.3448009,38.9122703,NA,1967,"Picoides villosus","Picoides_villosus",76.2,NA,"male",11.4,484,8.88797280632995,116.619314574137,"Spring",104206
2,-100.4903539,39.8510785,NA,1967,"Picoides villosus","Picoides_villosus",75.6,NA,"male",10.9,498,9.12148645515166,109.219496920202,"Winter",104207
12,-95.5360794,38.0056315,NA,1966,"Picoides villosus","Picoides_villosus",66.2,NA,"female",13,655,9.84308325062772,81.5367050850986,"Winter",104208
