"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-101.8985211,37.1131734,NA,1965,"Polioptila caerulea","Polioptila_caerulea",6.9,NA,"male",13.5,478,9.01464717203972,100.269002583568,"Summer",109756
6,-101.8985211,37.1131734,NA,1965,"Polioptila caerulea","Polioptila_caerulea",6.9,NA,"female",13.5,478,9.01464717203972,100.269002583568,"Summer",109757
6,-101.7871084,38.8948282,NA,1965,"Polioptila caerulea","Polioptila_caerulea",6,NA,"male",11.3,568,9.73075022801428,95.8560511179791,"Summer",109758
4,-95.1864548,38.805701,NA,1968,"Polioptila caerulea","Polioptila_caerulea",6.6,NA,"male",11.9,999,10.1798784001787,79.9910552567688,"Spring",109759
4,-95.1864548,38.805701,NA,1968,"Polioptila caerulea","Polioptila_caerulea",6.4,NA,"female",11.9,999,10.1798784001787,79.9910552567688,"Spring",109760
4,-96.9285965,37.196698,NA,1960,"Polioptila caerulea","Polioptila_caerulea",6,NA,"undetermined",13.9,828,10.4076749069952,68.3999694079185,"Spring",109761
8,-120.28173,35.59775,"imm.",1947,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.2,NA,"female",14.6,104,6.07759796051836,93.2076166137476,"Summer",109762
3,-119.9675636,33.9423492,"u ad.",1950,"Polioptila caerulea amoenissima","Polioptila_caerulea",6.6,NA,"male",14,246,2.27676005842433,96.1637639238733,"Spring",109763
9,-116.39535,34.05628,"ad.",1950,"Polioptila caerulea amoenissima","Polioptila_caerulea",4.9,NA,"male",14.3,82,5.90174601796842,107.145599754757,"Fall",109764
9,-116.1895741,33.9624857,"ad.",1950,"Polioptila caerulea amoenissima","Polioptila_caerulea",4.7,NA,"female",14.3,85,6.02311205174524,99.5293511730261,"Fall",109765
3,-97.60954,28.28169,"u ad.",1951,"Polioptila caerulea caerulea","Polioptila_caerulea",5.9,NA,"male",22.8,631,6.4448005822876,116.303968416689,"Spring",109766
7,-84.4794,31.1899,"ad.",1951,"Polioptila caerulea caerulea","Polioptila_caerulea",5.2,NA,"female",20.2,1207,6.60653372645504,51.3031598636248,"Summer",109767
7,-83.5927,31.5136,"ad.",1951,"Polioptila caerulea caerulea","Polioptila_caerulea",5.2,NA,"male",19.6,1146,6.52860256985762,54.3247188894842,"Summer",109768
4,-102.5421973639,29.06028,"u ad.",1953,"Polioptila caerulea amoenissima","Polioptila_caerulea",6.3,NA,"male",19.2,213,6.60240429118381,106.416775602656,"Spring",109769
6,-118.099737,37.432159,"u ad.",1954,"Polioptila caerulea amoenissima","Polioptila_caerulea",8.7,NA,"female",6.2,289,6.69886353997995,93.1612499083614,"Summer",109770
6,-118.041891,37.416847,"u ad.",1954,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.6,NA,"male",8.3,229,7.31629045764355,99.6341835736552,"Summer",109771
6,-114.82083,40.5525,"u ad.",1956,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.3,NA,"male",3,727,7.97288967043754,111.831904649184,"Summer",109772
6,-106.6953533524,29.5152066475,"u ad.",1957,"Polioptila caerulea amoenissima","Polioptila_caerulea",6,NA,"female",14.3,459,5.82868429459519,151.355595038893,"Summer",109773
11,-104.568427,19.217673,"sk.oss.",1957,"Polioptila caerulea caerulea","Polioptila_caerulea",6.2,NA,"female",26.5,969,1.73316578444292,154.069885492477,"Fall",109774
6,-106.770421,29.485097,"u ad.",1959,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.8,NA,"male",12.5,463,6.20212573529138,151.806493038029,"Summer",109775
6,-106.770421,29.485097,"ad.",1959,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.7,NA,"male",12.5,463,6.20212573529138,151.806493038029,"Summer",109776
6,-106.770421,29.485097,"ad.",1959,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.4,NA,"male",12.5,463,6.20212573529138,151.806493038029,"Summer",109777
9,-106.401684,29.480204,"s.n.o.",1961,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.3,NA,"female",16.1,300,6.45126250270347,106.69242113324,"Fall",109778
6,-114.005,38.87472,"u ad.",1962,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.5,NA,"male",9.7,148,9.27954332079032,64.1545878549474,"Summer",109779
6,-114.33583,39.14361,"u ad.",1962,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.5,NA,"male",7.7,248,8.93923934124151,79.5461564826503,"Summer",109780
6,-115.65611,36.40167,"ad.sk.",1963,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.7,NA,"male",9.9,447,7.74891488004493,157.395981687623,"Summer",109781
12,-114.6468209,32.7326189,"unknown",1962,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.4,NA,"female ?",22.8,38,7.64732078256922,137.055801155757,"Winter",109782
12,-114.6468209,32.7326189,"unknown",1962,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.5,NA,"female ?",22.8,38,7.64732078256922,137.055801155757,"Winter",109783
6,-94.274,31.04448,"ad.sk.",1964,"Polioptila caerulea caerulea","Polioptila_caerulea",5.3,NA,"female",18.7,1013,7.49931309985768,41.6582448880009,"Summer",109784
6,-94.274,31.04448,"imm.sk.",1964,"Polioptila caerulea caerulea","Polioptila_caerulea",5.4,NA,"male",18.7,1013,7.49931309985768,41.6582448880009,"Summer",109785
9,-119.75781,34.00136,"sk.oss.",1967,"Polioptila caerulea amoenissima","Polioptila_caerulea",6.2,NA,"male",13.7,541,3.44474786868181,139.37579381372,"Fall",109786
8,-119.73334,34.00422,"sk.1/4 oss.",1967,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.1,NA,"undetermined",13.8,522,3.4193190000704,140.262184375505,"Summer",109787
8,-119.73334,34.00422,"sk.1/2 oss.",1967,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.5,NA,"male",13.8,522,3.4193190000704,140.262184375505,"Summer",109788
8,-119.73334,34.00422,"ad. sk.oss.",1967,"Polioptila caerulea amoenissima","Polioptila_caerulea",6,NA,"undetermined",13.8,522,3.4193190000704,140.262184375505,"Summer",109789
8,-119.73334,34.00422,"s.n.o.",1967,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.3,NA,"undetermined",13.8,522,3.4193190000704,140.262184375505,"Summer",109790
8,-119.7396207,33.9934223,"s.n.o. imm.",1967,"Polioptila caerulea amoenissima","Polioptila_caerulea",6.2,NA,"undetermined",13.8,496,3.40217176627999,140.08437557694,"Summer",109791
5,-114.09284,36.57377,"ad.sk.",1970,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.4,NA,"male",13.2,345,8.26520178858693,107.270018403353,"Spring",109792
5,-114.10184,36.59915,"ad.sk.",1985,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.9,NA,"female",11.3,347,8.80156236130836,100.934312472648,"Spring",109793
6,-94.992,35.231,"skull ossified",1982,"Polioptila caerulea","Polioptila_caerulea",6.1,NA,"male",16.6,1170,8.87002101053164,63.0383296429876,"Summer",109794
5,-120.29042,37.65638,"u ad.",1915,"Polioptila caerulea amoenissima","Polioptila_caerulea",6.2,NA,"male",17,515,6.71698435221333,126.132219286824,"Spring",109795
5,-120.29042,37.65638,"u ad.",1915,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.4,NA,"male",17,515,6.71698435221333,126.132219286824,"Spring",109796
4,-117.135042,36.727337,"u ad.",1917,"Polioptila caerulea amoenissima","Polioptila_caerulea",6.2,NA,"male",22.6,31,10.3458233411392,101.623189908961,"Spring",109797
6,-117.051808,36.100502,"u ad.",1917,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.5,NA,"male",11.6,158,8.68855045970898,114.027508642751,"Summer",109798
6,-117.051808,36.100502,"u ad.",1917,"Polioptila caerulea amoenissima","Polioptila_caerulea",4.7,NA,"male",11.6,158,8.68855045970898,114.027508642751,"Summer",109799
6,-117.051808,36.100502,"u ad.",1917,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.8,NA,"male",11.6,158,8.68855045970898,114.027508642751,"Summer",109800
2,-117.333,34.599,"u ad.",1918,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.3,NA,"female ?",15.3,141,7.79928124116498,114.135877053123,"Winter",109801
9,-120.84938,35.366994,"imm.",1918,"Polioptila caerulea amoenissima","Polioptila_caerulea",6.1,NA,"male",12.4,469,2.33958038195664,149.267532058884,"Fall",109802
6,-121.422759,35.969875,"ad.",1919,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.5,NA,"female",12,830,4.81955455001871,153.244125473405,"Summer",109803
7,-121.420517,36.144555,"ad.",1919,"Polioptila caerulea amoenissima","Polioptila_caerulea",5.9,NA,"female",11,761,6.20299903028341,156.606197540788,"Summer",109804
3,-118.17147,35.0529432,"ad.",1920,"Polioptila caerulea amoenissima","Polioptila_caerulea",4.5,NA,"female",15.6,120,7.65165856451258,139.870069577577,"Spring",109805
7,-120.11166,37.75634,"ad.",1920,"Polioptila caerulea amoenissima","Polioptila_caerulea",6.9,NA,"female",11.8,1003,6.41250553783209,104.637556634204,"Summer",109806
9,-115.7333333333,30.9666666667,"imm.",1925,"Polioptila caerulea amoenissima","Polioptila_caerulea",4.8,NA,"undetermined",16,268,4.08169416697617,123.676529282106,"Fall",109807
