"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
2,-80.925349,25.141791,"adult",1934,"Procyon lotor","Procyon_lotor",7937.9,823,"male",23.5,1105,3.10112394092363,74.9448442432096,"Winter",110758
12,-76.5358,42.6679,"juvenile",1956,"Procyon lotor","Procyon_lotor",3401.9,670,"male",7.7,952,9.04146592431814,32.783391464541,"Winter",110759
1,-69.96583,43.91444,"adult",1949,"Procyon lotor","Procyon_lotor",6577.1,823,"female",8.5,947,9.33117940514001,40.4678736659082,"Winter",110760
1,-69.96583,43.91444,"adult",1949,"Procyon lotor","Procyon_lotor",7484.3,785,"female",8.5,947,9.33117940514001,40.4678736659082,"Winter",110761
6,-105.165175,39.826976,NA,2010,"Procyon lotor","Procyon_lotor",7030.7,795,"male",10.9,393,8.91071452428667,69.5818475870131,"Summer",110762
4,-105.094629,39.774692,"adult",2011,"Procyon lotor","Procyon_lotor",5669.9,770,"male",10.8,471,9.34472383949165,57.1721366429987,"Spring",110763
4,-104.996663,39.919753,NA,2012,"Procyon lotor","Procyon_lotor",4700,945,"male",12.3,208,8.91703765866561,73.1387594524398,"Spring",110764
7,-105.122059,40.189322,"immature",2013,"Procyon lotor","Procyon_lotor",284,269,"female",9.3,344,10.00053028897,73.7559567090139,"Summer",110765
7,-105.122059,40.189322,"immature",2013,"Procyon lotor","Procyon_lotor",229.1,251,"female",9.3,344,10.00053028897,73.7559567090139,"Summer",110772
4,-105.254184,40.036092,"immature",2013,"Procyon lotor","Procyon_lotor",75.2,181,"male",9.9,403,9.71685118593966,66.6399390267353,"Spring",110773
7,-105.28888,40.041925,"immature",2013,"Procyon lotor","Procyon_lotor",729.3,540,"female",9.7,446,9.49013842221109,66.0036731954884,"Summer",110774
6,-105.123058,40.014702,"young",2012,"Procyon lotor","Procyon_lotor",762.2,435,"female",12.1,220,8.97337813487848,66.858227163484,"Summer",110775
6,-105.123058,40.014702,"immature",2012,"Procyon lotor","Procyon_lotor",835.6,440,"male",12.1,220,8.97337813487848,66.858227163484,"Summer",110776
7,-105.06299,39.84741,NA,2013,"Procyon lotor","Procyon_lotor",3860,71,"male",10.3,354,9.52188468102759,60.8498194852193,"Summer",110778
3,-104.724577,39.939578,NA,1994,"Procyon lotor hirtus","Procyon_lotor",5897,930,"male",11.3,279,9.11397112662585,49.3136236115844,"Spring",110779
4,-104.805779,39.702206,NA,1997,"Procyon lotor hirtus","Procyon_lotor",9299,885,"male",9.2,648,9.18361518568738,77.7732044387483,"Spring",110780
5,-120.0413505,34.4637697,NA,1989,"Procyon lotor psora Gray, 1842","Procyon_lotor",4300,915,"male",14.3,153,2.51774008815746,99.3847066299538,"Spring",110781
4,-118.3024744,33.7119493,NA,1989,"Procyon lotor psora Gray, 1842","Procyon_lotor",9298.6,1072,"female",17.1,91,2.66303256161888,104.136662345422,"Spring",110782
2,-118.5168899,34.0414181,NA,1986,"Procyon lotor psora Gray, 1842","Procyon_lotor",5441,824,"male",17.6,358,1.92123303210109,139.508683491898,"Winter",110783
9,-107.6306345,40.4683045,NA,1971,"Procyon lotor pallidus","Procyon_lotor",4512,858,"male",5.5,333,9.80662654751491,51.7243791036478,"Fall",110785
8,-107.93072,36.71508,"juvenile",1999,"Procyon lotor","Procyon_lotor",2450,626,"female",11.2,235,8.01904928998142,132.641201603872,"Summer",110786
5,-106.3727951,35.1075478,NA,1999,"Procyon lotor","Procyon_lotor",11300,1079,"male",10.5,470,7.02273364714823,96.6969605606492,"Spring",110787
6,-106.30697,35.88808,NA,1994,"Procyon lotor","Procyon_lotor",4700,890,"male",10.7,587,8.33824249340278,68.8860468051787,"Summer",110788
10,-104.228333,32.420555,"juvenile",2007,"Procyon lotor","Procyon_lotor",420,325,"undetermined",17.6,417,8.09337083761467,97.2141082420752,"Fall",110789
11,-108.0839005,35.8196983,"juvenile",2007,"Procyon lotor","Procyon_lotor",131,220,"male",10.7,230,9.32313430844656,91.9110279076439,"Fall",110790
7,-106.30697,35.88808,NA,2007,"Procyon lotor","Procyon_lotor",890,530,"female",10.1,518,8.7848354186822,85.0113045246004,"Summer",110791
4,-105.9350204,35.6868439,NA,2010,"Procyon lotor","Procyon_lotor",960,487,"female",10.3,357,8.5667786810269,56.1223053726691,"Spring",110792
3,-106.4358902,35.3106427,NA,2009,"Procyon lotor","Procyon_lotor",3800,775,"undetermined",12.7,286,8.30087162272551,79.304298313538,"Spring",110793
10,-106.636505,35.19461,NA,2012,"Procyon lotor","Procyon_lotor",4950,817,"female",14.7,142,8.78915912825671,94.8389905961218,"Fall",110794
5,-122.073345,37.882628,"juvenile",2004,"Procyon lotor psora","Procyon_lotor",225,236,"female",15.4,581,4.74893927550398,127.363526762613,"Spring",110795
5,-121.922721,37.695341,NA,2004,"Procyon lotor psora","Procyon_lotor",422.5,268,"female",15.9,513,5.05817669868813,122.236406888595,"Spring",110796
4,-122.253342,37.872243,"adult",2000,"Procyon lotor psora","Procyon_lotor",4987.5,940,"female",14.3,665,2.9887161528697,133.101867313988,"Spring",110797
6,-122.293344,37.884,NA,2005,"Procyon lotor psora","Procyon_lotor",1717,539,"male",14.7,691,2.56951828995714,123.729633349321,"Summer",110798
5,-122.1414196,37.735821,NA,2005,"Procyon lotor psora","Procyon_lotor",683,869,"male",14.8,717,2.9009272289871,122.110321855777,"Spring",110799
5,-122.075987,37.9296177,NA,2005,"Procyon lotor psora","Procyon_lotor",4311,795,"male",15.4,672,4.42174379423075,130.442148504064,"Spring",110800
6,-122.0440802,37.8680042,"juvenile",2005,"Procyon lotor psora","Procyon_lotor",385,321,"female",15.2,748,4.34102173421992,128.964389877108,"Summer",110801
2,-122.258725,37.8754916,NA,2005,"Procyon lotor psora","Procyon_lotor",8.2,91,"female",14.5,772,2.88249681331791,122.724799196177,"Winter",110802
1,-122.330628,37.9146577,NA,2005,"Procyon lotor psora","Procyon_lotor",5900,870,"male",14.6,694,2.50022726239763,121.574839133503,"Winter",110803
1,-122.2568339,37.875577,NA,2005,"Procyon lotor psora","Procyon_lotor",8.2,89.2,"male",14.3,839,2.98829788381685,123.327084364058,"Winter",110804
12,-122.073511,37.926343,NA,2006,"Procyon lotor psora","Procyon_lotor",6495,859,"male",15,566,4.96377025571442,110.748230772253,"Winter",110805
7,-122.03173,37.964082,NA,2008,"Procyon lotor psora","Procyon_lotor",828,838,"male",15.2,333,5.34933442475592,174.637939629021,"Summer",110806
1,-108.82,45.52,NA,1995,"Procyon lotor","Procyon_lotor",6350,920,"female",8.3,425,8.38226844251747,74.834022067243,"Winter",110807
10,-121.8114,46.75,"unknown",1975,"Procyon lotor","Procyon_lotor",3500,731,"female",6.1,2435,6.37870510275234,79.3853175311949,"Fall",110808
10,-121.8114,46.75,"unknown",1975,"Procyon lotor","Procyon_lotor",2.5,860,"female",6.1,2435,6.37870510275234,79.3853175311949,"Fall",110809
9,-122.40342,47.65838,"unknown",1979,"Procyon lotor","Procyon_lotor",4.5,767,"female",11.2,853,5.47636796249175,88.699470060811,"Fall",110810
10,-122.28383,47.66358,"unknown",1979,"Procyon lotor","Procyon_lotor",3750,722,"female",11.1,826,5.57499830139939,85.1941222685146,"Fall",110811
10,-122.34771,48.34646,"unknown",1986,"Procyon lotor","Procyon_lotor",8180,855,"male",10.6,850,4.38623017539152,59.0394326562122,"Fall",110812
2,-122.35165,47.56092,"unknown",1987,"Procyon lotor","Procyon_lotor",6800,850,"male",11.8,786,4.9349096580721,92.5439708050665,"Winter",110813
