"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-122.4296936,40.5865402,NA,1962,"Psaltriparus minimus","Psaltriparus_minimus",5.6,NA,"undetermined",16.6,1101,7.18590265517819,103.808295834182,"Spring",110960
4,-121.765404,38.7498899,NA,1965,"Psaltriparus minimus","Psaltriparus_minimus",6,NA,"male",15.5,400,6.4652157853791,126.110771825762,"Spring",110961
11,-99.3439557,38.8740807,"adult",1968,"Psaltriparus minimus","Psaltriparus_minimus",6.1,NA,"male",12,506,10.5826151032834,79.9535468353917,"Fall",110962
5,-103.259468,29.338189,"adult",1963,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.5,NA,"female",18.4,359,7.44914068666292,78.7400787401181,"Spring",110963
10,-108.9090157,31.5150447,"immature",1961,"Psaltriparus minimus","Psaltriparus_minimus",5.6,NA,"male",14.7,363,6.97591093215311,85.1972433037685,"Fall",110964
4,-108.9121056,31.5150447,NA,1961,"Psaltriparus minimus","Psaltriparus_minimus",5.8,NA,"male",14.7,364,6.96877777206044,85.4882680395752,"Spring",110965
6,-117.8671646,33.8427601,NA,1980,"Psaltriparus minimus minimus","Psaltriparus_minimus",3.6,NA,"undetermined",18.1,432,3.12172252372813,162.258522741595,"Summer",110966
10,-118.7354278,34.0347371,NA,2003,"Psaltriparus minimus minimus","Psaltriparus_minimus",5.3,NA,"female",15.7,292,2.41917842302387,139.265115618096,"Fall",110967
4,-118.25,34,NA,1980,"Psaltriparus minimus minimus","Psaltriparus_minimus",5,NA,"female",18.3,594,3.07201444125393,179.477876655829,"Spring",110968
8,-108.9055824,31.5168008,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",5.2,NA,"male",15.2,354,6.9359406519428,113.955564641136,"Summer",110969
7,-103.259468,29.338189,"juvenile",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",6.1,NA,"male",18.8,253,7.3953455878435,87.9352363056459,"Summer",110970
1,-107.7061424,32.9170189,"adult",1963,"Psaltriparus minimus","Psaltriparus_minimus",6,NA,"male",11.8,408,7.50888362763289,122.191219368848,"Winter",110971
6,-103.199894,29.3651991,"juvenile",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.5,NA,"female",19.2,220,7.81681850340351,82.5695526771296,"Summer",110972
8,-108.9055824,31.5168008,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",5.2,NA,"male",15.2,354,6.9359406519428,113.955564641136,"Summer",110973
7,-103.0598561,29.8169754,"adult",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",7,NA,"female",19.2,198,8.10769836188253,73.8520399795737,"Summer",110974
4,-103.2439499,30.2078686,"adult",1960,"Psaltriparus minimus lloydi","Psaltriparus_minimus",6.1,NA,"female",16.2,387,7.66338697965854,107.241256159719,"Spring",110975
1,-107.7061424,32.9170189,"adult",1963,"Psaltriparus minimus","Psaltriparus_minimus",5.7,NA,"male",11.8,408,7.50888362763289,122.191219368848,"Winter",110976
8,-108.7488556,31.3565688,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",4.8,NA,"female",14.7,423,7.09589616780308,113.198405215574,"Summer",110977
8,-108.9055824,31.5168008,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",5,NA,"female",15.2,354,6.9359406519428,113.955564641136,"Summer",110978
10,-103.7938499,30.7694216,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",6,NA,"female",14.8,488,6.66525932115036,106.808709145592,"Fall",110979
1,-104.7457848,32.1909447,NA,1965,"Psaltriparus minimus","Psaltriparus_minimus",6.4,NA,"female",13.8,408,6.81715194242145,92.2178788015368,"Winter",110980
8,-108.7488556,31.3565688,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",4.8,NA,"male",14.7,423,7.09589616780308,113.198405215574,"Summer",110981
8,-108.7488556,31.3565688,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",4.7,NA,"female",14.7,423,7.09589616780308,113.198405215574,"Summer",110982
2,-110.7562408,31.5394936,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",5.1,NA,"female",16,450,6.81003604315652,113.094221913867,"Winter",110983
2,-110.7562408,31.5394936,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",5.5,NA,"male",16,450,6.81003604315652,113.094221913867,"Winter",110984
5,-103.259468,29.338189,"juvenile",1963,"Psaltriparus minimus lloydi","Psaltriparus_minimus",3.8,NA,"female",18.4,359,7.44914068666292,78.7400787401181,"Spring",110985
6,-105.37,32.83861,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",6.3,NA,"male",10.9,382,7.08071966039406,86.0972844070675,"Summer",110986
7,-103.0598561,29.8169754,"adult",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",6.9,NA,"male",19.2,198,8.10769836188253,73.8520399795737,"Summer",110987
8,-108.7488556,31.3565688,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",5.4,NA,"female",14.7,423,7.09589616780308,113.198405215574,"Summer",110988
6,-103.259468,29.338189,"juvenile",1963,"Psaltriparus minimus lloydi","Psaltriparus_minimus",3.7,NA,"female",18.4,359,7.44914068666292,78.7400787401181,"Summer",110989
1,-107.7061424,32.9170189,"adult",1963,"Psaltriparus minimus","Psaltriparus_minimus",6.3,NA,"male",11.8,408,7.50888362763289,122.191219368848,"Winter",110990
8,-108.7488556,31.3565688,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",4.6,NA,"undetermined",14.7,423,7.09589616780308,113.198405215574,"Summer",110991
8,-108.9055824,31.5168008,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",5.1,NA,"male",15.2,354,6.9359406519428,113.955564641136,"Summer",110992
7,-103.3037834,29.2457561,"adult",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",6.1,NA,"female",16.3,388,6.19434615132414,98.5783558944368,"Summer",110993
8,-108.7488556,31.3565688,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",5.2,NA,"male",14.7,423,7.09589616780308,113.198405215574,"Summer",110994
10,-104.030524,30.673863,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",6,NA,"female",13.7,483,6.1535097154536,91.5500445103204,"Fall",110995
4,-118.7354278,34.0347371,NA,2002,"Psaltriparus minimus minimus","Psaltriparus_minimus",5.1,NA,"female",15.2,208,2.1537845479035,166.143162049655,"Spring",110996
10,-103.7938499,30.7694216,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",6.1,NA,"female",14.8,488,6.66525932115036,106.808709145592,"Fall",110997
11,-118.6669349,34.713678,NA,1988,"Psaltriparus minimus","Psaltriparus_minimus",5.5,NA,"female",13.8,357,6.43715540413386,104.728945218927,"Fall",110998
1,-104.7457848,32.1909447,NA,1965,"Psaltriparus minimus","Psaltriparus_minimus",6.3,NA,"female",13.8,408,6.81715194242145,92.2178788015368,"Winter",110999
1,-104.7457848,32.1909447,NA,1965,"Psaltriparus minimus","Psaltriparus_minimus",6.7,NA,"female",13.8,408,6.81715194242145,92.2178788015368,"Winter",111000
11,-103.2439499,30.2078686,"adult",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",6.3,NA,"male",17.1,237,7.57031683416863,79.4476276323516,"Fall",111001
10,-104.0690231,30.7005158,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",5.9,NA,"female",14,458,6.3937943398741,91.9102558135172,"Fall",111002
8,-108.9055824,31.5168008,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",5.3,NA,"male",15.2,354,6.9359406519428,113.955564641136,"Summer",111003
5,-103.0598561,29.8169754,"natal",1963,"Psaltriparus minimus lloydi","Psaltriparus_minimus",4.1,NA,"undetermined",18.8,271,8.2043595211031,74.5671402793839,"Spring",111004
7,-103.3037834,29.2457561,"juvenile",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",6.1,NA,"male",16.3,388,6.19434615132414,98.5783558944368,"Summer",111005
10,-109.572591,31.894898,"adult",1960,"Psaltriparus minimus","Psaltriparus_minimus",6.2,NA,"male",15.6,276,7.92055247537389,104.840733062869,"Fall",111006
12,-103.199894,29.3651991,"adult",1961,"Psaltriparus minimus lloydi","Psaltriparus_minimus",6,NA,"male",18.2,402,7.2565748661389,84.7801325325287,"Winter",111007
10,-104.030524,30.673863,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",5.8,NA,"undetermined",13.7,483,6.1535097154536,91.5500445103204,"Fall",111008
1,-122.6160965,38.7523041,NA,1990,"Psaltriparus minimus californicus","Psaltriparus_minimus",5.3,NA,"female",14.8,485,6.84308985677368,136.518873548435,"Winter",111009
7,-103.0598561,29.8169754,"juvenile",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.2,NA,"male",19.2,198,8.10769836188253,73.8520399795737,"Summer",111010
8,-108.9055824,31.5168008,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",5,NA,"female",15.2,354,6.9359406519428,113.955564641136,"Summer",111011
2,-111.08668,31.403783,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",4.9,NA,"female",16.3,428,6.77982747612803,111.117464191106,"Winter",111012
10,-103.7938499,30.7694216,"immature",1961,"Psaltriparus minimus","Psaltriparus_minimus",6.6,NA,"male",14.8,488,6.66525932115036,106.808709145592,"Fall",111013
10,-104.0690231,30.7005158,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",5.8,NA,"female",14,458,6.3937943398741,91.9102558135172,"Fall",111014
8,-103.0598561,29.8169754,"adult",1961,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.8,NA,"male",18.1,384,7.49561487966414,89.0055731051348,"Summer",111015
1,-107.7061424,32.9170189,"adult",1963,"Psaltriparus minimus","Psaltriparus_minimus",5.8,NA,"female",11.8,408,7.50888362763289,122.191219368848,"Winter",111016
10,-109.572591,31.894898,"immature",1960,"Psaltriparus minimus","Psaltriparus_minimus",5.8,NA,"undetermined",15.6,276,7.92055247537389,104.840733062869,"Fall",111017
12,-103.0598561,29.8169754,"adult",1961,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.6,NA,"undetermined",18.1,384,7.49561487966414,89.0055731051348,"Winter",111018
7,-103.0598561,29.8169754,"adult",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",6.4,NA,"male",19.2,198,8.10769836188253,73.8520399795737,"Summer",111019
1,-104.7457848,32.1909447,NA,1965,"Psaltriparus minimus","Psaltriparus_minimus",6.3,NA,"female",13.8,408,6.81715194242145,92.2178788015368,"Winter",111020
7,-103.0598561,29.8169754,"adult",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",6,NA,"male",19.2,198,8.10769836188253,73.8520399795737,"Summer",111021
12,-103.199894,29.3651991,"adult",1961,"Psaltriparus minimus lloydi","Psaltriparus_minimus",6,NA,"male",18.2,402,7.2565748661389,84.7801325325287,"Winter",111022
2,-110.7562408,31.5394936,"ADULT",1963,"Psaltriparus minimus","Psaltriparus_minimus",5.3,NA,"female",16,450,6.81003604315652,113.094221913867,"Winter",111023
10,-103.7938499,30.7694216,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",6.7,NA,"female",14.8,488,6.66525932115036,106.808709145592,"Fall",111024
4,-122.6160965,38.7523041,NA,1990,"Psaltriparus minimus californicus","Psaltriparus_minimus",6.3,NA,"male",14.8,485,6.84308985677368,136.518873548435,"Spring",111025
1,-107.7061424,32.9170189,"adult",1963,"Psaltriparus minimus","Psaltriparus_minimus",6.3,NA,"male",11.8,408,7.50888362763289,122.191219368848,"Winter",111026
12,-122.6160965,38.7523041,NA,1989,"Psaltriparus minimus californicus","Psaltriparus_minimus",5.2,NA,"male",14.5,612,6.51136535512167,149.544062583856,"Winter",111027
10,-103.7938499,30.7694216,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",5.8,NA,"male",14.8,488,6.66525932115036,106.808709145592,"Fall",111028
2,-110.7562408,31.5394936,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",5.4,NA,"male",16,450,6.81003604315652,113.094221913867,"Winter",111029
10,-108.9059258,31.5165081,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",5.8,NA,"female",14.7,362,6.97591093215311,84.9013437865846,"Fall",111030
5,-103.2858181,29.2744954,"immature",1963,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.5,NA,"male",16.6,477,6.49601276308643,82.2913350587059,"Spring",111031
4,-103.2439499,30.2078686,NA,1960,"Psaltriparus minimus lloydi","Psaltriparus_minimus",6,NA,"male",16.2,387,7.66338697965854,107.241256159719,"Spring",111032
7,-103.0598561,29.8169754,"juvenile",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.5,NA,"male",19.2,198,8.10769836188253,73.8520399795737,"Summer",111033
5,-103.259468,29.338189,"adult",1963,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.1,NA,"male",18.4,359,7.44914068666292,78.7400787401181,"Spring",111034
10,-104.030524,30.673863,"immature",1961,"Psaltriparus minimus","Psaltriparus_minimus",6.4,NA,"undetermined",13.7,483,6.1535097154536,91.5500445103204,"Fall",111035
10,-109.572591,31.894898,"immature",1960,"Psaltriparus minimus","Psaltriparus_minimus",6,NA,"male",15.6,276,7.92055247537389,104.840733062869,"Fall",111036
5,-117.896901,33.627202,NA,2003,"Psaltriparus minimus minimus","Psaltriparus_minimus",97,NA,"male",15.7,280,2.70302860442942,142.469214641149,"Spring",111037
6,-103.199894,29.3651991,"juvenile",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.5,NA,"undetermined",19.2,220,7.81681850340351,82.5695526771296,"Summer",111038
1,-107.7061424,32.9170189,"adult",1963,"Psaltriparus minimus","Psaltriparus_minimus",6.2,NA,"female",11.8,408,7.50888362763289,122.191219368848,"Winter",111039
7,-103.0598561,29.8169754,"juvenile",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.8,NA,"male",19.2,198,8.10769836188253,73.8520399795737,"Summer",111040
10,-104.0690231,30.7005158,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",5.9,NA,"male",14,458,6.3937943398741,91.9102558135172,"Fall",111041
11,-103.2439499,30.2078686,"adult",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",6.3,NA,"male",17.1,237,7.57031683416863,79.4476276323516,"Fall",111042
5,-103.0598561,29.8169754,"natal",1963,"Psaltriparus minimus lloydi","Psaltriparus_minimus",3.6,NA,"undetermined",18.8,271,8.2043595211031,74.5671402793839,"Spring",111043
6,-103.199894,29.3651991,"adult",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.6,NA,"male",19.2,220,7.81681850340351,82.5695526771296,"Summer",111044
8,-108.7488556,31.3565688,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",4.8,NA,"female",14.7,423,7.09589616780308,113.198405215574,"Summer",111045
11,-103.2439499,30.2078686,"adult",1962,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.8,NA,"male",17.1,237,7.57031683416863,79.4476276323516,"Fall",111046
2,-111.08668,31.403783,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",4.8,NA,"female",16.3,428,6.77982747612803,111.117464191106,"Winter",111047
5,-103.0598561,29.8169754,"adult",1963,"Psaltriparus minimus lloydi","Psaltriparus_minimus",5.9,NA,"male",18.8,271,8.2043595211031,74.5671402793839,"Spring",111048
2,-118.7354278,34.0347371,NA,2005,"Psaltriparus minimus minimus","Psaltriparus_minimus",5.2,NA,"female",15.7,657,1.99400617001568,172.902500731559,"Winter",111049
6,-118.4559631,34.0563572,"juvenile",1988,"Psaltriparus minimus minimus","Psaltriparus_minimus",4.2,NA,"male",17.5,290,2.84449228574035,125.696352145692,"Summer",111050
8,-108.7488556,31.3565688,NA,1963,"Psaltriparus minimus","Psaltriparus_minimus",4.8,NA,"male",14.7,423,7.09589616780308,113.198405215574,"Summer",111051
1,-107.7061424,32.9170189,"adult",1963,"Psaltriparus minimus","Psaltriparus_minimus",5.9,NA,"male",11.8,408,7.50888362763289,122.191219368848,"Winter",111052
10,-118.7354278,34.0347371,NA,1994,"Psaltriparus minimus minimus","Psaltriparus_minimus",5.6,NA,"undetermined",16.3,237,3.00770475259589,145.780540632324,"Fall",111053
10,-103.7938499,30.7694216,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",6.2,NA,"female",14.8,488,6.66525932115036,106.808709145592,"Fall",111054
1,-107.7061424,32.9170189,"adult",1963,"Psaltriparus minimus","Psaltriparus_minimus",5.9,NA,"male",11.8,408,7.50888362763289,122.191219368848,"Winter",111055
10,-104.030524,30.673863,"immature",1961,"Psaltriparus minimus","Psaltriparus_minimus",5.9,NA,"female",13.7,483,6.1535097154536,91.5500445103204,"Fall",111056
10,-103.7935066,30.7747314,"adult",1961,"Psaltriparus minimus","Psaltriparus_minimus",6.5,NA,"female",14.8,487,6.664213563823,106.250273954236,"Fall",111057
