"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
4,-76.5095,42.4381,"ad.",1953,"Quiscalus quiscula","Quiscalus_quiscula",133.800003051758,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",112084
5,-76.5095,42.4381,"ad.",1953,"Quiscalus quiscula","Quiscalus_quiscula",131,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",112085
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",131.5,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",112086
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",127.699996948242,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",112087
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",101.900001525879,NA,"female",10.6,726,8.46257357516917,34.1007897176414,"Spring",112088
5,-76.5095,42.4381,NA,1954,"Quiscalus quiscula","Quiscalus_quiscula",117.5,NA,"female",9.7,834,9.39066267387693,31.6517032910352,"Spring",112089
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",141.300003051758,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",112090
5,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",101.900001525879,NA,"female",10.6,726,8.46257357516917,34.1007897176414,"Spring",112091
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",139.600006103516,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",112092
5,-76.5095,42.4381,NA,1954,"Quiscalus quiscula","Quiscalus_quiscula",128.600006103516,NA,"male",9.7,834,9.39066267387693,31.6517032910352,"Spring",112093
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",106.199996948242,NA,"female",10.6,726,8.46257357516917,34.1007897176414,"Spring",112094
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",112.800003051758,NA,"female",10.6,726,8.46257357516917,34.1007897176414,"Spring",112095
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",128.800003051758,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",112096
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",112.5,NA,"female",10.6,726,8.46257357516917,34.1007897176414,"Spring",112097
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",104.400001525879,NA,"female",10.6,726,8.46257357516917,34.1007897176414,"Spring",112098
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",99.1999969482422,NA,"female",10.6,726,8.46257357516917,34.1007897176414,"Spring",112099
3,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",157.5,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",112100
5,-76.5095,42.4381,NA,1954,"Quiscalus quiscula","Quiscalus_quiscula",106.300003051758,NA,"female",9.7,834,9.39066267387693,31.6517032910352,"Spring",112101
5,-76.5095,42.4381,NA,1954,"Quiscalus quiscula","Quiscalus_quiscula",124.400001525879,NA,"male",9.7,834,9.39066267387693,31.6517032910352,"Spring",112102
5,-76.5095,42.4381,NA,1954,"Quiscalus quiscula","Quiscalus_quiscula",97.3000030517578,NA,"female",9.7,834,9.39066267387693,31.6517032910352,"Spring",112103
5,-76.5095,42.4381,NA,1954,"Quiscalus quiscula","Quiscalus_quiscula",115.099998474121,NA,"male",9.7,834,9.39066267387693,31.6517032910352,"Spring",112104
5,-76.5095,42.4381,NA,1954,"Quiscalus quiscula","Quiscalus_quiscula",92.8000030517578,NA,"female",9.7,834,9.39066267387693,31.6517032910352,"Spring",112105
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",131.699996948242,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",112106
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",101.199996948242,NA,"female",10.6,726,8.46257357516917,34.1007897176414,"Spring",112107
3,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",124,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",112108
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",124.800003051758,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",112109
4,-76.5095,42.4381,NA,1953,"Quiscalus quiscula","Quiscalus_quiscula",153.300003051758,NA,"male",10.6,726,8.46257357516917,34.1007897176414,"Spring",112110
5,-76.5095,42.4381,NA,1954,"Quiscalus quiscula","Quiscalus_quiscula",98.8000030517578,NA,"female",9.7,834,9.39066267387693,31.6517032910352,"Spring",112111
5,-76.5095,42.4381,NA,1954,"Quiscalus quiscula","Quiscalus_quiscula",112.800003051758,NA,"female",9.7,834,9.39066267387693,31.6517032910352,"Spring",112112
5,-76.5095,42.4381,"juv.",1954,"Quiscalus quiscula","Quiscalus_quiscula",72.5999984741211,NA,"male",9.7,834,9.39066267387693,31.6517032910352,"Spring",112113
6,-76.4506,42.4801,NA,2004,"Quiscalus quiscula","Quiscalus_quiscula",94.1999969482422,235,"undetermined",7.7,1154,10.0388638739047,54.9483071337119,"Summer",112114
6,-76.4506,42.4801,"imm.",2005,"Quiscalus quiscula","Quiscalus_quiscula",109.699996948242,NA,"female",8.5,1068,10.8595859064978,50.581198740371,"Summer",112115
7,-76.4506,42.4801,NA,2005,"Quiscalus quiscula","Quiscalus_quiscula",119.5,282,"male",8.5,1068,10.8595859064978,50.581198740371,"Summer",112116
7,-76.4506,42.4801,"imm.",2005,"Quiscalus quiscula","Quiscalus_quiscula",102.900001525879,275,"male",8.5,1068,10.8595859064978,50.581198740371,"Summer",112117
3,-76.451,42.4799,NA,2007,"Quiscalus quiscula","Quiscalus_quiscula",102.3,245,NA,8.5,984,10.3389342103556,29.2580911832691,"Spring",112118
4,-76.496727,42.440786,NA,2006,"Quiscalus quiscula","Quiscalus_quiscula",89.3,NA,NA,10.4,1061,8.51410149354729,49.4447858885698,"Spring",112119
7,-76.451,42.4799,"juv.",2013,"Quiscalus quiscula","Quiscalus_quiscula",114.8,258,"male",8.4,1091,9.73227604261701,46.0327443353956,"Summer",112120
