"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
3,-117.1622,46.8663,NA,1946,"Sitta pygmaea","Sitta_pygmaea",9.3,105,NA,7.1,624,7.23216720107067,53.8749420586063,"Spring",119907
5,-117.157898,46.961122,"Ad",1950,"Sitta pygmaea","Sitta_pygmaea",10.1,106,"male",7.6,687,8.84836485493566,66.0745142935141,"Spring",119908
2,-117.623272,47.831444,"Ad",1959,"Sitta pygmaea","Sitta_pygmaea",5.3,111,"female",8.8,520,7.99641491639544,71.0827015201154,"Winter",119909
3,-117.12419,46.986461,NA,1973,"Sitta pygmaea","Sitta_pygmaea",10.4,NA,"male",8.4,576,7.53175097353017,109.917037125757,"Spring",119910
12,-117.57768,47.53187,NA,1973,"Sitta pygmaea","Sitta_pygmaea",10,NA,"male",8.8,492,8.07515831536335,109.664904218939,"Winter",119911
12,-117.57768,47.53187,NA,1973,"Sitta pygmaea","Sitta_pygmaea",10.9,NA,"male",8.8,492,8.07515831536335,109.664904218939,"Winter",119912
1,-117.63565,47.349433,NA,1973,"Sitta pygmaea","Sitta_pygmaea",10.3,NA,"male",9,468,7.92247952463002,109.18487289146,"Winter",119913
1,-117.63565,47.349433,NA,1973,"Sitta pygmaea","Sitta_pygmaea",10.4,NA,"male",9,468,7.92247952463002,109.18487289146,"Winter",119914
1,-117.63565,47.349433,NA,1973,"Sitta pygmaea","Sitta_pygmaea",10.7,NA,"male",9,468,7.92247952463002,109.18487289146,"Winter",119915
11,-117.20894,46.824342,NA,1977,"Sitta pygmaea","Sitta_pygmaea",10,NA,"skull oss.",8.2,489,8.00225347049571,81.2952284410756,"Fall",119916
12,-105.3913736,39.8163652,"adult",2007,"Sitta pygmaea","Sitta_pygmaea",10.2,108,"undetermined",5.9,538,8.44721130242868,47.9193328331971,"Winter",119918
6,-108.5998535,33.396479,NA,1958,"Sitta pygmaea","Sitta_pygmaea",11,NA,"male",8.2,871,7.24355512915384,68.6986822315917,"Summer",119919
8,-122.0764061,41.9382427,NA,1961,"Sitta pygmaea","Sitta_pygmaea",10.2,NA,"male",8,418,7.20187265209332,61.3262008421516,"Summer",119920
10,-110.7398157,32.4242425,NA,1963,"Sitta pygmaea","Sitta_pygmaea",11,NA,"male",9.5,784,6.52846332097633,97.0688025521702,"Fall",119921
12,-115.9667511,34.8426493,NA,1986,"Sitta pygmaea melanotis","Sitta_pygmaea",10.5,NA,"male",19.1,128,7.24723562763239,74.7153689921716,"Winter",119922
12,-118.0570831,34.3570786,NA,1987,"Sitta pygmaea melanotis","Sitta_pygmaea",10.5,NA,"male",13.7,577,6.33946274370217,95.2778740236609,"Winter",119923
12,-119.1453857,34.8128052,NA,1989,"Sitta pygmaea melanotis","Sitta_pygmaea",10,NA,"male",7.2,310,6.54798141460867,146.875530152267,"Winter",119924
12,-119.1453857,34.8128052,NA,1989,"Sitta pygmaea melanotis","Sitta_pygmaea",11,NA,"female",7.2,310,6.54798141460867,146.875530152267,"Winter",119925
3,-108.0607666667,35.1312333333,"ad",2008,"Sitta pygmaea","Sitta_pygmaea",10.9,NA,"male",8.2,304,7.672160416372,79.2682563654603,"Spring",119926
3,-108.0607666667,35.1312333333,"ad",2008,"Sitta pygmaea","Sitta_pygmaea",10.3,NA,"male",8.2,304,7.672160416372,79.2682563654603,"Spring",119927
9,-108.18275,35.1362833333,"HY",2008,"Sitta pygmaea","Sitta_pygmaea",10.6,NA,"female",7.6,399,7.73061603253093,65.829320090856,"Fall",119928
9,-108.2161,35.1401833333,NA,2008,"Sitta pygmaea","Sitta_pygmaea",10.9,NA,"female",7.7,420,7.51799356695171,65.0502873835523,"Fall",119929
10,-105.8141833333,33.7719833333,NA,2010,"Sitta pygmaea","Sitta_pygmaea",10.4,NA,"male",13.4,370,7.98969032661163,97.7718493588025,"Fall",119930
11,-108.2104666667,33.4341,NA,2012,"Sitta pygmaea","Sitta_pygmaea",10.7,NA,"female",11,318,7.16533638111606,115.062769616966,"Fall",119931
6,-109.0453833333,36.2504333333,NA,2013,"Sitta pygmaea","Sitta_pygmaea",9.6,NA,"male",8,439,9.0602361331192,77.6714634930389,"Summer",119932
5,-108.8837166667,36.0799333333,NA,2013,"Sitta pygmaea","Sitta_pygmaea",10.7,NA,"female",5,635,8.97252962540598,72.7021014940082,"Spring",119933
6,-109.1103166667,33.9904166667,NA,2013,"Sitta pygmaea","Sitta_pygmaea",10.4,NA,"male",6.9,518,7.52238578369841,112.080193908025,"Summer",119934
5,-121.12136,41.56081,"ad.",1948,"Sitta pygmaea melanotis","Sitta_pygmaea",9.8,NA,"male",6.9,534,7.6679182114163,55.7253413422282,"Spring",119935
6,-120.7617707,41.8993424,"u ad.",1949,"Sitta pygmaea melanotis","Sitta_pygmaea",9.1,NA,"male",6.8,368,8.90928609866575,93.7607611271232,"Summer",119936
7,-108.4167461155,30.0146438844,"juv.",1948,"Sitta pygmaea chihuahuae","Sitta_pygmaea",8.6,NA,"female",13.1,351,6.92931300980687,121.571115249925,"Summer",119937
8,-108.3333,29.91071,"ad.sk.",1948,"Sitta pygmaea chihuahuae","Sitta_pygmaea",10.5,NA,"male",11.2,444,6.70388286402332,119.926397434996,"Summer",119938
8,-108.3333,29.91071,"ad.sk.",1948,"Sitta pygmaea chihuahuae","Sitta_pygmaea",11.3,NA,"male",11.2,444,6.70388286402332,119.926397434996,"Summer",119939
8,-108.3333,29.91071,"ad.sk.",1948,"Sitta pygmaea chihuahuae","Sitta_pygmaea",10.4,NA,"male",11.2,444,6.70388286402332,119.926397434996,"Summer",119940
8,-108.3333,29.91071,"imm.sk.",1948,"Sitta pygmaea chihuahuae","Sitta_pygmaea",10.2,NA,"female",11.2,444,6.70388286402332,119.926397434996,"Summer",119941
8,-108.3333,29.91071,"ad.sk.",1948,"Sitta pygmaea chihuahuae","Sitta_pygmaea",10,NA,"female",11.2,444,6.70388286402332,119.926397434996,"Summer",119942
5,-120.07434,39.4290904,"u ad.",1950,"Sitta pygmaea melanotis","Sitta_pygmaea",10.3,NA,"female",6,1048,6.87697079190593,89.9378258940193,"Spring",119943
5,-120.07434,39.4290904,"u ad.",1950,"Sitta pygmaea melanotis","Sitta_pygmaea",10.9,NA,"male",6,1048,6.87697079190593,89.9378258940193,"Spring",119944
9,-116.39528,34.05639,"imm.",1950,"Sitta pygmaea melanotis","Sitta_pygmaea",10,NA,"female",14.3,82,5.90174601796842,107.145599754757,"Fall",119945
9,-116.39528,34.05639,"imm.",1950,"Sitta pygmaea melanotis","Sitta_pygmaea",10,NA,"male",14.3,82,5.90174601796842,107.145599754757,"Fall",119946
8,-116.3038572,34.0304563,"juv.",1950,"Sitta pygmaea melanotis","Sitta_pygmaea",10,NA,"female",13.9,82,5.9258805764258,102.312243370886,"Summer",119947
1,-120.51596,40.46328,"ad.",1951,"Sitta pygmaea melanotis","Sitta_pygmaea",11.2,NA,"male",7.9,429,7.64763282845011,100.714309823037,"Winter",119948
1,-120.51596,40.46328,"ad.",1951,"Sitta pygmaea melanotis","Sitta_pygmaea",10.1,NA,"male",7.9,429,7.64763282845011,100.714309823037,"Winter",119949
6,-122.892648,38.1010755,"ad.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",10.8,NA,"male",12,951,2.57580525802568,119.015385875859,"Summer",119950
6,-122.892648,38.1010755,"ad.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",10.8,NA,"female",12,951,2.57580525802568,119.015385875859,"Summer",119951
4,-110.3958,33.6181,"u ad.",1951,"Sitta pygmaea melanotis","Sitta_pygmaea",10.2,NA,"female",10.1,708,8.26634285778326,71.4859096749422,"Spring",119952
12,-116.9992,46.8049,"u ad.",1951,"Sitta pygmaea melanotis","Sitta_pygmaea",11.5,NA,"female",7.2,769,7.94410396953539,75.1815600889909,"Winter",119953
12,-116.9992,46.8049,"u ad.",1951,"Sitta pygmaea melanotis","Sitta_pygmaea",11.5,NA,"male",7.2,769,7.94410396953539,75.1815600889909,"Winter",119954
12,-116.9992,46.8049,"u ad.",1951,"Sitta pygmaea melanotis","Sitta_pygmaea",11.5,NA,"male",7.2,769,7.94410396953539,75.1815600889909,"Winter",119955
8,-106.004446,36.615864,"u ad.",1952,"Sitta pygmaea melanotis","Sitta_pygmaea",10,NA,"male",4.6,374,8.83969610748736,76.5889731635705,"Summer",119956
8,-106.004446,36.615864,"ad.",1952,"Sitta pygmaea melanotis","Sitta_pygmaea",10.3,NA,"female",4.6,374,8.83969610748736,76.5889731635705,"Summer",119957
9,-105.822524,36.058436,"u ad.",1952,"Sitta pygmaea melanotis","Sitta_pygmaea",10.5,NA,"male",7.2,381,8.44764177242096,65.8506232087275,"Fall",119958
8,-99.1930555555,19.1061111111,"ad.",1952,"Sitta pygmaea chihuahuae","Sitta_pygmaea",10.6,NA,"female",11.2,1230,1.47244900102043,105.49019517177,"Summer",119959
6,-122.4378949,38.6016529,"ad.",1952,"Sitta pygmaea melanotis","Sitta_pygmaea",9.8,NA,"male",13.7,1228,5.95902040963313,149.708558264829,"Summer",119960
6,-122.4378949,38.6016529,"imm.",1952,"Sitta pygmaea melanotis","Sitta_pygmaea",9.1,NA,"male",13.7,1228,5.95902040963313,149.708558264829,"Summer",119961
6,-122.4378949,38.6016529,"ad.",1952,"Sitta pygmaea melanotis","Sitta_pygmaea",9.4,NA,"female",13.7,1228,5.95902040963313,149.708558264829,"Summer",119962
9,-122.4378949,38.6016529,"ad.",1952,"Sitta pygmaea melanotis","Sitta_pygmaea",10,NA,"male",13.7,1228,5.95902040963313,149.708558264829,"Fall",119963
12,-122.4378949,38.6016529,"sk.oss.",1952,"Sitta pygmaea melanotis","Sitta_pygmaea",9.5,NA,"male",13.7,1228,5.95902040963313,149.708558264829,"Winter",119964
12,-122.4378949,38.6016529,"sk.oss.",1952,"Sitta pygmaea melanotis","Sitta_pygmaea",10,NA,"male",13.7,1228,5.95902040963313,149.708558264829,"Winter",119965
12,-122.4378949,38.6016529,"sk.oss.",1952,"Sitta pygmaea melanotis","Sitta_pygmaea",10,NA,"male",13.7,1228,5.95902040963313,149.708558264829,"Winter",119966
12,-122.4378949,38.6016529,"sk.oss.",1952,"Sitta pygmaea melanotis","Sitta_pygmaea",9.8,NA,"female",13.7,1228,5.95902040963313,149.708558264829,"Winter",119967
12,-122.4378949,38.6016529,"sk.oss.",1952,"Sitta pygmaea melanotis","Sitta_pygmaea",9.9,NA,"female",13.7,1228,5.95902040963313,149.708558264829,"Winter",119968
6,-122.8939492,38.1215873,"ad.",1953,"Sitta pygmaea pygmaea","Sitta_pygmaea",9.8,NA,"female",12.3,659,2.33437747200794,114.763823032602,"Summer",119969
9,-122.8862842,38.1174504,"imm.",1952,"Sitta pygmaea pygmaea","Sitta_pygmaea",9.2,NA,"female",12,1065,2.79279375710004,143.685943476782,"Fall",119970
9,-122.8862842,38.1174504,"imm.",1952,"Sitta pygmaea pygmaea","Sitta_pygmaea",10.4,NA,"male",12,1065,2.79279375710004,143.685943476782,"Fall",119971
11,-122.8926043,38.1068362,"ad.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",9.9,NA,"male",12,951,2.55603860169078,118.881528395777,"Fall",119972
11,-122.8926043,38.1068362,"imm.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",9.2,NA,"female",12,951,2.55603860169078,118.881528395777,"Fall",119973
11,-122.8862842,38.1174504,"s.o.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",9.6,NA,"male",12,903,2.55129200780524,117.81685870157,"Fall",119974
11,-122.8926043,38.1068362,"imm.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",10.4,NA,"male",12,951,2.55603860169078,118.881528395777,"Fall",119975
11,-122.8926043,38.1068362,"s.o.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",10.6,NA,"male",12,951,2.55603860169078,118.881528395777,"Fall",119976
11,-122.8926043,38.1068362,"ad.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",10.3,NA,"undetermined",12,951,2.55603860169078,118.881528395777,"Fall",119977
12,-122.8862842,38.1174504,"imm.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",10.7,NA,"female",12,903,2.55129200780524,117.81685870157,"Winter",119978
12,-122.9014406,38.1255174,"ad.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",10.9,NA,"female",11.9,917,2.47096778979043,118.022112939053,"Winter",119979
12,-122.9014406,38.1255174,"imm.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",10.4,NA,"male",11.9,917,2.47096778979043,118.022112939053,"Winter",119980
12,-122.8926043,38.1068362,"imm.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",10.1,NA,"male",12,951,2.55603860169078,118.881528395777,"Winter",119981
12,-122.8926043,38.1068362,"imm.",1951,"Sitta pygmaea pygmaea","Sitta_pygmaea",11.3,NA,"male",12,951,2.55603860169078,118.881528395777,"Winter",119982
4,-102.5517555606,28.9779644393,"u ad.",1953,"Sitta pygmaea melanotis","Sitta_pygmaea",10.2,NA,"female",16.1,279,5.92657088241104,110.285245750577,"Spring",119983
4,-102.5517555606,28.9779644393,"u ad.",1953,"Sitta pygmaea melanotis","Sitta_pygmaea",10.1,NA,"female",16.1,279,5.92657088241104,110.285245750577,"Spring",119984
4,-102.5517555606,28.9779644393,"unknown",1953,"Sitta pygmaea melanotis","Sitta_pygmaea",9.2,NA,"female",16.1,279,5.92657088241104,110.285245750577,"Spring",119985
6,-118.168469,37.53385,"u ad.",1954,"Sitta pygmaea melanotis","Sitta_pygmaea",10.5,NA,"male",2.4,304,6.26691650050026,89.9139197279071,"Summer",119986
6,-118.168469,37.53385,"u ad.",1954,"Sitta pygmaea melanotis","Sitta_pygmaea",11.5,NA,"female",2.4,304,6.26691650050026,89.9139197279071,"Summer",119987
6,-118.168469,37.53385,"u ad.",1954,"Sitta pygmaea melanotis","Sitta_pygmaea",10.2,NA,"female",2.4,304,6.26691650050026,89.9139197279071,"Summer",119988
6,-118.168469,37.53385,"u ad.",1954,"Sitta pygmaea melanotis","Sitta_pygmaea",10.2,NA,"male",2.4,304,6.26691650050026,89.9139197279071,"Summer",119989
6,-118.168469,37.53385,"u ad.",1954,"Sitta pygmaea melanotis","Sitta_pygmaea",10.9,NA,"female",2.4,304,6.26691650050026,89.9139197279071,"Summer",119990
6,-106.6953533524,29.5152066475,"u ad.",1957,"Sitta pygmaea chihuahuae","Sitta_pygmaea",9.5,NA,"male",14.3,459,5.82868429459519,151.355595038893,"Summer",119991
6,-106.770421,29.485097,"u ad.",1957,"Sitta pygmaea chihuahuae","Sitta_pygmaea",9.8,NA,"male",12.7,526,5.74189151602659,146.731161710937,"Summer",119992
7,-108.14806,28.56806,"u ad.",1957,"Sitta pygmaea chihuahuae","Sitta_pygmaea",10,NA,"female",12.2,668,4.62590695448094,114.900395304386,"Summer",119993
7,-108.14806,28.56806,"u ad.",1956,"Sitta pygmaea chihuahuae","Sitta_pygmaea",9,NA,"female",12,590,5.45274465223013,114.32584867183,"Summer",119994
