"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-110.018482,23.523515,NA,1991,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",6,112,"female",18.8,504,3.78905921001107,191.485421551268,"Spring",190173
11,-117.245968,32.9032488,NA,1995,"Sorex (Otisorex) ornatus Merriam, 1895","Sorex_ornatus",3,99,"female",16.9,447,2.97946253033949,164.288143818349,"Fall",190174
7,-115.583333,30.966667,NA,1992,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",3,103,"female",12.6,980,4.96480797028628,171.444738172224,"Summer",190175
11,-117.245968,32.9032488,NA,1995,"Sorex (Otisorex) ornatus Merriam, 1895","Sorex_ornatus",4.8,106,"male",16.9,447,2.97946253033949,164.288143818349,"Fall",190176
6,-118.3462,35.67028,NA,1991,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",4.5,97,"male",16.1,245,7.55285918167298,188.919034844436,"Summer",190177
7,-115.748641,30.042336,NA,1991,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",5.5,102,"male",19.3,199,4.01685841363017,151.20629677913,"Summer",190178
2,-118.4350356,33.9725053,NA,1991,"Sorex (Otisorex) ornatus salicornicus von Bloeker, 1932","Sorex_ornatus",4,86,"female",16.6,354,2.38497506498623,161.736289538515,"Winter",190179
5,-110.018482,23.523515,NA,1991,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",6,110,"male",18.8,504,3.78905921001107,191.485421551268,"Spring",190180
5,-110.018482,23.523515,NA,1991,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",4,111,"male",18.8,504,3.78905921001107,191.485421551268,"Spring",190181
7,-115.748641,30.042336,NA,1991,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",4,103,"female",19.3,199,4.01685841363017,151.20629677913,"Summer",190182
1,-118.3462,35.67028,NA,1992,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",4,103,"female",16.6,353,7.68344836566751,143.307841001057,"Winter",190183
9,-120.00295,37.774,NA,1990,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",3.5,105,"female",12.4,631,7.02167100029357,102.8843212703,"Fall",190184
9,-120.0352229,37.7476487,NA,1990,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",4,115,"female",13.4,574,7.04781827406485,103.335324935951,"Fall",190185
6,-118.3461982,35.6702843,NA,1993,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",4.5,103,"female",16.3,389,7.16910458886328,165.105946368731,"Summer",190186
10,-119.0642895,35.1456685,NA,1994,"Sorex (Otisorex) ornatus Merriam, 1895","Sorex_ornatus",3.5,84,"female",18.3,159,7.95062414169002,72.8267225154797,"Fall",190187
11,-117.245968,32.9032488,NA,1995,"Sorex (Otisorex) ornatus Merriam, 1895","Sorex_ornatus",3.7,108,"female",16.9,447,2.97946253033949,164.288143818349,"Fall",190188
1,-117.245968,32.9032488,NA,1996,"Sorex (Otisorex) ornatus Merriam, 1895","Sorex_ornatus",3.8,98,"female",17.2,218,3.01521394788416,95.6259248964422,"Winter",190189
7,-115.583333,30.966667,NA,1992,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",4.5,110,"female",12.6,980,4.96480797028628,171.444738172224,"Summer",190190
5,-110.018482,23.523515,NA,1991,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",6,107,"male",18.8,504,3.78905921001107,191.485421551268,"Spring",190191
9,-120.01208,37.8175,NA,1990,"Sorex (Otisorex) ornatus ornatus Merriam, 1895","Sorex_ornatus",2.5,94,"female",12.8,611,7.05244423565119,102.04644694399,"Fall",190192
