"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
7,-114.0309,47.8736,"immature",1964,"Sorex vagrans","Sorex_vagrans",4.1,94,"male",6,728,8.07660294625873,68.5781762487697,"Summer",139411
7,-113.8156,48.6002,NA,1964,"Sorex vagrans","Sorex_vagrans",5.3,100,"male",1.6,1837,7.94589182972541,74.5087614983736,"Summer",139412
7,-113.9746,48.6445,NA,1964,"Sorex vagrans","Sorex_vagrans",8.8,103,"female",4,858,8.16728043457366,67.1009447111537,"Summer",139413
7,-114.2085,47.9996,NA,1956,"Sorex vagrans","Sorex_vagrans",8.5,98,"female",6.5,476,8.75748597521347,41.3173250733186,"Summer",139414
7,-106.98917,38.968172,NA,1981,"Sorex vagrans","Sorex_vagrans",5.9,110,NA,3.1,747,6.92977764302854,55.8633343909626,"Summer",139415
7,-48.5432,48.5432,"immature",1949,"Sorex vagrans","Sorex_vagrans",5.2,104,"female",-9999,-9999,0,0,"Summer",139416
7,-124.0999,46.8934,"adult",1948,"Sorex vagrans","Sorex_vagrans",7.8,108,"male",9.2,2139,4.34246124875855,61.7755508047883,"Summer",139417
1,-110.7794334,43.275916,NA,1990,"Sorex vagrans vagrans","Sorex_vagrans",8,110,"male",4,466,10.1501753977978,40.8170691309944,"Winter",139418
6,-110.799176,43.28889,NA,1996,"Sorex vagrans vagrans","Sorex_vagrans",5.9,100,NA,5,632,8.92960686636757,67.4089306488345,"Summer",139419
6,-110.799176,43.28889,NA,1996,"Sorex vagrans vagrans","Sorex_vagrans",7.4,95,"undetermined",5,632,8.92960686636757,67.4089306488345,"Summer",139420
6,-110.799176,43.28889,NA,1996,"Sorex vagrans vagrans","Sorex_vagrans",4.5,95,NA,5,632,8.92960686636757,67.4089306488345,"Summer",139421
6,-110.799176,43.28889,NA,1996,"Sorex vagrans vagrans","Sorex_vagrans",7.7,94,"male",5,632,8.92960686636757,67.4089306488345,"Summer",139422
7,-123.7998582,39.4435148,NA,1971,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",4.3,99,"female",10.6,854,2.73711859111332,107.879946266002,"Summer",139423
6,-115.97075,41.30038,NA,1981,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",4,92,"undetermined",7.2,396,7.61212648981674,104.690647531329,"Summer",139424
7,-120.2417488,41.5698703,NA,1971,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",4.6,91,"female",5.2,972,7.67960699752036,85.2103933163313,"Summer",139425
2,-123.0606448,38.352599,NA,1996,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",8.5,105,"male",13.1,1182,1.76806691221249,117.632233468556,"Winter",139426
7,-116.9884,48.6339,NA,1970,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",6,115,"female",6.2,813,8.47926168884289,70.2624599110543,"Summer",139427
11,-123.0604248,38.3525635,NA,1991,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",7,103,"male",12.5,657,2.62326421687087,136.201710504726,"Fall",139428
7,-116.9884,48.6339,NA,1972,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",3.5,87,"male",5.9,780,8.48901250637159,48.3377374989253,"Summer",139429
7,-120.2533335,41.5620902,NA,1971,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",6.6,105,"female",5.3,973,7.6814366948488,85.3127755093042,"Summer",139430
6,-115.97075,41.30038,NA,1981,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",4,92,"undetermined",7.2,396,7.61212648981674,104.690647531329,"Summer",139431
3,-123.0606448,38.352599,NA,1996,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",4.4,103,"male",13.1,1182,1.76806691221249,117.632233468556,"Spring",139432
7,-119.269072,38.468374,NA,1987,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",4.5,NA,"male",5,470,7.22677575954781,81.7560053018293,"Summer",139433
7,-119.269072,38.468374,NA,1987,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",3,NA,"male",5,470,7.22677575954781,81.7560053018293,"Summer",139434
11,-122.9930734,38.3561655,NA,1989,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",4,NA,"female",13,639,3.43179209301743,157.964682473934,"Fall",139435
7,-119.269072,38.468374,NA,1987,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",4,NA,"female",5,470,7.22677575954781,81.7560053018293,"Summer",139436
9,-123.0606448,38.352599,NA,1987,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",10,101,"female",13.1,781,2.39500743340404,115.454122908518,"Fall",139437
5,-122.9930734,38.3561655,NA,1994,"Sorex (Otisorex) vagrans vagrans Baird, 1857","Sorex_vagrans",4,97,"female",13.3,852,3.66614321332461,118.412169289441,"Spring",139438
