"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
10,-117.1729,46.8338,NA,1949,"Sturnella neglecta","Sturnella_neglecta",150,267,"male",7.8,450,9.40109600315868,73.219746743152,"Fall",143056
11,-117.359631,46.604293,"Ad",1954,"Sturnella neglecta","Sturnella_neglecta",124,NA,"male",10.8,412,6.90879983437899,48.6635765834445,"Fall",143057
4,-118.03545,46.97315,"Ad",1955,"Sturnella neglecta","Sturnella_neglecta",117.9,250,"male",8.5,367,8.69382835781519,71.9002552707947,"Spring",143058
12,-119.277957,47.04321,NA,1968,"Sturnella neglecta","Sturnella_neglecta",122.4,244,"male",11.1,210,8.24885667008685,77.3014243341068,"Winter",143059
6,-118.423362,46.69762,NA,1982,"Sturnella neglecta","Sturnella_neglecta",86.7,NA,"female",10.4,311,8.54703120529242,50.896791627524,"Summer",143060
6,-118.657488,46.018878,NA,1980,"Sturnella neglecta","Sturnella_neglecta",88.4,NA,"female",11.3,387,7.97752050033927,50.7295815872477,"Summer",143061
3,-117.128498,46.56794,NA,1986,"Sturnella neglecta","Sturnella_neglecta",158.6,NA,"female",9.2,549,7.36928515097385,65.7465846675193,"Spring",143062
3,-105.251545,39.923296,"adult",2012,"Sturnella neglecta","Sturnella_neglecta",99.1,225,"undetermined",11.2,288,8.38282425106494,64.2156091753634,"Spring",143063
10,-102.874323,39.269769,"Immature",2012,"Sturnella neglecta","Sturnella_neglecta",71,220,"male",11.7,213,9.50229238689594,73.7565689728071,"Fall",143064
4,-104.661406,39.319964,"adult",1990,"Sturnella neglecta","Sturnella_neglecta",119.2,230,"male",8.5,577,8.41821167937632,77.2351009086594,"Spring",143065
4,-105.073725,40.35757,"adult",1994,"Sturnella neglecta","Sturnella_neglecta",104.3,221,"undetermined",10.2,309,9.05652284602684,52.5070558203712,"Spring",143066
3,-105.450097,35.396664,NA,1994,"Sturnella neglecta","Sturnella_neglecta",119,249,"male",11.1,460,8.23212480395425,69.6723219336139,"Spring",143067
4,-104.7095,39.9883,NA,2009,"Sturnella neglecta","Sturnella_neglecta",94.7,208,"female",9.9,422,8.8999957439554,81.173692409263,"Spring",143068
5,-107.64,39.57,"adult",2011,"Sturnella neglecta","Sturnella_neglecta",112,231,"male",8.3,409,9.824840965634,44.1799915997503,"Spring",143069
9,-104.66694,39.85833,"adult",2013,"Sturnella neglecta","Sturnella_neglecta",106.2,191,"male",10.1,316,9.64688676425842,63.9619229492216,"Fall",143070
11,-95.3062816,38.9114667,NA,1953,"Sturnella neglecta","Sturnella_neglecta",124.3,NA,"male",13.9,603,9.83883384935184,57.4839153563662,"Fall",143074
4,-98.5247641,38.1652245,NA,1959,"Sturnella neglecta","Sturnella_neglecta",86.7,NA,"female",13,681,10.5388315147824,83.3398233668108,"Spring",143075
12,-95.1856012,38.9548639,NA,1961,"Sturnella neglecta neglecta","Sturnella_neglecta",127.6,NA,"male",11.7,1394,9.7131900324281,68.5968698257072,"Winter",143076
12,-99.272026,37.192237,NA,1963,"Sturnella neglecta","Sturnella_neglecta",153.5,NA,"male",14.9,460,11.0989215965363,118.429315052009,"Winter",143077
11,-101.9075617,37.1131734,NA,1964,"Sturnella neglecta neglecta","Sturnella_neglecta",128.1,NA,"male",13.6,314,10.114076599203,101.030505866285,"Fall",143078
4,-98.9159393,37.342382,NA,1965,"Sturnella neglecta neglecta","Sturnella_neglecta",115.4,NA,"male",14.4,735,9.8236264364865,80.2800696676298,"Spring",143079
11,-99.272026,37.1923409,NA,1965,"Sturnella neglecta","Sturnella_neglecta",119.1,NA,"male",14.5,777,9.72525609228909,82.3014018735691,"Fall",143080
8,-100.163744,39.1262313,NA,1966,"Sturnella neglecta","Sturnella_neglecta",99.3,NA,"female",11.3,378,10.8596696193956,91.9738828465005,"Summer",143081
4,-97.4123383,28.0886403,NA,1967,"Sturnella neglecta","Sturnella_neglecta",86,NA,"female",21.9,1054,6.05311715339521,167.226270298864,"Spring",143082
4,-97.4123383,28.0886403,NA,1967,"Sturnella neglecta","Sturnella_neglecta",72,NA,"female",21.9,1054,6.05311715339521,167.226270298864,"Spring",143083
3,-101.3448009,38.9122703,NA,1967,"Sturnella neglecta","Sturnella_neglecta",115.7,NA,"male",11.4,484,8.88797280632995,116.619314574137,"Spring",143084
3,-101.3448009,38.9122703,NA,1967,"Sturnella neglecta","Sturnella_neglecta",134.1,NA,"male",11.4,484,8.88797280632995,116.619314574137,"Spring",143085
3,-101.176094,38.8977735,NA,1967,"Sturnella neglecta","Sturnella_neglecta",138.3,NA,"male",11.5,477,8.91071452428667,120.544084226397,"Spring",143086
3,-101.3616402,38.9122703,NA,1967,"Sturnella neglecta","Sturnella_neglecta",120.1,NA,"male",11.4,485,8.90035750048073,116.415405003033,"Spring",143087
3,-95.5358162,39.8814898,NA,1968,"Sturnella neglecta","Sturnella_neglecta",113.8,NA,"male",11.3,901,10.6078408679046,86.3073545305508,"Spring",143088
6,-103.4499987,32.3357531,NA,1968,"Sturnella neglecta","Sturnella_neglecta",120.7,NA,"male",16.1,344,7.92848241048268,89.3748054177097,"Summer",143089
4,-103.4386277,33.1409695,NA,1968,"Sturnella neglecta","Sturnella_neglecta",119.5,NA,"male",13.7,385,7.80883338200264,101.923349539529,"Spring",143090
6,-101.3536336,35.8402749,"JUVENAL",1968,"Sturnella neglecta","Sturnella_neglecta",83.8,NA,"undetermined",14.4,496,8.92376381388821,68.8488340502532,"Summer",143091
2,-101.78469,37.1811249,NA,1950,"Sturnella neglecta","Sturnella_neglecta",123,NA,"male",13.4,445,8.5068243549553,118.938042414765,"Winter",143092
2,-101.7823906,37.1791291,NA,1950,"Sturnella neglecta","Sturnella_neglecta",123,NA,"male",13.4,446,8.53138146474354,119.269609076745,"Winter",143093
