"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-83.425653,35.610901,NA,1932,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",191.85,309,"female",9.6,2210,6.51912687033434,40.8746948846594,"Summer",168432
10,-83.292908,35.707035,NA,1932,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",150.65,295,"male",9.9,2113,6.54932335158651,45.9662570602526,"Fall",168433
10,-83.292908,35.707035,NA,1932,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",151.76,293,"male",9.9,2113,6.54932335158651,45.9662570602526,"Fall",168434
10,-83.292908,35.707035,NA,1932,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",192.5,297,"female",9.9,2113,6.54932335158651,45.9662570602526,"Fall",168435
10,-76.51583,42.57306,NA,1939,"Tamiasciurus hudsonicus loquax","Tamiasciurus_hudsonicus",214,NA,"female",8.7,711,10.2912253003138,31.1135433786648,"Fall",168436
7,-75.627724,44.113591,"adult",1991,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",138,292,"female",7.8,939,10.1516083215987,26.2715074855058,"Summer",168437
6,-75.627724,44.113591,NA,1990,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",206,310,"female",8,1138,8.88855239262073,33.7630088001854,"Summer",168438
3,-76.655259,42.276659,NA,1993,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",205.5,315,"female",7.1,1020,10.2401578763871,47.9865543775618,"Spring",168439
3,-76.655259,42.276659,"adult",1994,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",172,300,"male",7.1,1226,10.6799266539304,53.6758478406825,"Spring",168440
7,-76.400551,42.438907,NA,1995,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",145.3,31,"female",8.2,822,10.5508724326905,54.2543862421802,"Summer",168441
2,-76.45442,42.4566,NA,1934,"Tamiasciurus hudsonicus loquax","Tamiasciurus_hudsonicus",161.5,306,"male",7.9,746,11.1376885420901,50.9070130797508,"Winter",168442
6,-72.889998,43.208872,NA,2012,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",142,340,"female",7.3,1281,8.78966335067401,43.7144742125742,"Summer",168444
7,-72.889998,43.208872,"juvenile",2012,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",174,308,"male",7.3,1281,8.78966335067401,43.7144742125742,"Summer",168445
7,-72.889998,43.208872,"juvenile",2012,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",195,315,"male",7.3,1281,8.78966335067401,43.7144742125742,"Summer",168446
7,-72.889998,43.208872,"juvenile",2012,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",156,NA,"male",7.3,1281,8.78966335067401,43.7144742125742,"Summer",168447
7,-72.889998,43.208872,"juvenile",2012,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",158,298,"female",7.3,1281,8.78966335067401,43.7144742125742,"Summer",168448
8,-73.985689,44.249031,"juvenile",2012,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",185,NA,"male",7.3,1040,9.33048116593559,46.1232876531325,"Summer",168449
8,-73.985689,44.249031,NA,2012,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",167,NA,"female",7.3,1040,9.33048116593559,46.1232876531325,"Summer",168450
7,-72.889998,43.208872,NA,2012,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",180,309,"female",7.3,1281,8.78966335067401,43.7144742125742,"Summer",168451
8,-72.889998,43.208872,"juvenile",2012,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",144,NA,"male",7.3,1281,8.78966335067401,43.7144742125742,"Summer",168452
8,-72.889998,43.208872,"juvenile",2012,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",176,260,"male",7.3,1281,8.78966335067401,43.7144742125742,"Summer",168453
8,-73.985689,44.249031,NA,2012,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",154,250,"male",7.3,1040,9.33048116593559,46.1232876531325,"Summer",168454
7,-73.985689,44.249031,"adult",2013,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",162,309,"male",5.6,1176,10.3278198878739,60.1230548104302,"Summer",168455
6,-113.446009,46.892151,"adult",2013,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",235,347,"female",6.3,378,9.1889591193437,54.7318389375985,"Summer",168456
6,-107.24556,38.793333,"adult",2013,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",220,340,"male",2.6,841,9.73358369333472,60.455516808175,"Summer",168472
6,-107.24556,38.793333,"adult",2013,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",218,325,"male",2.6,841,9.73358369333472,60.455516808175,"Summer",168473
6,-107.24556,38.793333,"adult",2013,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",212,338,"female",2.6,841,9.73358369333472,60.455516808175,"Summer",168474
6,-107.24556,38.793333,"adult",2013,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",196,331,"male",2.6,841,9.73358369333472,60.455516808175,"Summer",168475
7,-107.207314,37.991432,"adult",2013,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",195,329,"male",-1.2,788,8.89733957512871,58.3285954781264,"Summer",168476
7,-107.207314,37.991432,NA,2013,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",182,291,"male",-1.2,788,8.89733957512871,58.3285954781264,"Summer",168477
7,-107.207314,37.991432,"adult",2013,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",194,319,"male",-1.2,788,8.89733957512871,58.3285954781264,"Summer",168478
5,-106.331023,39.457912,NA,1943,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",17,307,"male",1.7,542,8.45727228753187,49.8257344746382,"Spring",168480
6,-106.381703,39.083519,NA,1944,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",16,344,"female",1.4,281,8.4087031032608,64.0558610930469,"Summer",168481
5,-76.46632,42.44127,NA,1949,"Tamiasciurus hudsonicus loquax","Tamiasciurus_hudsonicus",174.5,288,"female",9.9,777,9.47239610018436,37.6813549210693,"Spring",168482
4,-76.45442,42.4566,NA,1950,"Tamiasciurus hudsonicus loquax","Tamiasciurus_hudsonicus",221,318,"male",8.1,988,9.41502667403164,23.5134886763006,"Spring",168483
7,-73.951263,44.29997,"adult",1953,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",206.8,310,"male",5.9,906,9.17633649748915,37.9636361421128,"Summer",168484
10,-76.451,42.4465,NA,1955,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",135.1,283,"male",8.8,930,10.83332400932,73.5202649091988,"Fall",168485
7,-105.6264,40.6596,NA,2009,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",255.9,361,"male",1.3,544,7.89469998662317,64.428361932797,"Summer",168486
9,-105.856738,38.727965,NA,1989,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",228,324,"female",3.1,275,8.20127022682056,45.2603684209469,"Fall",168488
5,-105.233320725,39.5308715377,NA,1995,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",232.2,335,"female",5.7,714,6.95149863938225,82.2718298426529,"Spring",168489
7,-105.253007,39.055224,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",214,318,"female",4.6,642,7.93478628151593,86.6818369688776,"Summer",168490
8,-105.084309,37.325337,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",226,340,"male",2.8,785,7.69236142172378,40.8956788939145,"Summer",168491
8,-105.084309,37.325337,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",210,315,"male",2.8,785,7.69236142172378,40.8956788939145,"Summer",168492
8,-105.612967,38.095028,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",104,265,"female",0.3,1056,7.90616847784058,51.9980205367911,"Summer",168493
8,-105.612967,38.095028,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",210,320,"male",0.3,1056,7.90616847784058,51.9980205367911,"Summer",168494
8,-105.612967,38.095028,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",120,290,"male",0.3,1056,7.90616847784058,51.9980205367911,"Summer",168495
8,-105.169731,37.475549,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",240,330,"male",4,692,7.83327691791419,40.1905134149856,"Summer",168496
8,-105.169731,37.475549,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",240,335,"female",4,692,7.83327691791419,40.1905134149856,"Summer",168497
8,-105.9613,38.462226,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",234,315,"female",5.3,385,8.41731170645571,52.9051273877214,"Summer",168498
8,-105.9613,38.462226,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",152,305,"male",5.3,385,8.41731170645571,52.9051273877214,"Summer",168499
8,-105.9613,38.462226,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",165,290,"female",5.3,385,8.41731170645571,52.9051273877214,"Summer",168500
8,-105.9613,38.462226,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",214,290,"female",5.3,385,8.41731170645571,52.9051273877214,"Summer",168501
8,-104.9821,37.9324,NA,1997,"Tamiasciurus hudsonicus fremonti","Tamiasciurus_hudsonicus",208,320,"male",5.7,857,8.07361959305325,55.7018184028915,"Summer",168502
6,-151.1855556,59.5991667,NA,1957,"Tamiasciurus hudsonicus kenaiensis A. H. Howell, 1936","Tamiasciurus_hudsonicus",188,315,"female",4.6,599,7.65054959404284,83.3448867485395,"Summer",168503
8,-151.1855556,59.5991667,NA,1957,"Tamiasciurus hudsonicus kenaiensis A. H. Howell, 1936","Tamiasciurus_hudsonicus",180,306,"female",4.6,599,7.65054959404284,83.3448867485395,"Summer",168504
4,-151.4033333,59.45,NA,1958,"Tamiasciurus hudsonicus kenaiensis A. H. Howell, 1936","Tamiasciurus_hudsonicus",310,315,"female",4.6,1184,6.42864682495469,58.484900597064,"Spring",168505
7,-151.1855556,59.5991667,NA,1957,"Tamiasciurus hudsonicus kenaiensis A. H. Howell, 1936","Tamiasciurus_hudsonicus",150,317,"male",4.6,599,7.65054959404284,83.3448867485395,"Summer",168506
8,-106.246932,45.310514,NA,1974,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",292.3,382,"female",6.8,370,9.03788323299949,68.0900100360363,"Summer",168507
8,-106.331314,45.345568,NA,1974,"Tamiasciurus hudsonicus","Tamiasciurus_hudsonicus",274,363,"male",6.7,390,8.986757934974,66.2189058232557,"Summer",168508
