"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-108.65781,33.373289,NA,1965,"Thomomys bottae","Thomomys_bottae",94.5,195,"female",6.3,1086,6.4586563946569,89.0539434774892,"Summer",153084
7,-105.048033,37.133501,NA,2001,"Thomomys bottae cultellus","Thomomys_bottae",112.5,214,"female",7.7,470,8.09505554288692,81.8024046135043,"Summer",153085
9,-104.942476,38.067963,"adult",2002,"Thomomys bottae internatus","Thomomys_bottae",117,320,"female",10.4,274,8.71397345264107,67.7921773309551,"Fall",153086
10,-104.505145,38.275213,NA,2002,"Thomomys bottae internatus","Thomomys_bottae",103.5,208,"male",12.1,157,9.78478642866289,67.6191594608871,"Fall",153087
10,-104.384305,38.237498,NA,2002,"Thomomys bottae internatus","Thomomys_bottae",118,213,"female",12.1,143,9.82900392622865,65.2307481564523,"Fall",153088
8,-105.030096,38.540957,NA,2003,"Thomomys bottae","Thomomys_bottae",108,209,"female",11.7,301,8.56630113593464,73.0230349709161,"Summer",153089
6,-118.0062111,34.0901204,NA,1975,"Thomomys (Megascapheus) bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",140,217,"female",17.3,248,4.45321640655789,160.708456733176,"Summer",153090
2,-118.1488687,34.9973747,NA,1981,"Thomomys (Megascapheus) bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",175,233,"male",17.9,123,7.99171445936352,121.400056272614,"Winter",153091
1,-116.366667,30.966667,NA,1946,"Thomomys (Megascapheus) bottae aphrastus Elliot, 1903","Thomomys_bottae",92.5,145,"female",-9999,-9999,0,0,"Winter",153092
3,-118.1351571,34.0523407,NA,1990,"Thomomys (Megascapheus) bottae bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",147,216,"female",18.6,217,4.45264647216244,147.851120331812,"Spring",153093
4,-118.4190947,34.7327349,NA,1979,"Thomomys (Megascapheus) bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",106,205,"female",15.9,348,8.00062024110783,177.971544311516,"Spring",153094
5,-118.2204368,34.1002274,NA,2004,"Thomomys (Megascapheus) bottae bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",106,208,"female",16.9,432,3.69184194809271,165.59842845321,"Spring",153095
9,-118.296356,34.124563,NA,1976,"Thomomys (Megascapheus) bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",95,215,"female",18.1,289,3.76695158482615,122.557522646044,"Fall",153096
3,-113.227412,27.371999,NA,1949,"Thomomys (Megascapheus) bottae russeolus Nelson and Goldman, 1909","Thomomys_bottae",98,198,"male",20.7,155,4.74956935846915,154.787330893945,"Spring",153097
9,-118.8482925,34.1782011,NA,1991,"Thomomys (Megascapheus) bottae bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",150,265,"male",17.3,432,4.1545429679722,177.76046961425,"Fall",153098
3,-118.55714,35.0483281,NA,1973,"Thomomys (Megascapheus) bottae pascalis Merriam, 1901","Thomomys_bottae",151,226,"female",9.9,539,7.51936389153586,132.582342690417,"Spring",153099
4,-118.094189,35.1251828,NA,1980,"Thomomys (Megascapheus) bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",128,228,"male",16.9,271,7.1053117134616,162.462036119967,"Spring",153100
5,-118.2075472,34.9861573,NA,1981,"Thomomys (Megascapheus) bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",119,213,"male",17.7,156,8.00435487529738,124.985818890978,"Spring",153101
5,-119.144449,34.8128275,NA,1976,"Thomomys (Megascapheus) bottae bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",185,235,"male",7.7,474,6.47575314445191,141.471462730337,"Spring",153102
2,-118.5645188,34.4291938,NA,1975,"Thomomys (Megascapheus) bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",181,232,"male",16.6,260,5.31609192295744,165.503778829625,"Winter",153103
6,-118.5707173,35.3294232,NA,1973,"Thomomys (Megascapheus) bottae pascalis Merriam, 1901","Thomomys_bottae",85,185,"female",15.5,395,7.41899691006238,123.027823602269,"Summer",153104
4,-117.9612939,34.9841514,NA,1982,"Thomomys (Megascapheus) bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",109,198,"male",15.4,196,7.83083938377908,94.2499623667423,"Spring",153105
5,-118.9927144,34.7581353,NA,1976,"Thomomys (Megascapheus) bottae bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",102,212,"female",9.6,397,6.13158736677246,150.314934609239,"Spring",153106
2,-118.1987549,34.4547855,NA,1977,"Thomomys (Megascapheus) bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",122,215,"male",16.1,289,6.1872975938734,145.708821304891,"Winter",153107
4,-117.8226622,35.1745765,NA,1980,"Thomomys (Megascapheus) bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",128,215,"male",17.1,230,6.99174296559661,157.116022180121,"Spring",153108
4,-118.304194,34.4911842,NA,1973,"Thomomys (Megascapheus) bottae (Eydoux and Gervais, 1836)","Thomomys_bottae",116,202,"female",15.9,367,6.57306256741494,152.183392149969,"Spring",153109
5,-117.1333,38.43694,NA,1992,"Thomomys (Megascapheus) bottae vescus Hall and Davis, 1935","Thomomys_bottae",107,198,"male",9.1,220,8.51961640194931,66.5607350212406,"Spring",153110
