"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
9,-117.179616,46.731275,NA,2010,"Thryomanes bewickii","Thryomanes_bewickii",9.4,NA,"male",8.6,569,6.58360567139038,54.4125176678362,"Fall",155289
11,-117.02457,46.321314,NA,1977,"Thryomanes bewickii","Thryomanes_bewickii",11.5,NA,"male",11.8,375,8.63726948997334,82.3776773874968,"Fall",155290
3,-95.279274,38.9568726,NA,1945,"Thryomanes bewickii","Thryomanes_bewickii",10.9,NA,"male",11.9,1127,9.76072448254956,83.2945849307617,"Spring",155291
1,-97.6339301,30.2682592,NA,1957,"Thryomanes bewickii","Thryomanes_bewickii",10.6,NA,"female",19.8,1244,6.86296053265114,73.361880836008,"Winter",155292
4,-99.08432,37.0475049,NA,1965,"Thryomanes bewickii","Thryomanes_bewickii",11.1,NA,"male",14.5,747,9.74540684350605,78.6153262718645,"Spring",155293
4,-97.4281465,28.1023602,NA,1967,"Thryomanes bewickii","Thryomanes_bewickii",10,NA,"undetermined",21.9,1060,6.05202195113085,168.088920631327,"Spring",155294
4,-97.4281465,28.1023602,NA,1967,"Thryomanes bewickii","Thryomanes_bewickii",11,NA,"male",21.9,1060,6.05202195113085,168.088920631327,"Spring",155295
5,-100.8526807,37.1803491,NA,1967,"Thryomanes bewickii","Thryomanes_bewickii",12.6,NA,"male",13.8,453,8.55702351960958,110.730233977802,"Spring",155296
5,-103.0702972,36.9032346,NA,1968,"Thryomanes bewickii","Thryomanes_bewickii",11.7,NA,"female",12.1,311,8.91036169044475,124.100911944281,"Spring",155297
4,-101.78469,37.1521231,NA,1950,"Thryomanes bewickii","Thryomanes_bewickii",9,NA,"female",13.5,457,8.51972310689625,120.003987155499,"Spring",155298
3,-101.78469,37.1521231,NA,1950,"Thryomanes bewickii","Thryomanes_bewickii",10,NA,"male",13.5,457,8.51972310689625,120.003987155499,"Spring",155299
12,-95.2945126,38.1403494,NA,1996,"Thryomanes bewickii","Thryomanes_bewickii",5,NA,"female",12.4,1045,10.111544557254,65.6282274041625,"Winter",155300
9,-97.1244621,37.351874,NA,1956,"Thryomanes bewickii","Thryomanes_bewickii",11.1,NA,"female",15.4,423,10.8029562452305,57.8501493465211,"Fall",155301
4,-121.5124651,37.699282,NA,1965,"Thryomanes bewickii","Thryomanes_bewickii",9.2,NA,"male",14.8,233,5.59682675245265,120.151885110563,"Spring",155302
10,-118.7271881,34.0828058,NA,1987,"Thryomanes bewickii correctus","Thryomanes_bewickii",9,NA,"male",18.3,391,4.34248741733318,108.51105130738,"Fall",155303
9,-118.7354278,34.0347371,NA,2001,"Thryomanes bewickii correctus","Thryomanes_bewickii",9.3,NA,"undetermined",15,448,2.71069710367625,135.796772812589,"Fall",155304
12,-122.6160965,38.7523041,NA,1989,"Thryomanes bewickii drymoecus","Thryomanes_bewickii",9.8,NA,"male",14.5,612,6.51136535512167,149.544062583856,"Winter",155305
5,-118.0271606,34.4952431,NA,1999,"Thryomanes bewickii correctus","Thryomanes_bewickii",8.9,NA,"female",13.6,107,6.30086574138103,127.517529821056,"Spring",155307
1,-118.2940292,37.1661072,NA,1998,"Thryomanes bewickii correctus","Thryomanes_bewickii",10,NA,"male",13,262,7.95005241072871,163.490060011861,"Winter",155308
9,-106.8518166667,33.9376666667,NA,2010,"Thryomanes bewickii","Thryomanes_bewickii",10.2,NA,"male",15.4,194,8.61367394251018,74.1131898277253,"Fall",155309
12,-108.3369444444,36.7313888889,NA,1993,"Thryomanes bewickii","Thryomanes_bewickii",11,NA,"female",11.2,221,9.1521979476368,104.09743407842,"Winter",155310
7,-106.776155,34.662765,NA,2012,"Thryomanes bewickii","Thryomanes_bewickii",9.8,NA,"male",15.1,132,8.81160993785867,102.188520956405,"Summer",155311
11,-108.9873,31.51615,NA,2013,"Thryomanes bewickii","Thryomanes_bewickii",10.5,NA,"male",15.4,426,7.52299001646811,120.056012367439,"Fall",155312
11,-109.0083166667,31.5195,NA,2013,"Thryomanes bewickii","Thryomanes_bewickii",10.8,NA,"male",15.3,440,7.49077715756132,120.191193538037,"Fall",155313
9,-119.6859402,34.0195873,"u ad.",1948,"Thryomanes bewickii nesophilus","Thryomanes_bewickii",12.7,NA,"male",13,249,2.49452430638619,139.51263416374,"Fall",155314
4,-110.3958,33.6181,"unknown",1949,"Thryomanes bewickii eremophilus","Thryomanes_bewickii",10,NA,"male",10.5,610,8.6683681313501,99.6252537030282,"Spring",155315
9,-120.2887243,35.4464832,"imm.",1947,"Thryomanes bewickii correctus","Thryomanes_bewickii",9.6,NA,"undetermined",14.7,120,5.94935061391348,93.5171350366046,"Fall",155316
9,-120.17411,35.285637,"imm.",1947,"Thryomanes bewickii correctus","Thryomanes_bewickii",9.1,NA,"male",15.1,136,6.31637482335326,101.144960479023,"Fall",155317
9,-120.17411,35.285637,"imm.",1947,"Thryomanes bewickii correctus","Thryomanes_bewickii",9.4,NA,"male",15.1,136,6.31637482335326,101.144960479023,"Fall",155318
8,-108.4167461155,30.0146438844,"juv.sk.",1948,"Thryomanes bewickii eremophilus","Thryomanes_bewickii",11.6,NA,"male",13.1,351,6.92931300980687,121.571115249925,"Summer",155319
8,-108.4167461155,30.0146438844,"unknown",1948,"Thryomanes bewickii eremophilus","Thryomanes_bewickii",10.6,NA,"male",13.1,351,6.92931300980687,121.571115249925,"Summer",155320
8,-108.4167461155,30.0146438844,"juv.sk.",1948,"Thryomanes bewickii eremophilus","Thryomanes_bewickii",10.3,NA,"male",13.1,351,6.92931300980687,121.571115249925,"Summer",155321
8,-108.4167461155,30.0146438844,"unknown",1948,"Thryomanes bewickii eremophilus","Thryomanes_bewickii",10,NA,"male",13.1,351,6.92931300980687,121.571115249925,"Summer",155322
3,-119.6859402,34.0195873,"u ad.",1950,"Thryomanes bewickii nesophilus","Thryomanes_bewickii",10,NA,"male",13.9,274,2.36258717972865,98.4298061910462,"Spring",155323
3,-120.32182,35.94172,"u ad.",1950,"Thryomanes bewickii nesophilus","Thryomanes_bewickii",10.6,NA,"male",14.7,538,6.17567932712792,100.878297846618,"Spring",155324
3,-119.9675636,33.9423492,"u ad.",1950,"Thryomanes bewickii nesophilus","Thryomanes_bewickii",12.2,NA,"male",14,246,2.27676005842433,96.1637639238733,"Spring",155325
3,-119.9675636,33.9423492,"u ad.",1950,"Thryomanes bewickii nesophilus","Thryomanes_bewickii",11.6,NA,"male",14,246,2.27676005842433,96.1637639238733,"Spring",155326
3,-104.73503,32.0124,"unknown",1950,"Thryomanes bewickii eremophilus","Thryomanes_bewickii",10.2,NA,"female",15.5,386,6.29665615925459,145.784899137763,"Spring",155327
9,-116.25667,34.0375,"imm.",1950,"Thryomanes bewickii correctus","Thryomanes_bewickii",8.9,NA,"female",15,75,6.33661796802737,105.057559980664,"Fall",155328
8,-116.3164598,34.0141366,"ad.",1950,"Thryomanes bewickii correctus","Thryomanes_bewickii",8.5,NA,"female",13.6,86,5.80336892753605,103.823112813695,"Summer",155329
8,-116.3038572,34.0304563,"unknown",1950,"Thryomanes bewickii correctus","Thryomanes_bewickii",7.5,NA,"female",13.9,82,5.9258805764258,102.312243370886,"Summer",155330
8,-116.3038572,34.0304563,"imm.",1950,"Thryomanes bewickii correctus","Thryomanes_bewickii",9.1,NA,"male",13.9,82,5.9258805764258,102.312243370886,"Summer",155331
8,-116.3038572,34.0304563,"ad.",1950,"Thryomanes bewickii correctus","Thryomanes_bewickii",9.1,NA,"male",13.9,82,5.9258805764258,102.312243370886,"Summer",155332
8,-116.3038572,34.0304563,"ad.",1950,"Thryomanes bewickii correctus","Thryomanes_bewickii",8.8,NA,"female",13.9,82,5.9258805764258,102.312243370886,"Summer",155333
