"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-98.84032,26.90949,NA,2013,"Baeolophus bicolor","Baeolophus_bicolor",14.2,NA,"female",22.8,613,6.37915046115551,91.1427930802012,"Summer",6698
6,-98.75737,26.79981,NA,2013,"Baeolophus bicolor","Baeolophus_bicolor",14.8,NA,"female",23,621,6.1551345897699,92.8017529902052,"Summer",6730
7,-98.77705,26.7549,NA,2013,"Baeolophus bicolor","Baeolophus_bicolor",15.1,NA,"male",23.1,625,6.18752410463624,93.8822583306508,"Summer",6699
7,-98.1557167,30.91685,NA,2011,"Baeolophus bicolor","Baeolophus_bicolor",15.2,NA,"female",20.8,487,8.56371839373953,63.6205575179294,"Summer",6694
4,-97.51147,30.112,"nestling",1951,"Baeolophus bicolor","Baeolophus_bicolor",15.3,NA,"male",20.4,692,7.41527395844468,81.1460081524042,"Spring",6564
6,-97.26265,30.4676833,NA,2011,"Baeolophus bicolor","Baeolophus_bicolor",15.5,NA,"female",21.5,571,8.38694873544062,75.6113982533247,"Summer",6715
8,-99.3955167,30.0416667,NA,2011,"Baeolophus bicolor","Baeolophus_bicolor",16,NA,"female",19.9,507,7.9562582571549,87.1695881738925,"Summer",6725
6,-97.3343833,29.9578833,NA,2011,"Baeolophus bicolor","Baeolophus_bicolor",16.3,NA,"male",21.7,580,7.96777600999517,80.2599628902454,"Summer",6690
5,-98.79912,26.83624,NA,2013,"Baeolophus bicolor","Baeolophus_bicolor",16.3,NA,"male",23,618,6.26613674419651,91.7202295615941,"Spring",6697
6,-97.26265,30.4676833,NA,2011,"Baeolophus bicolor","Baeolophus_bicolor",16.4,NA,"female",21.5,571,8.38694873544062,75.6113982533247,"Summer",6688
5,-98.0852833,29.963,NA,2011,"Baeolophus bicolor","Baeolophus_bicolor",16.7,NA,"female",21.4,558,7.9314630466646,76.0538926559441,"Spring",6723
7,-97.08355,31.4691667,NA,2011,"Baeolophus bicolor","Baeolophus_bicolor",16.8,NA,"female",20.6,575,8.95527608156051,61.050390039782,"Summer",6685
7,-97.9691667,30.4736833,NA,2011,"Baeolophus bicolor","Baeolophus_bicolor",16.9,NA,"female",21.3,516,8.33497105119402,69.5132791145214,"Summer",6692
2,-97.6546,30.2292,NA,1957,"Baeolophus bicolor","Baeolophus_bicolor",17.1,NA,"female",19.9,1241,6.85373156489488,73.5671061999326,"Winter",6622
7,-96.08355,30.4691667,NA,2011,"Baeolophus bicolor","Baeolophus_bicolor",17.1,NA,"female",21.1,694,8.20016629543129,74.6337506158598,"Summer",6719
5,-98.0852833,29.963,NA,2011,"Baeolophus bicolor","Baeolophus_bicolor",17.2,NA,"male",21.4,558,7.9314630466646,76.0538926559441,"Spring",6681
2,-97.60767,30.19433,"u ad.",1952,"Baeolophus bicolor","Baeolophus_bicolor",17.3,NA,"female",19.8,888,6.76660695599868,70.2578073199386,"Winter",6576
2,-97.60767,30.19433,"u ad.",1952,"Baeolophus bicolor","Baeolophus_bicolor",17.3,NA,"male",19.8,888,6.76660695599868,70.2578073199386,"Winter",6578
6,-98.75737,26.79981,NA,2013,"Baeolophus bicolor","Baeolophus_bicolor",17.3,NA,"male",23,621,6.1551345897699,92.8017529902052,"Summer",6731
