"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-120.35436,40.91219,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",12.7,NA,"female",6.5,287,8.00140139240772,74.3677757135274,"Summer",7652
10,-119.20396,38.51328,"AHY",2012,"Baeolophus ridgwayi zaleptus","Baeolophus_ridgwayi",13.2,NA,"undetermined",8.5,276,7.43946784509361,117.021487556613,"Fall",7362
4,-115.4207,35.1716,"ad.sk.",1991,"Baeolophus ridgwayi","Baeolophus_ridgwayi",13.4,NA,"female",13.3,226,7.4526942453821,104.786459145264,"Spring",7506
4,-110.3958,33.6181,"unknown",1949,"Baeolophus ridgwayi","Baeolophus_ridgwayi",13.5,NA,"male",10.5,610,8.6683681313501,99.6252537030282,"Spring",7629
5,-114.44903,37.51717,"juv.sk.",1989,"Baeolophus ridgwayi","Baeolophus_ridgwayi",13.7,NA,"male ?",11.4,209,8.78143271944052,81.363249159862,"Spring",7410
9,-121.1911003,41.7437788,"lg.sk.wind.",1996,"Baeolophus ridgwayi","Baeolophus_ridgwayi",13.7,NA,"female",9,536,7.02883131800513,67.3403943994342,"Fall",7534
1,-115.4207,35.1716,"ad.",1938,"Baeolophus ridgwayi","Baeolophus_ridgwayi",13.7,NA,"female",12.9,254,7.69030775283625,132.158136765635,"Winter",7590
6,-118.566964,37.876794,"ad.sk.",1990,"Baeolophus ridgwayi","Baeolophus_ridgwayi",13.8,NA,"female",8.4,206,8.20493199794545,84.6286895719924,"Summer",7432
5,-115.4207,35.1716,"ad.",1938,"Baeolophus ridgwayi","Baeolophus_ridgwayi",13.8,NA,"female",12.9,254,7.69030775283625,132.158136765635,"Spring",7595
5,-114.09734,36.5919,"ad.oss.",1970,"Baeolophus ridgwayi","Baeolophus_ridgwayi",13.9,NA,"female",11.5,339,8.23151740494295,107.917881141305,"Spring",7381
6,-115.50028,35.96583,"unknown",1940,"Baeolophus ridgwayi","Baeolophus_ridgwayi",13.9,NA,"female",8.4,568,7.43201000586468,145.832625928857,"Summer",7603
6,-118.156917,37.300795,"juv.sk.",1990,"Baeolophus ridgwayi","Baeolophus_ridgwayi",13.9,NA,"female",7.9,166,7.81903272325118,88.0447573261966,"Summer",7707
1,-115.4207,35.1716,"ad.",1938,"Baeolophus ridgwayi","Baeolophus_ridgwayi",14,NA,"female",12.9,254,7.69030775283625,132.158136765635,"Winter",7591
