"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-97.509,28.14492,"imm.",1964,"Chondestes grammacus strigatus","Chondestes_grammacus",15,NA,"male",21.9,600,6.76427222898952,76.7732012150335,"Summer",21223
6,-106.81667,29.44306,"u ad.",1959,"Chondestes grammacus strigatus","Chondestes_grammacus",15.9,NA,"male",13.5,437,6.25457408379635,155.468970804463,"Summer",21219
6,-101.1126709,31.1276115,"ad",1977,"Chondestes grammacus strigatus","Chondestes_grammacus",16.5,78,"male",18.3,404,8.52259030192966,93.606851036074,"Summer",21431
11,-115.7230556,31.4,"ad",1926,"Chondestes grammacus strigatus","Chondestes_grammacus",17.3,NA,"male",16.2,268,4.77762303014604,130.711659266751,"Fall",21479
6,-106.2266833333,35.1416666667,NA,2010,"Chondestes grammacus","Chondestes_grammacus",19.45,NA,"female",10.9,469,8.4341836917069,69.8708795919349,"Summer",21208
5,-98.0852833,29.963,NA,2012,"Chondestes grammacus","Chondestes_grammacus",19.9,NA,"female",21.2,1120,6.40686185178663,81.6555971394755,"Spring",21483
8,-105.210762,40.487553,"immature",1998,"Chondestes grammacus","Chondestes_grammacus",20.6,153,"undetermined",8.6,460,8.7049054439367,61.5804064649407,"Summer",21321
8,-107.8162,36.3422666667,NA,2009,"Chondestes grammacus","Chondestes_grammacus",20.8,NA,"undetermined",9.6,179,8.84836485493566,45.6601410953633,"Summer",21475
5,-98.0852833,29.963,NA,2012,"Chondestes grammacus","Chondestes_grammacus",20.8,NA,"male",21.2,1120,6.40686185178663,81.6555971394755,"Spring",21484
8,-102.7851665503,38.553049,"adult",1989,"Chondestes grammacus","Chondestes_grammacus",21,153,"undetermined",11,428,9.71552958677576,113.172593075154,"Summer",21172
6,-97.5846863,33.3362651,"ad",1976,"Chondestes grammacus grammacus","Chondestes_grammacus",21,NA,"male",16.9,848,7.79992229953529,85.7705574340135,"Summer",21427
7,-101.7918592,37.1445973,NA,1999,"Chondestes grammacus","Chondestes_grammacus",21.4,NA,"female",13.6,500,8.22304135286386,75.495747304292,"Summer",21192
8,-108.4167461155,30.0146438844,"u ad.",1948,"Chondestes grammacus strigatus","Chondestes_grammacus",21.5,NA,"male",13.1,351,6.92931300980687,121.571115249925,"Summer",21364
1,-120.1544666,34.4742269,NA,2002,"Chondestes grammacus","Chondestes_grammacus",21.9,NA,"male",13.5,317,2.40825600169437,161.832766557121,"Winter",21310
4,-98.004055,26.5077539,NA,1967,"Chondestes grammacus","Chondestes_grammacus",22,NA,"male",23.1,916,5.72937010658081,132.081700953342,"Spring",21341
4,-98.2666667,29.4666667,NA,1946,"Chondestes grammacus grammacus","Chondestes_grammacus",22,NA,"female",20.8,1074,6.50879940518754,44.2576588163986,"Spring",21487
6,-120.5881808,35.1185856,"juv",1968,"Chondestes grammacus strigatus","Chondestes_grammacus",22.1,166,"female",13.8,306,2.06280186037135,93.8126370854985,"Summer",21279
6,-101.001235,38.8393095,NA,1967,"Chondestes grammacus","Chondestes_grammacus",22.4,NA,"female",11.8,489,8.95021161083848,118.837273309115,"Summer",21342
9,-116.94528,39.24556,"imm",1931,"Chondestes grammacus strigatus","Chondestes_grammacus",22.6,NA,"female",8.9,185,9.5724470447343,48.9411099092045,"Fall",21245
8,-120.63,36.35,"juv",1944,"Chondestes grammacus strigatus","Chondestes_grammacus",22.9,NA,"female",12.3,479,6.51284860638546,117.560293787102,"Summer",21412
8,-104.856342,39.812929,NA,1995,"Chondestes grammacus","Chondestes_grammacus",23,166,"undetermined",10.2,446,7.88029283412204,94.804016435389,"Summer",21318
9,-116.98667,39.23861,"imm",1931,"Chondestes grammacus strigatus","Chondestes_grammacus",23.4,NA,"male",9.1,185,9.60889739204812,49.4793629683915,"Fall",21392
7,-101.8623587,37.1059226,NA,1963,"Chondestes grammacus","Chondestes_grammacus",23.5,NA,"female",14.5,255,10.7726505559217,101.663825416613,"Summer",21182
7,-101.7918592,37.1445973,NA,1999,"Chondestes grammacus","Chondestes_grammacus",23.5,NA,"female",13.6,500,8.22304135286386,75.495747304292,"Summer",21349
8,-116.65,33.9833333,NA,1985,"Chondestes grammacus strigatus","Chondestes_grammacus",23.5,NA,"female",17.3,167,6.58869555305973,123.154139795463,"Summer",21354
10,-109.85554,24.23539,"Imm.",1961,"Chondestes grammacus strigatus","Chondestes_grammacus",23.8,NA,"male",23.4,309,4.96350316171589,183.188777428929,"Fall",21466
8,-106.65441,31.93074,"U-Ad.",1987,"Chondestes grammacus","Chondestes_grammacus",23.8,NA,"male",16.8,255,8.21344057387682,115.621057782876,"Summer",21468
6,-100.1568603,31.9923536,"ad",1977,"Chondestes grammacus strigatus","Chondestes_grammacus",24,65,"female",18.4,502,8.69790552984226,83.5932511105976,"Summer",21430
3,-118.758314,34.173823,"adult",2005,NA,"Chondestes_grammacus",24,NA,"female",16.7,759,3.57799461354338,169.914283573443,"Spring",21461
5,-97.4789333,29.7947667,NA,2012,"Chondestes grammacus","Chondestes_grammacus",24.1,NA,"female",21.6,1111,6.28943317771719,75.6436730086761,"Spring",21482
7,-103.513056,37.769722,"adult",1995,"Chondestes grammacus","Chondestes_grammacus",24.4,148,"female",12.7,396,8.59173316554226,107.386439551817,"Summer",21173
5,-119.8975,42.0471,"u ad.",1937,"Chondestes grammacus strigatus","Chondestes_grammacus",24.4,NA,"female",7.8,384,9.29636618482858,83.5759812858421,"Spring",21399
6,-110.3636,31.5527,"imm",1963,"Chondestes grammacus strigatus","Chondestes_grammacus",24.5,NA,"female ?",16.1,424,6.54718884851978,109.16458028248,"Summer",21221
6,-112.0840539,35.8333226,"ad",1969,"Chondestes grammacus strigatus","Chondestes_grammacus",24.5,NA,"female",9.5,312,8.05424789107643,68.9864731551357,"Summer",21422
6,-101.1126709,31.1276115,"imm",1977,"Chondestes grammacus strigatus","Chondestes_grammacus",24.5,70,"male",18.3,404,8.52259030192966,93.606851036074,"Summer",21433
5,-95.288887,39.0421862,"ad",1966,"Chondestes grammacus grammacus","Chondestes_grammacus",24.5,NA,"female",12.1,661,9.94464984833858,101.139984419632,"Spring",21447
4,-97.58652,28.29012,"u ad.",1951,"Chondestes grammacus strigatus","Chondestes_grammacus",24.6,NA,"male",22.7,634,6.46001102353877,116.044585263834,"Spring",21212
10,-118.49432,35.4277106,"imm",1933,"Chondestes grammacus strigatus","Chondestes_grammacus",24.7,NA,"female",13.1,192,7.6035677431218,174.984785049846,"Fall",21252
7,-120.789507,36.3099701,"juv",1936,"Chondestes grammacus strigatus","Chondestes_grammacus",24.7,NA,"male",14.4,829,6.79215233437335,151.811401392615,"Summer",21396
