"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-121.8603,46.9389,"unknown",1974,"Glaucomys sabrinus","Glaucomys_sabrinus",36.2,205,"male",4,2381,6.3412251468968,63.9841760931425,"Summer",38846
10,-124.2890344,47.9179,"unknown",1987,"Glaucomys sabrinus","Glaucomys_sabrinus",37.05,210,"female",10.5,2532,4.66653950043187,80.9986753642695,"Fall",38932
3,-121.8661128,47.5675,"unknown",1992,"Glaucomys sabrinus","Glaucomys_sabrinus",37.4,206,"female",11.1,1316,5.19728221518155,69.7155113808037,"Spring",38616
11,-78.16291,42.067124,NA,1994,"Glaucomys sabrinus","Glaucomys_sabrinus",38,237,"female",6.5,1158,10.0272771916801,53.544356059349,"Fall",38344
8,-122.6670845,46.9412809,"unknown",1992,"Glaucomys sabrinus","Glaucomys_sabrinus",39.7,227,"female",11.4,970,5.14895546924252,80.6589431328281,"Summer",38632
3,-121.8661128,47.5675,"unknown",1992,"Glaucomys sabrinus","Glaucomys_sabrinus",41.7,223,"male",11.1,1316,5.19728221518155,69.7155113808037,"Spring",38941
2,-120.781531,49.064645,NA,1952,"Glaucomys sabrinus columbiensis","Glaucomys_sabrinus",42,338,"female",3,598,7.87491221692296,84.3138159857609,"Winter",39325
12,-133.0973333333,55.7779722222,NA,2009,"Glaucomys sabrinus","Glaucomys_sabrinus",43,300,"male",6.1,2400,6.05271664526589,53.1438870169724,"Winter",39045
2,-120.781531,49.064645,NA,1952,"Glaucomys sabrinus columbiensis","Glaucomys_sabrinus",43,328,"female",3,598,7.87491221692296,84.3138159857609,"Winter",39159
7,-110.939627,43.196789,NA,1999,"Glaucomys sabrinus bangsi","Glaucomys_sabrinus",45.1,244,"female",4.7,691,7.59004531467289,73.0114742610746,"Summer",38686
7,-110.939627,43.196789,NA,1999,"Glaucomys sabrinus bangsi","Glaucomys_sabrinus",47.2,236,"male",4.7,691,7.59004531467289,73.0114742610746,"Summer",38685
