"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
10,-117.821473,33.800967,"adult",1984,NA,"Lanius_ludovicianus",18.3,NA,"female",18.9,218,4.80179101687037,204.33585811015,"Fall",42115
4,-117.883877,33.740259,"Not recorded",1984,NA,"Lanius_ludovicianus",23,NA,"female",18.7,212,4.43856207947274,195.280744722428,"Spring",42113
4,-117.883877,33.740259,"Not recorded",1984,NA,"Lanius_ludovicianus",23,NA,"undetermined",18.7,212,4.43856207947274,195.280744722428,"Spring",42335
6,-121.9856,37.77108,"nestling",2009,"Lanius ludovicianus","Lanius_ludovicianus",23.4,125,"undetermined",14.9,507,5.01322493435356,117.005030197739,"Summer",42397
10,-110.2167,23.45,"ad.",1928,"Lanius ludovicianus nelsoni","Lanius_ludovicianus",24.8,NA,"female",22.2,164,3.36140077222505,130.878889965229,"Fall",42231
7,-120.6365603,34.7560921,"immature",1995,NA,"Lanius_ludovicianus",26.5,NA,"undetermined",14.2,516,1.53531656986335,163.133012362486,"Summer",42338
8,-104.733384,39.957888,"immature",1989,"Lanius ludovicianus","Lanius_ludovicianus",27.5,186,"undetermined",10.1,357,9.60539621065349,77.7520414210461,"Summer",42126
5,-122.88722,38.24283,"Juv.",1984,"Lanius ludovicianus gambeli","Lanius_ludovicianus",28.9,NA,"female",13.7,687,3.94906970249343,155.62397363615,"Spring",42392
7,-118.1578979,33.890625,"natal",1980,"Lanius ludovicianus gambeli","Lanius_ludovicianus",31.2,NA,"male",18.5,536,3.15838230552902,172.612458917455,"Summer",42152
8,-117.626152,33.9145885,"juvenile",2001,"Lanius ludovicianus gambeli","Lanius_ludovicianus",31.7,NA,"female",16.6,378,4.46060194334461,148.241761235822,"Summer",42146
8,-119.297859,34.48469,"adult",2000,NA,"Lanius_ludovicianus",32,NA,"undetermined",15,571,4.17622237594376,180.345157319767,"Summer",42110
10,-111.5625,35.4603,"imm.",1922,"Lanius ludovicianus gambeli","Lanius_ludovicianus",32,NA,"male",9.4,384,9.18201057404195,45.2659439514762,"Fall",42205
6,-118.05361,37.73806,"nestling",1928,"Lanius ludovicianus","Lanius_ludovicianus",34.5,NA,"undetermined",11.2,32,8.76598107700583,153.648802616404,"Summer",41989
7,-118.3957214,37.3652992,NA,2005,"Lanius ludovicianus excubitorides","Lanius_ludovicianus",35,NA,"female",14.8,187,7.53999437344055,121.616424676485,"Summer",41904
6,-118.05361,37.73806,"nestling",1928,"Lanius ludovicianus","Lanius_ludovicianus",35,NA,"undetermined",11.2,32,8.76598107700583,153.648802616404,"Summer",42224
6,-118.05361,37.73806,"nestling",1928,"Lanius ludovicianus","Lanius_ludovicianus",35,NA,"undetermined",11.2,32,8.76598107700583,153.648802616404,"Summer",42225
1,-96.9887638,37.2438583,NA,1963,"Lanius ludovicianus","Lanius_ludovicianus",35.6,NA,"female",15,625,11.2370598980123,64.4661568717896,"Winter",42140
