"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-115.6888,48.2239,"u imm.",1967,"Leucosticte tephrocotis tephrocotis","Leucosticte_tephrocotis",15,NA,"female",1.5,2376,7.81273242078518,75.2753528822381,"Summer",43472
1,-119.06344,39.75301,"u ad.",1969,"Leucosticte tephrocotis littoralis","Leucosticte_tephrocotis",15,NA,"female",11,196,8.50726516608367,122.708444952294,"Winter",43898
7,-119.276578,38.436624,"imm",1946,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",16.3,NA,"female",0.6,856,6.50570844906551,139.100544717187,"Summer",44116
10,-119.34647,38.029607,"u imm.",1937,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",16.4,NA,"undetermined",1.3,1205,7.21007292023815,131.080215697209,"Fall",44086
2,-119.88765,39.55434,"u ad.",1969,"Leucosticte tephrocotis tephrocotis","Leucosticte_tephrocotis",16.5,NA,"male",8.8,580,7.60159472901854,152.136018578746,"Winter",43940
3,-105.5102905,39.96137485,"u ad.",1969,"Leucosticte tephrocotis littoralis","Leucosticte_tephrocotis",17,NA,"female",4.4,611,8.03597969739656,86.8062417693711,"Spring",43588
4,-118.5781326,37.2542191,NA,1997,"Leucosticte tephrocotis dawsoni","Leucosticte_tephrocotis",17.5,NA,"male",6,307,6.31808371408466,133.74617288622,"Spring",43787
3,-105.5102905,39.96137485,"u ad.",1969,"Leucosticte tephrocotis tephrocotis","Leucosticte_tephrocotis",17.5,NA,"female",4.4,611,8.03597969739656,86.8062417693711,"Spring",43970
2,-119.88765,39.55434,"u ad.",1969,"Leucosticte tephrocotis tephrocotis","Leucosticte_tephrocotis",17.6,NA,"male",8.8,580,7.60159472901854,152.136018578746,"Winter",43939
2,-119.88765,39.55434,"u imm.",1969,"Leucosticte tephrocotis littoralis","Leucosticte_tephrocotis",18.5,NA,"undetermined",8.8,580,7.60159472901854,152.136018578746,"Winter",43936
2,-119.88765,39.55434,"u ad.",1969,"Leucosticte tephrocotis littoralis","Leucosticte_tephrocotis",18.8,NA,"male",8.8,580,7.60159472901854,152.136018578746,"Winter",43556
3,-105.5102905,39.96137485,"u ad.",1969,"Leucosticte tephrocotis tephrocotis","Leucosticte_tephrocotis",19,NA,"female",4.4,611,8.03597969739656,86.8062417693711,"Spring",43579
3,-105.5102905,39.96137485,"u ad.",1969,"Leucosticte tephrocotis tephrocotis x Leucosticte tephrocotis littoralis","Leucosticte_tephrocotis",19,NA,"male",4.4,611,8.03597969739656,86.8062417693711,"Spring",43971
2,-119.88765,39.55434,"u ad.",1969,"Leucosticte tephrocotis littoralis","Leucosticte_tephrocotis",19.2,NA,"female",8.8,580,7.60159472901854,152.136018578746,"Winter",43555
3,-105.5102905,39.96137485,"u ad.",1969,"Leucosticte tephrocotis tephrocotis","Leucosticte_tephrocotis",19.5,NA,"female",4.4,611,8.03597969739656,86.8062417693711,"Spring",43972
2,-119.88765,39.55434,"u ad.",1969,"Leucosticte tephrocotis littoralis","Leucosticte_tephrocotis",19.9,NA,"female",8.8,580,7.60159472901854,152.136018578746,"Winter",43557
5,-112.09528,40.66306,"u ad.",1969,"Leucosticte tephrocotis tephrocotis","Leucosticte_tephrocotis",20,NA,"male",10.2,373,9.41507495262976,74.6626838764611,"Spring",43567
