"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-122.448,37.75105,"Immature",2000,"Microtus californicus","Microtus_californicus",10.3,86,"undetermined",13.5,709,2.22606801061396,134.603475571956,"Summer",56098
6,-122.45573,37.80564,"Immature",2011,"Microtus californicus","Microtus_californicus",10.4,87,"male",13.2,441,2.56212210813023,137.624215364558,"Summer",55468
6,-122.45573,37.80564,"Immature",2011,"Microtus californicus","Microtus_californicus",10.4,87,"male",13.2,441,2.56212210813023,137.624215364558,"Summer",55472
4,-121.8663,40.45431,"",2007,"Microtus californicus eximius","Microtus_californicus",12,114,"male",15.2,540,7.32171428013959,116.528226213943,"Spring",51411
2,-119.84694,34.42028,"",1982,"Microtus californicus sanctidiegi","Microtus_californicus",12,105,"male",14.7,444,3.17875285245168,124.238833976017,"Winter",51554
4,-118.34256,35.45697,"",2012,"Microtus californicus kernensis","Microtus_californicus",12,111,"male",10.3,260,7.09914634219346,91.5377201242818,"Spring",51580
4,-121.8663,40.45431,"",2007,"Microtus californicus eximius","Microtus_californicus",12,110,"undetermined",15.2,540,7.32171428013959,116.528226213943,"Spring",54329
4,-116.86924,32.69677,"adult",2005,"Microtus californicus sanctidiegi","Microtus_californicus",12.3,99,"male",17.3,459,3.77081094083423,183.354498493374,"Spring",55707
4,-117.42043,33.23688,"adult",2004,"Microtus californicus sanctidiegi","Microtus_californicus",12.4,108,"female",15.8,255,3.0251972137066,144.178585402397,"Spring",56344
4,-118.34256,35.45697,"",2012,"Microtus californicus kernensis","Microtus_californicus",13,110,"female",10.3,260,7.09914634219346,91.5377201242818,"Spring",51578
4,-117.61965,35.68189,"",2010,"Microtus californicus kernensis","Microtus_californicus",13,113,"male",18.4,179,8.1834783669182,164.427890578657,"Spring",54425
4,-116.86924,32.69677,"adult; juvenile",2005,"Microtus californicus sanctidiegi","Microtus_californicus",13,100,"undetermined",17.3,459,3.77081094083423,183.354498493374,"Spring",55710
2,-122.330628,37.9146577,"",2005,"Microtus californicus californicus","Microtus_californicus",14,110,"male",14.6,694,2.50022726239763,121.574839133503,"Winter",51352
4,-121.86558,40.43911,"",2007,"Microtus californicus eximius","Microtus_californicus",14,117,"female",15.4,536,7.32034835236685,117.638990911074,"Spring",51412
6,-122.21183,37.837363,"juvenile",2009,"Microtus californicus californicus","Microtus_californicus",14,105,"undetermined",14.2,588,3.7616385050167,125.771256637801,"Summer",51644
3,-117.4455988,34.3029902,"unknown",1964,"Microtus californicus","Microtus_californicus",14,109,"female",13.5,371,6.47729718230365,98.498721561936,"Spring",52302
12,-117.9009315,34.2234339,"",1986,"Microtus californicus Peale, 1848","Microtus_californicus",14,100,"male",16,746,5.25099557659827,138.456452854759,"Winter",52601
4,-122.3616559,37.8999569,"",1979,"Microtus californicus californicus","Microtus_californicus",14,124,"female",14.5,689,3.35056530734559,109.502594182291,"Spring",54258
