"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-123.7338888889,44.3188888889,NA,1996,"Microtus oregoni","Microtus_oregoni",5,102,"male",11.9,2703,4.91111139677315,89.1911290625737,"Spring",63292
7,-123.49,45.57,NA,2000,"Microtus oregoni oregoni","Microtus_oregoni",5.6,123,"male",8.8,2554,5.10141840050095,69.5988008898222,"Summer",63368
5,-123.49,45.57,NA,2000,"Microtus oregoni oregoni","Microtus_oregoni",6.1,85,"female",8.8,2554,5.10141840050095,69.5988008898222,"Spring",63366
7,-123.4294,47.9446206,"unknown",1931,"Microtus oregoni","Microtus_oregoni",6.5,118,"female",4.3,1744,5.36594198005656,74.5746060121853,"Summer",63217
7,-123.49,45.57,NA,2000,"Microtus oregoni oregoni","Microtus_oregoni",6.7,89,"male",8.8,2554,5.10141840050095,69.5988008898222,"Summer",63381
5,-123.7338888889,44.3138888889,NA,1996,"Microtus oregoni","Microtus_oregoni",7,106,"undetermined",11.9,2703,4.90326885399378,89.2023542779077,"Spring",63426
5,-120.8667,49.1167,"unknown",1962,"Microtus oregoni","Microtus_oregoni",7.1,NA,"male",2.3,1051,6.23448377003164,73.2926249664132,"Spring",62759
9,-123.3,45.57,NA,2000,"Microtus oregoni oregoni","Microtus_oregoni",7.1,101,"female",8.3,1715,5.25616521118512,78.3384944446739,"Fall",63287
8,-122.6776112,46.984881,"unknown",1992,"Microtus oregoni","Microtus_oregoni",7.3,98,"male",11.5,935,5.13248714001548,80.575403209284,"Summer",63158
6,-121.8308,45.8317,"unknown",1983,"Microtus oregoni","Microtus_oregoni",7.6,103,"undetermined",7.6,3376,5.96830009806863,89.9691564291899,"Summer",63080
7,-122.6829,46.992119,"unknown",1992,"Microtus oregoni","Microtus_oregoni",7.8,99,"male",11.5,935,5.09399527667507,81.1254766131381,"Summer",62897
