"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-106.8057173472,41.455096492,"juvenile",1996,"Myotis lucifugus carissima","Myotis_lucifugus",1.8,62,NA,6.6,235,8.87478552877861,71.4939429329972,"Summer",71259
6,-149.288255,61.657238,"juvenile",2004,"Myotis lucifugus","Myotis_lucifugus",1.88,48,"male",2.1,605,8.94010372117989,107.25190944401,"Summer",71748
8,-151.3663611111,60.71375,NA,2009,"Myotis lucifugus","Myotis_lucifugus",1.89,50,"male",2,336,9.22023466473209,51.221740787143,"Summer",71918
7,-106.1478,37.5781,"juvenile",2007,"Myotis lucifugus","Myotis_lucifugus",2,48,"female",6.1,214,9.85130355933578,58.5603376206033,"Summer",71238
7,-106.1478,37.5781,"juvenile",2007,"Myotis lucifugus","Myotis_lucifugus",2,47,"male",6.1,214,9.85130355933578,58.5603376206033,"Summer",71239
1,-106.1478,37.5781,"juvenile",2007,"Myotis lucifugus","Myotis_lucifugus",2,60,"male",6.1,214,9.85130355933578,58.5603376206033,"Winter",71243
1,-106.1478,37.5781,"juvenile",2007,"Myotis lucifugus","Myotis_lucifugus",2,55,"female",6.1,214,9.85130355933578,58.5603376206033,"Winter",71248
7,-104.55591,42.203158,"juv",1997,"Myotis lucifugus carissma","Myotis_lucifugus",2,55,"male",8.3,413,9.31357350940827,90.7838965197946,"Summer",71288
7,-106.1478,37.5781,"juvenile",2007,"Myotis lucifugus","Myotis_lucifugus",2,52,"female",6.1,214,9.85130355933578,58.5603376206033,"Summer",71668
7,-106.1478,37.5781,"juvenile",2007,"Myotis lucifugus","Myotis_lucifugus",2,46,"female",6.1,214,9.85130355933578,58.5603376206033,"Summer",71671
7,-106.1478,37.5781,"juvenile",2007,"Myotis lucifugus","Myotis_lucifugus",2,63,"female",6.1,214,9.85130355933578,58.5603376206033,"Summer",71672
