"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
2,-117.9913545,35.6468139,NA,1972,"Onychomys torridus Coues, 1874","Onychomys_torridus",6,140,"male",15.1,108,7.88381541225728,180.561341440567,"Winter",80683
5,-117.830375,36.045755,NA,1987,"Onychomys torridus clarus","Onychomys_torridus",7.5,115,"female",15.6,172,7.8679393551914,103.285006480189,"Spring",80709
4,-118.11463,36.58771,NA,2007,"Onychomys torridus longicaudus","Onychomys_torridus",9,103,"male",15.4,125,7.88125893650516,160.558298672872,"Spring",80772
4,-118.11463,36.58771,NA,2007,"Onychomys torridus longicaudus","Onychomys_torridus",11,118,"male",15.4,125,7.88125893650516,160.558298672872,"Spring",80703
4,-118.11463,36.58771,NA,2007,"Onychomys torridus longicaudus","Onychomys_torridus",11,114,"male",15.4,125,7.88125893650516,160.558298672872,"Spring",80704
8,-109.1381,31.9195,NA,1972,"Onychomys torridus Coues, 1874","Onychomys_torridus",11,129,"female",14.9,374,7.01212694140831,116.056333765833,"Summer",80751
4,-118.12305,36.59187,NA,2007,"Onychomys torridus longicaudus","Onychomys_torridus",11,116,"female",15.4,125,7.86354746840628,161.131273416203,"Spring",80775
12,-118.02436,35.4308,"adult",2003,"Onychomys torridus pulcher","Onychomys_torridus",11.8,115,"male",16.9,227,7.35112339384363,119.028214892811,"Winter",80831
9,-118.03,37.33,NA,1977,"Onychomys torridus Coues, 1874","Onychomys_torridus",12,120,"male",12.2,170,8.05554110064882,129.978341651683,"Fall",80821
10,-114.079,36.4126,NA,2004,"Onychomys torridus","Onychomys_torridus",12,122,"female",19.8,212,8.95627002313311,92.7690883721682,"Fall",80859
6,-113.448,33.6426,"unknown",1963,"Onychomys torridus","Onychomys_torridus",12.3,72,"female",20.3,152,8.31710541139418,116.142350503416,"Summer",80796
8,-117.78,34.52,NA,1988,"Onychomys torridus Coues, 1874","Onychomys_torridus",12.5,133,"male",15.9,154,6.98504896839736,114.301815849214,"Summer",80996
11,-111.1571,32.2864,NA,1951,"Onychomys torridus","Onychomys_torridus",12.8,128,"male",19.6,395,7.49428064755,88.347148027418,"Fall",80880
3,-117.687924,35.505965,NA,1967,"Onychomys torridus","Onychomys_torridus",12.9,NA,"female",17.6,130,8.55436712853131,125.009391082242,"Spring",80693
11,-118.00506,35.40772,"adult",2003,"Onychomys torridus pulcher","Onychomys_torridus",12.9,120,"female",17.3,204,7.47741549094621,124.151730120256,"Fall",80829
7,-114.21,37.6883333,NA,2000,"Onychomys torridus","Onychomys_torridus",13,134,"male",11.1,405,8.5076925974869,100.611284658478,"Summer",80844
11,-112.66,29.88,NA,2006,"Onychomys torridus","Onychomys_torridus",13,118,"female",23.1,58,5.84045452776658,112.920564735192,"Fall",80857
4,-117.04472,35.02914,NA,1968,"Onychomys torridus","Onychomys_torridus",13.5,NA,"male",17.6,102,7.31312643004469,88.1388683346755,"Spring",80694
8,-109.1398,31.9195,NA,1972,"Onychomys torridus Coues, 1874","Onychomys_torridus",13.5,134,"female",14.9,374,7.00040583239156,116.334814612433,"Summer",80741
5,-116.31306,36.63278,NA,1964,"Onychomys torridus","Onychomys_torridus",13.6,132,"male",16.5,55,8.9997811421201,112.972274412244,"Spring",81165
8,-110.201876,32.71703,NA,1961,"Onychomys torridus","Onychomys_torridus",13.7,118,"male",16.4,450,7.40466683309188,79.2274391039695,"Summer",81058
2,-118.02436,35.4308,NA,2003,"Onychomys torridus pulcher","Onychomys_torridus",13.8,119,"male",16.9,227,7.35112339384363,119.028214892811,"Winter",80832
9,-118.36993,37.39837,NA,2006,"Onychomys torridus longicaudus","Onychomys_torridus",14,129,"female",14.5,87,8.50085557191424,172.526737624744,"Fall",80771
9,-117.25175,38.5076,NA,2011,"Onychomys torridus longicaudus","Onychomys_torridus",14,130,"female",9.8,191,8.97312485686952,71.0113627271272,"Fall",80836
9,-117.25175,38.5076,NA,2011,"Onychomys torridus longicaudus","Onychomys_torridus",14,133,"female",9.8,191,8.97312485686952,71.0113627271272,"Fall",81003
7,-114.21,37.6883333,NA,2000,"Onychomys torridus","Onychomys_torridus",14,126,"female",11.1,405,8.5076925974869,100.611284658478,"Summer",81011
7,-118.4725,40.17944,"unknown",1964,"Onychomys torridus","Onychomys_torridus",14.25,84,"female",9.7,126,8.39849824238076,78.6900341539641,"Summer",80734
3,-117.72,35.47,NA,1969,"Onychomys torridus Coues, 1874","Onychomys_torridus",14.3,110,"female",17.6,210,8.2546359793461,173.020599455386,"Spring",80815
11,-118.0176,35.43372,"adult",2003,"Onychomys torridus pulcher","Onychomys_torridus",14.4,122,"male",16.7,237,7.31815405603618,119.215003124796,"Fall",80834
12,-118.0176,35.43372,"adult",2003,"Onychomys torridus pulcher","Onychomys_torridus",14.4,124,"female",16.7,237,7.31815405603618,119.215003124796,"Winter",81001
12,-118.02763,35.41977,"adult",2003,"Onychomys torridus pulcher","Onychomys_torridus",14.7,124,"male",16.9,230,7.3563155715262,117.7144774505,"Winter",80823
12,-118.02375,35.42551,NA,2003,"Onychomys torridus pulcher","Onychomys_torridus",14.8,122,"male",16.9,228,7.35067508752932,118.896619415089,"Winter",80826
5,-110.8411,32.5735,"unknown",1952,"Onychomys torridus","Onychomys_torridus",14.9,134,"female",17.6,392,8.39971139475348,82.4242693366728,"Spring",80736
12,-111.19861,31.93889,NA,1954,"Onychomys torridus","Onychomys_torridus",14.9,136,"male",17.9,565,6.18749961738597,127.386824335968,"Winter",80877
10,-115.9944725,36.6605072,NA,1960,"Onychomys torridus","Onychomys_torridus",15,138,"female",16.3,147,9.27891059436299,119.428805468417,"Fall",80681
10,-110.9333333,29.7133333,NA,1999,"Onychomys torridus","Onychomys_torridus",15,132,"male",22.7,357,5.52110962716296,190.675684562728,"Fall",80842
10,-110.9333333,29.7133333,NA,1999,"Onychomys torridus","Onychomys_torridus",15,139,"female",22.7,357,5.52110962716296,190.675684562728,"Fall",80843
