"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-122.9488,44.5674,"unknown",1990,"Spermophilus beecheyi","Otospermophilus_beecheyi",130.4,285,"male",11.6,1096,6.1861220534844,71.4686615333579,"Summer",183528
7,-123.80232,41.19392,NA,1971,"Spermophilus (Otospermophilus) beecheyi douglasii Richardson, 1829","Otospermophilus_beecheyi",132.6,261,"male",11.7,2434,6.30264494742749,85.2111775978718,"Summer",183512
6,-118.3890399,34.4758388,NA,1953,"Spermophilus (Otospermophilus) beecheyi beecheyi Richardson, 1829","Otospermophilus_beecheyi",140,302,NA,15.7,158,5.35248455477369,103.248376610614,"Summer",183511
5,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",186,335,"female",15,394,5.18887942594253,146.554041930585,"Spring",183577
7,-119.1298,37.89688,NA,2005,"Otospermophilus beecheyi fisheri","Otospermophilus_beecheyi",215,320,"female",7.3,613,7.01545372082882,111.89714444523,"Summer",183419
5,-120.4695725,35.5082123,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",215,335,"male",15,394,5.18887942594253,146.554041930585,"Spring",183499
5,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",220,360,"undetermined",15,394,5.18887942594253,146.554041930585,"Spring",183568
8,-121.36086,40.40637,NA,2007,"Otospermophilus beecheyi douglasii","Otospermophilus_beecheyi",222.7,354,"female",8.1,909,7.35001030714594,136.64495030286,"Summer",183389
6,-122.64896,40.30025,NA,2012,"Otospermophilus beecheyi douglasii","Otospermophilus_beecheyi",238,369,"male",16,937,7.12358438887717,107.071301973274,"Summer",183475
5,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",245,349,"male",15,394,5.18887942594253,146.554041930585,"Spring",183555
8,-119.22578,37.95421,NA,2004,"Otospermophilus beecheyi parvulus","Otospermophilus_beecheyi",256,365,"male",3.9,690,6.68450832261817,111.184372545618,"Summer",183479
4,-118.39327,34.30499,NA,1954,"Spermophilus (Otospermophilus) beecheyi beecheyi Richardson, 1829","Otospermophilus_beecheyi",256,420,"female",16.8,418,4.92679747232757,143.803234265575,"Spring",183487
5,-122.1534062,37.6466861,"juvenile",2004,"Otospermophilus beecheyi beecheyi","Otospermophilus_beecheyi",262,310,"male",15.3,468,3.41236610348925,125.439377098521,"Spring",183375
11,-116.70854,34.05439,NA,1949,"Spermophilus (Otospermophilus) beecheyi parvulus A. H. Howell, 1931","Otospermophilus_beecheyi",268,408,"female",12.4,302,7.27279592770625,163.075352084354,"Fall",183491
7,-119.40804,37.7409,NA,2004,"Otospermophilus beecheyi sierrae","Otospermophilus_beecheyi",270,360,"male",5.6,956,6.37796276963962,117.914350618546,"Summer",183363
9,-119.561,37.7316,NA,2003,"Otospermophilus beecheyi fisheri","Otospermophilus_beecheyi",280,375,"female",10.7,891,7.07663676323632,123.836365364635,"Fall",183406
7,-123.86732,41.14871,NA,1971,"Spermophilus (Otospermophilus) beecheyi douglasii Richardson, 1829","Otospermophilus_beecheyi",281.7,372,"male",11,2896,5.89228437463053,82.8922001700102,"Summer",183495
6,-120.4697222222,35.5080555556,"juvenile",2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",285,350,"female",15,394,5.18887942594253,146.554041930585,"Summer",183540
7,-119.39339,37.73393,NA,2004,"Otospermophilus beecheyi sierrae","Otospermophilus_beecheyi",291,376,"female",5.1,931,6.43199860545741,117.842683767348,"Summer",183362
4,-120.3796089,36.1162889,NA,2004,"Otospermophilus beecheyi beecheyi","Otospermophilus_beecheyi",295,351,"female",17.1,229,6.96016261565516,140.223227437429,"Spring",183420
7,-123.25399,44.54216,"adult",2011,"Spermophilus beecheyi","Otospermophilus_beecheyi",295,385,"male",10.9,1029,5.7076437318474,80.0059388963859,"Summer",183501
5,-117.33773,33.88676,"adult",1999,"Spermophilus beecheyi beecheyi","Otospermophilus_beecheyi",296.2,360,"female",15.9,124,4.67827830283619,143.756735063639,"Spring",183561
6,-118.29491,35.68693,NA,2008,"Otospermophilus beecheyi fisheri","Otospermophilus_beecheyi",298,381,"female",16.4,252,7.62477520781413,157.649796430298,"Summer",183447
6,-118.38717,34.66269,NA,2012,"Otospermophilus beecheyi beecheyi","Otospermophilus_beecheyi",300,415,"male",15.3,297,6.39992897687864,106.120495575166,"Summer",183393
5,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",300,370,"female",15,394,5.18887942594253,146.554041930585,"Spring",183543
4,-118.31315,35.44219,NA,2010,"Otospermophilus beecheyi fisheri","Otospermophilus_beecheyi",302,396,"female",10,406,7.02249631865012,121.869416859397,"Spring",183449
5,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",310,322,"male",15,394,5.18887942594253,146.554041930585,"Spring",183546
5,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",312,355,"female",15,394,5.18887942594253,146.554041930585,"Spring",183576
5,-118.5849813,34.3234131,NA,1974,"Spermophilus (Otospermophilus) beecheyi nudipes Huey, 1931","Otospermophilus_beecheyi",324,351,"male",16.6,616,5.73035511089581,178.027572030921,"Spring",183523
8,-119.77221,37.82534,NA,2004,"Otospermophilus beecheyi sierrae","Otospermophilus_beecheyi",330,397,"female",9.8,878,6.38399395268188,121.435163048953,"Summer",183367
5,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",330,360,"male",15,394,5.18887942594253,146.554041930585,"Spring",183536
6,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",330,371,"female",15,394,5.18887942594253,146.554041930585,"Summer",183542
4,-118.31315,35.44219,NA,2010,"Otospermophilus beecheyi fisheri","Otospermophilus_beecheyi",340,398,"female",10,406,7.02249631865012,121.869416859397,"Spring",183448
9,-118.39327,34.30499,NA,1954,"Spermophilus (Otospermophilus) beecheyi beecheyi Richardson, 1829","Otospermophilus_beecheyi",341,420,"male",16.8,418,4.92679747232757,143.803234265575,"Fall",183519
12,-121.7336111111,37.4080555556,NA,2005,"Otospermophilus beecheyi beecheyi","Otospermophilus_beecheyi",344,373,"male",14.7,821,4.89006413789505,114.013795350642,"Winter",183480
5,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",345,330,"female",15,394,5.18887942594253,146.554041930585,"Spring",183544
5,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",345,361,"undetermined",15,394,5.18887942594253,146.554041930585,"Spring",183548
5,-119.59071,37.74078,NA,2003,"Otospermophilus beecheyi fisheri","Otospermophilus_beecheyi",350,391,"female",11.1,862,7.13987946592089,122.292859714078,"Spring",183402
6,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",350,385,"male",15,394,5.18887942594253,146.554041930585,"Summer",183539
8,-119.852532,39.495089,NA,2011,"Otospermophilus beecheyi fisheri","Otospermophilus_beecheyi",351,394,"female",11,197,8.58612340649231,126.18601708721,"Summer",183457
10,-121.80136,37.39676,NA,2004,"Otospermophilus beecheyi beecheyi","Otospermophilus_beecheyi",355.3,368,"female",15.6,581,4.52986721325217,125.68135756988,"Fall",183432
6,-118.04233,35.66925,NA,2008,"Otospermophilus beecheyi fisheri","Otospermophilus_beecheyi",358,350,"female",14.2,234,7.85741784249222,171.245032352461,"Summer",183446
6,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",358,412,"male",15,394,5.18887942594253,146.554041930585,"Summer",183563
4,-118.39327,34.30499,NA,1954,"Spermophilus (Otospermophilus) beecheyi beecheyi Richardson, 1829","Otospermophilus_beecheyi",364,425,"female",16.8,418,4.92679747232757,143.803234265575,"Spring",183485
9,-118.39327,34.30499,NA,1954,"Spermophilus (Otospermophilus) beecheyi beecheyi Richardson, 1829","Otospermophilus_beecheyi",365,440,"male",16.8,418,4.92679747232757,143.803234265575,"Fall",183522
5,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",370,384,"female",15,394,5.18887942594253,146.554041930585,"Spring",183564
7,-117.5894189,33.6643373,NA,1966,"Spermophilus (Otospermophilus) beecheyi beecheyi Richardson, 1829","Otospermophilus_beecheyi",374.2,359,"female",16.5,374,4.22764172387568,197.836737097675,"Summer",183488
5,-117.33773,33.88676,"adult",1999,"Spermophilus beecheyi beecheyi","Otospermophilus_beecheyi",375.3,375,"female",15.9,124,4.67827830283619,143.756735063639,"Spring",183560
10,-121.5568207,36.37851365,NA,2004,"Otospermophilus beecheyi beecheyi","Otospermophilus_beecheyi",378,383,"female",14.7,703,4.89405947877814,146.899184127479,"Fall",183439
1,-119.852532,39.495089,NA,2010,"Otospermophilus beecheyi fisheri","Otospermophilus_beecheyi",382,405,"female",11.5,377,7.92424358305803,101.371447496998,"Winter",183455
9,-119.12977,37.90028,NA,2004,"Otospermophilus beecheyi parvulus","Otospermophilus_beecheyi",385,397,"female",7.2,501,7.15496754751974,119.716610706991,"Fall",183468
5,-120.4697222222,35.5080555556,NA,2009,"Spermophilus beecheyi","Otospermophilus_beecheyi",385,381,"undetermined",15,394,5.18887942594253,146.554041930585,"Spring",183547
6,-120.79268,40.66361,NA,2006,"Otospermophilus beecheyi douglasii","Otospermophilus_beecheyi",390,390,"female",9.1,565,8.11164520173238,90.65564077048,"Summer",183425
