"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-133.7,59.5667,"imm",1924,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",10,NA,"male",-0.3,390,8.84507652809623,42.7361199847268,"Summer",82235
8,-157.3101,57.2067,"U",1999,"Passerculus sandwichensis","Passerculus_sandwichensis",10.7,NA,"undetermined",0.3,732,8.2962340854149,48.2900545800469,"Summer",82950
5,-102.35278,38.82139,"immature",1985,"Passerculus sandwichensis","Passerculus_sandwichensis",10.9,120,"undetermined",9.8,405,10.3798172460119,109.0866759122,"Spring",82515
10,-95.7687531,39.0444049,NA,1986,"Passerculus sandwichensis","Passerculus_sandwichensis",11,NA,"undetermined",13.3,1083,9.79921147105957,69.6486254190867,"Fall",81998
6,-84.1841125,44.692088,"nestling",1948,"Passerculus sandwichensis savanna","Passerculus_sandwichensis",11.35,NA,"female",6.5,634,10.7730302987684,42.4056372337855,"Summer",82995
5,-117.1623,46.7727,NA,1981,"Passerculus sandwichensis","Passerculus_sandwichensis",11.4,NA,"female",8.6,607,6.35895932023186,55.5557532169775,"Spring",81949
10,-95.7687531,39.0444049,NA,1986,"Passerculus sandwichensis","Passerculus_sandwichensis",11.4,NA,"undetermined",13.3,1083,9.79921147105957,69.6486254190867,"Fall",81997
10,-95.7687531,39.0444049,NA,1986,"Passerculus sandwichensis","Passerculus_sandwichensis",11.5,NA,"female",13.3,1083,9.79921147105957,69.6486254190867,"Fall",81996
5,-85.0389709,46.6510859,NA,1996,"Passerculus sandwichensis","Passerculus_sandwichensis",11.6,NA,"female",3.9,827,10.3763243039434,58.8229600658142,"Spring",83006
4,-121.9097886,38.1415308,"u ad.",1927,"Passerculus sandwichensis alaudinus","Passerculus_sandwichensis",12,NA,"female",15.1,542,4.70682933876324,97.0799073357444,"Spring",82082
7,-114.48722,39.25639,"u ad.",1930,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",12,NA,"male",8.1,301,9.26257948888315,72.7836145396376,"Summer",82862
7,-125.6667,58.75,NA,1965,"Passerculus sandwichensis","Passerculus_sandwichensis",12,NA,NA,-2.3,550,10.2775535056066,40.9010460409349,"Summer",83154
7,-85.9697342,46.2774448,NA,1986,"Passerculus sandwichensis","Passerculus_sandwichensis",12.2,NA,"male",6.2,642,10.1862169205017,55.6270498945154,"Summer",82460
10,-122.6160965,38.7523041,NA,1989,"Passerculus sandwichensis","Passerculus_sandwichensis",12.2,NA,"female",14.5,612,6.51136535512167,149.544062583856,"Fall",82567
9,-76.36837,38.8369665,"immature",1968,"Passerculus sandwichensis","Passerculus_sandwichensis",12.3,NA,"male",13.5,935,9.62944899144223,41.7725139711806,"Fall",82003
7,-83.95,42.45,"juvenile",1934,"Passerculus sandwichensis savanna","Passerculus_sandwichensis",12.3,NA,"male",9.1,479,11.5979622034531,51.9615242270663,"Summer",83288
5,-119.1053,37.90891,"u ad.",1916,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",12.5,NA,"female",6.5,514,8.25665938757463,131.268195947851,"Spring",82129
12,-118.0496407,34.0284065,NA,1998,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",12.5,NA,"male",16.6,581,4.0168961332669,177.267619194482,"Winter",82568
9,-95.9166667,39.0333333,NA,1985,"Passerculus sandwichensis","Passerculus_sandwichensis",12.8,NA,"undetermined",11.1,1139,11.3735605149785,66.0237946914877,"Fall",83195
7,-165.4517,61.4301,"IM",1969,"Passerculus sandwichensis","Passerculus_sandwichensis",13,NA,"undetermined",-0.8,343,8.92087694425528,95.759148327322,"Summer",82416
7,-120.294074,55.715853,NA,1965,"Passerculus sandwichensis","Passerculus_sandwichensis",13,NA,NA,0.3,601,12.0335767624165,65.1300944661735,"Summer",83153
7,-120.294074,55.715853,NA,1965,"Passerculus sandwichensis","Passerculus_sandwichensis",13,NA,NA,0.3,601,12.0335767624165,65.1300944661735,"Summer",83167
10,-95.7687531,39.0444049,NA,1986,"Passerculus sandwichensis","Passerculus_sandwichensis",13.3,NA,"female",13.3,1083,9.79921147105957,69.6486254190867,"Fall",82553
7,-149.2891666667,63.75,"juv.",1926,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",13.4,NA,"male",-0.4,600,9.93589681179034,93.9787209957658,"Summer",82259
5,-149.9044,61.1742,"AD",2002,"Passerculus sandwichensis","Passerculus_sandwichensis",13.4,NA,"male",3.4,408,8.74190101370024,99.1266824996505,"Spring",82949
7,-115.3045,44.4197,"u ad.",1932,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",13.5,NA,"female",1.5,871,9.09800177861251,62.9970826830287,"Summer",82330
12,-121.93957,37.46675,"U",1989,"Passerculus sandwichensis alaudinus?","Passerculus_sandwichensis",13.5,NA,"undetermined",14.7,225,4.03111947756752,110.058203150915,"Winter",83042
1,-93.289053,30.846306,"AHY",2009,"Passerculus sandwichensis","Passerculus_sandwichensis",13.7,NA,"undetermined",19.5,1551,7.04054814498262,72.8972697568467,"Winter",82023
7,-120.21667,40.86884,"u juv.",1928,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",13.7,NA,"undetermined",8.9,219,7.51404745066925,119.504712649977,"Summer",82855
10,-95.7687531,39.0444049,NA,1986,"Passerculus sandwichensis","Passerculus_sandwichensis",13.8,NA,"undetermined",13.3,1083,9.79921147105957,69.6486254190867,"Fall",82551
1,-122.2855723,40.3221638,"u ad.",1928,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",13.8,NA,"undetermined",17.1,646,7.65563765331066,111.65926268567,"Winter",82841
9,-117.1143,38.96403,"imm.",1931,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",13.8,NA,"female",9.8,177,9.48371411069173,55.5409578086907,"Fall",82866
8,-156.4496,57.9446,"HY",1996,"Passerculus sandwichensis","Passerculus_sandwichensis",13.9,NA,"undetermined",2.1,507,8.26883066739552,53.8606344579112,"Summer",82382
2,-120.17467,40.34825,"ad",1951,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",14,NA,"male",7.6,257,7.54964879777178,86.5794719987995,"Winter",82041
5,-119.1053,37.90891,"u ad.",1916,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14,NA,"male",6.5,514,8.25665938757463,131.268195947851,"Spring",82127
12,-118.0496407,34.0284065,NA,1998,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14,NA,"female",16.6,581,4.0168961332669,177.267619194482,"Winter",82581
10,-84.2926025,30.4392021,NA,1977,"Passerculus sandwichensis","Passerculus_sandwichensis",14,NA,"male",19.3,1311,7.34591207695983,59.3943821008485,"Fall",82582
7,-118.34519,37.40065,"u imm.",1917,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14,NA,"undetermined",13.5,48,9.24909086441375,165.488258303614,"Summer",82697
7,-165.4517,61.4301,"JUV",1977,"Passerculus sandwichensis","Passerculus_sandwichensis",14,NA,"undetermined",-1.1,426,9.73299215881922,85.5884710528341,"Summer",82985
3,-117.333,34.599,"ad.",1918,"Passerculus sandwichensis brooksi","Passerculus_sandwichensis",14.2,NA,"male",15.3,141,7.79928124116498,114.135877053123,"Spring",82706
10,-111.002223,32.242674,NA,1970,"Passerculus sandwichensis","Passerculus_sandwichensis",14.3,NA,"female",19.4,287,7.64470504019057,115.039004785733,"Fall",82002
7,-118.34519,37.40065,"ad.",1917,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14.3,NA,"female",13.5,48,9.24909086441375,165.488258303614,"Summer",82151
9,-117.1143,38.96403,"imm.",1931,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14.3,NA,"female",9.8,177,9.48371411069173,55.5409578086907,"Fall",82316
4,-116.8653,36.4572,"u ad.",1920,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14.3,NA,"female",21.9,51,10.12934530775,114.471914711275,"Spring",82770
3,-106.333344,32.766666,"u ad.",1937,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14.3,NA,"undetermined",17.1,184,8.85502767649628,82.6034947395455,"Spring",82898
10,-95.7687531,39.0444049,NA,1986,"Passerculus sandwichensis","Passerculus_sandwichensis",14.4,NA,"female",13.3,1083,9.79921147105957,69.6486254190867,"Fall",81999
5,-149.2891666667,63.75,"u ad.",1926,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",14.4,NA,"female",-0.4,600,9.93589681179034,93.9787209957658,"Spring",82809
7,-120.21667,40.86884,"imm.",1928,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14.4,NA,"undetermined",8.9,219,7.51404745066925,119.504712649977,"Summer",82856
2,-117.333,34.599,"ad.",1918,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14.5,NA,"female",15.3,141,7.79928124116498,114.135877053123,"Winter",82153
8,-122.298998,37.89023,"imm.",1920,"Passerculus sandwichensis brooksi","Passerculus_sandwichensis",14.5,NA,"female",13.5,447,2.46625713226019,124.888130241496,"Summer",82217
8,-84.0037823,42.4696911,NA,1934,"Passerculus sandwichensis oblitus","Passerculus_sandwichensis",14.5,NA,"female",9,484,11.5789876304215,50.8407004464127,"Summer",82474
10,-118.1367378,34.6980419,NA,1989,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14.5,NA,"female",16.9,65,7.89861898170698,127.93654374299,"Fall",82576
5,-119.1053,37.90891,"u ad.",1916,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14.5,NA,"female",6.5,514,8.25665938757463,131.268195947851,"Spring",82683
4,-116.865597,36.456792,"u ad.",1917,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",14.5,NA,"female",23.3,31,10.6578467323234,99.6636097827943,"Spring",82690
7,-135.4454,59.2295,"AHY",2002,"Passerculus sandwichensis","Passerculus_sandwichensis",14.5,NA,"male",5.7,747,6.49481728112127,48.1542629923122,"Summer",82936
8,-145.6,63.8,"HY",2002,"Passerculus sandwichensis","Passerculus_sandwichensis",14.5,NA,"undetermined",-1.6,587,10.90836487483,115.72423057097,"Summer",82954
6,-83.7391662,46.0204493,NA,1938,"Passerculus sandwichensis oblitus","Passerculus_sandwichensis",14.5,NA,"female",6.1,746,10.7863550166613,25.6582764962601,"Summer",82987
7,-84.2366409,42.337103,"immature",1938,"Passerculus sandwichensis savanna","Passerculus_sandwichensis",14.6,NA,"female",10.2,739,9.58655545305745,54.1951228383305,"Summer",82488
9,-119.86945,34.0216982,"sk.1/4 oss.",1967,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14.6,NA,"undetermined",13.8,422,3.14247538019815,132.295645126477,"Fall",82647
7,-118.34519,37.40065,"ad.",1917,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14.6,NA,"female",13.5,48,9.24909086441375,165.488258303614,"Summer",82695
9,-118.48803,37.88755,"imm.",1917,"Passerculus sandwichensis nevadensis","Passerculus_sandwichensis",14.6,NA,"female",9.6,86,9.31430961673293,162.578402961469,"Fall",82702
1,-115.1486111,32.6275,"u ad.",1923,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",14.6,NA,"female",21.6,90,6.80981355149028,139.939011205814,"Winter",83230
10,-116.865597,36.456792,"imm.",1933,"Passerculus sandwichensis anthinus","Passerculus_sandwichensis",14.7,NA,"male",22.9,15,10.6098439139691,60.3022689155527,"Fall",82331
