"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
9,-104.9483758,37.8031972,NA,1988,"Perognathus flavus","Perognathus_flavus",3,155,"female",8.2,476,8.7371550740432,51.8351997926816,"Fall",189462
6,-108.91,31.94,NA,1992,"Perognathus flavus flavus","Perognathus_flavus",3.7,113,"female",15,343,7.57501375136265,82.1648913716123,"Summer",189480
7,-112.6916666667,32.8622222222,NA,2008,"Perognathus flavus","Perognathus_flavus",3.75,94,"female",22.6,117,8.33944170066485,109.39192016768,"Summer",189585
7,-110.7475,28.07556,NA,1960,"Perognathus flavus sonoriensis Nelson and Goldman, 1934","Perognathus_flavus",4,89,"female",24.6,362,5.66912825322511,168.669419812616,"Summer",189398
7,-108.9922222,32.3477778,NA,2003,"Perognathus flavus","Perognathus_flavus",4,101,"female",16.7,181,7.7764212381228,88.8343064500341,"Summer",189530
8,-98.84736,37.29597,NA,1959,"Perognathus flavus","Perognathus_flavus",4.5,101,"male",13.4,713,10.42946002263,80.4324092763722,"Summer",189478
8,-110.2249,34.3796,NA,1996,"Perognathus flavus","Perognathus_flavus",4.9,98,"male",11.1,328,7.68021365706592,129.714150007796,"Summer",189582
7,-110.7475,28.07556,NA,1960,"Perognathus flavus sonoriensis Nelson and Goldman, 1934","Perognathus_flavus",5,100,"male",24.6,362,5.66912825322511,168.669419812616,"Summer",189307
7,-110.7475,28.07556,NA,1960,"Perognathus flavus sonoriensis Nelson and Goldman, 1934","Perognathus_flavus",5,105,"female",24.6,362,5.66912825322511,168.669419812616,"Summer",189309
7,-110.7475,28.07556,NA,1960,"Perognathus flavus sonoriensis Nelson and Goldman, 1934","Perognathus_flavus",5,97,"female",24.6,362,5.66912825322511,168.669419812616,"Summer",189311
7,-102.9201431,36.8769226,"adult",1999,"Perognathus flavus","Perognathus_flavus",5,110,"female",12.8,587,7.7921094510389,89.0666443337074,"Summer",189384
7,-110.7475,28.07556,NA,1960,"Perognathus flavus sonoriensis Nelson and Goldman, 1934","Perognathus_flavus",5,98,"male",24.6,362,5.66912825322511,168.669419812616,"Summer",189400
7,-110.7475,28.07556,NA,1960,"Perognathus flavus sonoriensis Nelson and Goldman, 1934","Perognathus_flavus",5,90,"female",24.6,362,5.66912825322511,168.669419812616,"Summer",189401
7,-110.7475,28.07556,NA,1960,"Perognathus flavus sonoriensis Nelson and Goldman, 1934","Perognathus_flavus",5,105,"male",24.6,362,5.66912825322511,168.669419812616,"Summer",189403
7,-110.7475,28.07556,NA,1960,"Perognathus flavus sonoriensis Nelson and Goldman, 1934","Perognathus_flavus",5,96,"female",24.6,362,5.66912825322511,168.669419812616,"Summer",189404
5,-102.29585,26.59615,NA,1997,"Perognathus flavus","Perognathus_flavus",5,108,"female",21.3,264,6.54950842476446,80.4011218284156,"Spring",189508
9,-106.77,33.52,NA,2000,"Perognathus flavus","Perognathus_flavus",5,107,"male",15.6,219,8.32183600808467,95.7080459135596,"Fall",189526
7,-108.9922222,32.3477778,NA,2003,"Perognathus flavus","Perognathus_flavus",5,111,"male",16.7,181,7.7764212381228,88.8343064500341,"Summer",189531
7,-103.3661111,29.5302778,NA,2004,"Perognathus flavus","Perognathus_flavus",5,115,"female",19.1,441,7.23807273862988,63.4649403027637,"Summer",189533
3,-107.4684,32.9819,NA,2013,"Perognathus flavus","Perognathus_flavus",5,113,"female",15.7,258,8.30809663502837,143.55028585445,"Spring",189598
5,-105.5428333,29.35765,NA,1997,"Perognathus flavus","Perognathus_flavus",5,102,"female",17.9,266,7.09263382287952,110.676721864136,"Spring",189605
4,-101.8616667,26.965,NA,1999,"Perognathus flavus","Perognathus_flavus",5,105,"male",22.5,197,5.87325731729434,143.478310363285,"Spring",189610
9,-106.7188333,34.8293333,NA,2000,"Perognathus flavus","Perognathus_flavus",5,100,"female",14,227,8.85449295298977,93.3183065561333,"Fall",189614
9,-106.7948333,34.9033333,NA,2000,"Perognathus flavus","Perognathus_flavus",5,96,"female",13.7,249,8.75416351160285,92.1781595675188,"Fall",189616
7,-103.3661111,29.5302778,NA,2004,"Perognathus flavus","Perognathus_flavus",5,106,"male",19.1,441,7.23807273862988,63.4649403027637,"Summer",189637
10,-109.2084,31.619,NA,1969,"Perognathus flavus","Perognathus_flavus",5.1,92,"female",15.5,344,7.38579718107666,124.487246679213,"Fall",189663
3,-104.9110031,31.8419991,NA,1974,"Perognathus flavus flavus","Perognathus_flavus",5.3,106,"male",15.7,410,7.53681871638401,125.682346148814,"Spring",189545
10,-110.58889,31.79028,NA,1959,"Perognathus flavus","Perognathus_flavus",5.3,93,"female",15.8,492,6.7768098331849,135.652614036436,"Fall",189649
8,-109.17703,31.569987,NA,1956,"Perognathus flavus","Perognathus_flavus",5.3,106,"female",15.4,162,7.58233093608044,131.71194777314,"Summer",189652
10,-107.463304,33.01993498,NA,2012,"Perognathus flavus","Perognathus_flavus",5.4,102,"female",16.5,183,7.69301138972407,117.239426767539,"Fall",189448
3,-110.34734,31.5528,NA,1997,"Perognathus flavus","Perognathus_flavus",5.5,99,"male",16.8,455,7.10247502742189,99.0358056981848,"Spring",189374
11,-108.33325,31.66906,NA,2013,"Perognathus flavus","Perognathus_flavus",5.5,116,"female",16.9,270,8.26078725428794,128.218388332648,"Fall",189491
9,-106.7948333,34.9033333,NA,2000,"Perognathus flavus","Perognathus_flavus",5.5,101,"female",13.7,249,8.75416351160285,92.1781595675188,"Fall",189514
10,-104.8840027,31.8360004,NA,1973,"Perognathus flavus gilvus","Perognathus_flavus",5.5,99,"female",15.1,269,7.16690626801729,123.676529282106,"Fall",189544
9,-106.7948333,34.9033333,NA,2000,"Perognathus flavus","Perognathus_flavus",5.5,105,"female",13.7,249,8.75416351160285,92.1781595675188,"Fall",189619
10,-110.68111,31.857368,NA,1959,"Perognathus flavus","Perognathus_flavus",5.5,88,"male",16.5,578,6.72144915831986,132.722317592732,"Fall",189650
7,-104.8840027,31.8360004,NA,1973,"Perognathus flavus gilvus","Perognathus_flavus",5.6,104,"male",15.1,269,7.16690626801729,123.676529282106,"Summer",189543
6,-102.9676758,38.0487032,NA,1979,"Perognathus flavus","Perognathus_flavus",5.7,101,"male",11.4,390,10.7006371942813,81.8969748923355,"Summer",189373
12,-110.9011,31.892,NA,1971,"Perognathus flavus","Perognathus_flavus",5.7,89,"female",17.8,377,7.40206768819403,127.463021936198,"Winter",189572
10,-106.923832,34.295043,NA,1998,"Perognathus flavus","Perognathus_flavus",5.8,114,"female",14,240,8.69764858505395,114.952219978034,"Fall",189347
10,-106.904267,34.288474,NA,1998,"Perognathus flavus","Perognathus_flavus",5.8,106,"female",14.1,237,8.69430325505783,114.977864812337,"Fall",189349
10,-107.30428,33.55582,NA,2012,"Perognathus flavus","Perognathus_flavus",5.8,105,"male",14.5,207,7.54893129100826,124.933422144791,"Fall",189354
6,-104.6963463,32.2431602,NA,1965,"Perognathus flavus","Perognathus_flavus",5.8,109,"female",15.1,354,7.07730046120566,92.0489506911387,"Summer",189390
8,-106.484229,35.313065,"adult",2013,"Perognathus flavus","Perognathus_flavus",5.8,112,"female",12.7,266,9.19885944840528,126.179688871436,"Summer",189600
10,-109.558923,31.884119,NA,1971,"Perognathus flavus","Perognathus_flavus",5.8,90,"female",15.6,385,7.26996727932281,124.203060679383,"Fall",189672
7,-110.7475,28.07556,NA,1960,"Perognathus flavus sonoriensis Nelson and Goldman, 1934","Perognathus_flavus",6,102,"female",24.6,362,5.66912825322511,168.669419812616,"Summer",189308
7,-107.909101086,34.815772,NA,2003,"Perognathus flavus flavus","Perognathus_flavus",6,111,"male",10,238,8.07558985555554,77.8267217615777,"Summer",189314
