"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
6,-115.9311,35.7836,NA,1968,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",7,150,"male",14.5,114,7.74367288158337,104.291063468101,"Summer",87525
6,-118.0760456,36.4479175,NA,1972,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",7.5,115,"female",9.5,118,7.19619006941531,173.767330090903,"Summer",87171
6,-115.9311,35.7836,NA,1967,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",7.5,152,"female",14.4,186,8.42469314250997,110.012124593151,"Summer",87614
7,-117.745502,36.5960454,NA,1977,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",8,139,"male",14,192,7.53323947380521,124.750436784026,"Summer",87334
7,-117.9376234,36.970074,NA,1977,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",8,145,"female",12.3,189,7.89592817964942,115.611340876156,"Summer",87347
9,-115.39087,33.46253,NA,1989,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",8,152,"male",20.1,70,7.73604315114411,209.014039449193,"Fall",87356
6,-108.990598,40.520598,NA,1982,"Peromyscus crinitus auripectus","Peromyscus_crinitus",8,145,"male",7.2,287,10.6807494629782,72.4933889024834,"Summer",87363
7,-111.180009,38.185075,NA,1989,"Peromyscus crinitus doutti","Peromyscus_crinitus",8,144,"male",9.4,137,9.63124256434928,90.7557107524965,"Summer",87371
6,-110.865044,37.253186,NA,1994,"Peromyscus crinitus auripectus","Peromyscus_crinitus",8,140,"female",15.7,145,10.4812820173523,49.9624764614036,"Summer",87379
9,-114.10444,32.35972,NA,2001,"Peromyscus crinitus","Peromyscus_crinitus",8,169,"female",21.4,100,7.94676892602499,102.764108456176,"Fall",87612
7,-117.745502,36.5960454,NA,1977,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",9,78,"male",14,192,7.53323947380521,124.750436784026,"Summer",87145
6,-115.9311,35.7836,NA,1967,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",9,167,"male",14.4,186,8.42469314250997,110.012124593151,"Summer",87613
9,-115.25477,33.23941,NA,1989,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",9.5,158,"female",22.4,71,7.65590977908273,235.459934337961,"Fall",87146
9,-115.25477,33.23941,NA,1989,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",9.5,164,"female",22.4,71,7.65590977908273,235.459934337961,"Fall",87163
6,-116.9959362,36.0834642,NA,1967,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",9.5,160,"male",16.2,122,8.50883230959027,128.166568467282,"Summer",87173
1,-115.55878,33.5164,NA,1990,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",9.5,145,"female",19.4,93,8.18340430753645,145.068442700463,"Winter",87335
3,-115.56167,34.61583,NA,1996,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",9.8,155,"female",22.1,63,8.21672352306839,78.06247497998,"Spring",87352
7,-117.745502,36.5960454,NA,1977,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",10,143,"male",14,192,7.53323947380521,124.750436784026,"Summer",87142
7,-117.745502,36.5960454,NA,1977,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",10,150,"female",14,192,7.53323947380521,124.750436784026,"Summer",87158
9,-112.737148,36.861931,NA,2001,"Peromyscus crinitus","Peromyscus_crinitus",10,155,"female",13.8,241,8.85315814220604,57.1210763940181,"Fall",87200
6,-108.990598,40.520598,NA,1982,"Peromyscus crinitus auripectus","Peromyscus_crinitus",10,154,"female",7.2,287,10.6807494629782,72.4933889024834,"Summer",87364
9,-112.737148,36.861931,NA,2001,"Peromyscus crinitus","Peromyscus_crinitus",10,158,"male",13.8,241,8.85315814220604,57.1210763940181,"Fall",87383
5,-116.1734238,34.4926033,NA,1994,"Peromyscus crinitus","Peromyscus_crinitus",10,159,"male",17.3,103,7.88039377573266,123.742528955353,"Spring",87452
5,-116.1734238,34.4926033,NA,1994,"Peromyscus crinitus","Peromyscus_crinitus",10,172,"female",17.3,103,7.88039377573266,123.742528955353,"Spring",87453
6,-118.96,42.81,NA,1992,"Peromyscus crinitus crinitus","Peromyscus_crinitus",10,176,"male",9.6,295,7.78796663079807,88.7581722901244,"Summer",87520
9,-114.10444,32.35972,NA,2001,"Peromyscus crinitus","Peromyscus_crinitus",10,175,"male",21.4,100,7.94676892602499,102.764108456176,"Fall",87556
9,-114.10444,32.35972,NA,2001,"Peromyscus crinitus","Peromyscus_crinitus",10,170,"male",21.4,100,7.94676892602499,102.764108456176,"Fall",87557
7,-113.06361,36.248122,NA,1964,"Peromyscus crinitus","Peromyscus_crinitus",10,150,"male",13.1,216,9.30986361909027,90.2665626584284,"Summer",87595
9,-114.10444,32.35972,NA,2001,"Peromyscus crinitus","Peromyscus_crinitus",10,174,"female",21.4,100,7.94676892602499,102.764108456176,"Fall",87610
9,-114.10444,32.35972,NA,2001,"Peromyscus crinitus","Peromyscus_crinitus",10,161,"female",21.4,100,7.94676892602499,102.764108456176,"Fall",87611
2,-115.3388619,33.3156239,NA,1989,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",10.5,139,"male",22.9,60,7.80700443075436,221.728745009835,"Winter",87343
7,-114.79306,36.03556,"unknown",1964,"Peromyscus crinitus","Peromyscus_crinitus",10.8,162,"male",19.7,40,9.85148427518627,84.9844816740634,"Summer",87475
7,-114.79306,36.03556,"unknown",1964,"Peromyscus crinitus","Peromyscus_crinitus",10.8,195,"male",19.7,40,9.85148427518627,84.9844816740634,"Summer",87489
3,-113.41025,37.00755,NA,1978,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",10.9,160,"female",16,422,8.82418766112711,87.6136009050731,"Spring",87177
11,-114.39722,36.28917,"unknown",1963,"Peromyscus crinitus","Peromyscus_crinitus",10.9,188,"male",20.1,118,9.21208034281205,77.9279196120631,"Fall",87290
7,-117.745502,36.5960454,NA,1977,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",11,141,"female",14,192,7.53323947380521,124.750436784026,"Summer",87139
6,-116.9959362,36.0834642,NA,1967,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",11,170,"female",16.2,122,8.50883230959027,128.166568467282,"Summer",87172
9,-118.31084,37.40482,NA,2006,"Peromyscus crinitus stephensi","Peromyscus_crinitus",11,161,"female",13.6,100,8.57718520615045,163.770091634393,"Fall",87212
5,-116.1734238,34.4926033,NA,1994,"Peromyscus crinitus","Peromyscus_crinitus",11,169,"male",17.3,103,7.88039377573266,123.742528955353,"Spring",87274
5,-116.1734238,34.4926033,NA,1994,"Peromyscus crinitus","Peromyscus_crinitus",11,168,"female",17.3,103,7.88039377573266,123.742528955353,"Spring",87276
5,-116.1734238,34.4926033,NA,1994,"Peromyscus crinitus","Peromyscus_crinitus",11,175,"female",17.3,103,7.88039377573266,123.742528955353,"Spring",87277
2,-117.50539,35.44,NA,1975,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",11,160,"female",17.1,88,7.84292771556102,118.236195726173,"Winter",87318
7,-117.745502,36.5960454,NA,1977,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",11,150,"female",14,192,7.53323947380521,124.750436784026,"Summer",87321
2,-117.50539,35.44,NA,1975,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",11,172,"male",17.1,88,7.84292771556102,118.236195726173,"Winter",87349
2,-115.3388619,33.3156239,NA,1989,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",11,154,"male",22.9,60,7.80700443075436,221.728745009835,"Winter",87351
7,-117.745502,36.5960454,NA,1977,"Peromyscus crinitus Merriam, 1891","Peromyscus_crinitus",11,139,"male",14,192,7.53323947380521,124.750436784026,"Summer",87354
9,-112.737148,36.861931,NA,2001,"Peromyscus crinitus","Peromyscus_crinitus",11,158,"male",13.8,241,8.85315814220604,57.1210763940181,"Fall",87384
