"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
9,-85.1507378,46.7618551,NA,2004,"Regulus satrapa","Regulus_satrapa",2,NA,"female",4.8,744,9.51816047290015,38.758462683089,"Fall",113867
9,-86.142237,44.665975,NA,2013,"Regulus satrapa satrapa","Regulus_satrapa",2.9,NA,"female",7.4,1061,10.1494140747437,26.8303551391294,"Fall",113889
11,-94.7810783,39.1631755,NA,1961,"Regulus satrapa","Regulus_satrapa",3,NA,"undetermined",11.3,1516,9.56427617689278,65.1138509406081,"Fall",113462
4,-91.4907073,44.8098524,NA,1976,"Regulus satrapa satrapa","Regulus_satrapa",3,NA,"undetermined",6.1,466,12.6053980740816,68.5167653833367,"Spring",113694
7,-121.3582648,40.4036237,"ad.",1924,"Regulus satrapa olivaceus","Regulus_satrapa",3.2,NA,"male",6.7,838,7.11725921882004,101.10523215374,"Summer",113507
1,-123.61833,40.91792,"u ad.",1942,"Regulus satrapa olivaceus","Regulus_satrapa",3.5,NA,"male",13.6,1528,5.93951839696442,106.452584296409,"Winter",113527
1,-123.61833,40.91792,"u ad.",1942,"Regulus satrapa olivaceus","Regulus_satrapa",3.5,NA,"male",13.6,1528,5.93951839696442,106.452584296409,"Winter",113528
10,-83.35278,42.36833,NA,2010,"Regulus satrapa satrapa","Regulus_satrapa",3.5,NA,"female",10.6,763,10.8308481998075,62.4304104218683,"Fall",113922
9,-85.1507378,46.7618551,NA,2004,"Regulus satrapa","Regulus_satrapa",3.7,NA,"male",4.8,744,9.51816047290015,38.758462683089,"Fall",113650
11,-82.4333333,42.9666667,NA,1991,"Regulus satrapa","Regulus_satrapa",3.8,NA,"female",10.1,705,9.86631858517869,43.7201384620119,"Fall",113965
4,-84.07306,42.66056,NA,2009,"Regulus satrapa","Regulus_satrapa",3.9,NA,"male",8.4,947,9.97094263195296,48.1447598717918,"Spring",113921
10,-122.99983,37.99521,"immature",2002,"Regulus satrapa","Regulus_satrapa",3.9,86,"undetermined",12,758,1.68864299113672,172.464651098437,"Fall",113947
1,-123.61833,40.91792,"u ad.",1942,"Regulus satrapa olivaceus","Regulus_satrapa",4,NA,"male",13.6,1528,5.93951839696442,106.452584296409,"Winter",113529
12,-124.1530252,41.104244,"u juv.",1941,"Regulus satrapa olivaceus","Regulus_satrapa",4,NA,"male",12.2,1865,2.44619370376993,94.5728935259856,"Winter",113764
11,-83.7263412,42.2708397,NA,1990,"Regulus satrapa","Regulus_satrapa",4.1,NA,"male",10.3,1143,8.6246299876715,40.3792365163565,"Fall",113639
7,-118.2425,44.9778,"u ad.",1940,"Regulus satrapa olivaceus","Regulus_satrapa",4.2,NA,"male",4.6,1051,7.35582123631387,77.2107009633945,"Summer",113526
11,-122.29638,37.51604,"U-Ad.",1990,"Regulus satrapa olivaceus","Regulus_satrapa",4.2,NA,"m?",14.5,283,4.33151768489354,110.093884488586,"Fall",113900
10,-83.942057,42.575057,"immature",2013,"Regulus satrapa satrapa","Regulus_satrapa",4.25,NA,"male",9,895,10.3827070680341,55.9107736522185,"Fall",113870
10,-83.491138,42.64704,NA,2013,"Regulus satrapa satrapa","Regulus_satrapa",4.28,NA,"female",9,899,10.3673840246781,53.9299957764178,"Fall",113628
3,-84.0951329,42.3115748,"adult",2012,"Regulus satrapa satrapa","Regulus_satrapa",4.28,NA,"male",11.1,716,9.24193341965486,40.8758076090388,"Spring",113651
9,-118.831168,45.482563,NA,1996,"Regulus satrapa","Regulus_satrapa",4.3,NA,"male",10.6,452,7.71308903256292,65.4658455960657,"Fall",113426
12,-95.6780357,39.0483341,NA,1989,"Regulus satrapa","Regulus_satrapa",4.3,NA,"male",11.8,853,10.515601684539,78.3949191763714,"Winter",113463
