"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-83.6561111,42.3127778,"juvenile",1949,"Scolopax minor","Scolopax_minor",39.3,NA,"male",10.5,841,9.74649898292933,23.8253832581416,"Spring",116293
5,-85.0046539,42.3774414,"juvenile",1949,"Scolopax minor","Scolopax_minor",40.2,NA,"female",10,942,9.81226814047629,35.2757733970394,"Spring",116222
5,-83.7274933,42.2183477,"juvenile",1963,"Scolopax minor","Scolopax_minor",40.5,NA,"male",8.9,440,11.2206350762847,54.5011898615095,"Spring",116224
6,-84.377737,42.807799,"chick",1962,"Scolopax minor","Scolopax_minor",47.4,NA,"in question",8.1,602,10.7742397608482,39.6370028618378,"Summer",116140
5,-84.377737,42.807799,"chick",1962,"Scolopax minor","Scolopax_minor",47.9,NA,"male",8.1,602,10.7742397608482,39.6370028618378,"Spring",116141
6,-79.18355,44.25674,"juvenile",2006,"Scolopax minor","Scolopax_minor",48.1,NA,"female",8.5,918,8.99023038771768,34.421837592014,"Summer",116288
5,-83.9,42.1666667,NA,1981,"Scolopax minor","Scolopax_minor",48.5,NA,"male",8.8,912,10.147379867819,59.4295529433022,"Spring",116294
6,-84.377737,42.807799,"chick",1962,"Scolopax minor","Scolopax_minor",49.3,NA,"female",8.1,602,10.7742397608482,39.6370028618378,"Summer",116231
5,-83.6561111,42.3127778,"juvenile",1949,"Scolopax minor","Scolopax_minor",50.6,NA,"female",10.5,841,9.74649898292933,23.8253832581416,"Spring",116292
6,-83.7166667,42.3166667,"immature",1993,"Scolopax minor","Scolopax_minor",66.5,NA,"female",8.7,842,10.0770178068111,47.169397447092,"Summer",116280
6,-83.9983749,44.5592246,"juvenile",1945,"Scolopax minor","Scolopax_minor",67,NA,"female",5.9,810,9.9935850636417,52.2537291207989,"Summer",116221
5,-84.377737,42.807799,"chick",1962,"Scolopax minor","Scolopax_minor",68.6,NA,"female",8.1,602,10.7742397608482,39.6370028618378,"Spring",116142
5,-84.377737,42.807799,"chick",1987,"Scolopax minor","Scolopax_minor",70,NA,"female",10,790,9.78153408678358,59.4377754688368,"Spring",116146
5,-84.0936041,42.270942,"juvenile",2005,"Scolopax minor","Scolopax_minor",70,NA,"female",9.5,747,10.9488999032281,54.5143430793513,"Spring",116148
5,-85.49135,45.801609,NA,1959,"Scolopax minor","Scolopax_minor",75.7,NA,"female",6.4,874,11.0781897383457,51.1851609460714,"Spring",116145
