"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
5,-123.65,45.335,NA,1996,"Sorex bendirii","Sorex_bendirii",5.7,126,"undetermined",9.4,4136,4.75117210419033,81.9223539486475,"Spring",120361
5,-123.6488888889,45.2130555556,NA,1996,"Sorex bendirii","Sorex_bendirii",7.5,124,"undetermined",10,3159,4.44651719343523,83.3952502553401,"Spring",120558
5,-123.65,45.335,NA,1996,"Sorex bendirii","Sorex_bendirii",7.6,128,"undetermined",9.4,4136,4.75117210419033,81.9223539486475,"Spring",120436
6,-121.2705,48.6675,"unknown",1994,"Sorex bendirii","Sorex_bendirii",8.4,137,"female",10,1996,6.59152348233561,78.4895568017706,"Summer",120486
5,-123.6488888889,45.2130555556,NA,1996,"Sorex bendirii","Sorex_bendirii",8.4,135,"undetermined",10,3159,4.44651719343523,83.3952502553401,"Spring",120521
5,-123.65,45.335,NA,1996,"Sorex bendirii","Sorex_bendirii",8.6,123,"undetermined",9.4,4136,4.75117210419033,81.9223539486475,"Spring",120367
11,-121.8490887,46.9879,"unknown",1984,"Sorex bendirii","Sorex_bendirii",8.7,156,"male",5.9,2048,5.3734123800487,57.7728335436397,"Fall",120399
9,-123.91221,47.385245,NA,1997,"Sorex bendirii","Sorex_bendirii",8.8,142,NA,10.4,4207,4.79838198739635,61.3825471963269,"Fall",120529
5,-123.65,45.335,NA,1996,"Sorex bendirii","Sorex_bendirii",9,129,"undetermined",9.4,4136,4.75117210419033,81.9223539486475,"Spring",120366
5,-123.65,45.335,NA,1996,"Sorex bendirii","Sorex_bendirii",9,134,"undetermined",9.4,4136,4.75117210419033,81.9223539486475,"Spring",120437
6,-121.2705,48.6675,"unknown",1994,"Sorex bendirii","Sorex_bendirii",9.3,141,"female",10,1996,6.59152348233561,78.4895568017706,"Summer",120487
5,-123.6488888889,45.2130555556,NA,1996,"Sorex bendirii","Sorex_bendirii",9.3,133,"undetermined",10,3159,4.44651719343523,83.3952502553401,"Spring",120520
5,-123.78,45.2361111111,NA,1996,"Sorex bendirii","Sorex_bendirii",9.4,134,"undetermined",9.4,4520,4.19360985743353,85.5429475881697,"Spring",120557
10,-121.9421339,46.4194806,"unknown",1984,"Sorex bendirii","Sorex_bendirii",9.5,157,"male",6.7,2270,5.50718538902504,67.8005379589233,"Fall",120395
11,-121.8551,47.5548,"unknown",1988,"Sorex bendirii","Sorex_bendirii",9.5,152,"female",11,1403,5.1498161191062,64.1999746596457,"Fall",120423
10,-122.25,43.26,NA,1999,"Sorex bendirii bendirii","Sorex_bendirii",9.5,155,"female",7.5,1480,5.7867141458742,83.0659341235042,"Fall",120515
10,-121.8004646,46.4287418,"unknown",1984,"Sorex bendirii","Sorex_bendirii",9.9,160,"male",7.2,2101,5.87418595262872,70.0247631002331,"Fall",120393
7,-124.042182,47.56699,NA,1997,"Sorex bendirii","Sorex_bendirii",9.9,138,NA,10.2,4147,4.7689017857809,57.0150733682103,"Summer",120497
5,-122.4869,48.7597,"unknown",1932,"Sorex bendirii","Sorex_bendirii",10,142,"female",9.5,1199,5.09131762430072,66.0519802472392,"Spring",120438
4,-122.588189,49.305189,NA,1974,"Sorex bendirii bendirii","Sorex_bendirii",10,153,"male",8.4,2597,5.5186392152304,67.0472987722342,"Spring",120524
7,-121.6952,46.8863,"unknown",1975,"Sorex bendirii","Sorex_bendirii",10.1,149,"female",1,3390,6.28945124551395,85.3615275925053,"Summer",120369
5,-121.2705,48.6675,"unknown",1994,"Sorex bendirii","Sorex_bendirii",10.1,151,"female",10,1996,6.59152348233561,78.4895568017706,"Spring",120488
6,-123.41,45.55,NA,2000,"Sorex bendirii palmeri","Sorex_bendirii",10.2,133,"male",7.9,2186,5.29347082105242,72.978288445236,"Summer",120516
5,-123.78,45.2361111111,NA,1996,"Sorex bendirii","Sorex_bendirii",10.2,131,"undetermined",9.4,4520,4.19360985743353,85.5429475881697,"Spring",120519
4,-123.113521,49.261096,NA,1948,"Sorex bendirii bendirii","Sorex_bendirii",10.2,140,"male",9.4,1382,5.97593025597207,68.1903894035403,"Spring",120523
10,-122.9361,47.0902,"unknown",1989,"Sorex bendirii","Sorex_bendirii",10.3,153,"male",10.6,1066,5.52982957707696,77.551774808769,"Fall",120426
5,-123.78,45.2361111111,NA,1996,"Sorex bendirii","Sorex_bendirii",10.3,129,"undetermined",9.4,4520,4.19360985743353,85.5429475881697,"Spring",120518
11,-121.8648154,47.5521473,"unknown",1988,"Sorex bendirii","Sorex_bendirii",10.8,140,"female",11.1,1330,5.09774162712958,63.7806771029445,"Fall",120424
5,-121.8969648,46.7397808,"unknown",1986,"Sorex bendirii","Sorex_bendirii",10.8,154,"undetermined",8.1,1912,5.43564972002316,69.7740108644863,"Spring",120471
5,-121.8969648,46.7397808,"unknown",1986,"Sorex bendirii","Sorex_bendirii",10.9,161,"male",8.1,1912,5.43564972002316,69.7740108644863,"Spring",120470
5,-121.8969648,46.7397808,"unknown",1986,"Sorex bendirii","Sorex_bendirii",10.9,157,"male",8.1,1912,5.43564972002316,69.7740108644863,"Spring",120472
11,-121.8499,46.7327192,"unknown",1984,"Sorex bendirii","Sorex_bendirii",11,152,"female",6.8,2070,5.83365367085801,64.7476108140256,"Fall",120402
6,-123.010448,47.622748,NA,1998,"Sorex bendirii","Sorex_bendirii",11,149,NA,10,2240,5.57480126021629,93.2244402765535,"Summer",120527
11,-122.78,43.24,NA,1996,"Sorex bendirii bendirii","Sorex_bendirii",11.1,158,"male",9.7,2629,5.86437627466972,89.9590720905166,"Fall",120504
7,-122.0360037,46.1094196,"unknown",1985,"Sorex bendirii","Sorex_bendirii",11.2,147,"male",7.3,2081,7.06802445503478,69.3203480482952,"Summer",120392
10,-121.7085592,46.6897192,"unknown",1984,"Sorex bendirii","Sorex_bendirii",11.2,148,"female",5.9,2327,5.7963089090987,68.5949593127917,"Fall",120467
11,-121.8969648,46.7397808,"unknown",1984,"Sorex bendirii","Sorex_bendirii",11.4,149,"female",7.1,2117,5.56440935905614,64.3935048287944,"Fall",120473
6,-121.2868378,48.663882,"unknown",1993,"Sorex bendirii","Sorex_bendirii",11.55,147,"male",9.5,1439,6.79778818752278,61.2065072368058,"Summer",120483
5,-122.55112,47.76048,"unknown",1981,"Sorex bendirii","Sorex_bendirii",11.6,147,"female",11.5,1071,4.58683062162918,72.8457797665032,"Spring",120490
10,-121.8490887,46.9879,"unknown",1985,"Sorex bendirii","Sorex_bendirii",11.7,145,"female",5.6,1426,6.60417682343163,69.7359217873291,"Fall",120477
5,-121.9712,45.8035,"unknown",1983,"Sorex bendirii","Sorex_bendirii",11.8,147,"female",8.7,3185,5.87141896018847,84.7241502620602,"Spring",120386
11,-122.1767,44.2619,"unknown",1983,"Sorex bendirii","Sorex_bendirii",11.8,152,"female",9.2,2692,5.2327856304788,73.54852040945,"Fall",120416
8,-122.6776112,46.984881,"unknown",1992,"Sorex bendirii","Sorex_bendirii",11.8,155,"female",11.5,935,5.13248714001548,80.575403209284,"Summer",120419
10,-121.8969648,46.7397808,"unknown",1984,"Sorex bendirii","Sorex_bendirii",11.8,157,"male",7.1,2117,5.56440935905614,64.3935048287944,"Fall",120474
11,-123.79,44.43,NA,1988,"Sorex bendirii bendirii","Sorex_bendirii",11.9,175,"female",11.3,2260,4.70441443237255,103.092997950604,"Fall",120536
8,-122.315676,46.8617191,"unknown",1983,"Sorex bendirii","Sorex_bendirii",12,149,"female",10.2,1080,5.04579032461714,62.5077826782662,"Summer",120370
7,-122.9097,46.9128,"unknown",1962,"Sorex bendirii","Sorex_bendirii",12,133,"female",10,1179,4.83835684604773,79.8363477200593,"Summer",120449
9,-123.3,45.57,NA,2000,"Sorex bendirii palmeri","Sorex_bendirii",12,153,"female",8.3,1715,5.25616521118512,78.3384944446739,"Fall",120517
6,-123.010448,47.622748,NA,1998,"Sorex bendirii","Sorex_bendirii",12,138,NA,10,2240,5.57480126021629,93.2244402765535,"Summer",120530
10,-121.8969648,46.7397808,"unknown",1985,"Sorex bendirii","Sorex_bendirii",12.1,152,"male",6.9,1404,6.76371782290471,69.6719482713331,"Fall",120403
10,-122.73,43.73,NA,1996,"Sorex bendirii bendirii","Sorex_bendirii",12.1,159,"female",10.8,2415,5.85216872517179,84.3807649810057,"Fall",120541
6,-123.49,45.57,NA,2000,"Sorex bendirii palmeri","Sorex_bendirii",12.1,148,"female",8.8,2554,5.10141840050095,69.5988008898222,"Summer",120554
10,-121.8969648,46.7397808,"unknown",1984,"Sorex bendirii","Sorex_bendirii",12.2,147,"male",7.1,2117,5.56440935905614,64.3935048287944,"Fall",120400
6,-122.991305,47.648233,NA,1997,"Sorex bendirii","Sorex_bendirii",12.2,141,NA,9.7,2069,5.50505965618737,65.2831561601034,"Summer",120496
11,-121.9369,46.4267194,"unknown",1984,"Sorex bendirii","Sorex_bendirii",12.3,163,"male",7.7,2066,5.49585932288752,66.8238051398405,"Fall",120394
6,-122.3175,46.8344,"unknown",1961,"Sorex bendirii","Sorex_bendirii",12.4,144,"female",10.3,1129,5.87079959450056,65.8887012686499,"Summer",120380
11,-121.8969648,46.7397808,"unknown",1985,"Sorex bendirii","Sorex_bendirii",12.4,152,"male",6.9,1404,6.76371782290471,69.6719482713331,"Fall",120479
7,-123.9148,47.3515,"unknown",1989,"Sorex bendirii","Sorex_bendirii",12.4,155,"male",9.9,2759,5.34148997485862,71.1342623107081,"Summer",120492
11,-123.9503662,46.4257194,"unknown",1991,"Sorex bendirii","Sorex_bendirii",12.5,158,"male",10.2,1822,3.88730451130811,70.2535746196471,"Fall",120381
11,-123.9503662,46.4257194,"unknown",1991,"Sorex bendirii","Sorex_bendirii",12.5,149,"male",10.2,1822,3.88730451130811,70.2535746196471,"Fall",120451
5,-121.8969648,46.7397808,"unknown",1986,"Sorex bendirii","Sorex_bendirii",12.5,167,"male",8.1,1912,5.43564972002316,69.7740108644863,"Spring",120469
11,-121.8499,46.7327192,"unknown",1984,"Sorex bendirii","Sorex_bendirii",12.6,158,"male",6.8,2070,5.83365367085801,64.7476108140256,"Fall",120401
