"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
8,-128.61941,60.06277,NA,2005,"Sorex hoyi","Sorex_hoyi",2,NA,"undetermined",-0.2,448,11.6245397432511,48.228843552273,"Summer",189887
8,-145.0882777778,63.7677222222,NA,2008,"Sorex hoyi","Sorex_hoyi",2,85,"undetermined",-3.8,460,13.9366831191513,114.600413988898,"Summer",189918
8,-145.0714166667,63.8017777778,NA,2008,"Sorex hoyi","Sorex_hoyi",2,82,"male",-3.7,441,14.1319324634501,116.664770475807,"Summer",189919
8,-106.519344,39.285727,NA,2009,"Sorex hoyi","Sorex_hoyi",2,66,"female ?",-0.9,817,8.01753287073607,55.8225122890721,"Summer",190060
6,-76.5094764,42.4381028,NA,1950,"Sorex hoyi","Sorex_hoyi",2,80,"female",8.6,968,9.37719267287616,22.8725789836102,"Summer",190126
3,-93.5833333,45.3,"adult",1926,"Sorex hoyi hoyi","Sorex_hoyi",2.1,NA,"male",5.7,762,11.9873765674436,94.1031773336835,"Spring",190125
8,-105.857409,39.5990199,NA,2009,"Sorex hoyi","Sorex_hoyi",2.1,83,"undetermined",-0.9,766,7.89872928023389,50.3199264858817,"Summer",190127
9,-105.857409,39.5990199,NA,2009,"Sorex hoyi","Sorex_hoyi",2.2,81,"undetermined",-0.9,766,7.89872928023389,50.3199264858817,"Fall",190061
9,-128.61829,60.06508,NA,2004,"Sorex hoyi","Sorex_hoyi",2.4,NA,"undetermined",-1.1,375,12.6337810746595,42.1649900709538,"Fall",189886
8,-151.7913,66.3195333333,NA,2002,"Sorex hoyi","Sorex_hoyi",2.44,81,"female",-2.4,373,13.2051958323115,99.1668332533781,"Summer",189816
10,-97.28,45.61,NA,1997,"Sorex hoyi hoyi","Sorex_hoyi",2.45,78,"undetermined",5,484,12.7806672183206,82.1034119367728,"Fall",190072
8,-145.0882777778,63.7677222222,NA,2008,"Sorex hoyi","Sorex_hoyi",2.5,84,"male",-3.8,460,13.9366831191513,114.600413988898,"Summer",189719
11,-147.8,64.9,NA,1991,"Sorex hoyi","Sorex_hoyi",2.5,66,"undetermined",-1.2,267,13.0597461574477,74.7203503687509,"Fall",189735
8,-151.7827833333,66.3224833333,NA,1999,"Sorex hoyi","Sorex_hoyi",2.5,NA,"undetermined",-5.4,348,17.4808899988392,91.6347644816909,"Summer",189766
7,-138.182175,65.076289,NA,2005,"Sorex hoyi","Sorex_hoyi",2.5,84,"undetermined",-5.6,467,13.3889003101506,68.5693094824413,"Summer",189884
