"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
4,-112.6511389,34.0166944,"juvenile",2001,"Sylvilagus audubonii","Sylvilagus_audubonii",149.3,232,"female",20.4,300,8.40340389185817,84.7670604978995,"Spring",143736
8,-122.166781,37.862432,NA,2003,"Sylvilagus audubonii audubonii","Sylvilagus_audubonii",151.6,175,"male",14.5,645,4.3436735604785,115.145722039101,"Summer",143705
7,-110.92583,32.06203,NA,1939,"Sylvilagus audubonii","Sylvilagus_audubonii",151.8,242,"male",19,227,7.55638902859793,86.9061306551863,"Summer",143782
6,-104.786903,39.571776,"juvenile",1990,"Sylvilagus audubonii baileyi","Sylvilagus_audubonii",152.5,205,"undetermined",10.2,531,8.74334378862347,69.3144590872994,"Summer",143667
5,-104.786903,39.571776,"juvenile",1987,"Sylvilagus audubonii baileyi","Sylvilagus_audubonii",153.4,182,NA,10.1,587,8.55849746087938,77.4264624969429,"Spring",143570
9,-105.063584,40.15738,NA,2013,"Sylvilagus audubonii","Sylvilagus_audubonii",154.3,195,"male",9.5,323,10.0597156415019,73.4668580800109,"Fall",143602
6,-105.141025,39.974281,"immature",2012,"Sylvilagus audubonii","Sylvilagus_audubonii",154.8,201,"male",12.1,236,8.87145148863203,68.0383092024854,"Summer",143663
7,-109.009838,40.44903,NA,1990,"Sylvilagus audubonii baileyi","Sylvilagus_audubonii",172,220,"undetermined",5.9,345,10.0295434803506,57.614969702003,"Summer",143580
6,-108.7226327,40.4554628,"juvenile",1990,"Sylvilagus audubonii","Sylvilagus_audubonii",199,220,"male",7.9,306,10.2088939240015,40.4314563058346,"Summer",143676
6,-106.07541,36.00448,"juvenile",2007,"Sylvilagus audubonii","Sylvilagus_audubonii",200,211,"male",11.4,296,9.12493669550478,79.4941043864966,"Summer",143691
8,-105.567225,40.8926123,NA,1981,"Sylvilagus audubonii","Sylvilagus_audubonii",203,232,"undetermined",6,409,7.23452894740971,89.426045080874,"Summer",143581
6,-105.05537,40.158428,"juvenile",2013,"Sylvilagus audubonii","Sylvilagus_audubonii",204.5,197,"male",9.5,325,10.0433907107957,73.4668580800109,"Summer",143494
5,-106.7053722222,35.2597222222,NA,2009,"Sylvilagus audubonii","Sylvilagus_audubonii",205,220,"undetermined",13.2,253,8.30525116836914,86.3865947212945,"Spring",143732
6,-109.069026,40.500538,NA,1996,"Sylvilagus audubonii","Sylvilagus_audubonii",209,210,"female",7.2,393,9.13310246335059,48.7413034739983,"Summer",143680
8,-109.174921,40.425251,NA,1988,"Sylvilagus audubonii cf.","Sylvilagus_audubonii",210,207,"male",8.3,185,11.3068328764942,75.8698806778858,"Summer",143578
8,-105.228161,39.760323,"juvenile",2008,"Sylvilagus audubonii","Sylvilagus_audubonii",211.8,230,"female",9.7,384,8.64694726303433,79.1862493342443,"Summer",143595
7,-105.154783,40.180999,"immature",2011,"Sylvilagus audubonii","Sylvilagus_audubonii",213.5,215,"male",9.6,404,9.74375868611971,60.8641902343741,"Summer",143768
