"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
3,-99.3955167,30.0416667,NA,2012,"Thryothorus ludovicianus","Thryothorus_ludovicianus",10,NA,"male",19.8,821,6.6762071885347,81.6878886124675,"Spring",156203
3,-99.3955167,30.0416667,NA,2012,"Thryothorus ludovicianus","Thryothorus_ludovicianus",10.4,NA,"female",19.8,821,6.6762071885347,81.6878886124675,"Spring",156204
5,-83.94344,42.45259,"immature",2009,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",11.3,NA,"undetermined",8.6,942,10.0156090300303,45.6454486614265,"Spring",156066
8,-83.92284,42.44278,"immature",2011,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",11.6,NA,"undetermined",9.8,1025,10.5859648362892,47.401711852187,"Summer",156117
2,-97.7563889,30.345,NA,2007,"Thryothorus ludovicianus","Thryothorus_ludovicianus",12,NA,"female",18.9,1119,7.07857950995734,79.1062583529923,"Winter",156153
7,-83.4822,42.3086,"immature",2012,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",13,NA,"female",11.4,658,9.09320009011062,40.4018700217529,"Summer",156116
9,-83.7263412,42.2708397,NA,2004,"Thryothorus ludovicianus","Thryothorus_ludovicianus",13.2,NA,"male",9.7,845,10.0184224246529,62.5123735413865,"Fall",156114
3,-88.5784142,20.6689352,"adult",1936,"Thryothorus ludovicianus albinucha","Thryothorus_ludovicianus",13.8,NA,"male",25.8,1372,1.76710257629587,60.9052551150767,"Spring",156217
7,-95.4434,31.7682,NA,2011,"Thryothorus ludovicianus","Thryothorus_ludovicianus",14.1,NA,"female",20.1,770,8.41665016500033,67.1260132469213,"Summer",156197
6,-84.0129412,36.2449499,"juvenile",1938,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",14.4,NA,"male",14.3,1310,8.09330063395122,39.4783419977885,"Summer",156072
6,-96.08355,30.4691667,NA,2012,"Thryothorus ludovicianus","Thryothorus_ludovicianus",14.4,NA,"female",21.3,1258,6.3322885900659,57.842210595672,"Summer",156161
3,-85.44513,38.75488,"U",1989,"Thryothorus ludovicianus","Thryothorus_ludovicianus",14.4,NA,"male",11.6,1383,9.68705399755339,34.2410333644516,"Spring",156224
10,-83.2732773,42.5146263,NA,2005,"Thryothorus ludovicianus","Thryothorus_ludovicianus",14.5,NA,"male",9.6,697,10.9304793484951,50.1111794035435,"Fall",156064
2,-88.5784142,20.6689352,NA,1936,"Thryothorus ludovicianus albinucha","Thryothorus_ludovicianus",14.5,NA,"male",25.8,1372,1.76710257629587,60.9052551150767,"Winter",156218
5,-98.0852833,29.963,NA,2011,"Thryothorus ludovicianus","Thryothorus_ludovicianus",14.7,NA,"male",21.4,558,7.9314630466646,76.0538926559441,"Spring",156156
3,-88.5784142,20.6689352,NA,1936,"Thryothorus ludovicianus albinucha","Thryothorus_ludovicianus",14.8,NA,"male",25.8,1372,1.76710257629587,60.9052551150767,"Spring",156179
3,-88.5784142,20.6689352,NA,1936,"Thryothorus ludovicianus albinucha","Thryothorus_ludovicianus",15,NA,"male",25.8,1372,1.76710257629587,60.9052551150767,"Spring",156178
11,-95.2283333,39.0413333,NA,2007,"Thryothorus ludovicianus","Thryothorus_ludovicianus",15,NA,"female",13.8,1020,10.7959693657149,65.8517881736112,"Fall",156186
9,-74.0775,39.9267,"immature",1975,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",15.1,NA,"female",11.8,1272,8.47139124919689,30.2288540568908,"Fall",156181
3,-99.2221833,30.0577,NA,2012,"Thryothorus ludovicianus","Thryothorus_ludovicianus",15.2,NA,"female",19.7,851,6.69931588547169,81.8136646987298,"Spring",156163
3,-97.26265,30.4676833,NA,2011,"Thryothorus ludovicianus","Thryothorus_ludovicianus",15.2,NA,"female",21.5,571,8.38694873544062,75.6113982533247,"Spring",156199
12,-83.8833333,42.8333333,NA,1994,"Thryothorus ludovicianus","Thryothorus_ludovicianus",15.2,NA,NA,8.5,849,10.6293297773261,50.7763604244532,"Winter",156225
5,-83.4263563,41.7403857,NA,1934,"Thryothorus ludovicianus","Thryothorus_ludovicianus",15.3,NA,"male",10,539,11.6178643789327,61.9567064729306,"Spring",156070
5,-98.6333333,29.6166667,NA,1947,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",15.4,NA,"female",19.6,550,8.06744298793839,76.9413800105403,"Spring",156209
12,-91.15,30.45,NA,1983,"Thryothorus ludovicianus","Thryothorus_ludovicianus",15.5,NA,"male",18.3,1980,7.01303440139513,43.7048441627645,"Winter",156173
6,-85.46153,38.96902,"unknown",2006,"Thryothorus ludovicianus","Thryothorus_ludovicianus",15.55,134,"male",12.6,1515,8.13671067484033,28.9606588813704,"Summer",156148
4,-97.3343833,29.9578833,NA,2011,"Thryothorus ludovicianus","Thryothorus_ludovicianus",15.6,NA,"female",21.7,580,7.96777600999517,80.2599628902454,"Spring",156194
7,-83.5575,31.4866,"ad.",1951,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",15.7,NA,"female",19.6,1142,6.5161977665916,54.5038718704147,"Summer",156094
9,-83.7263412,42.2708397,NA,2011,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",15.8,NA,"female",10.3,1078,10.6367395038483,51.6940841774473,"Fall",156067
10,-95.2077745,38.8199982,NA,1991,"Thryothorus ludovicianus","Thryothorus_ludovicianus",15.8,NA,"undetermined",13.9,712,10.4119977415334,62.7180979641183,"Fall",156090
6,-98.26265,31.4676833,NA,2011,"Thryothorus ludovicianus","Thryothorus_ludovicianus",15.8,NA,"female",20.4,455,8.75769791253802,59.6197976512148,"Summer",156159
6,-96.28016,30.65095,NA,2009,"Thryothorus ludovicianus","Thryothorus_ludovicianus",15.9,NA,NA,20.3,1073,7.47299684318024,102.065215674327,"Summer",156154
9,-75.4167,38.1,"immature",1975,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",15.9,NA,"female",14.4,1191,8.05531539175258,42.0969838039138,"Fall",156221
3,-82.2132034,38.4248104,"adult",1971,NA,"Thryothorus_ludovicianus",16,NA,"female",12.9,990,8.85890666350692,49.7775333017263,"Spring",156083
2,-97.7903,30.22594,"u ad.",1952,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",16,NA,"female",19.7,874,6.78520560863966,69.4473499404529,"Winter",156095
3,-97.2626517,30.4676833,NA,2012,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",16,NA,"male",21.4,1087,6.59229922643906,72.213560177047,"Spring",156200
6,-94.274,31.02997,"sk.imm.",1964,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",16.1,NA,"female",18.8,1012,7.46038019991426,41.5991084702882,"Summer",156100
5,-98.0852833,29.963,NA,2011,"Thryothorus ludovicianus","Thryothorus_ludovicianus",16.1,NA,"male",21.4,558,7.9314630466646,76.0538926559441,"Spring",156160
8,-94.4434,30.7682,NA,2010,"Thryothorus ludovicianus","Thryothorus_ludovicianus",16.1,NA,"male",19,982,8.51214373169831,69.5705626332053,"Summer",156192
9,-77.5566101,39.1060872,"adult",1969,"Thryothorus ludovicianus","Thryothorus_ludovicianus",16.2,NA,"female",12,915,9.73087479327651,56.3037125966484,"Fall",156046
8,-80.40041,42.58631,"juv",1999,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",16.2,NA,"female",9.7,894,9.48144919239031,32.2277140610015,"Summer",156190
7,-94.4434,30.7682,NA,2011,"Thryothorus ludovicianus","Thryothorus_ludovicianus",16.2,NA,"male",20,842,7.84118883998099,75.8967196444323,"Summer",156196
9,-83.7263412,42.2708397,"immature",2009,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",16.3,NA,"female",9.1,998,10.0710619042278,46.1289230756675,"Fall",156065
5,-80.608078,28.0835934,NA,2004,"Thryothorus ludovicianus miamensis","Thryothorus_ludovicianus",16.5,NA,"male",22.4,1210,4.45370121870053,81.1781653940564,"Spring",156093
5,-98.0852833,29.963,NA,2011,"Thryothorus ludovicianus","Thryothorus_ludovicianus",16.6,NA,"male",21.4,558,7.9314630466646,76.0538926559441,"Spring",156158
6,-97.26265,30.4676833,NA,2011,"Thryothorus ludovicianus","Thryothorus_ludovicianus",16.6,NA,"male",21.5,571,8.38694873544062,75.6113982533247,"Summer",156195
9,-87.6333333,37.8333333,NA,1949,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",16.6,NA,"female",14.4,1293,8.67067506371944,50.4137413706337,"Fall",156213
6,-94.274,31.04448,"sk.imm.",1964,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",16.7,NA,"female",18.7,1013,7.49931309985768,41.6582448880009,"Summer",156098
7,-94.4434,30.7682,NA,2010,"Thryothorus ludovicianus","Thryothorus_ludovicianus",16.7,NA,"male",19,982,8.51214373169831,69.5705626332053,"Summer",156155
5,-95.0808176,31.4417995,"ad",1976,"Thryothorus ludovicianus ludovicianus","Thryothorus_ludovicianus",17,NA,"female",17.7,1249,6.87357698771612,43.1443682198605,"Spring",156061
