"month","decimallongitude","decimallatitude","lifestage","year","scientificname","sciname_cor","massing","lengthinmm","sex","bio1","bio12","bio4","bio15","seasonality","Ids"
4,-122.2574231,37.871928,"nestling",1957,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",6.9,NA,"undetermined",13.9,545,3.73054549589865,79.8613086459901,"Spring",161757
5,-122.2574231,37.871928,"nestling",1957,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",8.6,NA,"undetermined",13.9,545,3.73054549589865,79.8613086459901,"Spring",161760
5,-122.46118,38.29031,"adult",2002,"Zonotrichia leucophrys gambelii","Zonotrichia_leucophrys",9.3,NA,"male",14.5,707,4.34102173421992,172.764999061993,"Spring",163583
7,-122.7340259,37.9286764,"nestling",2001,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",9.9,NA,"undetermined",13.1,842,2.33212089712088,131.653076248915,"Summer",161775
6,-122.2574231,37.871928,"4 days old",1957,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",10.7,NA,"undetermined",13.9,545,3.73054549589865,79.8613086459901,"Summer",162762
6,-122.2574231,37.871928,"4 days old",1957,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",11.1,NA,"undetermined",13.9,545,3.73054549589865,79.8613086459901,"Summer",162763
4,-122.28919,37.83956,"nestling",2010,"Zonotrichia leucophrys","Zonotrichia_leucophrys",11.3,70,"undetermined",14.7,665,3.01852864016811,103.264903633891,"Spring",163414
7,-122.87796,38.05349,"Juv.; 31 Days",1990,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",12.2,NA,"male",13.1,463,3.43867266499295,117.014225299975,"Summer",163554
5,-122.2574231,37.871928,"nestling",1957,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",12.7,NA,"undetermined",13.9,545,3.73054549589865,79.8613086459901,"Spring",162761
5,-122.2574231,37.871928,"nestling",1957,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",13.8,NA,"undetermined",13.9,545,3.73054549589865,79.8613086459901,"Spring",161758
1,-106.0069407,35.8924574,NA,2010,"Zonotrichia leucophrys gambelii","Zonotrichia_leucophrys",15,NA,"male",11.6,247,8.9016299154433,55.3258399807394,"Winter",161517
10,-118.209991,34.126573,"adult",1978,"Zonotrichia leucophrys","Zonotrichia_leucophrys",15,NA,"female",18.3,876,4.61212992274095,133.842902950155,"Fall",162497
10,-122.077254,37.969141,"not recorded",2003,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",15.4,NA,"female",15.6,472,4.9529528994573,115.120310509215,"Fall",162771
3,-118.2940292,37.1661072,NA,2000,"Zonotrichia leucophrys gambelii","Zonotrichia_leucophrys",15.5,NA,"undetermined",14.6,83,7.99084229640784,119.677984763722,"Spring",162478
1,-147.8043,64.857,"U",2000,"Zonotrichia leucophrys","Zonotrichia_leucophrys",15.5,NA,"undetermined",-1.6,285,12.314745411313,108.166813357895,"Winter",163267
12,-124.0983333333,40.8666666667,NA,1986,"Zonotrichia leucophrys","Zonotrichia_leucophrys",15.7,146,"undetermined",12.1,1075,1.72017881381999,97.9987126286715,"Winter",163430
10,-118.74386,34.272699,"immature",2003,NA,"Zonotrichia_leucophrys",15.9,NA,"undetermined",16.2,317,4.03056504046946,137.457990950139,"Fall",162311
6,-111.336439,44.50036,"adult",1990,"Zonotrichia leucophrys","Zonotrichia_leucophrys",16,156,"female",2.7,780,9.94853423039461,55.2212041506062,"Summer",161428
12,-122.2622838,37.87338,"unknown",1940,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",16,NA,"male",14.4,902,2.20101560579876,122.235973196058,"Winter",162077
4,-121.808788,36.688204,NA,1964,"Zonotrichia leucophrys","Zonotrichia_leucophrys",16.1,NA,"undetermined",12.3,373,2.48393322020223,136.527193560118,"Spring",162416
8,-122.43618,37.75113,"Juv.",1982,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",16.3,NA,"female",12.9,961,2.80695834516923,100.666810906981,"Summer",163544
10,-122.7228,38.43761,"U-Ad.",1976,"Zonotrichia leucophrys","Zonotrichia_leucophrys",16.4,NA,"male",14,286,4.40484409657726,91.8354678261849,"Fall",163364
4,-119.25793,37.91103,"Ad-3 Yr,11+Mo",1996,"Zonotrichia leucophrys oriantha","Zonotrichia_leucophrys",16.4,NA,"male",3.1,1519,6.43619029042379,88.9853210475384,"Spring",163559
12,-117.179457,46.728691,NA,1980,"Zonotrichia leucophrys gambelii","Zonotrichia_leucophrys",16.5,NA,"female",8.2,589,7.00945249234377,53.9484446344293,"Winter",162375
5,-149.2891666667,63.75,"u ad.",1926,"Zonotrichia leucophrys gambelii","Zonotrichia_leucophrys",16.6,NA,"female",-0.4,600,9.93589681179034,93.9787209957658,"Spring",161878
8,-122.48251,37.7695,"U-Ad.",1940,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",16.7,NA,"female",13.4,936,1.37906424136738,116.088309926084,"Summer",163521
6,-124.3847,43.3091,"juv.",1959,"Zonotrichia leucophrys pugetensis","Zonotrichia_leucophrys",16.9,NA,"male ?",10.8,1447,2.96136741551888,111.508090193094,"Summer",162636
12,-118.9712476,34.2028938,"adult",1982,NA,"Zonotrichia_leucophrys",17,NA,"male",15.7,432,3.7046551387369,115.91910639375,"Winter",162291
7,-122.46605,37.79778,"Juv.",1982,"Zonotrichia leucophrys nuttalli","Zonotrichia_leucophrys",17.2,NA,"female",12.7,997,2.69201963160927,99.7400018352414,"Summer",163373
10,-118.431604,34.818686,"adult",2005,NA,"Zonotrichia_leucophrys",17.24,NA,"male",15.6,390,6.77535641464377,155.873350952206,"Fall",163341
4,-120.45839,34.64458,"U-Ad.",1983,"Zonotrichia leucophrys gambelii","Zonotrichia_leucophrys",17.3,NA,"female",15.7,834,2.95568276478728,111.267329965914,"Spring",163546
