Species,habitat_axis1,habitat_axis2,trophic_axis1,trophic_axis2
Aplodontia rufa,0.13314926480293005,0.009886325281750983,-0.40868239361943315,0.43171202744319076
Sciurus carolinensis,-0.6071883575204688,-0.582042548975779,-0.30398245648053324,-0.3023050715577747
Sciurus griseus,-0.6071883575204594,-0.5820425489757756,-0.3039824564805403,-0.30230507155777264
Tamiasciurus hudsonicus,-0.6071883575204595,-0.5820425489757737,-0.1987299052208038,-0.20042237115467687
Tamiasciurus douglasii,-0.6071883575204599,-0.5820425489757739,-0.19872990522080378,-0.20042237115467634
Otospermophilus beecheyi,0.13314926480293038,0.009886325281750805,-0.1782246637022025,-0.059715530483173206
Ictidomys tridecemlineatus,0.13314926480293038,0.00988632528175082,-0.1782246637022025,-0.05971553048317315
Callospermophilus lateralis,0.13314926480293038,0.009886325281750832,-0.1782246637022025,-0.05971553048317315
Ammospermophilus leucurus,0.13314926480293038,0.009886325281750801,-0.07049392537083923,-0.09496357024809224
Tamias striatus,0.13314926480293038,0.009886325281750798,-0.11096734502941687,-0.15547141337698325
Tamias townsendii,0.13314926480293038,0.009886325281750801,-0.1020633653452923,-0.5334236401954817
Tamias amoenus,0.13314926480293038,0.00988632528175082,-0.10206336534529226,-0.5334236401954816
Tamias speciosus,0.13314926480293035,0.009886325281750792,-0.10206336534529234,-0.5334236401954816
Tamias dorsalis,0.13314926480293035,0.009886325281750782,-0.10206336534529244,-0.5334236401954817
Tamias minimus,0.13314926480293035,0.009886325281750787,-0.10206336534529238,-0.5334236401954817
Cratogeomys castanops,0.13314926480293035,0.009886325281750777,-0.40868239361943115,0.4317120274431905
Geomys bursarius,0.13314926480293035,0.009886325281750768,-0.40868239361943137,0.4317120274431905
Thomomys talpoides,0.13314926480293035,0.009886325281750782,-0.40868239361943126,0.4317120274431905
Thomomys bottae,0.13314926480293035,0.009886325281750787,-0.40868239361943126,0.4317120274431905
Dipodomys ordii,0.13314926480293035,0.009886325281750754,-0.11096734502941691,-0.15547141337698325
Dipodomys spectabilis,0.13314926480293035,0.009886325281750763,-0.11096734502941691,-0.1554714133769833
Dipodomys deserti,0.13314926480293035,0.00988632528175077,-0.11096734502941691,-0.1554714133769833
Perognathus flavus,0.13314926480293035,0.009886325281750768,-0.10914187097102446,-0.3418644869898758
Perognathus longimembris,0.13314926480293035,0.009886325281750754,-0.10914187097102442,-0.34186448698987576
Perognathus parvus,0.13314926480293032,0.00988632528175076,-0.10914187097102432,-0.3418644869898757
