"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad.","female",1,-123.4851937,39.6863371,1950,"Accipiter gentilis atricapillus","Accipiter_gentilis",1135,NA,12.3,2028,5.23560074408994,94.76773741131,"Winter",784,12.15,1693,5.49295517683638,125.199084881653,12,1504,5.3922388183405,107.75203247503,"F","Adult"
"ad.","male",6,-120.1507,42.3685,1937,"Accipiter gentilis atricapillus","Accipiter_gentilis",649,NA,4.8,738,9.08348484722119,80.9378517642773,"Summer",793,5.05,607.5,8.54455156977358,100.928547859715,5.46,522.8,7.97196424973987,84.5344664147829,"M","Adult"
"ad.","female",6,-120.1507,42.3685,1937,"Accipiter gentilis atricapillus","Accipiter_gentilis",1040,NA,4.8,738,9.08348484722119,80.9378517642773,"Summer",794,5.05,607.5,8.54455156977358,100.928547859715,5.46,522.8,7.97196424973987,84.5344664147829,"F","Adult"
"ad.","male",5,-123.4851937,39.6863371,1917,"Accipiter gentilis atricapillus","Accipiter_gentilis",972.5,NA,11.4,1250,5.16629519681232,110.863674659798,"Spring",693,11.35,1496.5,5.18604152981823,127.757095435307,11.62,1913,4.96425900836668,131.627650429491,"M","Adult"
"ad.","female",11,-120,49.4167,1938,"Accipiter gentilis atricapillus","Accipiter_gentilis",1133.98,NA,2.7,476,7.85174657273299,58.040795956798,"Fall",801,1.95,603.5,8.46213292566753,56.1652132285048,2.08,515.4,7.78916663760601,63.4736984955426,"F","Adult"
"ad.","female",10,-120,49.4167,1937,"Accipiter gentilis atricapillus","Accipiter_gentilis",1190.66,NA,1.2,731,9.07251927860206,54.2896305002116,"Fall",802,1.5,609,8.75199495386055,61.3400697935388,1.88,546.6,7.67453541098549,68.6420005262047,"F","Adult"
"ad.","female",4,-120,49.4167,1943,"Accipiter gentilis atricapillus","Accipiter_gentilis",1304.05,NA,1.7,441,8.05547056729811,49.8260534476606,"Spring",697,2.05,541.5,7.78444645006561,53.5234214694468,2.78,553.6,7.23164695101098,51.0239720527557,"F","Adult"
"ad.","male",11,-123.4851937,39.6863371,1916,"Accipiter gentilis atricapillus","Accipiter_gentilis",905.5,NA,11.3,1743,5.20578786282415,144.650516210816,"Fall",692,11.6,2161.5,4.95105165545228,137.893307367421,11.62,2056.8,4.82304392769819,126.091138864946,"M","Adult"
"ad.","male",9,-133.6167,59.5333,1924,"Accipiter gentilis atricapillus","Accipiter_gentilis",938.5,NA,-2.5,461,8.07117486097059,41.7439993743236,"Fall",791,-1.95,495,9.1457081074687,48.2707089866479,-2.68,446.4,9.48228599770401,50.4962100360914,"M","Adult"
"ad.","female",7,-106.8987177777,29.3920969444,1959,"Accipiter gentilis atricapillus","Accipiter_gentilis",1057,NA,14.4,416,6.22801588133667,161.139334141977,"Summer",688,14.2,474.5,6.60146110099244,133.500415276373,14.18,412.2,6.39948644990622,144.207651233312,"F","Adult"
"ad.","male",6,-122.9107,44.2042,1938,"Accipiter gentilis atricapillus","Accipiter_gentilis",776.6,NA,11.3,1216,6.10073890209335,80.6421416311516,"Summer",796,11.15,1468.5,6.34323076091999,73.0375763292339,11.3,1222.6,5.89295247970783,82.6200793506637,"M","Adult"
"ad.","female",6,-122.9107,44.2042,1938,"Accipiter gentilis atricapillus","Accipiter_gentilis",1017.3,NA,11.3,1216,6.10073890209335,80.6421416311516,"Summer",795,11.15,1468.5,6.34323076091999,73.0375763292339,11.3,1222.6,5.89295247970783,82.6200793506637,"F","Adult"
"ad.","male",9,-109.84658,43.2888,1939,"Accipiter gentilis atricapillus","Accipiter_gentilis",826.7,NA,0.6,429,8.68288110263087,62.1265891367597,"Fall",696,0.3,536.5,8.69650552317188,53.5752893935482,-0.12,573.6,9.21329480127558,56.4922551703333,"M","Adult"
"Ad.","female",7,-120.16875,39.20026,1934,"Accipiter gentilis atricapillus","Accipiter_gentilis",992,NA,6.2,716,5.99315265848275,71.7966510449139,"Summer",892,5.25,890,6.82498884936541,99.705000495482,4.88,905.6,7.115188050841,107.27057831552,"F","Adult"
"AD","female",4,-147.8043,64.857,2000,"Accipiter gentilis","Accipiter_gentilis",1250,NA,-1.6,285,12.314745411313,108.166813357895,"Spring",726,-2.85,281.5,14.3328348833063,100.788167450556,-2.42,270.4,14.4791827187028,104.167806983199,"F","Adult"
"AD","female",8,-147.8043,64.857,2000,"Accipiter gentilis","Accipiter_gentilis",1150,NA,-1.6,285,12.314745411313,108.166813357895,"Summer",725,-2.85,281.5,14.3328348833063,100.788167450556,-2.42,270.4,14.4791827187028,104.167806983199,"F","Adult"
"AD","female",12,-161.7509,60.7912,2011,"Accipiter gentilis","Accipiter_gentilis",1210,NA,-1.3,411,10.1056652278299,76.6755070883688,"Winter",736,-1.6,439.5,10.7918735537489,78.3028995385622,-1.24,494,10.9688334122862,67.9774899094963,"F","Adult"
"adult","female",11,-79.98485,43.48854,1990,"Accipiter gentilis atricapillus","Accipiter_gentilis",411.1,NA,8.3,997,8.66855602948747,32.322592816467,"Fall",864,7.45,868.5,9.71490403442179,35.6805665997463,7.54,871.2,9.77302130019601,41.8849247593176,"F","Adult"
"adult","female",9,-95.6699753,48.6712393,1926,"Accipiter gentilis atricapillus","Accipiter_gentilis",1247.38,23,2.5,595,12.8268184959199,80.214706969677,"Fall",746,2.5,636.5,12.9196999102204,91.721803316049,2.68,589,13.5561846230704,82.5011881400447,"F","Adult"
"adult","male",7,-75.70644,45.38681,1989,"Accipiter gentilis atricapillus","Accipiter_gentilis",500,NA,5.2,830,12.7680947061119,43.6392007417741,"Summer",702,5.7,828,12.1430505154307,43.4142033319579,5.96,860.8,11.4629899734053,39.1749106243324,"M","Adult"
"adult","female",2,-118.1300507,34.1444969,1983,"Accipiter gentilis atricapillus","Accipiter_gentilis",745,NA,18.1,1044,4.55238865039469,100.039027203446,"Winter",685,17.75,795.5,4.56521207801782,102.28346188653,18.14,661.6,4.39634378522744,134.802518512186,"F","Adult"
"adult","female",12,-95.8123703,48.8479805,1936,"Accipiter gentilis atricapillus","Accipiter_gentilis",1297,NA,1.3,457,16.1916434675983,75.9146361505378,"Winter",762,1.8,448,14.8484460833436,74.0660907451253,2.34,450.6,14.338233952623,70.9209722085545,"F","Adult"
