"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","female",3,-106.6221191,35.249532,2007,"Aegolius acadicus","Aegolius_acadicus",80.9,NA,13.5,245,9.0127519088066,74.2653237117355,"Spring",1054,13.5,254.5,8.65651970875907,98.8596914346988,13.58,229,8.52527848352328,78.297902353311,"F","Adult"
"ad","male",12,-108.1871796,36.7504387,2007,"Aegolius acadicus","Aegolius_acadicus",52.6,NA,11.7,220,9.74640570889722,66.4223869789189,"Winter",931,11.6,205.5,9.34239664995784,77.6637096148331,11.64,211.2,9.19275809849818,86.6999481786301,"M","Adult"
"Ad","male",12,-117.63468,47.83965,1959,"Aegolius acadicus","Aegolius_acadicus",72.3,197,8.6,520,8.0000378786982,71.0759164996314,"Winter",1022,9.7,537.5,8.19213591016107,69.5897564903948,8.98,503,8.77683803797106,65.1297113479627,"M","Adult"
"Ad","female",9,-117.4125,47.6639,1959,"Aegolius acadicus","Aegolius_acadicus",82.2,210,9,507,7.91287309427243,67.6680009805843,"Fall",915,10.1,523.5,8.12236981592486,67.7845157436844,9.34,489.8,8.68085434707163,65.0286245737285,"F","Adult"
"Ad","female",3,-85.33802,38.80774,1991,"Aegolius acadicus acadicus","Aegolius_acadicus",59.8,NA,13.2,1043,9.35263291401103,41.5192944441213,"Spring",1198,13.1,1276,8.46304317574615,41.785837895269,12.56,1159.8,9.12544297907758,44.2410492693997,"F","Adult"
"Ad","female",12,-117.142993,46.721599,1959,"Aegolius acadicus","Aegolius_acadicus",92.2,210,7.8,531,7.15865655247992,55.7078919727362,"Winter",914,8.9,577,7.36847745714476,65.8221938697272,8.1,528.4,7.97601886020115,62.6041441581951,"F","Adult"
"Ad.","female",2,-123.01106,38.46807,1985,"Aegolius acadicus acadicus","Aegolius_acadicus",88.4,NA,13.5,841,4.254721085471,114.010742766127,"Winter",1226,13.75,878,4.31569047187961,134.268336623557,13.78,1503.8,4.06992026016199,117.255639238994,"F","Adult"
"AD","male",1,-132.3,53.37,2010,"Aegolius acadicus brooksi","Aegolius_acadicus",61,NA,7.2,2499,4.61046241025384,59.9297334004962,"Winter",1108,6.95,2277,4.9874397026607,57.9221192582124,6.66,2233.4,4.8390899645598,60.5249555719353,"M","Adult"
"AD","male",12,-132.3,53.37,2010,"Aegolius acadicus brooksi","Aegolius_acadicus",84,NA,7.2,2499,4.61046241025384,59.9297334004962,"Winter",986,6.95,2277,4.9874397026607,57.9221192582124,6.66,2233.4,4.8390899645598,60.5249555719353,"M","Adult"
"AD","male",12,-132.3,53.37,2000,"Aegolius acadicus brooksi","Aegolius_acadicus",82,NA,7.1,1841,4.62020431136848,55.265610268007,"Winter",1103,6.75,2288.5,4.42789742864662,51.020547336964,7.06,2207.4,4.6821352930405,57.3076469311605,"M","Adult"
"AD","male",7,-149.1712,61.5988,2002,"Aegolius acadicus","Aegolius_acadicus",76,NA,3.1,457,8.21765929218438,100.590049687817,"Summer",973,2.65,425.5,8.73606293162987,114.364680508865,2.2,430,8.92860891119032,94.0452498465101,"M","Adult"
"AD","undetermined",11,-132.3,53.37,2009,"Aegolius acadicus brooksi","Aegolius_acadicus",114,NA,6.7,2055,5.36441699506756,55.9145051159286,"Fall",984,6.4,2203.5,4.86748983993676,50.8027611640277,6.76,2135.8,4.86646463770077,61.8961379808648,"NS","Adult"
"AD","female",2,-151.507,59.646,2010,"Aegolius acadicus acadicus","Aegolius_acadicus",91,NA,2.8,669,5.9023878064883,55.5613096788527,"Winter",1109,2.75,596,6.32774797866519,57.5209368698361,2.62,620.4,6.62002243832839,64.0367521535685,"F","Adult"
"AD","female",12,-132.3,53.37,2009,"Aegolius acadicus brooksi","Aegolius_acadicus",89,NA,6.7,2055,5.36441699506756,55.9145051159286,"Winter",983,6.4,2203.5,4.86748983993676,50.8027611640277,6.76,2135.8,4.86646463770077,61.8961379808648,"F","Adult"
"AD","male",1,-134.555,58.3449,2000,"Aegolius acadicus acadicus","Aegolius_acadicus",79,NA,5.6,1702,5.29100866822884,47.346334972899,"Winter",987,5.45,1873,5.41981833613693,48.317461251968,5.34,1811.8,6.07292537537797,45.0187061636152,"M","Adult"
"AD","male",1,-132.3,53.37,2010,"Aegolius acadicus brooksi","Aegolius_acadicus",82,NA,7.2,2499,4.61046241025384,59.9297334004962,"Winter",1107,6.95,2277,4.9874397026607,57.9221192582124,6.66,2233.4,4.8390899645598,60.5249555719353,"M","Adult"
"AD","male",12,-132.3,53.37,2008,"Aegolius acadicus brooksi","Aegolius_acadicus",76,NA,6.1,2352,4.37056268480595,45.6910172121269,"Winter",1105,6.3,2380,4.61400388353817,55.0155674284584,7.04,2067.8,4.78089930785087,64.8132538904817,"M","Adult"
"AD","male",7,-149.9044,61.1742,2002,"Aegolius acadicus acadicus","Aegolius_acadicus",72,NA,3.4,408,8.74190101370024,99.1266824996505,"Summer",1110,2.9,364.5,9.20366729093249,104.713607454165,2.42,371,9.40129867257172,92.136939289953,"M","Adult"
"AD","male",1,-132.3,53.37,2010,"Aegolius acadicus brooksi","Aegolius_acadicus",77,NA,7.2,2499,4.61046241025384,59.9297334004962,"Winter",1104,6.95,2277,4.9874397026607,57.9221192582124,6.66,2233.4,4.8390899645598,60.5249555719353,"M","Adult"
"AD","female",1,-132.3,53.37,2010,"Aegolius acadicus brooksi","Aegolius_acadicus",86,NA,7.2,2499,4.61046241025384,59.9297334004962,"Winter",985,6.95,2277,4.9874397026607,57.9221192582124,6.66,2233.4,4.8390899645598,60.5249555719353,"F","Adult"
"adult","female",1,-79.186206,43.768401,1999,"Aegolius acadicus acadicus","Aegolius_acadicus",53.8,NA,9,735,10.0635556099796,43.2863042823844,"Winter",959,9.45,730,9.53763888705937,39.7280956617695,8.26,794.6,9.96993968488063,38.4807312460953,"F","Adult"
"adult","female",12,-106.28306,40.73167,1996,"Aegolius acadicus","Aegolius_acadicus",93.2,188,3.4,323,8.63538790341373,33.7238626950813,"Winter",1042,3.6,339.5,8.13246786374936,58.4336390988256,3.26,325.4,8.47695708309322,49.2480083768373,"F","Adult"
"adult","[female]",4,-79.372722,43.73418,1972,"Aegolius acadicus acadicus","Aegolius_acadicus",59.5,NA,6.7,890,10.2593047197816,27.0550363953582,"Spring",956,7.15,798,10.3590419181008,37.1188227874864,7.26,783,10.5188922568773,38.2593293304047,"F","Adult"
