"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"ad","female",6,-109.8530194,50.9422571,1970,"Bombycilla cedrorum","Bombycilla_cedrorum",29,NA,2.8,308,13.8004254435957,126.153428164715,"Summer",9173,2.75,274.5,14.1643668780683,101.725504195935,3.16,283.8,13.3175289540973,85.097597147886,"F","Adult"
"ad","male",7,-84.02525,46.353393,1931,"Bombycilla cedrorum","Bombycilla_cedrorum",35,NA,6.7,772,10.5130618611787,65.7387277263846,"Summer",9202,5.8,709.5,10.9135793632702,60.820325878027,4.72,733,10.9119970552956,51.362892927864,"M","Adult"
"ad","female",6,-109.0029938,50.9764073,1970,"Bombycilla cedrorum","Bombycilla_cedrorum",34.8,NA,2,327,13.5955875194859,113.735598686738,"Summer",9554,2.05,315,13.9084877973858,93.2620475319803,2.42,320.8,13.1445824425321,75.0383013153955,"F","Adult"
"ad","female",7,-94.98538,49.92533,1947,"Bombycilla cedrorum","Bombycilla_cedrorum",29.4,NA,1.5,627,13.7663181407199,61.9181824825118,"Summer",9916,1.65,581.5,13.6319243895375,56.4339738515301,1.7,624.8,13.3965225901207,62.4381750312174,"F","Adult"
"ad","female",7,-93.63727,52.84037,1938,"Bombycilla cedrorum","Bombycilla_cedrorum",36.8,NA,0,617,13.8670636598183,60.9325865622278,"Summer",9790,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"F","Adult"
"ad","undetermined",6,-77.45954,46.03204,1954,"Bombycilla cedrorum","Bombycilla_cedrorum",31,NA,4.5,914,11.3141772153615,29.95843185791,"Summer",9910,5.35,830,10.9220456566293,37.4747167328427,4.98,820,11.2158796246609,33.5404051482634,"NS","Adult"
"ad","female",6,-80.63539,45.77283,1978,"Bombycilla cedrorum","Bombycilla_cedrorum",34.5,NA,4.4,828,11.3435704656466,47.544394324923,"Summer",9185,4.8,866,11.1035293999367,43.7024645356013,4.96,858.2,10.9748614519151,36.803796105963,"F","Adult"
"ad","female",8,-79.02983,43.84509,1965,"Bombycilla cedrorum","Bombycilla_cedrorum",31.5,NA,7.1,832,9.88160212749231,34.1291317678718,"Summer",9178,7.5,772,9.71294244192569,44.1157771385999,7.44,715.8,10.2975017705534,42.6658369130337,"F","Adult"
"ad","male",6,-79.71623,43.81157,2006,"Bombycilla cedrorum","Bombycilla_cedrorum",24.6,NA,8.9,920,8.93313121661903,32.0941965778595,"Summer",9907,8.4,835,9.95740508709762,32.3331804952101,7.76,816,9.97578707086665,34.9573901523378,"M","Adult"
"ad","female",6,-80.52949,45.79444,1978,"Bombycilla cedrorum","Bombycilla_cedrorum",40,NA,4.3,844,11.4240575501479,47.1458519903962,"Summer",9184,4.75,879.5,11.1826874246889,43.068809813236,4.88,872.6,11.0574504343679,36.4832372284964,"F","Adult"
"ad","male",7,-93.63727,52.84037,1938,"Bombycilla cedrorum","Bombycilla_cedrorum",31.6,NA,0,617,13.8670636598183,60.9325865622278,"Summer",9913,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"M","Adult"
"ad","female",7,-87.72961,52.24829,1939,"Bombycilla cedrorum","Bombycilla_cedrorum",38.5,NA,-2,684,14.3413578664834,57.1658407777492,"Summer",9580,-1.3,692.5,13.9852174800591,60.3568531810518,-1.76,657.2,14.4644618806139,52.262236921312,"F","Adult"
"ad","female",8,-87.72961,52.24829,1939,"Bombycilla cedrorum","Bombycilla_cedrorum",35.7,NA,-2,684,14.3413578664834,57.1658407777492,"Summer",9582,-1.3,692.5,13.9852174800591,60.3568531810518,-1.76,657.2,14.4644618806139,52.262236921312,"F","Adult"
"ad","female",6,-109.8530194,50.9422571,1970,"Bombycilla cedrorum","Bombycilla_cedrorum",35.3,NA,2.8,308,13.8004254435957,126.153428164715,"Summer",9169,2.75,274.5,14.1643668780683,101.725504195935,3.16,283.8,13.3175289540973,85.097597147886,"F","Adult"
"ad","female",6,-87.72961,52.24829,1939,"Bombycilla cedrorum","Bombycilla_cedrorum",30,NA,-2,684,14.3413578664834,57.1658407777492,"Summer",9206,-1.3,692.5,13.9852174800591,60.3568531810518,-1.76,657.2,14.4644618806139,52.262236921312,"F","Adult"
"ad","female",6,-110.0527954,49.892865,1968,"Bombycilla cedrorum","Bombycilla_cedrorum",28.6,NA,4.3,323,10.7692322677322,82.3982150406582,"Summer",9551,4.05,334,11.3857697477115,76.8383880480662,3.72,369.2,11.8795396178259,74.7833298774375,"F","Adult"
"ad","female",6,-80.36881,44.25785,1980,"Bombycilla cedrorum","Bombycilla_cedrorum",30.7,NA,4,1048,10.6267636682391,30.8263434554746,"Summer",9574,4.35,1017,10.5302397064989,35.138953425984,4.44,977.8,10.5606328089403,35.9335115217405,"F","Adult"
"ad","male",7,-79.372722,43.73418,1945,"Bombycilla cedrorum","Bombycilla_cedrorum",29,NA,7,1001,10.2890792355367,43.2918216084957,"Summer",9576,7.25,878.5,10.3647128268998,40.6664543313606,7.28,828.2,10.4785714555206,39.7002870602863,"M","Adult"
"ad","female",7,-91.92887,50.10403,1947,"Bombycilla cedrorum","Bombycilla_cedrorum",39.5,NA,0.6,690,13.748377314719,41.0975349699112,"Summer",9210,0.75,698,13.5972268414131,41.8236002450863,0.7,747.8,13.4139889742011,54.0473898945502,"F","Adult"
"ad","male",7,-93.63727,52.84037,1938,"Bombycilla cedrorum","Bombycilla_cedrorum",31.3,NA,0,617,13.8670636598183,60.9325865622278,"Summer",9791,-0.55,550.5,14.7054314845897,51.7795207299686,-1.5,540,14.7334197481444,58.5638854378748,"M","Adult"
"ad","undetermined",6,-79.0056,44.13341,1974,"Bombycilla cedrorum","Bombycilla_cedrorum",30,NA,6.2,862,9.82393490255799,29.4524876582179,"Summer",9181,6.8,854,10.0542314262105,30.8472726713323,6.36,815.4,10.4198006663495,30.8785831095921,"NS","Adult"
"ad","male",11,-81.2613,42.99875,1934,"Bombycilla cedrorum","Bombycilla_cedrorum",36.2,NA,7,723,11.2545849242956,38.9738443678061,"Fall",9588,7.55,728,10.5281504575308,38.1691671064338,7.94,841.4,9.7900424117713,40.1658403344186,"M","Adult"
"ad","female",7,-80.03064,43.52096,1971,"Bombycilla cedrorum","Bombycilla_cedrorum",36.2,NA,6.9,792,10.2656938244314,41.3419210076523,"Summer",9558,6.8,825.5,10.5371994650338,36.0668139219735,6.6,882.2,10.2272884589973,41.9510820947168,"F","Adult"
"ad","female",7,-89.56651,48.53642,1976,"Bombycilla cedrorum","Bombycilla_cedrorum",36,NA,1.2,539,12.832590494046,77.1246177025865,"Summer",9564,1.75,595.5,12.3137314516698,66.6941900586625,1.52,702.8,12.1485343827413,57.6571042540365,"F","Adult"
"ad","undetermined",8,-85.4901123,40.7930188,1985,"Bombycilla cedrorum","Bombycilla_cedrorum",34.3,NA,10.2,1104,10.9327143209837,41.3017473697727,"Summer",9197,10.15,1017.5,10.5660600633059,38.9099125535145,10.12,988.8,10.5056521190367,48.723127201218,"NS","Adult"
"ad","male",6,-87.72961,52.24829,1939,"Bombycilla cedrorum","Bombycilla_cedrorum",32.5,NA,-2,684,14.3413578664834,57.1658407777492,"Summer",9584,-1.3,692.5,13.9852174800591,60.3568531810518,-1.76,657.2,14.4644618806139,52.262236921312,"M","Adult"
"ad","male",6,-84.52159,54.34023,1980,"Bombycilla cedrorum","Bombycilla_cedrorum",29.6,NA,-3.7,563,14.0810935999196,55.9993885664445,"Summer",9571,-3.95,623.5,13.9581571773469,57.5796981666308,-3.98,590.2,13.9554037239894,56.317350353493,"M","Adult"
"ad","male",6,-89.6316,51.78419,1977,"Bombycilla cedrorum","Bombycilla_cedrorum",30.5,NA,-0.1,727,13.7564833199962,53.9962791732594,"Summer",9182,-0.85,677.5,14.5862694999723,50.3381799896091,-1.04,735.6,14.162220420545,60.3919682683863,"M","Adult"
"ad","male",7,-79.40957,43.746884,2004,"Bombycilla cedrorum","Bombycilla_cedrorum",35,NA,7.4,796,10.1254367657385,43.1762640765099,"Summer",9165,7.2,809,10.325558021373,41.052496818183,7.76,781.4,9.96034083645244,41.6859072139982,"M","Adult"
