"lifestage","sex","month","decimallongitude","decimallatitude","year","scientificname","sciname_cor","massing","lengthinmm","bio1","bio12","bio4","bio15","seasonality","Ids","bio1_2yr","bio12_2yr","bio4_2yr","bio15_2yr","bio1_5yr","bio12_5yr","bio4_5yr","bio15_5yr","sex_cor","lifestage_cor"
"1st winter","male",2,-119.630241,49.495707,1996,"Bombycilla garrulus pallidiceps","Bombycilla_garrulus",62,208,7.4,369,9.07585458034869,51.6825815784058,"Winter",10184,8.4,389.5,8.52731425226932,51.824316494275,9.04,348.2,8.55871666098739,55.9181581873762,"M","Juvenile"
"ad","male",6,-135.0587082,60.682762,1973,"Bombycilla garrulus garrulus","Bombycilla_garrulus",45.4,NA,-3.1,241,12.8315898067892,61.6021327391214,"Summer",10131,-3.55,276,13.2223912472274,62.3893310821244,-2.54,274.8,12.6457069874751,77.9864205554741,"M","Adult"
"ad","male",6,-126.8426514,65.2417576,1975,"Bombycilla garrulus garrulus","Bombycilla_garrulus",45.4,NA,-6.5,252,17.8707226287223,63.7346061758158,"Summer",10044,-7.15,346.5,17.1475335438795,76.7396567976122,-6.52,338.6,16.9172482423473,72.8928032422683,"M","Adult"
"ad","female",6,-134.5365143,60.5649567,1973,"Bombycilla garrulus garrulus","Bombycilla_garrulus",54.9,NA,-2.9,229,12.9174623410844,56.9429635378272,"Summer",10130,-3.35,263,13.264826644899,56.9822279440787,-2.44,260.2,12.7213664148553,72.3531913848329,"F","Adult"
"ad","male",6,-134.5365143,60.5649567,1973,"Bombycilla garrulus garrulus","Bombycilla_garrulus",53.8,NA,-2.9,229,12.9174623410844,56.9429635378272,"Summer",10042,-3.35,263,13.264826644899,56.9822279440787,-2.44,260.2,12.7213664148553,72.3531913848329,"M","Adult"
"ad.","female",7,-131.1667,57.9,1919,"Bombycilla garrulus pallidiceps","Bombycilla_garrulus",48.2,NA,0.9,330,11.0175445485275,46.8384374059661,"Summer",10034,1.15,341,10.8982963438797,45.7070677608744,1.76,326,10.8327556076381,49.0363174033996,"F","Adult"
"Ad","female",1,-117.179457,46.728691,1971,"Bombycilla garrulus","Bombycilla_garrulus",65.7,200,8.1,663,7.58329004316648,44.776639089984,"Winter",9976,8.25,615.5,7.67680521094091,62.7769007153452,8.48,534.4,7.75837655895058,69.2849862313003,"F","Adult"
"Ad","male",3,-117.179457,46.728691,1960,"Bombycilla garrulus","Bombycilla_garrulus",56,207,8,595,8.25056471896428,62.0835874784356,"Spring",10069,7.9,584.5,7.72751230856377,59.6608891547086,8.26,576.2,8.03751563741887,61.9766301548728,"M","Adult"
"Ad","male",1,-117.323339,46.67056,1973,"Bombycilla garrulus","Bombycilla_garrulus",64.9,NA,9.5,528,7.59802107409714,111.497514729652,"Winter",9977,9.2,541,7.86451583569637,86.3729252120098,9.04,553.2,7.96063436595032,76.9371870082183,"M","Adult"
"Ad","male",1,-117.179457,46.728691,1954,"Bombycilla garrulus","Bombycilla_garrulus",60.2,212,8,494,6.54385554963933,45.8375419667282,"Winter",10065,8.65,549.5,6.25016957870736,71.9172570547586,8.32,546,7.43900047073059,69.8350171109502,"M","Adult"
"Ad","female",12,-117.298849,46.820843,1953,"Bombycilla garrulus","Bombycilla_garrulus",58.2,211,9.5,606,5.98656956457662,98.1055946482522,"Winter",10063,9.2,503.5,7.09901571784066,85.0052681286882,8.48,531.4,8.05887272830857,77.0806315741715,"F","Adult"
"Ad","female",11,-117.877365,46.934681,1956,"Bombycilla garrulus","Bombycilla_garrulus",65.5,214,9.6,314,8.72052177338031,63.1511295397739,"Fall",9972,9.05,345,8.64103184529096,68.8347366514217,9.72,332,7.87441264754835,74.4768764802869,"F","Adult"
"Ad","female",3,-117.179457,46.728691,1959,"Bombycilla garrulus","Bombycilla_garrulus",62.5,213,7.8,574,7.20445989816325,57.2381908309817,"Spring",10068,8.85,628.5,7.42461963078441,67.3166074473202,8.02,573.4,8.03439444168725,63.6173130573033,"F","Adult"
"Ad","male",1,-117.179457,46.728691,1954,"Bombycilla garrulus","Bombycilla_garrulus",57.4,207,8,494,6.54385554963933,45.8375419667282,"Winter",9971,8.65,549.5,6.25016957870736,71.9172570547586,8.32,546,7.43900047073059,69.8350171109502,"M","Adult"
"Ad","female",1,-117.179457,46.728691,1954,"Bombycilla garrulus","Bombycilla_garrulus",61.1,202,8,494,6.54385554963933,45.8375419667282,"Winter",10066,8.65,549.5,6.25016957870736,71.9172570547586,8.32,546,7.43900047073059,69.8350171109502,"F","Adult"
"Ad","male",12,-117.179457,46.728691,1968,"Bombycilla garrulus","Bombycilla_garrulus",49,209,8.6,550,7.20056289887159,64.6216986536996,"Winter",9975,8.9,512,7.54837986014013,66.4746147858779,8.6,500.4,7.30875242211272,69.156529912787,"M","Adult"
"Ad","female",12,-117.298849,46.820843,1953,"Bombycilla garrulus","Bombycilla_garrulus",55.5,205,9.5,606,5.98656956457662,98.1055946482522,"Winter",9970,9.2,503.5,7.09901571784066,85.0052681286882,8.48,531.4,8.05887272830857,77.0806315741715,"F","Adult"
"Ad","male",1,-117.179457,46.728691,1954,"Bombycilla garrulus","Bombycilla_garrulus",61.7,201,8,494,6.54385554963933,45.8375419667282,"Winter",10064,8.65,549.5,6.25016957870736,71.9172570547586,8.32,546,7.43900047073059,69.8350171109502,"M","Adult"
"Ad","male",11,-117.877365,46.934681,1956,"Bombycilla garrulus","Bombycilla_garrulus",62.5,216,9.6,314,8.72052177338031,63.1511295397739,"Fall",10067,9.05,345,8.64103184529096,68.8347366514217,9.72,332,7.87441264754835,74.4768764802869,"M","Adult"
